date,open,high,low,close,volume,adj_close
2024-08-20 00:00:00,6.92,6.92,6.8,6.88,10078,6.88
2024-08-21 00:00:00,6.89,7.15,6.86,6.95,36534,6.95
2024-08-22 00:00:00,6.95,7.07,6.84,6.91,18121,6.91
2024-08-23 00:00:00,6.88,7.09,6.88,6.92,38065,6.92
2024-08-26 00:00:00,7.03,7.09,6.91,7.0,35005,7.0
2024-08-27 00:00:00,6.94,7.0899,6.8501,6.92,16816,6.92
2024-08-28 00:00:00,6.91,7.06,6.9014,7.06,24416,7.06
2024-08-29 00:00:00,7.08,7.08,6.9185,7.0,29998,7.0
2024-08-30 00:00:00,6.96,7.35,6.95,7.02,111579,7.02
2024-09-03 00:00:00,7.05,7.1,6.912,7.01,86799,7.01
2024-09-04 00:00:00,7.01,7.01,6.7765,6.94,9976,6.94
2024-09-05 00:00:00,6.9,6.9,6.63,6.71,21231,6.71
2024-09-06 00:00:00,6.75,6.75,6.22,6.43,42792,6.43
2024-09-09 00:00:00,6.53,6.795,6.45,6.78,62461,6.78
2024-09-10 00:00:00,6.82,6.82,6.57,6.7,11308,6.7
2024-09-11 00:00:00,6.62,6.71,6.5,6.66,33742,6.66
2024-09-12 00:00:00,6.63,6.87,6.53,6.8,40800,6.8
2024-09-13 00:00:00,6.8,6.905,6.75,6.84,32331,6.84
2024-09-16 00:00:00,6.84,6.88,6.76,6.87,10261,6.87
2024-09-17 00:00:00,6.8,6.92,6.695,6.73,36741,6.73
2024-09-18 00:00:00,6.65,6.73,6.47,6.47,30616,6.47
2024-09-19 00:00:00,6.48,6.52,6.4112,6.48,25085,6.48
2024-09-20 00:00:00,6.5,6.52,6.36,6.42,33967,6.42
2024-09-23 00:00:00,6.46,6.4723,6.3404,6.35,30214,6.35
2024-09-24 00:00:00,6.35,6.44,6.29,6.29,28043,6.29
2024-09-25 00:00:00,6.35,6.39,6.31,6.36,10573,6.36
2024-09-26 00:00:00,6.31,6.43,6.3,6.4,22985,6.4
2024-09-27 00:00:00,6.41,6.7,6.41,6.61,23723,6.61
2024-09-30 00:00:00,6.6144,6.65,6.43,6.52,16873,6.52
2024-10-01 00:00:00,6.545,6.545,6.29,6.29,12091,6.29
2024-10-02 00:00:00,6.32,6.446,6.1518,6.19,51029,6.19
2024-10-03 00:00:00,6.2,6.32,6.2,6.28,26680,6.28
2024-10-04 00:00:00,6.54,6.65,6.36,6.64,28670,6.64
2024-10-07 00:00:00,6.65,6.7642,6.5001,6.7,51756,6.7
2024-10-08 00:00:00,6.66,6.89,6.66,6.89,30468,6.89
2024-10-09 00:00:00,6.89,6.9,6.64,6.9,15228,6.9
2024-10-10 00:00:00,6.9,7.0,6.77,6.98,32822,6.98
2024-10-11 00:00:00,7.0,7.2,6.9124,7.16,229910,7.16
2024-10-14 00:00:00,7.2,7.2,7.045,7.13,51209,7.13
2024-10-15 00:00:00,7.14,7.2,7.11,7.18,28853,7.18
2024-10-16 00:00:00,7.19,7.34,7.0763,7.34,116000,7.34
2024-10-17 00:00:00,7.29,7.35,7.204,7.34,19819,7.34
2024-10-18 00:00:00,7.35,7.385,7.31,7.33,37940,7.33
2024-10-21 00:00:00,7.3,7.3616,7.176,7.22,57990,7.22
2024-10-22 00:00:00,7.27,7.28,7.09,7.22,17819,7.22
2024-10-23 00:00:00,7.2,7.2,7.09,7.19,16008,7.19
2024-10-24 00:00:00,7.2,7.2,7.1,7.2,14147,7.2
2024-10-25 00:00:00,7.2,7.2292,7.1,7.19,16061,7.19
2024-10-28 00:00:00,7.23,7.23,7.1572,7.22,30298,7.22
2024-10-29 00:00:00,7.19,7.21,7.155,7.2,8621,7.2
2024-10-30 00:00:00,7.2,7.23,7.16,7.17,15187,7.17
2024-10-31 00:00:00,7.2,7.3,7.17,7.3,166361,7.3
2024-11-01 00:00:00,7.3,7.4,7.24,7.25,43143,7.25
