date,open,high,low,close,volume,adj_close
2024-05-20,6.1353,6.1795,5.9761,5.9761,18900,5.9761
2024-05-21,5.9761,6.0955,5.8117,5.8966,38500,5.8966
2024-05-22,5.8877,5.9938,5.7993,5.8789,29800,5.8789
2024-05-23,5.9408,5.9408,5.6764,5.7728,28800,5.7728
2024-05-24,5.8082,5.8789,5.7021,5.7463,30400,5.7463
2024-05-28,5.8258,5.9584,5.7551,5.9142,28200,5.9142
2024-05-29,5.8524,5.8524,5.6756,5.6844,28200,5.6844
2024-05-30,5.764,5.8082,5.7463,5.7542,15600,5.7542
2024-05-31,5.7728,5.817,5.7374,5.764,13800,5.764
2024-06-03,5.7109,5.9231,5.7109,5.8347,28100,5.8347
2024-06-04,5.9142,6.0822,5.8082,6.0557,38500,6.0557
2024-06-05,6.0557,6.0999,5.9372,6.0026,17700,6.0026
2024-06-06,5.8966,6.0999,5.8966,6.0999,19400,6.0999
2024-06-07,6.0026,6.0999,5.8877,5.9496,95900,5.9496
2024-06-10,5.8966,6.3651,5.7816,6.1618,69500,6.1618
2024-06-11,6.0999,6.4093,6.0999,6.1706,25600,6.1706
2024-06-12,6.2281,6.2281,5.8966,5.9584,57300,5.9584
2024-06-13,6.0115,6.0468,5.649,5.649,65300,5.649
2024-06-14,5.5783,5.7348,5.3131,5.4369,59100,5.4369
2024-06-17,5.5871,5.5871,5.3308,5.3927,71500,5.3927
2024-06-18,5.4369,5.5606,5.3927,5.3927,23800,5.3927
2024-06-20,5.4369,5.5164,5.3546,5.5164,42200,5.5164
2024-06-21,5.5783,5.5783,5.4457,5.4598,12300,5.4598
2024-06-24,5.428,5.4545,5.4015,5.4103,6500,5.4103
2024-06-25,5.4811,5.5518,5.4457,5.5076,9000,5.5076
2024-06-26,5.5429,5.7198,5.4457,5.5253,47800,5.5253
2024-06-27,5.5076,5.6004,5.4634,5.5076,10700,5.5076
2024-06-28,5.5783,5.6137,5.4563,5.4634,26200,5.4634
2024-07-01,5.4103,5.5606,5.4103,5.4722,24200,5.4722
2024-07-02,5.5429,5.7286,5.4457,5.5695,22000,5.5695
2024-07-03,5.6313,5.6402,5.4722,5.5076,38000,5.5076
2024-07-05,5.6048,5.6048,5.4192,5.5606,88400,5.5606
2024-07-08,5.5606,5.5606,5.4369,5.5253,20600,5.5253
2024-07-09,5.5164,5.5164,5.4457,5.4457,13500,5.4457
2024-07-10,5.4987,5.5695,5.4457,5.5695,51800,5.5695
2024-07-11,5.4103,5.5871,5.4103,5.4634,28800,5.4634
2024-07-12,5.5164,5.6181,5.4545,5.5518,42300,5.5518
2024-07-15,5.5253,5.6667,5.4811,5.6667,25600,5.6667
2024-07-16,5.6225,5.6225,5.4899,5.5076,36400,5.5076
2024-07-17,5.4811,5.5429,5.4811,5.4811,16500,5.4811
2024-07-18,5.4634,5.5429,5.1716,5.1716,44100,5.1716
