date,open,high,low,close,volume,adj_close
2024-05-20,25.8294,28.0551,25.8294,27.4645,13800,27.4645
2024-05-21,27.4645,27.6488,27.2896,27.5779,2300,27.5779
2024-05-22,27.3284,27.4172,26.9447,27.4078,2400,27.4078
2024-05-23,27.4267,27.8803,27.4172,27.4267,3400,27.4267
2024-05-24,27.4645,28.3623,27.4645,27.8425,6000,27.8425
2024-05-28,27.7858,27.8803,27.3038,27.3038,4100,27.3038
2024-05-29,27.6157,27.8557,27.4078,27.4078,1800,27.4078
2024-05-30,27.1998,27.7877,27.1998,27.5164,1900,27.5164
2024-05-31,27.1526,27.162,27.1526,27.162,1100,27.162
2024-06-03,27.2282,27.8898,27.0297,27.8898,3400,27.8898
2024-06-04,27.7858,27.8803,27.0297,27.455,7200,27.455
2024-06-05,27.4078,27.8898,27.4078,27.8898,1500,27.8898
2024-06-06,27.5259,28.2772,27.2187,27.8803,4700,27.8803
2024-06-07,27.8803,27.8803,27.1715,27.4078,12000,27.4078
2024-06-10,27.9559,28.2772,27.3038,28.1166,10400,28.1166
2024-06-11,28.0221,30.3754,27.7858,30.243,25600,30.243
2024-06-12,30.7439,35.0725,30.7439,34.3164,20100,34.3164
2024-06-13,34.4015,34.7767,31.1881,33.7163,16400,33.7163
2024-06-14,33.5036,33.5622,30.7628,30.7628,6900,30.7628
2024-06-17,30.7628,31.311,27.4078,27.4267,20100,27.4267
2024-06-18,29.9312,32.5018,28.7498,30.6494,37400,30.6494
2024-06-20,30.725,31.4433,29.7705,30.3659,19200,30.3659
2024-06-21,30.2619,31.6531,30.2619,31.0936,7900,31.0936
2024-06-24,31.4906,31.9064,29.6004,30.0729,14500,30.0729
2024-06-25,29.7327,30.9613,29.7327,29.8745,4900,29.8745
2024-06-26,30.2147,31.7363,30.2147,30.6778,8600,30.6778
2024-06-27,30.3848,31.2448,24.3834,26.4627,50500,26.4627
2024-06-28,27.2943,28.3339,26.5666,27.6913,11800,27.6913
2024-07-01,27.6913,28.1166,27.6913,28.0315,9300,28.0315
2024-07-02,28.2394,30.415,28.0977,28.9294,20800,28.9294
2024-07-03,28.6836,30.8006,28.1922,29.0617,13300,29.0617
2024-07-05,30.2336,31.6607,30.2336,30.6494,6200,30.6494
2024-07-08,30.2336,31.1881,30.2336,31.018,4600,31.018
2024-07-09,30.6116,31.1787,29.5248,30.3375,4500,30.3375
2024-07-10,29.9312,30.4604,28.8065,28.8537,14200,28.8537
2024-07-11,29.0239,31.415,28.8679,30.9764,14200,30.9764
2024-07-12,30.9046,31.1881,30.243,30.933,13900,30.933
2024-07-15,30.4982,32.0765,29.4822,30.2052,42000,30.2052
2024-07-16,31.3204,31.3204,29.7705,31.2732,13500,31.2732
2024-07-17,30.4415,32.155,30.2997,32.1332,29000,32.1332
2024-07-18,31.5189,32.1332,31.4168,32.1332,13300,32.1332
2024-07-19,32.1332,33.9951,31.2354,32.3412,24500,32.3412
2024-07-22,33.5509,35.8664,32.5113,33.6076,39700,33.6076
2024-07-23,33.2768,34.7795,32.9649,33.3855,19200,33.3855
2024-07-24,31.4433,32.2277,29.005,29.2838,40400,29.2838
2024-07-25,29.8366,30.5029,26.5005,27.2187,74500,27.2187
2024-07-26,29.9595,34.014,29.865,32.8326,117800,32.8326
2024-07-29,32.5869,33.2721,31.8497,33.0689,41100,33.0689
2024-07-30,32.8137,34.1841,32.7948,33.4233,18500,33.4233
2024-07-31,34.9496,38.626,34.014,36.8398,53300,36.8398
2024-08-01,36.6035,37.87,33.5414,36.2255,30400,36.2255
2024-08-02,35.2237,35.7492,33.8174,34.3826,20200,34.3826
2024-08-05,33.5036,34.0234,32.5113,33.4469,38400,33.4469
2024-08-06,34.0234,34.5054,32.8468,33.6359,27900,33.6359
2024-08-07,34.392,36.4334,34.3637,34.5054,19200,34.5054
2024-08-08,33.999,35.9858,33.5997,34.9826,14900,34.9826
2024-08-09,34.5054,35.0508,32.7524,34.3301,4500,34.3301
2024-08-12,34.856,35.3722,30.7656,33.9795,84800,33.9795
2024-08-13,34.9924,36.0052,34.0282,35.3722,27200,35.3722
2024-08-14,35.7423,35.7812,34.671,35.4014,41800,35.4014
2024-08-15,35.0995,36.911,35.0995,36.911,18900,36.911
2024-08-16,36.3851,36.911,35.7228,36.8136,16900,36.8136
2024-08-19,36.9012,36.9012,34.5639,35.2553,12300,35.2553
2024-08-20,35.752,36.3266,34.0964,34.5444,13000,34.5444
2024-08-21,34.8073,37.6024,34.5989,37.4953,79100,37.4953
2024-08-22,37.3492,37.4953,36.9012,37.0181,6700,37.0181
2024-08-23,37.4856,37.4856,33.1127,35.7228,181400,35.7228
2024-08-26,35.1579,35.4696,34.4957,35.0995,13800,35.0995
2024-08-27,34.7099,35.6157,34.3769,35.6157,13300,35.6157
2024-08-28,35.7228,36.8623,35.3819,36.8623,8900,36.8623
2024-08-29,36.6967,37.7096,36.2292,36.2292,14000,36.2292
2024-08-30,37.4661,37.4661,35.6254,37.2908,13000,37.2908
2024-09-03,36.911,36.911,34.8755,35.976,9300,35.976
2024-09-04,35.9273,36.8136,33.1225,34.0866,24800,34.0866
2024-09-05,35.9468,36.3266,34.2619,35.6449,26000,35.6449
2024-09-06,36.1708,38.0602,35.6644,37.4076,16000,37.4076
2024-09-09,37.0084,37.4953,36.0792,37.0084,20800,37.0084
2024-09-10,36.6665,37.2031,36.6665,36.9012,9000,36.9012
2024-09-11,36.7941,36.7941,35.5767,36.3266,6100,36.3266
2024-09-12,36.5701,37.057,35.2612,36.9694,26600,36.9694
2024-09-13,36.9694,37.692,35.9858,37.1155,58300,37.1155
2024-09-16,36.7162,38.8003,36.3753,38.5861,20700,38.5861
2024-09-17,38.4692,41.8584,37.4466,40.1541,47100,40.1541
2024-09-18,40.0275,42.6521,37.3979,37.7485,37300,37.7485
2024-09-19,38.6445,39.4431,37.8849,39.3457,16400,39.3457
2024-09-20,39.1996,40.0761,38.6932,38.9756,39900,38.9756
2024-09-23,39.1996,39.7158,37.7631,39.0049,42800,39.0049
2024-09-24,39.6769,40.5047,39.336,39.4918,6900,39.4918
2024-09-25,38.9562,40.8933,38.9464,39.8229,34900,39.8229
2024-09-26,39.6866,40.417,39.4431,39.784,10700,39.784
2024-09-27,39.8327,39.8327,39.1802,39.8327,8600,39.8327
2024-09-30,39.8327,39.8327,37.505,38.5958,18400,38.5958
2024-10-01,38.6542,38.6542,34.5833,36.0344,45100,36.0344
2024-10-02,36.7649,39.1256,36.7649,38.4692,13100,38.4692
2024-10-03,37.6901,38.4595,36.0344,37.5177,22900,37.5177
2024-10-04,37.6998,38.6056,36.1416,38.4692,24800,38.4692
2024-10-07,38.2452,38.7127,36.687,37.9725,47500,37.9725
2024-10-08,37.9823,38.2647,37.2226,38.177,22600,38.177
2024-10-09,38.5666,38.9562,37.2031,38.7614,15200,38.7614
2024-10-10,38.9562,39.4431,38.3621,38.6153,32700,38.6153
2024-10-11,38.9562,42.9784,38.8782,42.5596,66400,42.5596
2024-10-14,42.0921,44.7898,40.904,44.3126,124900,44.3126
2024-10-15,42.8518,43.8257,37.3979,37.3979,97200,37.3979
2024-10-16,38.9269,39.7742,37.4174,37.9238,339300,37.9238
2024-10-17,38.5861,39.297,37.7388,38.9172,31300,38.9172
2024-10-18,39.4528,39.6379,37.9823,38.9562,25700,38.9562
2024-10-21,38.7224,39.3749,37.9336,38.2257,18300,38.2257
2024-10-22,38.4108,38.6835,37.8216,38.2939,10200,38.2939
2024-10-23,38.6737,38.6737,37.3132,37.7388,15600,37.7388
2024-10-24,38.0699,38.7555,37.4427,37.6511,8800,37.6511
2024-10-25,38.0504,39.4431,37.8167,38.8782,28100,38.8782
2024-10-28,39.3555,39.5775,37.9823,38.7906,21100,38.7906
2024-10-29,38.9562,40.2222,38.4673,39.969,29500,39.969
2024-10-30,40.2125,40.5047,39.0049,39.9301,27900,39.9301
2024-10-31,39.8814,40.3196,37.505,38.9562,41400,38.9562
2024-11-01,39.5405,39.5405,37.2908,37.2908,19800,37.2908
2024-11-04,38.3621,39.297,37.5635,39.297,18400,39.297
2024-11-05,39.6184,39.6379,38.8101,39.073,14500,39.073
2024-11-06,40.2222,40.417,39.1509,39.8035,35800,39.8035
2024-11-07,39.2288,39.9301,37.6511,38.5276,37500,38.5276
2024-11-08,38.7224,41.2351,37.7622,40.5339,35900,40.5339
2024-11-11,41.0793,41.0793,37.7972,39.8521,39000,39.8521
2024-11-12,39.5405,39.5405,38.216,38.8977,36900,38.8977
2024-11-13,39.0925,41.6831,38.1576,41.2935,48000,41.2935
2024-11-14,40.6605,40.6605,36.0442,37.1447,63100,37.1447
2024-11-15,37.2518,38.8149,37.2518,38.5666,46700,38.5666
2024-11-18,38.5666,39.1996,38.0991,38.7419,16600,38.7419
2024-11-19,39.073,39.4431,38.5004,39.4334,16800,39.4334
2024-11-20,39.4334,39.4334,38.3816,38.7516,12800,38.7516
2024-11-21,38.8588,39.8814,38.3962,39.4528,12100,39.4528
2024-11-22,39.8424,40.2709,38.7224,40.2709,79500,40.2709
2024-11-25,40.8358,40.8358,39.3165,40.1248,38500,40.1248
2024-11-26,39.9398,40.2612,39.0049,40.0372,20700,40.0372
