date,open,high,low,close,volume,adj_close
2026-06-22 00:00:00,10.0,10.0,9.88,9.92,24100,9.92
2026-06-23 00:00:00,9.88,9.89,9.88,9.88,9300,9.88
2026-06-24 00:00:00,9.89,9.89,9.87,9.87,382100,9.87
2026-06-25 00:00:00,9.88,9.88,9.86,9.87,110000,9.87
2026-06-26 00:00:00,9.87,9.87,9.86,9.86,2600,9.86
2026-06-29 00:00:00,9.88,9.88,9.86,9.86,109000,9.86
2026-06-30 00:00:00,9.86,9.87,9.86,9.86,839500,9.86
2026-07-01 00:00:00,9.86,9.88,9.86,9.88,179700,9.88
2026-07-02 00:00:00,9.86,9.88,9.86,9.88,1000,9.88
2026-07-06 00:00:00,9.9,9.9,9.87,9.88,1200,9.88
2026-07-07 00:00:00,9.86,9.89,9.86,9.87,1500,9.87
2026-07-08 00:00:00,9.86,9.87,9.86,9.87,1137500,9.87
2026-07-09 00:00:00,9.84,9.9,9.84,9.9,63400,9.9
2026-07-10 00:00:00,9.87,9.87,9.85,9.87,87200,9.87
2026-07-13 00:00:00,9.87,9.87,9.87,9.87,700,9.87
2026-07-14 00:00:00,9.86,9.88,9.86,9.87,1400,9.87
2026-07-15 00:00:00,9.86,9.86,9.86,9.86,100,9.86
2026-07-16 00:00:00,9.86,9.86,9.86,9.86,1800,9.86
2026-07-17 00:00:00,9.86,9.86,9.86,9.86,0,9.86
2026-07-20 00:00:00,9.86,9.88,9.85,9.87,6100,9.87
2026-07-21 00:00:00,9.87,9.87,9.87,9.87,0,9.87
2026-07-22 00:00:00,9.87,9.87,9.87,9.87,0,9.87
2026-07-23 00:00:00,9.87,9.87,9.87,9.87,0,9.87
2026-07-24 00:00:00,9.85,9.88,9.85,9.86,2200,9.86
2026-07-27 00:00:00,9.86,9.86,9.86,9.86,700,9.86
2026-07-28 00:00:00,9.86,9.86,9.85,9.85,2500,9.85
2026-07-29 00:00:00,9.87,9.87,9.85,9.85,2500,9.85
2026-07-30 00:00:00,9.88,9.88,9.88,9.88,100,9.88
2026-07-31 00:00:00,9.84,9.88,9.84,9.86,1200,9.86
2026-08-03 00:00:00,9.86,9.86,9.86,9.86,0,9.86
2026-08-04 00:00:00,9.87,9.87,9.87,9.87,5000,9.87
2026-08-05 00:00:00,9.87,9.87,9.87,9.87,0,9.87
2026-08-06 00:00:00,9.88,9.88,9.84,9.85,28900,9.85
