date,open,high,low,close,volume,adj_close
2024-05-20,15.11,15.21,14.81,14.83,207100,14.83
2024-05-21,14.83,14.9,14.56,14.8,315200,14.8
2024-05-22,14.78,15.04,14.66,14.67,169700,14.67
2024-05-23,14.7,14.7,14.26,14.49,369000,14.49
2024-05-24,14.56,14.56,14.13,14.41,232200,14.41
2024-05-28,14.59,14.79,14.41,14.47,204500,14.47
2024-05-29,14.25,14.36,14.18,14.19,291900,14.19
2024-05-30,14.29,14.61,14.09,14.14,316200,14.14
2024-05-31,14.19,14.31,13.82,14.22,451800,14.22
2024-06-03,14.09,14.565,13.89,14.35,262800,14.35
2024-06-04,14.31,14.31,13.884,13.92,181900,13.92
2024-06-05,13.95,14.715,13.95,14.69,118800,14.69
2024-06-06,14.66,15.66,14.58,15.53,259700,15.53
2024-06-07,15.27,15.37,14.829,14.9,152800,14.9
2024-06-10,14.75,15.4,14.7,15.38,206100,15.38
2024-06-11,15.19,15.415,14.84,15.35,275600,15.35
2024-06-12,15.93,16.05,15.28,15.54,252400,15.54
2024-06-13,15.49,15.62,15.09,15.57,172300,15.57
2024-06-14,15.36,15.36,14.83,15.14,190500,15.14
2024-06-17,15.0,15.21,14.805,14.96,194800,14.96
2024-06-18,14.84,14.84,14.24,14.31,135500,14.31
2024-06-20,14.17,14.46,14.02,14.4,169800,14.4
2024-06-21,14.39,14.72,14.39,14.57,251800,14.57
2024-06-24,14.64,14.81,14.447,14.6,126200,14.6
2024-06-25,14.55,14.55,14.04,14.07,111800,14.07
2024-06-26,14.01,14.37,13.91,14.0,187100,14.0
2024-06-27,14.01,14.63,14.01,14.6,232300,14.6
2024-06-28,14.74,14.81,14.43,14.64,268500,14.64
2024-07-01,14.58,14.68,14.465,14.57,132000,14.57
2024-07-02,14.59,14.75,14.27,14.67,459000,14.67
2024-07-03,14.71,15.005,14.6,14.86,76600,14.86
2024-07-05,14.86,14.87,14.528,14.84,148600,14.84
2024-07-08,14.91,15.59,14.8,15.58,128100,15.58
2024-07-09,15.53,15.53,14.95,15.2,256300,15.2
2024-07-10,15.22,15.22,14.465,14.77,115700,14.77
2024-07-11,15.34,15.53,14.738,15.25,186900,15.25
2024-07-12,15.35,15.585,15.27,15.36,166200,15.36
2024-07-15,15.45,16.27,15.26,15.87,126700,15.87
2024-07-16,16.01,16.35,15.73,16.21,218400,16.21
2024-07-17,16.09,16.3,15.46,15.49,98900,15.49
2024-07-18,15.43,16.21,15.28,15.46,226700,15.46
2024-07-19,15.41,15.6,15.15,15.26,109200,15.26
2024-07-22,15.4,15.53,14.98,15.18,78700,15.18
2024-07-23,15.07,15.455,15.05,15.24,112800,15.24
2024-07-24,15.11,15.29,14.87,15.07,170400,15.07
2024-07-25,15.08,15.8,14.93,15.3,203600,15.3
2024-07-26,15.61,16.39,15.48,16.2,192600,16.2
2024-07-29,16.18,16.34,15.545,15.68,225200,15.68
2024-07-30,15.8,15.92,15.34,15.68,151900,15.68
2024-07-31,15.77,16.05,15.51,15.65,226600,15.65
2024-08-01,15.6,16.05,15.097,15.48,366400,15.48
2024-08-02,15.01,15.22,14.51,14.71,237400,14.71
2024-08-05,13.91,14.33,13.59,14.04,182200,14.04
2024-08-06,14.11,14.54,13.912,14.31,185300,14.31
2024-08-07,14.86,17.22,14.86,17.21,457200,17.21
2024-08-08,17.18,17.38,16.798,17.21,905700,17.21
2024-08-09,17.12,17.12,16.72,16.94,177200,16.94
2024-08-12,16.85,17.16,16.44,16.48,176100,16.48
2024-08-13,16.48,17.1,16.12,16.92,238900,16.92
2024-08-14,16.88,17.16,16.4,16.66,178100,16.66
2024-08-15,16.92,17.5,16.84,17.42,146600,17.42
2024-08-16,17.4,18.07,17.369,17.93,200400,17.93
2024-08-19,17.99,19.94,17.99,19.9,427100,19.9
2024-08-20,19.92,20.369,19.69,20.32,349800,20.32
2024-08-21,20.39,20.55,19.91,20.48,382800,20.48
2024-08-22,20.65,20.75,19.6,19.65,169600,19.65
2024-08-23,20.13,20.595,19.91,20.08,397700,20.08
2024-08-26,20.12,20.33,19.5,19.5,154100,19.5
2024-08-27,19.32,19.85,18.94,19.73,177700,19.73
2024-08-28,19.62,19.62,18.34,18.47,180300,18.47
2024-08-29,18.56,18.95,18.42,18.71,170800,18.71
2024-08-30,18.83,18.83,18.29,18.58,121400,18.58
2024-09-03,18.41,18.42,17.7,17.82,165200,17.82
2024-09-04,17.64,18.34,17.4,18.14,204000,18.14
2024-09-05,18.24,18.712,17.92,18.24,167500,18.24
2024-09-06,18.24,18.38,17.43,17.89,226300,17.89
2024-09-09,17.91,18.47,17.78,18.22,272100,18.22
2024-09-10,18.79,21.95,18.79,21.88,571400,21.88
2024-09-11,22.15,22.74,21.25,22.65,376600,22.65
2024-09-12,22.39,23.15,22.38,22.89,1158300,22.89
2024-09-13,23.64,24.075,22.89,23.0,460000,23.0
2024-09-16,23.3,23.43,22.68,22.71,384000,22.71
2024-09-17,22.81,23.78,22.7,23.68,389300,23.68
2024-09-18,23.56,24.335,23.43,23.85,329900,23.85
2024-09-19,24.5,24.88,24.125,24.26,359900,24.26
2024-09-20,24.05,24.49,24.05,24.21,456300,24.21
2024-09-23,24.26,24.47,23.152,23.92,293800,23.92
2024-09-24,23.98,24.88,23.22,24.74,400700,24.74
2024-09-25,24.73,24.87,24.12,24.87,1280700,24.87
2024-09-26,25.0,25.36,24.03,25.18,1044500,25.18
2024-09-27,25.57,26.51,25.05,26.45,682900,26.45
2024-09-30,26.28,26.565,25.45,25.835,481700,25.835
2024-10-01,25.72,26.2,25.04,25.28,1021500,25.28
2024-10-02,25.21,25.83,25.12,25.68,362600,25.68
2024-10-03,25.5,25.85,25.196,25.84,589400,25.84
2024-10-04,26.01,26.64,25.84,26.31,559800,26.31
2024-10-07,26.21,26.21,24.48,25.08,964700,25.08
2024-10-08,25.2,25.235,24.15,24.31,709000,24.31
2024-10-09,24.1,24.355,23.59,23.8,400100,23.8
2024-10-10,23.46,24.52,23.13,24.48,553400,24.48
2024-10-11,24.46,25.12,24.24,24.24,331000,24.24
2024-10-14,24.27,25.0,23.6,24.01,166600,24.01
2024-10-15,24.01,24.69,23.878,24.54,326500,24.54
2024-10-16,24.61,24.99,24.09,24.91,208600,24.91
