date,open,high,low,close,volume,adj_close
2024-05-20,12.2362,12.4514,12.1146,12.1333,217300,12.1333
2024-05-21,12.1333,12.4421,12.1333,12.414,177900,12.414
2024-05-22,12.2737,12.3204,12.0959,12.2269,151900,12.2269
2024-05-23,12.2643,12.2643,11.8153,11.9556,174200,11.9556
2024-05-24,12.124,12.1333,12.0398,12.0772,93900,12.0772
2024-05-28,12.3204,13.3588,12.2456,13.2559,467400,13.2559
2024-05-29,13.0221,13.1717,12.9379,13.0875,192500,13.0875
2024-05-30,13.0969,13.5459,13.0969,13.4804,234600,13.4804
2024-05-31,13.4898,13.5646,13.0127,13.2934,194000,13.2934
2024-06-03,13.4992,13.5179,12.6479,13.0408,214400,13.0408
2024-06-04,12.9379,12.9659,12.573,12.8817,188800,12.8817
2024-06-05,12.9098,13.125,12.7882,13.0688,150100,13.0688
2024-06-06,12.9846,13.1063,12.863,12.9566,147600,12.9566
2024-06-07,12.835,12.8537,12.4421,12.4888,189300,12.4888
2024-06-10,12.4793,12.9254,12.3465,12.8494,157400,12.8494
2024-06-11,12.6881,12.8684,12.6312,12.7545,209900,12.7545
2024-06-12,13.1152,13.3999,12.9538,13.229,267500,13.229
2024-06-13,13.1721,13.6371,13.1436,13.5612,279800,13.5612
2024-06-14,13.3904,13.5422,12.8969,12.9728,261500,12.9728
2024-06-17,12.8874,12.9443,12.5363,12.7545,163300,12.7545
2024-06-18,12.8115,12.9538,12.6596,12.6786,132700,12.6786
2024-06-20,12.6312,13.2006,12.4983,12.5268,281500,12.5268
2024-06-21,12.4414,12.5647,12.2516,12.4698,304600,12.4698
2024-06-24,12.5458,12.7261,12.4224,12.4414,121200,12.4414
2024-06-25,12.4604,12.5837,12.0808,12.0902,127700,12.0902
2024-06-26,12.0902,12.1662,11.9574,12.1282,207000,12.1282
2024-06-27,12.2516,12.3275,11.815,11.891,210300,11.891
2024-06-28,12.0143,12.2231,11.6917,11.9099,386900,11.9099
2024-07-01,11.9099,12.0048,11.6063,11.7866,209400,11.7866
2024-07-02,11.7676,12.0143,11.7201,11.9764,108000,11.9764
2024-07-03,12.0238,12.5458,12.0238,12.2326,162800,12.2326
2024-07-05,12.2041,12.2041,11.834,11.9574,140900,11.9574
2024-07-08,12.0143,12.1472,11.9384,12.0902,178000,12.0902
2024-07-09,12.0902,12.0902,11.6347,11.6917,333800,11.6917
2024-07-10,11.7961,11.9194,11.6347,11.834,293800,11.834
2024-07-11,12.0997,12.3844,11.9859,12.0333,346900,12.0333
2024-07-12,12.2231,12.4793,12.1757,12.4129,198600,12.4129
2024-07-15,12.4129,12.7071,12.3465,12.3655,210500,12.3655
2024-07-16,12.4983,12.9823,12.4414,12.9443,237200,12.9443
2024-07-17,12.8779,13.0677,9.6323,10.477,1324800,10.477
2024-07-18,10.382,10.4675,9.4615,10.458,1027500,10.458
2024-07-19,10.5813,10.6857,10.3915,10.5529,400100,10.5529
2024-07-22,10.6288,10.8186,10.5149,10.7901,345600,10.7901
2024-07-23,10.8186,11.35,10.7711,11.1697,386100,11.1697
2024-07-24,11.0369,11.4354,10.866,11.2172,393500,11.2172
2024-07-25,11.2077,11.2646,10.9609,11.1507,325200,11.1507
2024-07-26,11.2077,11.5778,10.9704,11.4354,403100,11.4354
2024-07-29,11.5208,11.7486,11.2456,11.4354,316200,11.4354
2024-07-30,11.4544,11.6063,11.1887,11.3785,272200,11.3785
2024-07-31,11.4829,11.6632,11.3121,11.35,361600,11.35
2024-08-01,11.3121,11.872,10.8471,11.0938,343400,11.0938
2024-08-02,10.439,10.866,9.8506,10.2871,362500,10.2871
2024-08-05,9.6893,9.9076,9.4331,9.7652,285100,9.7652
2024-08-06,9.7178,10.1922,9.7178,9.993,310300,9.993
2024-08-07,10.1733,10.2112,9.5659,9.6703,357800,9.6703
2024-08-08,9.8696,10.1638,9.7083,10.0404,204500,10.0404
2024-08-09,9.974,10.1543,9.936,10.0214,198800,10.0214
2024-08-12,10.1353,10.3441,10.0784,10.2302,169300,10.2302
2024-08-13,10.2682,10.3156,10.1068,10.2017,156800,10.2017
2024-08-14,10.2112,10.3156,10.0594,10.2397,156200,10.2397
2024-08-15,10.3726,10.942,10.3726,10.9135,274500,10.9135
2024-08-16,10.923,11.0179,10.6383,10.7522,246300,10.7522
2024-08-19,10.8945,10.942,10.7522,10.8471,159300,10.8471
2024-08-20,10.8091,10.8186,10.5624,10.7047,228800,10.7047
2024-08-21,10.8471,10.9135,10.6952,10.8565,124800,10.8565
2024-08-22,10.8945,10.9514,10.6762,10.7616,163900,10.7616
2024-08-23,10.923,11.2172,10.885,11.1697,231600,11.1697
2024-08-26,11.2741,11.5209,11.1887,11.2077,224100,11.2077
2024-08-27,11.1223,11.1223,10.8755,10.9135,128000,10.9135
2024-08-28,10.8565,10.9609,10.7806,10.8091,147600,10.8091
2024-08-29,10.866,10.9514,10.7427,10.8281,165000,10.8281
2024-08-30,10.942,11.1223,10.8565,10.9704,209400,10.9704
2024-09-03,10.7522,10.942,10.42,10.4864,180600,10.4864
2024-09-04,10.5149,10.7522,10.4485,10.6762,224200,10.6762
2024-09-05,10.7427,10.8281,10.5339,10.6003,273800,10.6003
2024-09-06,10.5527,10.7338,10.2381,10.3048,219400,10.3048
2024-09-09,10.3048,10.3906,10.1809,10.1904,169900,10.1904
2024-09-10,10.1618,10.1713,9.914,10.0284,268000,10.0284
2024-09-11,10.0093,10.1904,9.8949,10.1428,219400,10.1428
2024-09-12,10.219,10.2762,10.0188,10.1332,181900,10.1332
2024-09-13,10.2953,10.7052,10.2476,10.6956,208500,10.6956
2024-09-16,10.7242,10.8005,10.5145,10.7052,192200,10.7052
2024-09-17,10.8005,10.9435,10.7052,10.8672,146900,10.8672
2024-09-18,10.8958,11.1341,10.6289,10.6384,164900,10.6384
2024-09-19,10.9626,11.1151,10.81,10.8958,111100,10.8958
2024-09-20,10.81,10.8958,10.5908,10.8005,228000,10.8005
2024-09-23,10.81,10.9721,10.7052,10.9149,147200,10.9149
2024-09-24,10.9626,11.5345,10.7624,11.4487,161700,11.4487
2024-09-25,11.5536,11.5536,11.2962,11.4392,159200,11.4392
2024-09-26,11.5345,11.973,11.3915,11.8396,195500,11.8396
2024-09-27,12.0207,12.0874,11.7919,11.8682,167300,11.8682
2024-09-30,11.8968,11.9349,11.7347,11.8682,133300,11.8682
2024-10-01,11.8491,11.8777,11.6489,11.7252,200400,11.7252
2024-10-02,11.7156,11.8491,11.5631,11.5822,118300,11.5822
2024-10-03,11.4297,11.4487,11.2771,11.3534,100000,11.3534
2024-10-04,11.5631,11.6203,11.3534,11.5059,97600,11.5059
2024-10-07,11.4297,11.4869,11.2676,11.4106,106500,11.4106
2024-10-08,11.4011,11.4011,11.1627,11.3057,74100,11.3057
2024-10-09,11.239,11.382,11.1818,11.2867,89800,11.2867
2024-10-10,11.2104,11.5631,11.0865,11.5345,127900,11.5345
2024-10-11,11.5345,11.6489,11.5155,11.6108,80500,11.6108
2024-10-14,11.4964,11.6298,11.4392,11.5822,134800,11.5822
2024-10-15,11.5631,11.6108,11.4392,11.4583,129900,11.4583
2024-10-16,11.5727,11.7633,11.5441,11.7538,179500,11.7538
2024-10-17,11.7538,11.8014,11.6298,11.7728,94400,11.7728
2024-10-18,11.7919,11.7919,11.4869,11.5345,105100,11.5345
2024-10-21,11.6108,11.6108,11.2104,11.2771,127700,11.2771
2024-10-22,11.2104,11.2676,11.0484,11.1818,86400,11.1818
2024-10-23,11.0579,11.3725,11.0579,11.3343,149000,11.3343
2024-10-24,11.3629,11.3629,11.0865,11.1532,70200,11.1532
2024-10-25,11.1532,11.2009,11.0484,11.1055,103700,11.1055
2024-10-28,11.1341,11.2581,11.0293,11.0484,131800,11.0484
2024-10-29,10.9626,11.0674,10.81,10.8482,85900,10.8482
2024-10-30,10.7814,11.1437,10.7814,11.0102,127000,11.0102
2024-10-31,11.0007,11.1532,10.8672,11.0007,93400,11.0007
2024-11-01,11.0388,11.1151,10.9721,10.9816,152500,10.9816
2024-11-04,10.9912,11.4678,10.9912,11.2104,122600,11.2104
2024-11-05,11.0007,11.3915,11.0007,11.3439,112000,11.3439
2024-11-06,11.9063,12.3734,11.6584,12.3543,305100,12.3543
2024-11-07,12.2971,12.3162,11.4678,11.8682,326600,11.8682
