date,open,high,low,close,volume,adj_close
2024-05-20,111.69,112.614,103.23,103.85,133700,103.85
2024-05-21,102.41,103.02,97.905,99.37,175900,99.37
2024-05-22,100.36,100.5,96.56,97.0,135500,97.0
2024-05-23,97.56,97.56,94.39,95.24,111500,95.24
2024-05-24,96.37,98.09,94.83,96.09,73900,96.09
2024-05-28,97.01,97.96,96.11,97.01,102600,97.01
2024-05-29,96.09,99.92,95.16,98.63,80800,98.63
2024-05-30,98.33,100.6,97.501,99.51,90500,99.51
2024-05-31,100.08,101.045,96.93,99.91,96600,99.91
2024-06-03,100.01,100.01,95.59,97.03,144200,97.03
2024-06-04,96.5,97.73,96.114,97.3,66300,97.3
2024-06-05,98.21,103.62,96.51,100.62,98000,100.62
2024-06-06,100.03,100.05,93.92,94.19,108200,94.19
2024-06-07,92.65,94.66,87.83,87.84,439000,87.84
2024-06-10,87.35,91.06,87.35,89.4,268600,89.4
2024-06-11,88.97,89.0,83.15,83.26,210500,83.26
2024-06-12,85.0,86.78,83.96,85.42,111100,85.42
2024-06-13,85.88,85.88,81.13,82.71,176300,82.71
2024-06-14,82.47,82.95,80.42,82.7,161400,82.7
2024-06-17,82.83,84.24,80.22,83.46,129600,83.46
2024-06-18,83.66,89.25,83.66,86.78,164100,86.78
2024-06-20,87.31,90.92,86.9,88.24,158700,88.24
2024-06-21,88.02,90.02,85.14,88.03,201200,88.03
2024-06-24,87.6,87.6,85.02,86.21,119300,86.21
2024-06-25,86.0,86.88,82.97,83.39,154800,83.39
2024-06-26,83.41,83.88,81.7,83.82,116900,83.82
2024-06-27,83.95,84.11,80.969,82.39,132500,82.39
2024-06-28,68.52,68.95,60.19,63.09,1426100,63.09
2024-07-01,63.45,63.8,60.232,60.4,332100,60.4
2024-07-02,60.66,62.69,60.25,61.18,253500,61.18
2024-07-03,61.61,61.985,60.05,60.61,156900,60.61
2024-07-05,61.0,61.08,58.1,59.13,177200,59.13
2024-07-08,60.04,62.28,58.96,61.96,293400,61.96
2024-07-09,62.0,62.42,57.5,58.47,397100,58.47
2024-07-10,56.03,56.76,49.01,49.07,1007100,49.07
2024-07-11,50.23,56.64,50.12,55.03,539100,55.03
2024-07-12,56.43,58.17,54.65,54.78,246500,54.78
2024-07-15,54.21,55.175,53.065,53.12,169200,53.12
2024-07-16,53.91,58.6,53.5,57.6,280800,57.6
2024-07-17,57.31,57.52,52.52,53.17,285600,53.17
2024-07-18,53.17,54.8,50.51,52.15,331400,52.15
2024-07-19,51.78,53.35,51.7,52.53,165800,52.53
2024-07-22,52.53,53.38,51.495,52.62,144700,52.62
2024-07-23,52.52,55.39,52.02,53.95,159000,53.95
2024-07-24,53.46,53.94,51.75,52.21,275300,52.21
2024-07-25,52.07,54.2,51.58,52.83,168600,52.83
2024-07-26,54.1,55.2,53.555,54.61,181500,54.61
2024-07-29,55.11,57.33,54.2,55.8,210000,55.8
2024-07-30,56.47,57.45,55.55,55.57,164300,55.57
2024-07-31,56.5,59.59,56.031,57.49,150200,57.49
2024-08-01,57.7,60.09,54.744,55.55,272700,55.55
2024-08-02,53.3,54.655,52.0,53.885,239900,53.885
2024-08-05,49.5,52.34,48.66,48.79,236300,48.79
2024-08-06,50.05,54.48,49.01,53.48,216000,53.48
2024-08-07,54.73,57.88,53.0,53.79,269800,53.79
2024-08-08,54.88,58.75,53.46,57.98,276200,57.98
2024-08-09,57.87,58.27,56.62,57.66,112000,57.66
2024-08-12,57.99,60.54,57.15,58.67,173900,58.67
2024-08-13,58.68,60.75,57.759,60.27,138500,60.27
2024-08-14,60.7,61.18,58.3,58.69,128600,58.69
2024-08-15,59.85,65.29,59.25,65.27,229200,65.27
2024-08-16,64.93,65.225,62.81,62.97,357000,62.97
2024-08-19,63.3,63.3,59.0,61.62,271800,61.62
2024-08-20,62.09,62.199,59.1,61.43,164500,61.43
2024-08-21,61.8,64.93,61.8,64.92,101500,64.92
2024-08-22,64.94,65.245,63.03,63.61,78500,63.61
