date,open,high,low,close,volume,adj_close
2024-05-20,4.48,4.48,4.31,4.37,4507600,4.37
2024-05-21,4.37,4.41,4.23,4.25,4707900,4.25
2024-05-22,4.23,4.24,4.03,4.05,6326800,4.05
2024-05-23,4.06,4.06,3.68,3.8,17387300,3.8
2024-05-24,3.83,3.91,3.8,3.91,3941700,3.91
2024-05-28,3.74,3.91,3.605,3.63,7627200,3.63
2024-05-29,3.61,3.63,3.3,3.35,10457700,3.35
2024-05-30,3.36,3.47,3.31,3.36,5327900,3.36
2024-05-31,3.38,3.459,3.31,3.39,3049500,3.39
2024-06-03,3.4,3.44,3.25,3.29,4870500,3.29
2024-06-04,3.29,3.29,3.14,3.18,4334600,3.18
2024-06-05,3.18,3.25,3.12,3.17,4611600,3.17
2024-06-06,3.12,3.2,3.06,3.1,4600300,3.1
2024-06-07,3.01,3.095,2.98,3.04,5187600,3.04
2024-06-10,3.05,3.1,2.985,3.07,3069100,3.07
2024-06-11,3.01,3.04,2.91,2.98,4051800,2.98
2024-06-12,3.08,3.12,2.97,2.99,4558800,2.99
2024-06-13,3.0,3.01,2.9,2.93,3114900,2.93
2024-06-14,2.92,2.93,2.76,2.78,5496600,2.78
2024-06-17,2.78,2.83,2.73,2.8,3960600,2.8
2024-06-18,2.8,2.84,2.75,2.81,3332400,2.81
2024-06-20,2.8,2.89,2.71,2.84,5119800,2.84
2024-06-21,2.85,2.925,2.76,2.85,5034700,2.85
2024-06-24,2.85,2.875,2.74,2.76,3121700,2.76
2024-06-25,2.75,2.76,2.61,2.61,4798300,2.61
2024-06-26,2.64,2.75,2.618,2.71,6733200,2.71
2024-06-27,2.71,2.82,2.635,2.78,5259100,2.78
2024-06-28,2.83,2.85,2.66,2.68,3635100,2.68
2024-07-01,2.68,2.77,2.63,2.65,2753300,2.65
2024-07-02,2.65,2.715,2.51,2.53,4345200,2.53
2024-07-03,2.56,2.73,2.55,2.7,3184900,2.7
2024-07-05,2.74,2.74,2.61,2.65,2875900,2.65
2024-07-08,2.67,2.72,2.62,2.64,2720100,2.64
2024-07-09,2.64,2.64,2.49,2.54,4966700,2.54
2024-07-10,2.55,2.61,2.53,2.58,2982100,2.58
2024-07-11,2.64,2.71,2.59,2.71,3614900,2.71
2024-07-12,2.73,2.8,2.69,2.76,5219100,2.76
2024-07-15,2.79,2.96,2.68,2.9,6877100,2.9
2024-07-16,2.96,3.27,2.91,3.21,8986400,3.21
2024-07-17,3.19,3.23,2.97,3.04,5938000,3.04
2024-07-18,3.04,3.07,2.83,2.86,4285800,2.86
2024-07-19,2.88,2.89,2.77,2.84,2764000,2.84
2024-07-22,2.88,2.922,2.675,2.85,4444100,2.85
2024-07-23,2.83,2.83,2.74,2.83,2282500,2.83
2024-07-24,2.81,2.84,2.65,2.66,2828100,2.66
2024-07-25,2.65,2.775,2.57,2.73,3991500,2.73
2024-07-26,2.8,2.83,2.72,2.83,2912100,2.83
2024-07-29,2.84,2.85,2.62,2.71,3251200,2.71
2024-07-30,2.68,2.736,2.57,2.6,2992600,2.6
2024-07-31,2.63,2.79,2.628,2.71,3271500,2.71
2024-08-01,2.72,2.77,2.54,2.55,3409400,2.55
2024-08-02,2.51,2.53,2.38,2.4,4267500,2.4
2024-08-05,2.13,2.31,2.02,2.31,4220700,2.31
2024-08-06,2.31,2.38,2.22,2.29,2455500,2.29
2024-08-07,2.37,2.39,2.22,2.23,2444400,2.23
2024-08-08,2.26,2.31,2.23,2.28,2571300,2.28
2024-08-09,2.3,2.31,2.19,2.19,1996600,2.19
2024-08-12,2.21,2.24,2.13,2.13,2390900,2.13
2024-08-13,2.14,2.34,2.14,2.32,3263500,2.32
2024-08-14,2.31,2.35,2.18,2.21,2821300,2.21
2024-08-15,2.25,2.425,2.24,2.39,3620100,2.39
2024-08-16,2.36,2.6,2.36,2.57,5176600,2.57
2024-08-19,2.62,2.69,2.57,2.63,4064600,2.63
2024-08-20,2.65,2.7,2.475,2.52,2870200,2.52
2024-08-21,2.57,2.82,2.54,2.8,5610200,2.8
2024-08-22,2.8,2.85,2.63,2.64,3483900,2.64
2024-08-23,2.68,2.84,2.67,2.72,3534700,2.72
2024-08-26,2.78,2.79,2.69,2.76,2067800,2.76
2024-08-27,2.74,2.74,2.63,2.64,1905500,2.64
2024-08-28,2.63,2.64,2.48,2.54,3013700,2.54
2024-08-29,2.59,2.655,2.542,2.59,2005900,2.59
2024-08-30,2.61,2.65,2.41,2.45,4280300,2.45
2024-09-03,2.42,2.43,2.24,2.27,4526200,2.27
2024-09-04,2.27,2.43,2.27,2.36,2661400,2.36
2024-09-05,2.38,2.39,2.31,2.31,1566800,2.31
