date,open,high,low,close,volume,adj_close
2024-05-20,9.5,9.64,9.33,9.38,1181500,9.38
2024-05-21,9.34,9.47,9.25,9.31,690800,9.31
2024-05-22,9.28,9.39,9.205,9.29,733700,9.29
2024-05-23,9.29,9.32,8.93,8.98,914300,8.98
2024-05-24,9.06,9.12,9.01,9.02,463800,9.02
2024-05-28,9.07,9.14,8.95,9.01,607100,9.01
2024-05-29,8.81,8.93,8.74,8.74,749700,8.74
2024-05-30,8.86,8.89,8.725,8.85,969400,8.85
2024-05-31,8.88,9.02,8.73,8.92,822100,8.92
2024-06-03,8.95,8.96,8.56,8.59,764700,8.59
2024-06-04,8.5,8.51,8.17,8.2,1427100,8.2
2024-06-05,8.31,8.5,8.2,8.47,668900,8.47
2024-06-06,8.36,8.45,8.28,8.33,768700,8.33
2024-06-07,8.33,8.51,8.17,8.37,796100,8.37
2024-06-10,8.19,8.32,8.135,8.17,652100,8.17
2024-06-11,8.12,8.205,8.04,8.17,604700,8.17
2024-06-12,8.7,9.035,8.635,8.66,1553300,8.66
2024-06-13,8.61,8.73,8.38,8.47,2001400,8.47
2024-06-14,8.35,8.43,8.23,8.35,1334300,8.35
2024-06-17,8.34,8.435,8.2,8.29,842800,8.29
2024-06-18,8.25,8.39,8.205,8.26,1458200,8.26
2024-06-20,8.21,8.26,8.04,8.05,889500,8.05
2024-06-21,7.81,8.0,7.81,7.92,2014200,7.92
2024-06-24,7.92,8.38,7.88,8.3,1713100,8.3
2024-06-25,8.31,8.31,8.095,8.2,967200,8.2
2024-06-26,8.13,8.26,8.095,8.23,895900,8.23
2024-06-27,8.27,8.28,8.11,8.19,582500,8.19
2024-06-28,8.29,8.54,8.29,8.46,2464400,8.46
2024-07-01,8.43,8.49,8.295,8.34,817100,8.34
2024-07-02,8.35,8.43,8.24,8.39,570200,8.39
2024-07-03,8.46,8.63,8.4,8.55,451100,8.55
2024-07-05,8.5,8.53,8.354,8.46,684000,8.46
2024-07-08,8.54,8.61,8.35,8.36,667100,8.36
2024-07-09,8.35,8.52,8.27,8.41,966100,8.41
2024-07-10,8.47,8.685,8.43,8.65,727500,8.65
2024-07-11,8.89,9.365,8.85,9.33,1322900,9.33
2024-07-12,9.48,9.67,9.41,9.62,1528600,9.62
2024-07-15,9.81,10.005,9.695,9.99,1853300,9.99
2024-07-16,10.17,10.7,10.12,10.68,2315200,10.68
2024-07-17,10.5,10.9,10.48,10.68,2282800,10.68
2024-07-18,10.62,10.82,10.255,10.31,1600900,10.31
2024-07-19,10.28,10.475,10.2,10.38,1113200,10.38
2024-07-22,10.4,10.57,10.155,10.56,1014700,10.56
2024-07-23,10.49,10.865,10.445,10.79,1257700,10.79
2024-07-24,10.68,10.84,10.43,10.44,657400,10.44
2024-07-25,10.46,10.99,10.38,10.8,1552000,10.8
2024-07-26,11.0,11.133,10.835,10.85,1516700,10.85
2024-07-29,10.87,11.145,10.81,11.13,2072900,11.13
2024-07-30,11.1,11.41,10.9,11.19,3756500,11.19
2024-07-31,11.65,12.87,11.6,12.51,6022600,12.51
2024-08-01,12.44,12.54,11.09,11.42,3555600,11.42
2024-08-02,11.0,11.05,10.465,10.64,2026800,10.64
2024-08-05,9.68,10.27,9.5,9.93,3314700,9.93
2024-08-06,9.93,10.215,9.65,10.03,1417900,10.03
2024-08-07,10.35,10.59,9.955,10.0,1924600,10.0
2024-08-08,10.13,10.435,9.98,10.36,1507300,10.36
