date,open,high,low,close,volume,adj_close
2024-09-03,8700.0,8750.0,8250.0,8450.0,26,8450.0
2024-09-04,8400.0,10625.0,8150.0,9000.0,452,9000.0
2024-09-05,9050.0,10000.0,6300.0,6750.0,784,6750.0
2024-09-06,6650.0,6850.0,5900.0,6100.0,67,6100.0
2024-09-09,6100.0,6450.0,5612.5,5875.0,36,5875.0
2024-09-10,5700.0,6200.0,5650.0,6000.0,16,6000.0
2024-09-11,6250.0,6250.0,5450.0,5850.0,27,5850.0
2024-09-12,6050.0,6150.0,5800.0,5950.0,24,5950.0
2024-09-13,5750.0,6000.0,5650.0,5800.0,9,5800.0
2024-09-16,6150.0,6650.0,5950.0,6200.0,32,6200.0
2024-09-17,6150.0,6150.0,5750.0,5850.0,4,5850.0
2024-09-18,5950.0,6150.0,5800.0,6000.0,5,6000.0
2024-09-19,5899.5,6000.0,5700.5,6000.0,14,6000.0
2024-09-20,5750.0,6550.0,5550.0,6550.0,28,6550.0
2024-09-23,6550.0,6550.0,5850.0,5900.0,9,5900.0
2024-09-24,6075.0,6075.0,5605.5,5950.0,7,5950.0
2024-09-25,5700.0,6200.0,5450.0,5700.0,23,5700.0
2024-09-26,5850.0,5900.0,5450.0,5650.0,112,5650.0
2024-09-27,5500.0,5750.0,5100.0,5400.0,78,5400.0
2024-09-30,5400.0,6000.0,5400.0,5650.0,87,5650.0
2024-10-01,5700.0,5825.0,5300.0,5350.0,11,5350.0
2024-10-02,5500.0,5591.5,4854.5,5025.0,25,5025.0
2024-10-03,5650.0,6050.0,5400.5,5850.0,102,5850.0
2024-10-04,5950.0,5990.0,5500.0,5600.0,10,5600.0
2024-10-07,6150.0,6194.5,5500.0,5700.0,12,5700.0
2024-10-08,5650.0,5750.0,5250.0,5600.0,26,5600.0
2024-10-09,5450.0,5600.0,5350.0,5600.0,11,5600.0
2024-10-10,5700.0,5850.0,5550.0,5800.0,5,5800.0
2024-10-11,5750.0,6500.0,5601.5,6200.0,93,6200.0
2024-10-14,6000.0,6250.0,5700.0,5850.0,22,5850.0
2024-10-15,5950.0,6550.0,5850.0,6350.0,44,6350.0
