date,open,high,low,close,volume,adj_close
2024-08-28 00:00:00,22.7,23.1,20.4,21.2,86098,21.2
2024-08-29 00:00:00,20.6,21.187,19.801,20.9,49408,20.9
2024-08-30 00:00:00,20.8,20.814,19.9,20.4,36707,20.4
2024-09-03 00:00:00,20.5,21.6,19.8,20.6,58945,20.6
2024-09-04 00:00:00,20.1,21.9,19.3,21.7,96959,21.7
2024-09-05 00:00:00,21.5,22.1,20.9,21.6,34605,21.6
2024-09-06 00:00:00,21.4,21.5,19.528,19.7,60129,19.7
2024-09-09 00:00:00,19.6,21.3,19.518,20.7,41749,20.7
2024-09-10 00:00:00,20.7,21.0,19.7,20.4,50317,20.4
2024-09-11 00:00:00,20.2,21.3,20.1,20.8,50490,20.8
2024-09-12 00:00:00,20.7,21.0,19.8,20.2,37079,20.2
2024-09-13 00:00:00,20.5,21.35,20.25,20.8,46337,20.8
2024-09-16 00:00:00,20.7,21.0,20.0,20.6,35338,20.6
2024-09-17 00:00:00,20.5,21.0,20.0,20.1,33036,20.1
2024-09-18 00:00:00,20.0,20.9,19.8,20.5,51720,20.5
2024-09-19 00:00:00,20.9,22.4,20.3,20.6,61965,20.6
2024-09-20 00:00:00,20.8,21.3,20.2,20.4,60549,20.4
2024-09-23 00:00:00,20.5,20.9,19.8,20.0,48956,20.0
2024-09-24 00:00:00,19.9,20.2,19.2,19.8,36347,19.8
2024-09-25 00:00:00,19.8,20.0,19.3,19.5,28357,19.5
2024-09-26 00:00:00,19.2,19.971,19.2,19.7,42301,19.7
2024-09-27 00:00:00,19.7,20.5,19.7,19.9,38598,19.9
2024-09-30 00:00:00,19.5,19.98,19.3,19.4,34546,19.4
2024-10-01 00:00:00,19.4,19.4,18.3,18.8,45124,18.8
2024-10-02 00:00:00,18.6,19.2,17.8,18.1,42798,18.1
2024-10-03 00:00:00,18.1,18.5,17.7,17.9,38446,17.9
2024-10-04 00:00:00,18.0,18.5,17.6,18.5,45884,18.5
2024-10-07 00:00:00,18.6,18.891,17.7,18.2,30097,18.2
2024-10-08 00:00:00,18.1,18.79,17.95,18.4,20975,18.4
2024-10-09 00:00:00,18.3,18.5,18.0,18.4,40146,18.4
2024-10-10 00:00:00,18.0,18.3,17.602,17.8,25497,17.8
2024-10-11 00:00:00,17.8,18.3,17.6,17.9,27386,17.9
2024-10-14 00:00:00,18.2,19.75,18.0,19.4,59155,19.4
2024-10-15 00:00:00,19.4,20.15,19.029,19.4,46047,19.4
2024-10-16 00:00:00,19.4,20.0,19.3,20.0,45617,20.0
2024-10-17 00:00:00,19.9,22.55,19.7,22.1,87721,22.1
2024-10-18 00:00:00,22.1,22.6,20.8,21.9,29763,21.9
2024-10-21 00:00:00,21.9,21.9,20.45,20.9,40175,20.9
2024-10-22 00:00:00,20.3,20.732,19.7,20.5,24977,20.5
2024-10-23 00:00:00,20.4,22.4,20.1,22.2,66135,22.2
2024-10-24 00:00:00,21.9,21.9,20.4,20.7,51630,20.7
2024-10-25 00:00:00,21.0,22.16,20.9,22.1,37354,22.1
2024-10-28 00:00:00,22.0,24.843,21.1,21.8,478269,21.8
2024-10-29 00:00:00,20.8,22.399,20.5,21.9,97155,21.9
2024-10-30 00:00:00,21.6,22.1,20.6,21.6,54763,21.6
2024-10-31 00:00:00,21.7,21.7,20.5,20.9,40709,20.9
2024-11-01 00:00:00,21.0,21.2,20.3,20.3,37914,20.3
2024-11-04 00:00:00,20.3,22.1,19.3,21.6,61118,21.6
2024-11-05 00:00:00,21.4,22.605,21.227,22.5,35226,22.5
2024-11-06 00:00:00,22.7,22.7,21.35,21.5,38344,21.5
2024-11-07 00:00:00,21.5,22.6,21.4,22.0,31995,22.0
2024-11-08 00:00:00,22.2,22.399,21.5,22.0,28085,22.0
2024-11-11 00:00:00,22.0,22.2,20.9,21.7,35806,21.7
2024-11-12 00:00:00,22.5,23.1,20.8,23.0,94581,23.0
2024-11-13 00:00:00,21.8,22.5,20.6,21.2,71066,21.2
2024-11-14 00:00:00,20.9,21.2,20.0,20.8,49369,20.8
2024-11-15 00:00:00,20.7,20.8,18.5,19.8,38389,19.8
2024-11-18 00:00:00,20.0,20.6,18.8,19.3,64787,19.3
2024-11-19 00:00:00,19.2,19.2,17.35,18.5,70233,18.5
2024-11-20 00:00:00,18.4,19.0,17.815,18.5,29932,18.5
2024-11-21 00:00:00,18.8,19.0,18.1,18.7,26949,18.7
2024-11-22 00:00:00,18.5,19.15,18.219,18.9,19732,18.9
2024-11-25 00:00:00,19.0,20.292,18.8,19.6,41888,19.6
2024-11-26 00:00:00,19.4,20.65,19.1,20.0,24699,20.0
2024-11-27 00:00:00,20.5,20.897,19.801,20.6,17039,20.6
2024-11-29 00:00:00,20.6,21.6,20.0,20.5,41288,20.5
2024-12-02 00:00:00,20.5,21.108,20.3,20.6,20640,20.6
2024-12-03 00:00:00,20.8,21.0,19.999,20.1,13254,20.1
2024-12-04 00:00:00,20.4,20.4,19.7,20.0,31208,20.0
2024-12-05 00:00:00,19.9,20.0217,17.6,18.8,59788,18.8
2024-12-06 00:00:00,19.6,21.5,18.5,20.8,88206,20.8
2024-12-09 00:00:00,20.9,21.2,20.1,20.7,33093,20.7
2024-12-10 00:00:00,20.8,20.8,19.5,19.6,20448,19.6
2024-12-11 00:00:00,19.7,19.9,19.0,19.6,20385,19.6
2024-12-12 00:00:00,19.5,19.5,18.5,18.6,26359,18.6
2024-12-13 00:00:00,18.9,19.0,18.0,18.6,18190,18.6
2024-12-16 00:00:00,18.7,18.899,18.2,18.2,24900,18.2
2024-12-17 00:00:00,18.0,18.35,17.5,17.8,33876,17.8
2024-12-18 00:00:00,17.8,18.0,16.5,16.5,50202,16.5
2024-12-19 00:00:00,16.5,16.9,15.9,16.0,34255,16.0
2024-12-20 00:00:00,15.9,17.2,15.9,16.5,29448,16.5
2024-12-23 00:00:00,16.3,18.25,16.3,17.7,40183,17.7
2024-12-24 00:00:00,18.0,18.0,16.6,17.6,21495,17.6
2024-12-26 00:00:00,17.4,18.5,17.2,18.4,25097,18.4
2024-12-27 00:00:00,18.0,18.4,17.0,17.5,29908,17.5
2024-12-30 00:00:00,17.0,18.2,16.693,17.7,21094,17.7
2024-12-31 00:00:00,17.8,18.5,16.9,17.3,30634,17.3
2025-01-02 00:00:00,17.9,18.1,17.0,17.9,23228,17.9
2025-01-03 00:00:00,18.1,19.3,17.6,19.1,33487,19.1
2025-01-06 00:00:00,19.4,22.4,19.3,19.9,117460,19.9
2025-01-07 00:00:00,20.0,20.5,18.7,19.0,21943,19.0
2025-01-08 00:00:00,18.6,18.8,17.5,18.1,28418,18.1
2025-01-10 00:00:00,18.1,18.45,17.6,17.9,15950,17.9
2025-01-13 00:00:00,17.9,17.95,17.2,17.7,16362,17.7
2025-01-14 00:00:00,17.7,18.9,17.7,18.1,27129,18.1
2025-01-15 00:00:00,17.8,17.899,17.1,17.5,28588,17.5
2025-01-16 00:00:00,17.3,17.8,16.7,17.6,16752,17.6
2025-01-17 00:00:00,17.5,17.963,16.5,17.0,17480,17.0
2025-01-21 00:00:00,17.1,18.1,16.8,17.7,20373,17.7
2025-01-22 00:00:00,18.2,18.3,17.15,17.2,15319,17.2
2025-01-23 00:00:00,17.0,17.861,16.6,17.0,25330,17.0
2025-01-24 00:00:00,16.6,17.2,16.6,16.8,7611,16.8
2025-01-27 00:00:00,16.9,17.4,15.75,15.9,28010,15.9
2025-01-28 00:00:00,16.0,16.1,15.6,16.0,14142,16.0
