date,open,high,low,close,volume,adj_close
2024-05-20,8.7,8.835,8.62,8.63,946000,8.63
2024-05-21,8.61,8.71,8.545,8.66,786700,8.66
2024-05-22,8.63,8.69,8.45,8.53,597700,8.53
2024-05-23,8.52,8.665,8.4,8.62,848900,8.62
2024-05-24,8.68,8.69,8.53,8.55,530200,8.55
2024-05-28,8.55,8.66,8.52,8.62,785400,8.62
2024-05-29,8.54,8.64,8.46,8.63,551500,8.63
2024-05-30,8.66,9.025,8.61,8.94,1154600,8.94
2024-05-31,8.99,9.12,8.87,9.07,1106200,9.07
2024-06-03,9.15,9.15,8.95,9.04,672500,9.04
2024-06-04,9.0,9.08,8.84,8.84,895400,8.84
2024-06-05,8.85,9.04,8.82,8.98,808100,8.98
2024-06-06,8.92,9.13,8.92,9.05,735100,9.05
2024-06-07,8.93,9.045,8.835,8.88,511200,8.88
2024-06-10,8.78,8.88,8.68,8.83,646000,8.83
2024-06-11,8.73,8.805,8.675,8.71,660500,8.71
2024-06-12,8.89,8.94,8.68,8.69,688000,8.69
2024-06-13,8.65,8.66,8.34,8.39,789600,8.39
2024-06-14,8.29,8.37,8.2,8.31,604800,8.31
2024-06-17,8.26,8.32,8.19,8.28,430000,8.28
2024-06-18,8.3,8.495,8.29,8.32,775200,8.32
2024-06-20,8.31,8.62,8.24,8.55,887800,8.55
2024-06-21,8.51,9.02,8.51,9.01,3322800,9.01
2024-06-24,9.03,9.22,8.955,9.0,1947300,9.0
2024-06-25,8.96,9.155,8.805,9.12,1327000,9.12
2024-06-26,9.11,9.35,9.085,9.21,1484800,9.21
2024-06-27,9.29,9.47,9.22,9.44,1039300,9.44
2024-06-28,9.49,9.67,9.47,9.62,1908100,9.62
2024-07-01,9.62,9.69,9.495,9.6,1155100,9.6
2024-07-02,9.6,9.62,9.38,9.4,823100,9.4
2024-07-03,9.43,9.43,9.07,9.16,584200,9.16
2024-07-05,9.09,9.13,8.91,9.11,861700,9.11
2024-07-08,9.22,9.22,9.085,9.17,1074700,9.17
2024-07-09,9.19,9.47,9.17,9.35,1078400,9.35
2024-07-10,9.42,9.43,9.27,9.42,585400,9.42
2024-07-11,9.56,9.88,9.455,9.85,1946700,9.85
2024-07-12,9.92,9.98,9.81,9.82,1043300,9.82
2024-07-15,9.86,10.02,9.74,9.95,1252500,9.95
2024-07-16,10.08,10.15,9.95,10.11,1971600,10.11
2024-07-17,10.07,10.27,9.915,10.24,1184200,10.24
2024-07-18,10.24,10.445,9.915,9.97,1389300,9.97
2024-07-19,9.98,10.09,9.74,10.03,1308500,10.03
2024-07-22,10.02,10.09,9.765,10.04,831300,10.04
2024-07-23,9.98,10.22,9.945,10.2,1355600,10.2
2024-07-24,10.17,10.31,9.99,10.02,969600,10.02
2024-07-25,10.07,10.31,9.97,10.085,940000,10.085
2024-07-26,10.25,10.325,10.155,10.32,975400,10.32
2024-07-29,10.34,10.42,10.215,10.28,699500,10.28
2024-07-30,10.32,10.535,10.26,10.47,1176300,10.47
2024-07-31,10.47,10.93,10.44,10.6,1298600,10.6
2024-08-01,10.57,10.69,10.385,10.49,836200,10.49
2024-08-02,10.21,10.52,10.13,10.3,1372600,10.3
2024-08-05,9.76,10.11,9.39,10.0,1642100,10.0
2024-08-06,9.99,10.26,9.86,10.16,1030100,10.16
2024-08-07,10.05,10.09,8.91,9.22,2559000,9.22
2024-08-08,9.23,9.485,8.97,9.44,1798000,9.44
2024-08-09,9.44,9.57,9.065,9.14,1172400,9.14
2024-08-12,9.09,9.17,8.96,9.17,915000,9.17
2024-08-13,9.35,9.62,9.27,9.58,732900,9.58
2024-08-14,9.54,9.68,9.52,9.61,647400,9.61
2024-08-15,9.803,9.85,9.7,9.73,738000,9.73
2024-08-16,9.73,9.84,9.49,9.79,713100,9.79
2024-08-19,9.72,9.81,9.59,9.78,760100,9.78
2024-08-20,9.78,9.78,9.46,9.46,933100,9.46
2024-08-21,9.5,9.52,9.305,9.46,585100,9.46
2024-08-22,9.46,9.48,9.145,9.21,624200,9.21
2024-08-23,9.27,9.49,9.24,9.38,616300,9.38
2024-08-26,9.44,9.61,9.36,9.55,649700,9.55
2024-08-27,9.53,9.66,9.484,9.52,417000,9.52
2024-08-28,9.46,9.58,9.39,9.54,482700,9.54
2024-08-29,9.64,9.64,9.385,9.43,492300,9.43
2024-08-30,9.43,9.57,9.38,9.47,632300,9.47
2024-09-03,9.33,9.495,9.05,9.41,2796600,9.41
2024-09-04,9.18,9.405,9.11,9.18,1066000,9.18
