date,open,high,low,close,volume,adj_close
2025-02-27,102.2,144.8,88.0,100.0,140724,100.0
2025-02-28,103.0,115.998,92.002,113.0,34785,113.0
2025-03-03,109.4,119.2,108.01,115.4,19317,115.4
2025-03-04,118.0,130.0,112.6,125.6,32861,125.6
2025-03-05,141.0,154.8,136.0,146.6,18119,146.6
2025-03-06,141.2,200.0,141.2,196.5,29524,196.5
2025-03-07,199.6,291.2,187.6,240.8,47514,240.8
2025-03-10,247.6,354.6,240.8,313.2,35181,313.2
2025-03-11,281.0,292.0,140.2,160.0,34297,160.0
2025-03-12,162.0,179.8,120.8,163.6,27357,163.6
2025-03-13,150.04,278.0,150.04,260.2,43038,260.2
2025-03-14,274.8,274.8,151.8,184.6,30502,184.6
2025-03-17,182.8,219.464,180.04,203.4,26705,203.4
2025-03-18,194.4,254.0,190.4,191.2,19583,191.2
2025-03-19,191.6,246.6,191.6,226.0,24376,226.0
2025-03-20,222.8,257.6,204.4,204.4,21537,204.4
2025-03-21,209.2,220.696,191.868,198.6,9004,198.6
2025-03-24,204.2,225.4,163.64,177.2,57387,177.2
2025-03-25,173.4,190.8,152.02,153.2,25590,153.2
2025-03-26,151.6,200.0,141.602,199.8,13837,199.8
2025-03-27,207.2,212.0,162.0,163.4,12477,163.4
2025-03-28,160.2,174.0,152.6,170.2,1867,170.2
2025-03-31,161.0,170.0,137.6,138.2,5591,138.2
2025-04-01,140.0,158.428,138.0,142.2,26508,142.2
2025-04-02,142.2,153.0,140.0,143.2,10808,143.2
2025-04-03,147.0,180.0,136.366,166.8,37699,166.8
2025-04-04,168.8,173.632,154.0,167.0,32153,167.0
2025-04-07,167.0,174.2,160.2,167.0,27371,167.0
2025-04-08,170.2,173.0,162.2,164.0,8023,164.0
2025-04-09,171.8,183.76,165.0,179.2,86351,179.2
2025-04-10,174.0,183.4,168.4,171.0,52994,171.0
2025-04-11,172.0,183.0,126.0,180.2,46907,180.2
2025-04-14,177.6,180.608,170.0,174.2,21040,174.2
2025-04-15,178.0,179.6,171.8,175.6,13948,175.6
2025-04-16,173.4,188.0,170.0,180.2,70671,180.2
2025-04-17,176.0,190.0,173.4,182.4,33273,182.4
2025-04-21,180.2,186.0,177.0,177.0,12863,177.0
2025-04-22,177.8,184.4,177.0,183.6,11095,183.6
2025-04-23,180.2,184.0,179.0,184.0,12162,184.0
2025-04-24,180.4,192.0,180.4,189.4,57388,189.4
2025-04-25,187.8,190.0,184.2,187.0,5940,187.0
2025-04-28,186.0,187.0,160.0,160.2,50206,160.2
2025-04-29,181.8,186.4,179.002,182.0,26114,182.0
