date,open,high,low,close,volume,adj_close
2024-05-20,26.9413,27.0984,26.396,26.4422,97700,26.4422
2024-05-21,26.3313,26.5438,26.054,26.4791,107900,26.4791
2024-05-22,26.359,26.5069,26.0725,26.1834,82500,26.1834
2024-05-23,26.1834,26.5531,25.5642,26.1464,156600,26.1464
2024-05-24,26.2851,26.2943,26.0632,26.2573,93000,26.2573
2024-05-28,26.2851,26.5808,26.0078,26.1095,120200,26.1095
2024-05-29,25.7582,26.017,25.6196,25.7952,108900,25.7952
2024-05-30,25.8229,26.322,25.6289,26.091,114500,26.091
2024-05-31,26.1649,26.5716,26.1187,26.1834,129400,26.1834
2024-06-03,26.4884,26.5254,25.8876,26.0817,92900,26.0817
2024-06-04,25.9985,26.0263,25.6566,25.8599,102200,25.8599
2024-06-05,25.9523,26.5716,25.7028,26.5716,126600,26.5716
2024-06-06,26.4052,26.4237,25.444,25.4533,106300,25.4533
2024-06-07,25.1298,25.6566,25.0004,25.3608,122300,25.3608
2024-06-10,25.139,25.2499,24.603,24.9911,148300,24.9911
2024-06-11,24.7693,24.8248,24.4643,24.7416,113300,24.7416
2024-06-12,25.5642,26.0078,25.1667,25.1852,120800,25.1852
2024-06-13,25.0096,25.1298,24.529,24.9634,107600,24.9634
2024-06-14,24.529,24.6861,24.1686,24.4458,190300,24.4458
2024-06-17,24.2425,24.4366,22.4772,22.7083,547300,22.7083
2024-06-18,22.4495,22.7453,21.6454,22.468,463400,22.468
2024-06-20,22.4495,22.81,21.9042,22.6898,282500,22.6898
2024-06-21,22.8007,23.3737,22.699,23.0965,552600,23.0965
2024-06-24,23.1612,23.7249,23.1612,23.5493,190800,23.5493
2024-06-25,23.5401,23.8451,23.1057,23.4015,175400,23.4015
2024-06-26,23.1704,23.5401,23.0687,23.5124,166100,23.5124
2024-06-27,23.614,23.6972,22.8284,23.1796,100200,23.1796
2024-06-28,23.4846,23.6418,22.9578,23.1519,587100,23.1519
2024-07-01,23.2443,23.383,22.4403,22.7175,214400,22.7175
2024-07-02,22.8192,23.2628,22.7083,22.7453,191100,22.7453
2024-07-03,22.9116,23.041,22.5419,22.6066,91800,22.6066
2024-07-05,22.4772,22.5512,21.8395,22.1353,122300,22.1353
2024-07-08,22.4033,22.5327,22.1722,22.2092,174100,22.2092
2024-07-09,22.163,22.2092,21.6177,21.7379,194700,21.7379
2024-07-10,21.7194,22.2369,21.5345,22.2277,121000,22.2277
2024-07-11,22.8192,23.7342,22.431,23.4015,161500,23.4015
2024-07-12,23.5216,23.919,23.1612,23.4107,148900,23.4107
2024-07-15,23.4662,23.8913,23.4107,23.6695,222700,23.6695
2024-07-16,24.0022,25.3331,24.0022,25.2776,163300,25.2776
2024-07-17,25.0743,25.7952,24.9172,25.6196,210000,25.6196
2024-07-18,25.3701,25.9154,25.0096,25.1113,131000,25.1113
2024-07-19,25.1205,25.3978,24.8248,25.1575,123200,25.1575
2024-07-22,25.1205,25.2499,24.3719,25.176,124300,25.176
2024-07-23,24.9357,26.1464,24.7971,25.8414,97100,25.8414
2024-07-24,25.8414,26.3128,25.176,25.1852,214600,25.1852
2024-07-25,25.2592,26.6825,25.1113,26.6085,210500,26.6085
2024-07-26,26.9505,26.9505,25.6381,25.9708,141600,25.9708
2024-07-29,26.017,26.017,25.5734,25.8692,168400,25.8692
2024-07-30,26.054,26.7379,25.9616,26.664,87900,26.664
2024-07-31,26.7194,27.3387,26.2573,26.7564,131200,26.7564
2024-08-01,26.7749,26.8119,25.6104,25.9246,133700,25.9246
2024-08-02,23.8266,25.0466,22.7453,24.6307,165700,24.6307
2024-08-05,23.2038,23.7447,23.1012,23.5115,229400,23.5115
2024-08-06,23.3996,23.9032,23.325,23.8286,231400,23.8286
2024-08-07,24.1084,24.2483,23.6328,23.81,178500,23.81
2024-08-08,24.0058,24.2483,23.8659,24.1457,240800,24.1457
2024-08-09,24.1457,24.3509,23.81,24.3416,162000,24.3416
2024-08-12,24.4069,24.4069,22.896,22.896,122200,22.896
2024-08-13,23.2131,23.325,22.8307,23.0079,125800,23.0079
2024-08-14,23.0732,23.1665,22.5976,22.868,97400,22.868
2024-08-15,23.3903,24.3043,23.1571,24.0525,120400,24.0525
