date,open,high,low,close,volume,adj_close
2024-06-04,38.8279,39.1658,38.2306,38.2796,255800,38.2796
2024-06-05,38.6321,38.8475,38.0347,38.3775,145000,38.3775
2024-06-06,38.3089,38.6223,37.878,38.3873,122500,38.3873
2024-06-07,38.0543,39.4547,37.9074,39.3372,451100,39.3372
2024-06-10,39.1707,39.8464,39.1707,39.6701,161200,39.6701
2024-06-11,39.2392,39.5918,38.3971,39.5134,213600,39.5134
2024-06-12,40.4437,41.5307,39.533,39.6309,296100,39.6309
2024-06-13,39.5036,40.1402,39.1511,39.8855,175200,39.8855
2024-06-14,39.2574,39.6844,37.9619,38.3349,89900,38.3349
2024-06-17,38.0503,38.8256,37.7853,38.7569,130300,38.7569
2024-06-18,38.9139,39.7089,38.7471,39.4243,124600,39.4243
2024-06-20,39.3752,39.5322,39.0808,39.2967,232400,39.2967
2024-06-21,39.4537,39.4537,38.6784,38.9532,285000,38.9532
2024-06-24,38.9532,39.915,38.9237,39.228,80100,39.228
2024-06-25,39.1789,39.1789,38.4831,38.5214,101400,38.5214
2024-06-26,38.276,38.5606,37.7019,38.4232,165100,38.4232
2024-06-27,38.4821,38.8158,38.1779,38.8158,102000,38.8158
2024-06-28,39.2378,40.18,39.2378,39.7874,517200,39.7874
2024-07-01,39.7972,40.5333,39.5715,40.1702,167500,40.1702
2024-07-02,40.1996,40.5137,40.0622,40.3664,84600,40.3664
2024-07-03,40.6413,40.6413,39.8659,40.0033,57600,40.0033
2024-07-05,40.0131,40.0131,39.2378,39.6206,190500,39.6206
2024-07-08,39.8561,40.3861,39.5126,39.6206,118200,39.6206
2024-07-09,39.5028,41.0633,39.2378,40.6314,228300,40.6314
2024-07-10,40.5039,41.7503,40.337,41.6521,129300,41.6521
2024-07-11,42.5256,43.8996,41.9956,42.8299,287600,42.8299
2024-07-12,43.3402,43.4089,42.7612,43.1243,198500,43.1243
2024-07-15,43.6052,45.5975,43.458,44.4198,288000,44.4198
2024-07-16,44.9497,47.0255,44.6357,46.8832,491500,46.8832
2024-07-17,46.314,47.845,45.5288,47.3052,290100,47.3052
2024-07-18,47.158,48.9295,46.9028,47.6585,283600,47.6585
2024-07-19,47.7174,48.5075,47.5898,48.0413,141300,48.0413
2024-07-22,48.0413,48.6301,47.3837,48.2866,189500,48.2866
2024-07-23,48.0511,50.3005,48.0511,49.8962,277900,49.8962
2024-07-24,49.5625,50.6617,49.2681,49.9551,248000,49.9551
2024-07-25,49.9649,52.1191,49.5821,50.2888,264600,50.2888
2024-07-26,51.0248,51.9906,50.1514,51.6137,291400,51.6137
2024-07-29,51.6333,52.2811,50.9561,51.1328,295600,51.1328
2024-07-30,49.0718,49.0718,42.2017,43.4383,931600,43.4383
2024-07-31,42.9771,44.9007,42.7415,44.1646,444500,44.1646
2024-08-01,45.4405,45.4405,41.976,42.0643,276400,42.0643
2024-08-02,40.5137,40.8375,39.6991,40.0524,231500,40.0524
2024-08-05,38.2269,39.6206,36.9412,38.8354,331800,38.8354
2024-08-06,38.9728,39.807,38.2073,39.2967,207400,39.2967
2024-08-07,39.758,40.1702,38.4428,38.6489,183100,38.6489
2024-08-08,39.3261,39.7678,38.5704,39.4341,160400,39.4341
2024-08-09,39.4341,39.5028,38.7265,39.2771,145100,39.2771
2024-08-12,39.6696,39.9444,39.3359,39.5911,97500,39.5911
2024-08-13,40.0818,40.6118,39.3948,40.3174,140200,40.3174
2024-08-14,40.6903,40.8866,39.704,40.0229,128600,40.0229
2024-08-15,41.1123,42.0349,40.5873,40.7492,216100,40.7492
2024-08-16,40.8179,42.8789,40.8179,42.8495,286500,42.8495
2024-08-19,42.7808,43.3009,42.2606,42.9574,143200,42.9574
2024-08-20,42.7612,43.036,42.3195,42.8691,171200,42.8691
2024-08-21,43.1439,43.1439,42.3195,43.1047,107500,43.1047
2024-08-22,42.8986,44.0763,42.8986,43.8702,382400,43.8702
2024-08-23,43.9389,47.05,43.616,45.5092,438800,45.5092
2024-08-26,46.0784,46.2551,45.1362,45.2442,159600,45.2442
2024-08-27,45.1264,45.1853,44.1891,44.7044,221300,44.7044
2024-08-28,44.4394,44.9203,43.4089,44.459,279900,44.459
2024-08-29,44.5572,44.9301,43.9094,44.4198,121900,44.4198
2024-08-30,44.7633,45.0872,44.2333,44.9988,126800,44.9988
2024-09-03,44.41,45.0185,44.0763,44.6553,159500,44.6553
2024-09-04,44.6455,45.4601,43.3795,43.3795,197100,43.3795
2024-09-05,43.7426,44.1352,43.085,43.5954,467800,43.5954
2024-09-06,43.6935,44.0743,42.2214,42.5747,261400,42.5747
2024-09-09,42.2214,42.6139,41.3871,41.6423,209600,41.6423
2024-09-10,41.976,42.1919,41.1025,42.1919,151600,42.1919
2024-09-11,41.976,42.2312,40.6658,41.5638,116800,41.5638
2024-09-12,40.7296,42.2704,40.7296,41.5638,153000,41.5638
2024-09-13,42.2719,43.1965,42.2424,43.1768,85700,43.1768
2024-09-16,43.3046,44.3275,43.0883,44.1406,198300,44.1406
2024-09-17,44.6914,46.1077,44.4455,44.7012,102300,44.7012
2024-09-18,44.7406,46.6388,44.2587,45.0652,123000,45.0652
2024-09-19,46.2257,46.3831,45.4192,46.3831,79500,46.3831
2024-09-20,46.147,46.2454,44.6816,44.8193,285600,44.8193
