date,open,high,low,close,volume,adj_close
2024-05-20,2.6675,2.6935,2.6675,2.6848,42200,2.6848
2024-05-21,2.6762,2.6935,2.6675,2.6762,69000,2.6762
2024-05-22,2.6935,2.6935,2.6762,2.6848,66900,2.6848
2024-05-23,2.6848,2.6935,2.6589,2.6675,84600,2.6675
2024-05-24,2.6762,2.6762,2.6502,2.6589,104500,2.6589
2024-05-28,2.6675,2.6675,2.6415,2.6415,63300,2.6415
2024-05-29,2.6415,2.6502,2.6155,2.6155,38800,2.6155
2024-05-30,2.6415,2.6415,2.6329,2.6329,38800,2.6329
2024-05-31,2.6589,2.6675,2.6329,2.6589,31500,2.6589
2024-06-03,2.6415,2.6589,2.6415,2.6502,121600,2.6502
2024-06-04,2.6502,2.6675,2.6502,2.6589,141200,2.6589
2024-06-05,2.6502,2.6762,2.6329,2.6589,256900,2.6589
2024-06-06,2.6762,2.6762,2.6329,2.6502,241400,2.6502
2024-06-07,2.6242,2.6415,2.6155,2.6329,43700,2.6329
2024-06-10,2.6329,2.6329,2.6155,2.6155,219100,2.6155
2024-06-11,2.6155,2.6329,2.6155,2.6242,82500,2.6242
2024-06-12,2.6415,2.6502,2.6329,2.6415,317600,2.6415
2024-06-13,2.6502,2.6502,2.6242,2.6415,106000,2.6415
2024-06-14,2.6502,2.6589,2.6415,2.6589,89200,2.6589
2024-06-17,2.6415,2.6502,2.6242,2.6502,80200,2.6502
2024-06-18,2.6589,2.7025,2.6502,2.6676,122100,2.6676
2024-06-20,2.6502,2.6676,2.6502,2.6589,41200,2.6589
2024-06-21,2.6589,2.6676,2.6589,2.6676,30600,2.6676
2024-06-24,2.6676,2.7025,2.6589,2.6589,150200,2.6589
2024-06-25,2.6851,2.6851,2.6589,2.6676,63300,2.6676
2024-06-26,2.6676,2.6763,2.6589,2.6676,15900,2.6676
2024-06-27,2.6676,2.6938,2.6676,2.6938,100500,2.6938
2024-06-28,2.7025,2.7025,2.6676,2.6763,84200,2.6763
2024-07-01,2.6763,2.6763,2.6589,2.6763,54000,2.6763
2024-07-02,2.6763,2.6938,2.6763,2.6851,56500,2.6851
2024-07-03,2.6938,2.7112,2.6938,2.7112,47000,2.7112
2024-07-05,2.6938,2.7461,2.6938,2.7374,299200,2.7374
2024-07-08,2.7461,2.7461,2.7287,2.7287,67600,2.7287
2024-07-09,2.7374,2.7374,2.7287,2.7374,81400,2.7374
2024-07-10,2.7287,2.7548,2.7287,2.7461,157300,2.7461
2024-07-11,2.7722,2.7722,2.7548,2.7635,43700,2.7635
2024-07-12,2.781,2.781,2.6851,2.6938,617000,2.6938
2024-07-15,2.7025,2.7287,2.6938,2.7199,561500,2.7199
2024-07-16,2.7112,2.7287,2.7112,2.7287,82700,2.7287
2024-07-17,2.7112,2.7199,2.7112,2.7199,67000,2.7199
2024-07-18,2.7199,2.7199,2.6936,2.6936,101400,2.6936
2024-07-19,2.6936,2.7024,2.6936,2.7024,91000,2.7024
2024-07-22,2.6936,2.7112,2.6936,2.7112,38400,2.7112
