date,open,high,low,close,volume,adj_close
2026-02-12,30.54,31.84,29.69,30.91,2259900,30.91
2026-02-13,30.8,32.34,30.6,32.34,1035300,32.34
2026-02-17,32.34,33.0,31.65,31.86,1144700,31.86
2026-02-18,32.12,32.12,30.49,30.78,3420000,30.78
2026-02-19,30.13,31.37,29.8,30.5,823200,30.5
2026-02-20,30.48,30.99,30.21,30.5,406600,30.5
2026-02-23,30.14,31.35,29.5,31.34,451900,31.34
2026-02-24,31.15,31.85,30.33,30.81,663500,30.81
2026-02-25,30.88,31.6,30.0,31.3,657500,31.3
2026-02-26,31.35,31.36,29.91,30.29,854400,30.29
2026-02-27,30.29,32.24,29.56,31.52,1251500,31.52
2026-03-02,31.21,32.65,30.48,31.53,649300,31.53
2026-03-03,30.83,31.02,29.68,30.09,305500,30.09
2026-03-04,30.09,30.34,29.24,29.71,461100,29.71
2026-03-05,29.75,30.08,28.2,28.47,548800,28.47
2026-03-06,28.22,29.08,26.6,27.04,794000,27.04
2026-03-09,27.04,29.67,26.42,28.22,1252300,28.22
2026-03-10,28.2,29.88,28.01,28.15,938900,28.15
2026-03-11,28.13,29.31,28.0,28.88,1280300,28.88
2026-03-12,28.98,28.98,27.69,28.54,1144400,28.54
2026-03-13,28.68,28.85,27.78,27.86,308500,27.86
2026-03-16,28.33,29.23,27.9,29.15,992900,29.15
2026-03-17,29.2,30.31,29.2,30.0,604300,30.0
2026-03-18,30.11,30.93,29.63,30.27,694600,30.27
2026-03-19,29.63,29.64,27.76,28.5,1074100,28.5
2026-03-20,29.05,30.26,27.43,27.78,2141800,27.78
2026-03-23,28.29,29.92,27.85,28.45,539200,28.45
2026-03-24,28.59,29.41,28.25,28.99,708300,28.99
2026-03-25,29.32,30.0,28.58,29.48,237800,29.48
2026-03-26,29.24,29.54,27.47,27.81,315000,27.81
2026-03-27,27.34,29.34,27.32,28.2,1154900,28.2
2026-03-30,28.28,29.63,28.28,28.51,2068400,28.51
2026-03-31,28.56,30.56,28.52,30.03,971600,30.03
2026-04-01,29.98,30.15,28.54,29.64,1117500,29.64
2026-04-02,29.18,30.02,28.67,29.72,591000,29.72
2026-04-06,29.56,30.5,28.59,28.9,440900,28.9
2026-04-07,28.84,29.45,27.56,28.32,642600,28.32
2026-04-08,28.91,29.42,28.35,28.94,485400,28.94
2026-04-09,29.1,30.79,29.08,30.14,912200,30.14
2026-04-10,30.32,32.13,30.29,31.66,845700,31.66
2026-04-13,31.66,32.75,31.53,32.67,417300,32.67
2026-04-14,33.0,35.22,33.0,33.97,1705400,33.97
2026-04-15,34.93,34.93,32.9,33.49,995000,33.49
2026-04-16,33.87,34.59,33.61,33.91,954500,33.91
2026-04-17,34.62,34.89,33.42,34.47,530900,34.47
2026-04-20,34.45,35.28,33.95,34.85,367500,34.85
2026-04-21,35.06,35.21,33.55,34.08,777900,34.08
2026-04-22,34.52,36.89,34.45,36.68,757600,36.68
2026-04-23,37.02,38.62,36.8,37.63,1038500,37.63
2026-04-24,37.67,39.42,37.67,38.82,819000,38.82
2026-04-27,39.12,39.29,36.37,37.99,1044100,37.99
2026-04-28,37.08,37.84,36.81,37.23,583600,37.23
2026-04-29,37.59,38.42,36.82,37.53,581600,37.53
2026-04-30,38.49,40.25,38.4,39.84,963000,39.84
2026-05-01,40.19,41.57,40.0,40.65,770700,40.65
2026-05-04,40.11,43.46,39.93,42.51,1051100,42.51
2026-05-05,43.33,45.49,42.54,45.19,1148300,45.19
2026-05-06,44.29,45.09,41.52,42.27,1203200,42.27
2026-05-07,42.34,42.87,40.4,42.07,837300,42.07
2026-05-08,42.54,43.72,42.17,43.09,652500,43.09
2026-05-11,43.39,44.99,42.3,44.83,1482900,44.83
2026-05-12,46.0,48.4,43.87,45.84,2590200,45.84
2026-05-13,47.05,48.19,45.5,46.77,1340300,46.77
2026-05-14,45.38,46.25,44.15,44.82,942900,44.82
2026-05-15,44.12,44.35,43.02,43.44,719800,43.44
2026-05-18,43.65,43.65,39.9,40.42,1646932,40.42
2026-05-19,40.42,40.42,37.415,37.56,1543968,37.56
2026-05-20,38.15,38.95,37.62,38.72,830836,38.72
2026-05-21,38.46,38.93,36.69,38.12,1757298,38.12
2026-05-22,38.93,39.53,38.24,38.44,1064406,38.44
2026-05-26,39.54,40.6,39.18,39.48,1561800,39.48
2026-05-27,37.22,39.23,36.8,38.11,1591800,38.11
2026-05-28,37.48,37.72,36.09,36.71,2523900,36.71
2026-05-29,36.31,36.44,35.08,35.53,9878000,35.53
2026-06-01,35.44,35.5,33.5,34.63,3196400,34.63
2026-06-02,34.71,36.76,34.71,36.46,3204200,36.46
2026-06-03,36.38,36.98,35.98,36.22,249632,36.22
2026-06-04,34.58,36.06,33.79,35.64,2205800,35.64
2026-06-05,35.05,35.39,32.37,32.81,1519300,32.81
