date,open,high,low,close,volume,adj_close
2024-06-17 00:00:00,8.7,8.7,7.56,8.13,9000,8.13
2024-06-18 00:00:00,8.51,8.51,7.39,7.46,13900,7.46
2024-06-20 00:00:00,7.5,7.56,7.36,7.4,8900,7.4
2024-06-21 00:00:00,7.4,7.4,7.4,7.4,0,7.4
2024-06-24 00:00:00,8.38,11.1,8.29,9.35,25300,9.35
2024-06-25 00:00:00,9.55,10.41,9.2,9.42,15700,9.42
2024-06-26 00:00:00,9.88,9.88,9.4,9.5,4800,9.5
2024-06-27 00:00:00,9.55,9.55,9.0,9.0,900,9.0
2024-06-28 00:00:00,8.72,8.74,8.72,8.72,1100,8.72
2024-07-01 00:00:00,9.46,9.46,9.01,9.01,500,9.01
2024-07-02 00:00:00,9.5,11.18,9.21,10.4,8800,10.4
2024-07-03 00:00:00,10.42,10.42,10.4,10.42,1000,10.42
2024-07-05 00:00:00,9.61,10.4,9.41,9.95,3800,9.95
2024-07-08 00:00:00,9.64,9.64,9.6,9.61,600,9.61
2024-07-09 00:00:00,9.51,10.03,9.4,9.82,1300,9.82
2024-07-10 00:00:00,9.81,10.14,9.81,10.0,4600,10.0
2024-07-11 00:00:00,10.1,10.1,10.1,10.1,100,10.1
2024-07-12 00:00:00,10.1,10.1,10.1,10.1,0,10.1
2024-07-15 00:00:00,9.45,9.45,9.45,9.45,100,9.45
2024-07-16 00:00:00,9.45,9.45,9.45,9.45,0,9.45
2024-07-17 00:00:00,9.0,9.0,8.79,8.8,1100,8.8
2024-07-18 00:00:00,8.35,8.36,8.35,8.36,600,8.36
2024-07-19 00:00:00,8.3,9.77,8.3,9.1,9000,9.1
2024-07-22 00:00:00,9.1,9.1,9.1,9.1,500,9.1
2024-07-23 00:00:00,9.1,9.1,9.1,9.1,0,9.1
2024-07-24 00:00:00,9.0,9.0,8.9,8.9,700,8.9
2024-07-25 00:00:00,8.85,8.92,8.63,8.92,2100,8.92
2024-07-26 00:00:00,8.71,8.92,8.6,8.7,4500,8.7
2024-07-29 00:00:00,7.31,9.0,6.0,6.4,41600,6.4
2024-07-30 00:00:00,6.9,6.9,6.59,6.59,400,6.59
2024-07-31 00:00:00,5.53,6.86,5.53,6.74,2600,6.74
2024-08-01 00:00:00,7.493,7.493,6.84,6.84,1500,6.84
2024-08-02 00:00:00,6.84,6.84,6.84,6.84,0,6.84
2024-08-05 00:00:00,6.84,6.84,6.84,6.84,0,6.84
2024-08-06 00:00:00,6.84,6.84,6.84,6.84,0,6.84
2024-08-07 00:00:00,6.84,6.84,6.84,6.84,0,6.84
2024-08-08 00:00:00,5.78,6.0,5.52,6.0,3000,6.0
2024-08-09 00:00:00,6.0,6.0,6.0,6.0,0,6.0
2024-08-12 00:00:00,6.9,8.5,6.9,7.493,19400,7.493
2024-08-13 00:00:00,7.41,7.41,6.55,6.55,7100,6.55
2024-08-14 00:00:00,7.6,8.5,7.46,7.51,13500,7.51
2024-08-15 00:00:00,9.89,9.89,7.5,7.64,2600,7.64
2024-08-16 00:00:00,7.64,7.64,7.64,7.64,500,7.64
2024-08-19 00:00:00,7.64,7.64,7.64,7.64,100,7.64
2024-08-20 00:00:00,7.64,7.64,7.64,7.64,0,7.64
2024-08-21 00:00:00,7.55,7.95,6.4,6.7,9800,6.7
2024-08-22 00:00:00,6.81,7.0,6.81,7.0,2900,7.0
2024-08-23 00:00:00,6.5,7.19,6.5,6.9,5500,6.9
2024-08-26 00:00:00,7.45,7.45,6.11,6.11,200,6.11
2024-08-27 00:00:00,6.72,8.22,6.315,8.22,7500,8.22
2024-08-28 00:00:00,8.22,8.22,8.22,8.22,0,8.22
2024-08-29 00:00:00,7.25,7.99,5.63,6.71,5200,6.71
2024-08-30 00:00:00,7.0,7.0,6.81,6.84,700,6.84
2024-09-03 00:00:00,7.0,7.0,7.0,7.0,100,7.0
2024-09-04 00:00:00,6.1,6.97,6.1,6.97,200,6.97
2024-09-05 00:00:00,6.97,6.97,6.97,6.97,0,6.97
2024-09-06 00:00:00,6.97,6.97,6.97,6.97,0,6.97
