date,open,high,low,close,volume,adj_close
2024-05-20,3.6501,3.7354,3.6415,3.6671,2322000,3.6671
2024-05-21,3.6757,3.7524,3.6757,3.7012,1518000,3.7012
2024-05-22,3.6757,3.7183,3.488,3.6501,3901900,3.6501
2024-05-23,3.633,3.7098,3.5307,3.5818,3279200,3.5818
2024-05-24,3.5733,3.6586,3.5733,3.6501,1708800,3.6501
2024-05-28,3.6757,3.7098,3.5818,3.6074,2330900,3.6074
2024-05-29,3.4539,3.5392,3.2663,3.2919,8528500,3.2919
2024-05-30,3.3516,3.5307,3.3516,3.5307,4888800,3.5307
2024-05-31,3.5221,3.5563,3.5051,3.5307,1692900,3.5307
2024-06-03,3.5307,3.5477,3.4795,3.5051,1521100,3.5051
2024-06-04,3.471,3.488,3.3857,3.4198,2661800,3.4198
2024-06-05,3.4369,3.5051,3.4198,3.5051,2191400,3.5051
2024-06-06,3.5051,3.5307,3.4454,3.4966,1756500,3.4966
2024-06-07,3.4966,3.5051,3.4283,3.4454,1325400,3.4454
2024-06-10,3.4369,3.4625,3.4283,3.4369,980500,3.4369
2024-06-11,3.3772,3.4028,3.3431,3.3942,1598100,3.3942
2024-06-12,3.4283,3.4625,3.3942,3.4198,1628300,3.4198
2024-06-13,3.4198,3.4369,3.3516,3.3772,2123100,3.3772
2024-06-14,3.3516,3.3601,3.3004,3.3175,2201900,3.3175
2024-06-17,3.326,3.3431,3.2919,3.3004,2568500,3.3004
2024-06-18,3.3089,3.3772,3.3089,3.3601,1566200,3.3601
2024-06-20,3.3686,3.4625,3.3601,3.4028,2026400,3.4028
2024-06-21,3.4369,3.5136,3.4113,3.4625,4568000,3.4625
2024-06-24,3.488,3.5136,3.471,3.4966,1240400,3.4966
2024-06-25,3.4966,3.5392,3.4966,3.5221,1843800,3.5221
2024-06-26,3.5307,3.5648,3.4966,3.5648,2330200,3.5648
2024-06-27,3.5648,3.6074,3.488,3.5221,2692700,3.5221
2024-06-28,3.5485,3.5748,3.4694,3.4958,3307200,3.4958
2024-07-01,3.4958,3.5046,3.4431,3.4958,1636400,3.4958
2024-07-02,3.4958,3.5221,3.4519,3.4958,1398600,3.4958
2024-07-03,3.487,3.5134,3.4694,3.487,989000,3.487
2024-07-05,3.4694,3.4694,3.3816,3.3816,2318200,3.3816
2024-07-08,3.3816,3.3904,3.3113,3.3113,2457000,3.3113
2024-07-09,3.3113,3.3289,3.2499,3.2674,2591400,3.2674
2024-07-10,3.2762,3.3201,3.2674,3.285,2098600,3.285
2024-07-11,3.3113,3.3289,3.2762,3.3201,2328000,3.3201
2024-07-12,3.3553,3.364,3.2762,3.285,2870400,3.285
2024-07-15,3.3289,3.364,3.3113,3.3201,2335500,3.3201
2024-07-16,3.3201,3.3465,3.3113,3.3289,1552000,3.3289
2024-07-17,3.3377,3.3553,3.2586,3.2674,3678700,3.2674
2024-07-18,3.3026,3.3113,3.2323,3.2411,3305700,3.2411
