date,open,high,low,close,volume,adj_close
2024-05-20,42.4607,43.0301,41.9493,42.8853,8365500,42.8853
2024-05-21,42.3739,42.7792,42.0747,42.4993,6702600,42.4993
2024-05-22,41.9782,42.2195,40.4921,40.907,9619600,40.907
2024-05-23,40.4149,40.5114,39.5657,39.7876,9367000,39.7876
2024-05-24,40.1447,40.6079,39.971,40.5114,6232400,40.5114
2024-05-28,41.0035,41.3799,40.55,40.9167,7505200,40.9167
2024-05-29,40.4245,40.5307,40.0675,40.1833,8477700,40.1833
2024-05-30,40.0868,40.7333,40.0578,40.4245,5864900,40.4245
2024-05-31,40.4631,40.7623,39.9517,40.4728,14031100,40.4728
2024-06-03,40.5403,40.6465,40.2122,40.4245,7828900,40.4245
2024-06-04,39.8032,39.8129,38.8906,39.3469,9173500,39.3469
2024-06-05,39.4731,39.9197,39.1819,39.9003,6110800,39.9003
2024-06-06,39.8032,41.308,39.4537,41.2594,9956300,41.2594
2024-06-07,39.5896,40.0362,39.0071,39.1819,9087900,39.1819
2024-06-10,39.2013,40.1139,38.9392,40.0944,6292900,40.0944
2024-06-11,39.5605,39.6576,38.9489,39.4634,7277200,39.4634
2024-06-12,40.2109,40.5896,39.5896,39.7935,5347600,39.7935
2024-06-13,39.5993,39.9682,38.9489,39.3761,5239600,39.3761
2024-06-14,39.6964,39.8809,39.3469,39.6285,5505300,39.6285
2024-06-17,39.8226,39.9682,39.5023,39.7158,6201400,39.7158
2024-06-18,39.7741,40.7255,39.7353,40.5701,7185200,40.5701
2024-06-20,40.6284,41.8419,40.5313,41.5604,8881100,41.5604
2024-06-21,41.4342,41.6963,40.9682,41.0264,16636300,41.0264
2024-06-24,41.0944,41.8516,41.0458,41.3565,7214800,41.3565
2024-06-25,41.172,41.3177,40.6284,40.6769,6248600,40.6769
2024-06-26,40.1527,40.5022,39.9585,40.2401,6484800,40.2401
2024-06-27,40.7449,40.9391,40.5702,40.6187,5648700,40.6187
2024-06-28,40.9779,41.1235,40.4148,40.6478,10265500,40.6478
2024-07-01,40.8711,41.2983,40.4342,40.4342,4457300,40.4342
2024-07-02,40.4439,41.0555,40.1042,40.4925,6301100,40.4925
2024-07-03,41.0944,42.3953,41.0653,42.1817,5732500,42.1817
2024-07-05,42.7448,43.3661,42.6477,43.2107,10350200,43.2107
2024-07-08,42.8807,43.0554,42.2691,42.8418,6158400,42.8418
2024-07-09,42.8418,43.036,42.5021,42.6088,4859200,42.6088
