date,open,high,low,close,volume,adj_close
2024-06-04,9.3285,9.3805,9.2938,9.3025,59400,9.3025
2024-06-05,9.3458,9.4153,9.3372,9.4153,72600,9.4153
2024-06-06,9.4413,9.4586,9.4326,9.4326,35000,9.4326
2024-06-07,9.3805,9.4326,9.3285,9.4066,24400,9.4066
2024-06-10,9.4326,9.4847,9.4066,9.4586,52400,9.4586
2024-06-11,9.45,9.5281,9.45,9.5107,29800,9.5107
2024-06-12,9.5628,9.6496,9.5628,9.6235,84700,9.6235
2024-06-13,9.6582,9.7103,9.6322,9.6929,48000,9.6929
2024-06-14,9.7296,9.7733,9.7034,9.7646,13400,9.7646
2024-06-17,9.7209,9.7296,9.6772,9.7122,27700,9.7122
2024-06-18,9.7296,9.7384,9.7122,9.7209,37000,9.7209
2024-06-20,9.6685,9.7296,9.6685,9.7034,18200,9.7034
2024-06-21,9.7384,9.782,9.686,9.7646,29900,9.7646
2024-06-24,9.782,9.8519,9.7646,9.8257,50600,9.8257
2024-06-25,9.8257,9.8694,9.8257,9.8432,38800,9.8432
2024-06-26,9.8432,9.9218,9.8432,9.913,22000,9.913
2024-06-27,9.9218,9.9916,9.9218,9.9567,31700,9.9567
2024-06-28,9.9567,10.0703,9.9567,10.0441,48800,10.0441
2024-07-01,10.0615,10.1663,9.9218,9.9392,56000,9.9392
2024-07-02,9.9654,9.9654,9.9218,9.9305,22200,9.9305
2024-07-03,9.9043,9.948,9.9043,9.948,10500,9.948
2024-07-05,9.9392,10.0528,9.9392,10.0178,18200,10.0178
2024-07-08,9.9916,10.044,9.9742,9.9916,27800,9.9916
2024-07-09,9.9829,10.0178,9.948,9.9567,12800,9.9567
2024-07-10,10.0353,10.044,9.9742,9.9916,23500,9.9916
2024-07-11,10.079,10.1576,10.0703,10.1489,36900,10.1489
2024-07-12,10.1314,10.2013,10.1314,10.1751,23800,10.1751
2024-07-15,10.1153,10.2823,10.0274,10.2559,25700,10.2559
2024-07-16,10.2823,10.3965,10.2383,10.2471,14900,10.2471
2024-07-17,10.2295,10.2647,10.2295,10.2471,10200,10.2471
2024-07-18,10.2032,10.2471,10.2032,10.212,41400,10.212
2024-07-19,10.2032,10.212,10.168,10.168,9400,10.168
2024-07-22,10.2208,10.2471,10.168,10.2032,15000,10.2032
2024-07-23,10.1856,10.2295,10.1592,10.1944,6200,10.1944
2024-07-24,10.1768,10.2208,10.1768,10.1944,14100,10.1944
2024-07-25,10.2208,10.2823,10.212,10.2208,28200,10.2208
2024-07-26,10.2823,10.3614,10.2823,10.3262,21000,10.3262
2024-07-29,10.3614,10.3877,10.2999,10.3262,14200,10.3262
2024-07-30,10.3702,10.3789,10.2295,10.2647,45800,10.2647
2024-07-31,10.3965,10.3965,10.2383,10.3526,44800,10.3526
2024-08-01,10.4229,10.4493,10.3614,10.4317,18800,10.4317
2024-08-02,10.5635,10.5635,10.4405,10.4756,125100,10.4756
2024-08-05,10.4229,10.5371,10.3877,10.3965,24900,10.3965
2024-08-06,10.4317,10.5459,10.3965,10.4756,6100,10.4756
2024-08-07,10.4756,10.5811,10.458,10.4756,20000,10.4756
2024-08-08,10.458,10.458,10.4053,10.4317,101600,10.4317
2024-08-09,10.458,10.4668,10.4053,10.4229,23300,10.4229
2024-08-12,10.5196,10.5459,10.4229,10.502,16000,10.502
2024-08-13,10.4932,10.5459,10.2999,10.3877,81100,10.3877
2024-08-14,10.4668,10.4668,10.3877,10.4405,38300,10.4405
2024-08-15,10.3803,10.4422,10.3184,10.3892,27700,10.3892
2024-08-16,10.4245,10.5041,10.4069,10.4157,14200,10.4157
2024-08-19,10.5395,10.5395,10.4157,10.4599,14900,10.4599
2024-08-20,10.5041,10.5041,10.3538,10.3892,70600,10.3892
2024-08-21,10.4069,10.4245,10.3627,10.4069,49600,10.4069
2024-08-22,10.3715,10.4069,10.3273,10.3361,45100,10.3361
2024-08-23,10.3715,10.4069,10.345,10.3627,36300,10.3627
2024-08-26,10.3892,10.4069,10.3627,10.3715,26900,10.3715
2024-08-27,10.3715,10.4511,10.3538,10.4511,49900,10.4511
2024-08-28,10.4864,10.5218,10.4599,10.4864,38200,10.4864
2024-08-29,10.5041,10.5395,10.4776,10.5041,31800,10.5041
2024-08-30,10.5307,10.5749,10.4157,10.5395,41600,10.5395
2024-09-03,10.5925,10.6014,10.5218,10.5925,40000,10.5925
2024-09-04,10.5837,10.6898,10.5306,10.681,97100,10.681
2024-09-05,10.6456,10.7694,10.6456,10.6633,44300,10.6633
2024-09-06,10.6986,10.8401,10.6898,10.7252,38100,10.7252
2024-09-09,10.7782,10.9993,10.7517,10.8932,45000,10.8932
2024-09-10,11.0258,11.0523,10.9285,10.9639,52000,10.9639
2024-09-11,10.9639,11.0435,10.8224,10.9285,64100,10.9285
2024-09-12,10.902,10.9993,10.8843,10.8843,45100,10.8843
2024-09-13,10.895,11.0195,10.895,10.9306,32500,10.9306
2024-09-16,11.0284,11.0284,10.895,10.895,28400,10.895
2024-09-17,10.9306,11.064,10.9306,11.0106,30500,11.0106
2024-09-18,11.0106,11.0729,11.0106,11.0462,61400,11.0462
2024-09-19,11.0462,11.1796,11.0106,11.1796,23300,11.1796
2024-09-20,11.2241,11.2419,11.1173,11.1618,39400,11.1618
2024-09-23,11.0907,11.1618,11.064,11.1262,23100,11.1262
2024-09-24,11.1262,11.562,11.0373,11.4197,113900,11.4197
2024-09-25,11.3397,11.4731,11.1618,11.2508,89000,11.2508
2024-09-26,11.2952,11.4731,11.2596,11.3397,49100,11.3397
2024-09-27,11.3219,11.3308,11.2596,11.2685,42200,11.2685
2024-09-30,11.3308,11.6421,11.313,11.5887,56700,11.5887
2024-10-01,11.7666,11.7666,11.5798,11.6332,83500,11.6332
2024-10-02,11.5887,11.7488,11.5887,11.6688,26100,11.6688
2024-10-03,11.6688,11.7399,11.6065,11.7043,75700,11.7043
2024-10-04,11.5887,11.7043,11.5887,11.6154,44400,11.6154
2024-10-07,11.6065,11.7132,11.6065,11.7132,11300,11.7132
2024-10-08,11.651,11.651,11.4731,11.4731,84200,11.4731
2024-10-09,11.4553,11.5887,11.4464,11.5798,13600,11.5798
2024-10-10,11.562,11.5976,11.5531,11.5976,11100,11.5976
2024-10-11,11.5976,11.6243,11.5798,11.6065,9200,11.6065
2024-10-14,11.6154,11.6243,11.5709,11.5709,14600,11.5709
2024-10-15,11.6174,11.6532,11.5906,11.5906,22600,11.5906
2024-10-16,11.5996,11.6264,11.5548,11.6085,26000,11.6085
2024-10-17,11.6443,11.7605,11.5817,11.7069,22800,11.7069
2024-10-18,11.6353,11.6979,11.6353,11.68,22600,11.68
2024-10-21,11.6174,11.6622,11.5817,11.5995,42600,11.5995
2024-10-22,11.6174,11.6443,11.5817,11.5995,11600,11.5995
2024-10-23,11.5727,11.6353,11.376,11.4743,58000,11.4743
2024-10-24,11.4922,11.5101,11.4117,11.4654,36000,11.4654
2024-10-25,11.4922,11.6532,11.4833,11.5638,36700,11.5638
2024-10-28,11.6174,11.6711,11.3939,11.4475,34600,11.4475
2024-10-29,11.3939,11.4565,11.3134,11.376,37800,11.376
2024-10-30,11.5012,11.5459,11.3939,11.4028,12400,11.4028
2024-10-31,11.528,11.6532,11.3044,11.5369,49200,11.5369
2024-11-01,11.7069,11.7337,11.5012,11.5191,29900,11.5191
2024-11-04,11.6532,11.6979,11.5369,11.5548,81000,11.5548
2024-11-05,11.5727,11.5906,11.4207,11.4743,25800,11.4743
2024-11-06,11.4117,11.5996,11.3313,11.4117,18900,11.4117
2024-11-07,11.4922,11.5996,11.3402,11.4743,76300,11.4743
2024-11-08,11.5548,11.7248,11.5369,11.5638,23100,11.5638
2024-11-11,11.6711,11.7874,11.6443,11.7158,17400,11.7158
2024-11-12,11.6979,11.6979,11.5906,11.6264,39300,11.6264
2024-11-13,11.7069,12.163,11.6174,11.8947,185500,11.8947
2024-11-14,11.9483,11.9483,11.8321,11.9215,38700,11.9215
2024-11-15,11.8963,11.9683,11.8873,11.8873,55100,11.8873
2024-11-18,11.8873,11.8873,11.7255,11.8873,45800,11.8873
2024-11-19,11.7974,11.8694,11.7615,11.8334,21600,11.8334
