date,open,high,low,close,volume,adj_close
2024-05-20,44.2215,46.3981,44.2215,45.6402,700300,45.6402
2024-05-21,45.6693,46.2037,44.7851,46.1163,550100,46.1163
2024-05-22,46.2135,47.0685,45.9608,46.3106,520400,46.3106
2024-05-23,46.6313,47.3115,46.1649,47.2532,440500,47.2532
2024-05-24,47.7293,49.4103,47.5447,48.837,633100,48.837
2024-05-28,49.663,50.6735,48.9536,50.2945,811000,50.2945
2024-05-29,49.5561,50.4112,48.5941,48.9342,374500,48.9342
2024-05-30,49.3326,51.2371,49.1674,50.3431,341100,50.3431
2024-05-31,50.3334,50.9261,48.1374,48.2443,578800,48.2443
2024-06-03,48.7409,49.734,47.5725,48.0885,537300,48.0885
2024-06-04,47.8938,48.3806,46.4236,48.3124,496400,48.3124
2024-06-05,48.5851,50.6882,48.5851,50.4642,340300,50.4642
2024-06-06,50.1526,50.5129,48.9843,49.8605,245300,49.8605
2024-06-07,49.6171,50.5616,48.7408,48.8966,277100,48.8966
2024-06-10,48.6727,48.9453,47.8159,48.7506,242200,48.7506
2024-06-11,48.6824,48.7214,48.0204,48.6532,317000,48.6532
2024-06-12,49.8995,51.3892,49.5198,50.5518,463000,50.5518
2024-06-13,50.6979,51.7007,50.1624,51.5839,303500,51.5839
2024-06-14,51.0873,51.506,49.6658,50.3376,262300,50.3376
2024-06-17,50.4253,52.0026,50.3376,51.6034,306000,51.6034
2024-06-18,51.6034,52.1778,50.62,50.9802,308200,50.9802
2024-06-20,51.175,51.2626,48.663,48.7214,289600,48.7214
2024-06-21,48.0398,49.2374,47.9035,49.1206,629100,49.1206
2024-06-24,49.179,49.8119,48.848,49.2569,216400,49.2569
2024-06-25,49.3153,49.7048,48.8772,49.4613,226500,49.4613
2024-06-26,49.6269,50.1916,49.1011,49.6756,264900,49.6756
2024-06-27,49.9676,50.5421,49.7048,50.3474,256100,50.3474
2024-06-28,50.8634,51.136,50.396,50.581,885100,50.581
2024-07-01,50.3766,51.1652,49.734,51.0971,284700,51.0971
2024-07-02,51.1847,52.2849,50.7855,52.246,346700,52.246
2024-07-03,52.4797,53.2196,51.876,52.6354,135800,52.6354
2024-07-05,52.6257,53.132,51.8371,52.1486,221500,52.1486
2024-07-08,52.7815,53.4241,52.2168,53.2196,328900,53.2196
2024-07-09,53.317,53.5117,51.8078,52.3336,273500,52.3336
2024-07-10,52.7133,53.5215,52.1973,52.8107,299100,52.8107
2024-07-11,53.7162,54.3393,52.0123,52.1389,420500,52.1389
2024-07-12,52.6452,54.0472,52.577,53.3559,1064600,53.3559
2024-07-15,54.0862,55.6927,54.0862,55.1572,527400,55.1572
2024-07-16,55.6051,55.8582,54.5341,55.2351,442800,55.2351
2024-07-17,54.5438,54.5633,52.0415,52.4407,458900,52.4407
2024-07-18,52.5576,53.2781,51.1847,52.0999,426100,52.0999
2024-07-19,52.2849,52.9665,51.3794,52.0707,380900,52.0707
2024-07-22,52.577,54.427,51.9928,54.0667,288000,54.0667
2024-07-23,53.6383,55.5759,53.6383,55.2254,406500,55.2254
2024-07-24,54.4464,54.5925,53.1807,53.2002,443500,53.2002
2024-07-25,53.5117,53.5507,51.3989,52.0999,388600,52.0999
2024-07-26,53.0833,54.2322,52.392,53.833,268700,53.833
2024-07-29,54.6217,54.6704,52.1389,53.0736,231900,53.0736
2024-07-30,53.317,53.6091,52.5381,53.0249,259100,53.0249
2024-07-31,54.0278,55.0111,53.3754,54.3393,353100,54.3393
2024-08-01,54.6022,54.6217,51.6326,52.9762,354500,52.9762
2024-08-02,50.6297,51.6034,48.6727,50.6005,469700,50.6005
2024-08-05,46.8228,50.2208,45.5375,49.4613,330700,49.4613
2024-08-06,49.8411,51.0094,48.8772,50.4934,191900,50.4934
2024-08-07,51.4573,51.7202,48.7701,48.8577,206800,48.8577
2024-08-08,49.7729,51.4379,48.5656,51.4379,229600,51.4379
2024-08-09,51.1068,52.207,50.7368,51.9247,230500,51.9247
2024-08-12,52.0318,52.9665,51.506,51.5644,219300,51.5644
2024-08-13,52.2557,52.9275,51.7202,52.4602,245900,52.4602
2024-08-14,53.0346,53.3365,52.1486,52.431,166900,52.431
2024-08-15,53.5507,55.4396,52.9568,55.0988,308300,55.0988
2024-08-16,55.1475,55.6343,54.7288,54.9819,382600,54.9819
2024-08-19,54.9917,56.5592,54.758,56.4716,235200,56.4716
2024-08-20,56.2477,56.4716,53.3462,53.3852,386500,53.3852
2024-08-21,53.7649,54.4562,53.2002,54.3199,350400,54.3199
2024-08-22,54.2322,54.7191,53.2975,53.3365,278600,53.3365
2024-08-23,53.833,54.5925,53.3852,54.0083,360200,54.0083
2024-08-26,53.0639,53.171,44.0771,46.1315,1561600,46.1315
2024-08-27,45.6447,45.7323,44.2037,45.1773,1084300,45.1773
2024-08-28,45.2455,46.7546,44.9923,46.1509,618300,46.1509
2024-08-29,46.2483,47.4654,43.2787,43.4053,1032600,43.4053
2024-08-30,44.4957,45.4402,43.8726,45.1578,1152300,45.1578
2024-09-03,44.6028,44.856,42.0421,42.1882,601200,42.1882
2024-09-04,41.789,42.4998,40.7959,42.2466,694300,42.2466
2024-09-05,35.5869,36.5118,30.9523,33.5909,7245700,33.5909
2024-09-06,33.474,35.5382,32.9775,33.328,2489700,33.328
2024-09-09,33.328,34.6619,33.3085,34.2432,804600,34.2432
2024-09-10,34.068,35.8205,34.0193,35.6063,705800,35.6063
2024-09-11,35.7524,36.4729,34.6619,35.6161,495300,35.6161
2024-09-12,35.9629,36.7445,35.66,36.7152,390300,36.7152
2024-09-13,37.2134,37.5847,36.9008,37.5456,671500,37.5456
2024-09-16,37.2818,38.7766,37.1548,38.5128,581900,38.5128
2024-09-17,39.0697,40.2714,38.9623,39.3824,788300,39.3824
2024-09-18,39.3921,41.1116,38.9916,39.8318,587600,39.8318
2024-09-19,40.5938,40.7404,38.718,39.5387,1336900,39.5387
2024-09-20,39.4703,39.7536,38.3663,38.6692,988400,38.6692
2024-09-23,38.9623,40.2519,38.5421,40.2421,577700,40.2421
2024-09-24,40.4473,40.5645,39.1772,40.4375,326800,40.4375
2024-09-25,40.4668,40.7892,40.2421,40.5254,339300,40.5254
2024-09-26,41.1995,41.4731,40.3496,40.3691,355200,40.3691
2024-09-27,40.4863,40.9553,39.4898,39.9685,288100,39.9685
2024-09-30,39.8513,40.0076,38.9818,39.5289,556100,39.5289
2024-10-01,39.4703,39.4703,37.7312,37.9071,458300,37.9071
2024-10-02,37.7117,38.5617,37.7117,38.0341,312900,38.0341
2024-10-03,37.8387,37.9462,36.9887,37.3111,417400,37.3111
2024-10-04,38.21,38.3174,37.233,37.7019,259300,37.7019
2024-10-07,37.36,37.868,36.9106,37.6433,498700,37.6433
2024-10-08,37.741,38.1025,37.2721,37.8778,279000,37.8778
2024-10-09,37.8387,38.6203,37.4675,38.2979,242000,38.2979
2024-10-10,37.868,38.5617,37.2916,37.995,245800,37.995
2024-10-11,38.1025,38.8352,37.995,38.4933,344000,38.4933
2024-10-14,38.6203,39.5387,38.1416,39.4898,529200,39.4898
2024-10-15,39.568,41.0432,39.4507,40.7306,626600,40.7306
2024-10-16,41.0335,41.6001,40.5547,41.1995,404100,41.1995
2024-10-17,41.5903,41.5903,40.6427,40.926,494500,40.926
2024-10-18,41.1116,41.1116,39.8025,40.6231,346800,40.6231
2024-10-21,40.6231,40.6231,39.7731,40.3203,283400,40.3203
2024-10-22,39.9099,40.203,39.3921,39.4507,164000,39.4507
2024-10-23,39.2944,39.5289,38.4249,38.6692,336300,38.6692
2024-10-24,38.9036,39.1283,38.0732,38.083,300000,38.083
2024-10-25,38.4151,38.6985,37.145,37.7117,429600,37.7117
2024-10-28,38.2002,38.7278,37.8485,38.1025,382900,38.1025
2024-10-29,37.741,38.6105,37.6433,38.5324,218600,38.5324
2024-10-30,38.122,38.8157,38.0146,38.2588,276200,38.2588
2024-10-31,38.0243,38.0243,36.8617,37.5945,551800,37.5945
2024-11-01,37.868,38.3956,37.6238,37.7019,704300,37.7019
2024-11-04,32.2406,35.5233,31.0389,33.7158,1966500,33.7158
2024-11-05,33.7256,35.1618,33.5693,35.0836,762800,35.0836
2024-11-06,37.1255,37.5456,36.2365,37.0083,495300,37.0083
2024-11-07,37.0083,38.0927,36.8422,37.3405,554800,37.3405
2024-11-08,37.1841,38.2979,37.1255,37.7703,570500,37.7703
2024-11-11,37.8778,38.7473,36.9497,37.868,701800,37.868
2024-11-12,37.1939,38.2784,36.5979,36.8715,587800,36.8715
2024-11-13,37.0278,37.3014,36.1681,36.1876,310500,36.1876
2024-11-14,36.0801,36.6663,35.8164,36.0606,287300,36.0606
2024-11-15,36.0411,36.0704,35.1032,35.1325,218200,35.1325
2024-11-18,35.0348,35.2888,34.2141,34.7807,543900,34.7807
2024-11-19,34.429,35.4646,34.429,35.3669,253700,35.3669
2024-11-20,35.2009,36.3537,34.9761,36.0899,261000,36.0899
2024-11-21,36.1974,36.7933,36.0997,36.4807,220000,36.4807
2024-11-22,36.7054,38.3663,36.6273,38.3174,284700,38.3174
2024-11-25,38.7278,39.9979,38.6985,39.1381,380000,39.1381
2024-11-26,38.8646,39.4507,38.337,39.099,312600,39.099
2024-11-27,39.3628,39.441,37.7019,38.0146,296300,38.0146
2024-11-29,38.0341,38.9134,38.0341,38.3272,152000,38.3272
2024-12-02,38.4933,39.4312,38.1709,39.0306,402000,39.0306
2024-12-03,38.9818,39.1674,38.5031,39.1186,174500,39.1186
2024-12-04,39.2456,40.457,39.1674,39.8611,261600,39.8611
2024-12-05,39.6755,39.7927,39.0013,39.0404,233200,39.0404
2024-12-06,39.353,39.568,38.4151,38.7278,205200,38.7278
2024-12-09,38.6887,38.9232,37.4479,37.4675,213000,37.4675
2024-12-10,37.3991,38.464,37.1255,37.7312,296200,37.7312
2024-12-11,38.1025,38.3565,37.3698,37.4772,254200,37.4772
2024-12-12,37.5605,38.1291,37.1587,37.2861,318100,37.2861
2024-12-13,37.5507,37.639,35.8746,36.2667,450000,36.2667
2024-12-16,36.2667,37.6095,35.9923,37.0999,670900,37.0999
2024-12-17,36.9332,37.3841,35.2865,36.4431,424400,36.4431
2024-12-18,36.8156,37.0214,35.4336,35.7374,463500,35.7374
2024-12-19,35.8452,36.6098,35.6198,35.953,427700,35.953
2024-12-20,35.4924,36.2569,35.1689,35.5708,658300,35.5708
2024-12-23,35.6982,35.6982,34.816,35.0219,206700,35.0219
2024-12-24,35.1395,35.5414,34.9827,35.3747,98700,35.3747
2024-12-26,35.1689,35.7276,35.0709,35.561,123100,35.561
2024-12-27,35.1689,35.3943,34.424,34.7964,240900,34.7964
2024-12-30,34.4436,34.865,33.8359,34.6788,173900,34.6788
2024-12-31,34.816,35.3747,34.6004,34.8552,221700,34.8552
2025-01-02,35.0905,35.6296,34.1887,34.2965,227400,34.2965
2025-01-03,34.3652,35.0905,34.2475,34.9925,382100,34.9925
2025-01-06,35.2179,35.8256,35.1787,35.1983,211100,35.1983
2025-01-07,35.3453,35.806,33.9339,34.0319,257800,34.0319
2025-01-08,33.8947,34.718,33.5222,34.424,275800,34.424
2025-01-10,34.0907,34.0907,32.9733,33.1105,320800,33.1105
2025-01-13,32.8165,33.2477,32.3068,32.7479,249400,32.7479
2025-01-14,33.1791,33.6986,32.8067,33.1693,210400,33.1693
2025-01-15,34.0123,34.1985,33.6202,33.9045,336800,33.9045
