date,open,high,low,close,volume,adj_close
2026-03-06,1.66,1.66,1.66,1.66,0,1.66
2026-03-09,1.82,1.82,1.82,1.82,0,1.82
2026-03-10,1.79,1.79,1.79,1.79,0,1.79
2026-03-11,1.8901,1.8901,1.8901,1.8901,0,1.8901
2026-03-12,1.8,1.8,1.8,1.8,0,1.8
2026-03-13,1.8,1.8,1.8,1.8,0,1.8
2026-03-16,1.8,1.8,1.8,1.8,0,1.8
2026-03-17,1.8,1.8,1.8,1.8,0,1.8
2026-03-18,1.8,1.8,1.8,1.8,0,1.8
2026-03-19,1.8,1.8,1.8,1.8,0,1.8
2026-03-20,1.8,1.8,1.8,1.8,0,1.8
2026-03-23,1.8,1.8,1.8,1.8,0,1.8
2026-03-24,1.8,1.8,1.8,1.8,0,1.8
2026-03-25,1.8,1.8,1.8,1.8,0,1.8
2026-03-26,1.8,1.8,1.8,1.8,0,1.8
2026-03-27,1.8,1.8,1.8,1.8,0,1.8
2026-03-30,1.8,1.8,1.8,1.8,0,1.8
2026-03-31,1.8,1.8,1.8,1.8,0,1.8
2026-04-01,1.8,1.8,1.8,1.8,0,1.8
2026-04-02,1.8,1.8,1.8,1.8,0,1.8
2026-04-06,1.8,1.8,1.8,1.8,0,1.8
2026-04-07,1.8,1.8,1.8,1.8,0,1.8
2026-04-08,1.8,1.8,1.8,1.8,0,1.8
2026-04-09,1.8,1.8,1.8,1.8,0,1.8
2026-04-10,1.8,1.8,1.8,1.8,0,1.8
2026-04-13,1.8,1.8,1.8,1.8,0,1.8
2026-04-14,1.8,1.8,1.8,1.8,0,1.8
2026-04-15,1.8,1.8,1.8,1.8,0,1.8
2026-04-16,1.8,1.8,1.8,1.8,0,1.8
2026-04-17,1.8,1.8,1.8,1.8,0,1.8
2026-04-20,1.8,1.8,1.8,1.8,0,1.8
2026-04-21,1.8,1.8,1.8,1.8,0,1.8
2026-04-22,1.8,1.8,1.8,1.8,0,1.8
2026-04-23,1.8,1.8,1.8,1.8,0,1.8
2026-04-24,1.8,1.8,1.8,1.8,0,1.8
2026-04-27,1.8,1.8,1.8,1.8,0,1.8
2026-04-28,1.8,1.8,1.8,1.8,0,1.8
2026-04-29,1.8,1.8,1.8,1.8,0,1.8
2026-04-30,1.8,1.8,1.8,1.8,0,1.8
2026-05-01,1.8,1.8,1.8,1.8,0,1.8
2026-05-04,1.8,1.8,1.8,1.8,0,1.8
2026-05-05,1.8,1.8,1.8,1.8,0,1.8
2026-05-06,1.8,1.8,1.8,1.8,0,1.8
2026-05-07,1.8,1.8,1.8,1.8,0,1.8
2026-05-08,1.8,1.8,1.8,1.8,0,1.8
2026-05-11,1.8,1.8,1.8,1.8,0,1.8
2026-05-12,1.8,1.8,1.8,1.8,0,1.8
2026-05-13,1.8,1.8,1.8,1.8,0,1.8
2026-05-14,1.8,1.8,1.8,1.8,0,1.8
2026-05-15,1.8,1.8,1.8,1.8,0,1.8
2026-05-18,1.8,1.8,1.8,1.8,0,1.8
2026-05-19,1.8,1.8,1.8,1.8,0,1.8
2026-05-20,1.8,1.8,1.8,1.8,0,1.8
2026-05-21,1.8,1.8,1.8,1.8,0,1.8
2026-05-22,1.8,1.8,1.8,1.8,0,1.8
2026-05-26,1.8,1.8,1.8,1.8,0,1.8
2026-05-27,1.8,1.8,1.8,1.8,0,1.8
2026-05-28,1.8,1.8,1.8,1.8,0,1.8
2026-05-29,1.8,1.8,1.8,1.8,0,1.8
2026-06-01,1.8,1.8,1.8,1.8,0,1.8
2026-06-02,1.8,1.8,1.8,1.8,0,1.8
2026-06-03,1.8,1.8,1.8,1.8,0,1.8
2026-06-04,1.8,1.8,1.8,1.8,0,1.8
2026-06-05,1.8,1.8,1.8,1.8,0,1.8
2026-06-08,1.8,1.8,1.8,1.8,0,1.8
2026-06-09,1.8,1.8,1.8,1.8,0,1.8
2026-06-10,1.8,1.8,1.8,1.8,0,1.8
2026-06-11,1.8,1.8,1.8,1.8,0,1.8
2026-06-12,1.8,1.8,1.8,1.8,0,1.8
2026-06-15,1.8,1.8,1.8,1.8,0,1.8
2026-06-16,1.8,1.8,1.8,1.8,0,1.8
2026-06-17,1.8,1.8,1.8,1.8,0,1.8
2026-06-18,1.8,1.8,1.8,1.8,0,1.8
2026-06-22,1.8,1.8,1.8,1.8,0,1.8
2026-06-23,1.8,1.8,1.8,1.8,0,1.8
2026-06-24,1.8,1.8,1.8,1.8,0,1.8
2026-06-25,1.8,1.8,1.8,1.8,0,1.8
2026-06-26,1.8,1.8,1.8,1.8,0,1.8
2026-06-29,2.74,2.99,2.57,2.925,63205,2.925
2026-06-30,2.97,3.07,2.82,2.87,55564,2.87
2026-07-01,2.65,2.91,2.55,2.55,28393,2.55
