date,open,high,low,close,volume,adj_close
2024-05-20,7.9085,7.9085,7.8535,7.8626,384900,7.8626
2024-05-21,7.8626,7.881,7.8443,7.8535,265600,7.8535
2024-05-22,7.8443,7.8535,7.8077,7.8168,354400,7.8168
2024-05-23,7.8168,7.8168,7.7618,7.7802,442300,7.7802
2024-05-24,7.771,7.7893,7.7527,7.7618,340900,7.7618
2024-05-28,7.7985,7.7985,7.6977,7.7069,518600,7.7069
2024-05-29,7.7069,7.7069,7.6519,7.6885,505500,7.6885
2024-05-30,7.6977,7.7069,7.6702,7.6885,522200,7.6885
2024-05-31,7.7343,7.7802,7.7252,7.7618,465500,7.7618
2024-06-03,7.7985,7.8352,7.7802,7.8077,378400,7.8077
2024-06-04,7.826,7.8535,7.7893,7.8077,447300,7.8077
2024-06-05,7.8535,7.8626,7.7893,7.8077,530100,7.8077
2024-06-06,7.8077,7.826,7.771,7.7893,555800,7.7893
2024-06-07,7.7435,7.7893,7.7343,7.7893,535800,7.7893
2024-06-10,7.7802,7.8077,7.7618,7.7618,405700,7.7618
2024-06-11,7.7802,7.7985,7.7435,7.7618,347000,7.7618
2024-06-12,7.7893,7.8077,7.7618,7.7802,834100,7.7802
2024-06-13,7.7985,7.8352,7.7985,7.8168,628600,7.8168
2024-06-14,7.8251,7.8619,7.8251,7.8619,499700,7.8619
2024-06-17,7.8251,7.8711,7.8251,7.8619,414800,7.8619
2024-06-18,7.8619,7.8895,7.8619,7.8711,420600,7.8711
2024-06-20,7.8711,7.8803,7.8343,7.8619,444600,7.8619
2024-06-21,7.8527,7.8711,7.8251,7.8527,429300,7.8527
2024-06-24,7.8435,7.8803,7.8435,7.8619,328300,7.8619
2024-06-25,7.8527,7.8803,7.8251,7.8527,341800,7.8527
2024-06-26,7.8527,7.8895,7.8343,7.8895,353600,7.8895
2024-06-27,7.8895,7.8895,7.8619,7.8711,272300,7.8711
2024-06-28,7.8711,7.9354,7.8711,7.9354,566500,7.9354
2024-07-01,7.9171,7.9262,7.8803,7.8987,341600,7.8987
2024-07-02,7.8987,7.9446,7.8987,7.9171,424900,7.9171
2024-07-03,7.9171,7.963,7.9171,7.9354,187800,7.9354
2024-07-05,7.9722,7.9814,7.9538,7.9814,264200,7.9814
2024-07-08,7.9722,7.9998,7.9079,7.9354,344700,7.9354
2024-07-09,7.9262,7.9446,7.9262,7.9354,282700,7.9354
2024-07-10,7.9538,7.963,7.9354,7.9446,353400,7.9446
2024-07-11,7.9722,8.0182,7.9538,8.0182,340400,8.0182
2024-07-12,8.0274,8.0734,7.9998,8.0458,427100,8.0458
2024-07-15,8.0541,8.0725,8.008,8.0356,416200,8.0356
2024-07-16,8.0633,8.091,8.0356,8.091,287300,8.091
2024-07-17,8.0633,8.091,8.0449,8.0541,246400,8.0541
2024-07-18,8.0541,8.1002,8.0449,8.0633,390800,8.0633
2024-07-19,8.0264,8.0633,8.0264,8.0449,220200,8.0449
2024-07-22,8.0449,8.091,8.0356,8.0633,418100,8.0633
2024-07-23,8.0818,8.091,8.0356,8.0449,229800,8.0449
2024-07-24,8.0264,8.0541,7.9895,7.9987,287700,7.9987
2024-07-25,7.9987,8.0725,7.9987,8.0633,316200,8.0633
2024-07-26,8.0356,8.0818,8.0356,8.0541,216600,8.0541
2024-07-29,8.0541,8.091,8.0449,8.0633,414000,8.0633
2024-07-30,8.0541,8.0818,8.0264,8.0356,415500,8.0356
2024-07-31,8.0633,8.1094,8.0449,8.0818,514400,8.0818
2024-08-01,8.1094,8.1556,8.1094,8.1556,246600,8.1556
2024-08-02,8.1925,8.2571,8.1648,8.2202,467900,8.2202
2024-08-05,8.2109,8.2294,7.9987,8.0172,1157200,8.0172
2024-08-06,8.0818,8.091,8.0264,8.0449,1665000,8.0449
2024-08-07,8.0725,8.2017,8.0541,8.091,577200,8.091
2024-08-08,8.1371,8.1463,8.0633,8.0725,350600,8.0725
2024-08-09,8.1094,8.1279,8.091,8.1094,203500,8.1094
2024-08-12,8.1279,8.1371,8.0725,8.1002,370500,8.1002
2024-08-13,8.1371,8.1371,8.0818,8.1187,303300,8.1187
2024-08-14,8.1187,8.1279,8.1002,8.1094,236400,8.1094
2024-08-15,8.09,8.1455,8.0252,8.0993,613700,8.0993
2024-08-16,8.0993,8.127,8.09,8.1085,235100,8.1085
2024-08-19,8.0993,8.1826,8.0993,8.1363,470800,8.1363
2024-08-20,8.1363,8.1641,8.1363,8.1455,241100,8.1455
2024-08-21,8.1455,8.1733,8.1178,8.1733,378600,8.1733
2024-08-22,8.1733,8.1826,8.1363,8.1548,347600,8.1548
2024-08-23,8.1733,8.1918,8.1641,8.1733,248300,8.1733
2024-08-26,8.1918,8.2011,8.127,8.1455,493800,8.1455
2024-08-27,8.1641,8.1918,8.127,8.1455,320400,8.1455
2024-08-28,8.1641,8.1733,8.1455,8.1641,239800,8.1641
2024-08-29,8.1641,8.1733,8.127,8.1641,377200,8.1641
2024-08-30,8.1733,8.1918,8.1455,8.1455,339400,8.1455
2024-09-03,8.1918,8.2196,8.1826,8.2196,355200,8.2196
2024-09-04,8.2011,8.2381,8.1826,8.2196,467400,8.2196
2024-09-05,8.2381,8.2936,8.2196,8.2844,378500,8.2844
2024-09-06,8.2844,8.3584,8.2751,8.2936,664500,8.2936
2024-09-09,8.2844,8.3399,8.2844,8.3214,411200,8.3214
2024-09-10,8.3307,8.3399,8.3029,8.3029,395200,8.3029
2024-09-11,8.3214,8.3492,8.3122,8.3214,305400,8.3214
2024-09-12,8.3307,8.3677,8.3214,8.3677,260200,8.3677
2024-09-13,8.3965,8.4243,8.3686,8.3779,685900,8.3779
2024-09-16,8.4151,8.4336,8.3779,8.4243,399900,8.4243
2024-09-17,8.4336,8.4429,8.3965,8.4243,437600,8.4243
2024-09-18,8.4336,8.4336,8.3872,8.3965,502400,8.3965
2024-09-19,8.4058,8.4243,8.3965,8.4243,448600,8.4243
2024-09-20,8.4336,8.4336,8.3965,8.4151,249300,8.4151
2024-09-23,8.4151,8.4244,8.3872,8.3965,212300,8.3965
2024-09-24,8.3965,8.4151,8.3779,8.3965,260400,8.3965
2024-09-25,8.3965,8.4058,8.3593,8.3593,299300,8.3593
2024-09-26,8.3965,8.3965,8.3315,8.3315,385500,8.3315
2024-09-27,8.3686,8.3779,8.3408,8.3593,436700,8.3593
2024-09-30,8.3593,8.4058,8.35,8.3779,519500,8.3779
2024-10-01,8.3965,8.4429,8.3779,8.4429,409700,8.4429
2024-10-02,8.4336,8.4336,8.3965,8.3965,467700,8.3965
2024-10-03,8.3965,8.4244,8.3872,8.3965,277900,8.3965
2024-10-04,8.3686,8.3965,8.3686,8.3965,313400,8.3965
2024-10-07,8.3965,8.4429,8.3965,8.4243,684800,8.4243
2024-10-08,8.4243,8.4987,8.4243,8.4987,891500,8.4987
2024-10-09,8.4801,8.4894,8.4522,8.4615,377600,8.4615
2024-10-10,8.4708,8.4801,8.4522,8.4615,479700,8.4615
2024-10-11,8.4708,8.4801,8.4522,8.4522,425300,8.4522
2024-10-14,8.4244,8.4708,8.4151,8.4522,787400,8.4522
2024-10-15,8.4811,8.5184,8.4718,8.5184,357700,8.5184
2024-10-16,8.5277,8.5277,8.4904,8.4997,425300,8.4997
2024-10-17,8.5091,8.5091,8.4718,8.4718,531000,8.4718
2024-10-18,8.4997,8.5091,8.4625,8.4904,328300,8.4904
2024-10-21,8.4904,8.4904,8.4531,8.4625,490300,8.4625
2024-10-22,8.4718,8.4811,8.4252,8.4252,406300,8.4252
2024-10-23,8.3972,8.4159,8.3227,8.3227,687900,8.3227
2024-10-24,8.3227,8.3599,8.2761,8.2761,517200,8.2761
2024-10-25,8.2761,8.332,8.2761,8.3133,346400,8.3133
2024-10-28,8.304,8.3133,8.2854,8.304,365800,8.304
2024-10-29,8.2854,8.3133,8.2574,8.2947,421900,8.2947
2024-10-30,8.332,8.3413,8.2667,8.304,664800,8.304
2024-10-31,8.2854,8.332,8.2854,8.304,595900,8.304
2024-11-01,8.332,8.3506,8.2947,8.304,529100,8.304
2024-11-04,8.304,8.3693,8.2947,8.2947,372000,8.2947
2024-11-05,8.3227,8.3506,8.304,8.3227,362900,8.3227
2024-11-06,8.2761,8.2947,8.1922,8.2854,1227400,8.2854
2024-11-07,8.3227,8.332,8.2947,8.3227,279600,8.3227
2024-11-08,8.3506,8.3786,8.3413,8.3506,362300,8.3506
2024-11-11,8.3693,8.3786,8.2947,8.3227,623800,8.3227
2024-11-12,8.3227,8.3227,8.2481,8.2667,449900,8.2667
2024-11-13,8.2947,8.2947,8.2481,8.2574,365500,8.2574
2024-11-14,8.2854,8.2854,8.2295,8.2574,459000,8.2574
2024-11-15,8.249,8.2584,8.221,8.221,488700,8.221
2024-11-18,8.221,8.249,8.1742,8.2023,563300,8.2023
2024-11-19,8.2022,8.2303,8.1742,8.2303,585800,8.2303
2024-11-20,8.2303,8.2303,8.1835,8.1929,331400,8.1929
2024-11-21,8.221,8.2303,8.1461,8.1648,716000,8.1648
