date,open,high,low,close,volume,adj_close
2024-05-20,6.07,6.17,5.85,5.98,199800,5.98
2024-05-21,6.0,6.16,5.86,6.08,105500,6.08
2024-05-22,6.1,6.99,6.1,6.67,68800,6.67
2024-05-23,6.67,7.368,6.53,6.68,249700,6.68
2024-05-24,6.74,6.852,6.115,6.21,76600,6.21
2024-05-28,6.33,7.0,6.33,6.58,73300,6.58
2024-05-29,6.45,6.821,6.161,6.42,50000,6.42
2024-05-30,6.49,6.67,6.26,6.4,66000,6.4
2024-05-31,6.585,6.87,6.2,6.77,76400,6.77
2024-06-03,6.84,6.9,6.4,6.54,74000,6.54
2024-06-04,6.54,6.83,6.35,6.5,41000,6.5
2024-06-05,6.5,6.702,5.95,6.09,121700,6.09
2024-06-06,6.06,6.835,6.06,6.53,69800,6.53
2024-06-07,6.44,6.75,6.185,6.34,33100,6.34
2024-06-10,6.19,6.65,6.012,6.53,21800,6.53
2024-06-11,6.425,6.97,6.29,6.63,127300,6.63
2024-06-12,6.81,6.81,6.48,6.65,36900,6.65
2024-06-13,6.61,7.039,6.61,6.83,40900,6.83
2024-06-14,6.75,6.89,6.51,6.77,51300,6.77
2024-06-17,6.79,7.02,6.6,6.85,93500,6.85
2024-06-18,6.76,6.875,6.44,6.45,53100,6.45
2024-06-20,6.51,7.02,6.51,6.83,84300,6.83
2024-06-21,6.85,7.29,6.72,7.05,258000,7.05
2024-06-24,7.07,7.27,7.07,7.2,86200,7.2
2024-06-25,7.271,7.271,7.1,7.1,99100,7.1
2024-06-26,7.21,7.42,6.43,6.5,117600,6.5
2024-06-27,6.5,6.73,6.19,6.27,103600,6.27
2024-06-28,6.28,6.7,6.0,6.33,922900,6.33
2024-07-01,6.45,6.67,6.11,6.18,78900,6.18
2024-07-02,6.22,6.56,6.22,6.51,82100,6.51
2024-07-03,6.48,6.59,6.09,6.2,67000,6.2
2024-07-05,6.19,6.28,6.02,6.18,68400,6.18
2024-07-08,6.27,6.37,6.07,6.37,50300,6.37
2024-07-09,6.34,6.445,6.175,6.28,36700,6.28
2024-07-10,6.3,6.525,6.1,6.25,101900,6.25
2024-07-11,6.14,6.55,6.14,6.4,50400,6.4
2024-07-12,6.31,6.58,6.12,6.58,60300,6.58
2024-07-15,6.52,7.06,6.52,6.65,77200,6.65
2024-07-16,6.61,7.01,6.61,6.9,61800,6.9
2024-07-17,6.92,7.0,6.72,6.77,38700,6.77
2024-07-18,6.79,6.79,6.45,6.52,58500,6.52
2024-07-19,6.84,6.9,6.458,6.72,44500,6.72
2024-07-22,6.81,6.817,6.56,6.74,15600,6.74
2024-07-23,6.79,6.79,6.55,6.72,10200,6.72
2024-07-24,6.85,7.0,6.63,6.95,34800,6.95
2024-07-25,6.88,7.063,6.59,6.62,30900,6.62
2024-07-26,6.737,6.95,6.53,6.94,20100,6.94
2024-07-29,6.95,7.15,6.52,6.53,99600,6.53
2024-07-30,6.64,6.73,6.5,6.5,10300,6.5
2024-07-31,6.8,6.86,6.24,6.35,24300,6.35
2024-08-01,6.46,6.46,6.06,6.18,99200,6.18
2024-08-02,6.13,6.25,5.99,6.17,38200,6.17
2024-08-05,5.87,7.19,5.85,7.03,107700,7.03
2024-08-06,7.01,7.095,6.6,6.62,30800,6.62
2024-08-07,6.6,7.091,6.53,6.64,30100,6.64
2024-08-08,6.74,7.085,6.645,6.84,98000,6.84
2024-08-09,7.0,7.6,6.73,6.78,28300,6.78
2024-08-12,6.61,6.68,6.15,6.3,59200,6.3
2024-08-13,6.415,6.61,6.3,6.46,15100,6.46
2024-08-14,6.58,6.72,6.17,6.36,83800,6.36
2024-08-15,6.5,6.77,6.17,6.3,85700,6.3
2024-08-16,6.34,6.59,6.05,6.28,89700,6.28
2024-08-19,6.31,6.95,6.19,6.88,185100,6.88
2024-08-20,6.8,7.54,6.55,7.23,287400,7.23
2024-08-21,7.2,7.5,6.76,7.15,241800,7.15
2024-08-22,7.19,7.35,6.95,7.2,263100,7.2
2024-08-23,7.26,7.5,7.0,7.1,89900,7.1
2024-08-26,7.07,7.09,6.46,6.94,81700,6.94
2024-08-27,6.995,7.18,6.72,6.97,63300,6.97
2024-08-28,6.94,7.18,6.72,7.02,33600,7.02
2024-08-29,7.47,7.5,6.53,6.79,298800,6.79
2024-08-30,6.87,6.96,6.76,6.96,63400,6.96
2024-09-03,6.89,6.96,6.706,6.8,46100,6.8
2024-09-04,6.74,6.781,6.505,6.61,43600,6.61
2024-09-05,6.57,6.86,6.1,6.16,231300,6.16
2024-09-06,6.28,6.43,5.91,6.18,117200,6.18
2024-09-09,6.24,6.89,6.24,6.85,51200,6.85
2024-09-10,6.9,6.95,6.14,6.27,62200,6.27
2024-09-11,6.31,6.6,6.25,6.44,34800,6.44
2024-09-12,6.365,6.55,6.19,6.5,46500,6.5
2024-09-13,6.55,6.75,6.5,6.67,48000,6.67
2024-09-16,6.75,7.04,6.0,6.4,251000,6.4
2024-09-17,6.52,6.8,6.23,6.65,140000,6.65
2024-09-18,6.79,6.89,6.6,6.7,87000,6.7
2024-09-19,6.77,6.99,6.612,6.75,69600,6.75
2024-09-20,6.71,6.86,6.46,6.5,144300,6.5
2024-09-23,6.63,6.68,6.32,6.45,49800,6.45
2024-09-24,6.55,6.68,6.25,6.31,87500,6.31
2024-09-25,6.35,6.42,6.15,6.19,91800,6.19
2024-09-26,6.25,6.34,6.1,6.16,46200,6.16
2024-09-27,6.23,6.29,6.07,6.18,57800,6.18
2024-09-30,6.19,6.29,5.9,6.29,101500,6.29
2024-10-01,6.29,6.78,6.15,6.37,154500,6.37
2024-10-02,6.3,6.68,6.06,6.38,130200,6.38
2024-10-03,6.18,6.251,6.07,6.16,67300,6.16
2024-10-04,6.2,6.38,5.9,6.1,39600,6.1
2024-10-07,6.17,6.195,5.96,6.07,66200,6.07
2024-10-08,5.99,6.318,5.99,6.03,30800,6.03
2024-10-09,6.08,6.4,6.03,6.07,107000,6.07
2024-10-10,6.16,6.26,6.05,6.19,27500,6.19
2024-10-11,6.21,6.525,6.15,6.4,171700,6.4
2024-10-14,6.48,6.63,6.4,6.45,57200,6.45
2024-10-15,6.42,6.646,6.395,6.49,24400,6.49
2024-10-16,6.51,6.611,6.51,6.6,114200,6.6
2024-10-17,6.63,6.85,6.63,6.76,119300,6.76
2024-10-18,6.98,7.757,6.8,7.6,383700,7.6
2024-10-21,7.78,8.06,7.35,7.69,199900,7.69
2024-10-22,7.7,8.205,7.4,8.07,225800,8.07
2024-10-23,8.16,8.99,8.08,8.5,441600,8.5
2024-10-24,8.75,9.026,8.33,8.75,248200,8.75
2024-10-25,8.8,9.0,8.5,8.76,90700,8.76
2024-10-28,8.98,9.07,7.527,7.84,316700,7.84
2024-10-29,7.77,7.982,7.2,7.87,91900,7.87
2024-10-30,7.85,8.24,7.751,7.89,95600,7.89
2024-10-31,7.9,8.227,7.16,7.47,107500,7.47
2024-11-01,7.48,7.616,6.41,6.41,205600,6.41
2024-11-04,6.7,6.75,6.305,6.31,85800,6.31
2024-11-05,6.22,7.48,6.0,7.43,163200,7.43
2024-11-06,7.29,8.18,7.201,8.15,176500,8.15
2024-11-07,8.23,8.88,8.015,8.34,303400,8.34
2024-11-08,8.44,10.81,8.433,10.81,357200,10.81
2024-11-11,11.3,11.49,9.36,10.81,540300,10.81
2024-11-12,10.57,11.8,10.135,10.98,257500,10.98
2024-11-13,10.94,11.26,10.01,10.67,192800,10.67
2024-11-14,5.09,6.55,4.9,5.73,1713700,5.73
2024-11-15,5.71,5.73,4.82,4.95,600700,4.95
2024-11-18,5.0,5.39,4.9,5.04,281600,5.04
2024-11-19,5.0,5.49,4.75,5.14,243000,5.14
2024-11-20,5.09,5.36,4.81,5.07,154000,5.07
2024-11-21,5.05,5.116,4.685,4.9,151700,4.9
2024-11-22,4.94,5.14,4.611,5.1,170000,5.1
2024-11-25,5.05,5.2,4.86,4.95,75100,4.95
2024-11-26,5.0,5.2,4.848,5.15,60500,5.15
2024-11-27,5.1,5.35,5.01,5.28,69700,5.28
2024-11-29,5.22,5.48,4.99,5.04,63700,5.04
2024-12-02,5.0,5.156,4.9,4.92,67600,4.92
2024-12-03,4.92,5.093,4.82,4.97,60900,4.97
2024-12-04,5.0,5.054,4.62,4.82,101800,4.82
2024-12-05,4.71,5.04,4.6,4.76,128300,4.76
2024-12-06,4.82,5.01,4.68,4.87,45600,4.87
2024-12-09,4.93,4.95,4.7,4.81,40000,4.81
2024-12-10,4.79,4.98,4.67,4.95,42300,4.95
2024-12-11,5.04,5.04,4.71,4.71,43900,4.71
2024-12-12,4.7,4.75,4.52,4.64,128100,4.64
2024-12-13,4.73,4.86,4.53,4.7,113700,4.7
2024-12-16,4.74,5.03,4.62,4.87,96700,4.87
2024-12-17,4.935,5.34,4.865,5.11,201800,5.11
2024-12-18,5.13,5.19,4.48,4.7,127800,4.7
2024-12-19,4.76,4.95,4.63,4.69,89800,4.69
2024-12-20,4.66,4.82,4.44,4.52,164000,4.52
2024-12-23,4.63,4.775,4.44,4.58,120800,4.58
2024-12-24,4.58,4.695,4.54,4.65,38700,4.65
2024-12-26,4.72,5.14,4.55,5.02,102100,5.02
2024-12-27,4.88,5.44,4.85,5.22,103000,5.22
2024-12-30,5.19,5.3,5.03,5.14,112800,5.14
2024-12-31,5.25,5.61,5.15,5.41,63000,5.41
2025-01-02,5.45,5.89,5.328,5.39,111600,5.39
2025-01-03,5.51,5.8,5.4,5.58,178800,5.58
