date,open,high,low,close,volume,adj_close
2024-05-20,5.24,5.355,5.07,5.23,27300,5.23
2024-05-21,5.25,5.56,4.87,5.13,40300,5.13
2024-05-22,5.075,5.3,5.05,5.3,16700,5.3
2024-05-23,5.284,5.44,5.11,5.22,29900,5.22
2024-05-24,5.236,5.41,4.85,5.3,36300,5.3
2024-05-28,5.4,7.25,5.2,6.97,298400,6.97
2024-05-29,6.8,7.27,6.48,7.0,170000,7.0
2024-05-30,7.08,7.1,6.46,6.67,212000,6.67
2024-05-31,6.68,7.05,6.68,6.93,180900,6.93
2024-06-03,7.13,7.14,6.81,7.14,107900,7.14
2024-06-04,7.18,7.9,7.18,7.9,186600,7.9
2024-06-05,7.92,7.97,7.2,7.9,121500,7.9
2024-06-06,7.93,8.15,7.75,7.99,87700,7.99
2024-06-07,7.96,8.1,7.81,7.98,54200,7.98
2024-06-10,7.97,8.29,7.3,7.99,51000,7.99
2024-06-11,7.83,8.05,7.54,7.96,62400,7.96
2024-06-12,8.14,8.14,7.7,7.94,101100,7.94
2024-06-13,7.86,8.19,7.66,7.82,72100,7.82
2024-06-14,7.73,7.99,7.73,7.97,41800,7.97
2024-06-17,7.86,8.1,7.7,8.04,92800,8.04
2024-06-18,7.97,8.14,7.29,7.44,78200,7.44
2024-06-20,7.49,7.72,5.64,5.89,113700,5.89
2024-06-21,5.95,7.29,5.95,6.32,174400,6.32
2024-06-24,6.25,7.13,6.22,6.89,58900,6.89
2024-06-25,6.8,7.0,6.63,6.85,48900,6.85
2024-06-26,7.03,7.03,6.445,6.86,56900,6.86
2024-06-27,6.91,8.0,6.91,7.93,102000,7.93
2024-06-28,8.1,8.35,7.79,8.15,1402700,8.15
2024-07-01,8.12,8.12,6.82,7.12,125800,7.12
2024-07-02,7.13,7.69,7.13,7.44,36500,7.44
2024-07-03,7.46,7.63,7.42,7.57,51200,7.57
2024-07-05,7.57,8.1,7.503,8.08,75100,8.08
2024-07-08,8.14,8.2,7.78,7.9,65700,7.9
2024-07-09,7.9,8.18,7.86,8.01,33600,8.01
2024-07-10,8.11,8.11,7.76,7.81,53500,7.81
2024-07-11,8.06,8.2,7.48,7.98,2120400,7.98
2024-07-12,8.11,8.64,8.1,8.13,132600,8.13
2024-07-15,8.26,8.65,8.11,8.53,103200,8.53
2024-07-16,8.6,8.75,8.16,8.51,105000,8.51
2024-07-17,8.48,8.66,8.1,8.64,64400,8.64
2024-07-18,8.5,8.87,7.8,8.03,72900,8.03
2024-07-19,8.05,8.395,7.81,8.03,82100,8.03
2024-07-22,8.05,8.05,7.71,7.98,100400,7.98
2024-07-23,7.96,8.24,7.88,8.08,65800,8.08
2024-07-24,8.0,8.209,7.745,8.0,54500,8.0
2024-07-25,8.1,8.3,8.0,8.06,126200,8.06
2024-07-26,8.17,8.17,7.08,7.52,129300,7.52
2024-07-29,7.48,7.675,6.65,7.04,73900,7.04
2024-07-30,6.99,7.12,6.78,7.0,80600,7.0
2024-07-31,7.15,7.62,6.752,7.38,70000,7.38
2024-08-01,7.26,7.35,6.75,6.85,55000,6.85
2024-08-02,6.71,7.24,6.57,6.74,89100,6.74
2024-08-05,6.45,6.53,6.14,6.28,82000,6.28
2024-08-06,6.2,6.51,6.2,6.39,34200,6.39
2024-08-07,6.43,6.45,5.57,5.83,76100,5.83
2024-08-08,6.0,6.62,5.63,6.62,72300,6.62
2024-08-09,6.54,6.835,6.02,6.19,71800,6.19
2024-08-12,6.16,6.34,5.98,6.11,65200,6.11
2024-08-13,6.25,6.25,5.645,5.96,43400,5.96
2024-08-14,6.0,6.105,5.28,5.54,71800,5.54
2024-08-15,5.68,6.33,5.62,6.06,72000,6.06
2024-08-16,6.06,6.45,5.9,6.42,23100,6.42
2024-08-19,6.35,6.73,6.22,6.39,41800,6.39
2024-08-20,6.3,6.54,6.21,6.21,26400,6.21
2024-08-21,6.18,6.51,5.97,6.38,104400,6.38
2024-08-22,6.58,6.75,6.07,6.18,90200,6.18
2024-08-23,6.18,6.81,6.05,6.62,129200,6.62
