date,open,high,low,close,volume,adj_close
2024-06-04,22.4434,22.9404,21.5217,21.7051,16600,21.7051
2024-06-05,21.6906,22.1731,21.5217,22.1731,7400,22.1731
2024-06-06,22.3758,22.6412,21.8161,22.1876,57600,22.1876
2024-06-07,22.5061,22.5061,22.178,22.178,8200,22.178
2024-06-10,22.289,22.289,22.1008,22.1973,10400,22.1973
2024-06-11,22.0429,22.1249,21.8305,22.1008,9200,22.1008
2024-06-12,22.5158,22.6364,21.956,22.1152,16400,22.1152
2024-06-13,22.1973,22.1973,22.0911,22.0911,6200,22.0911
2024-06-14,21.956,21.9657,21.5314,21.5314,8800,21.5314
2024-06-17,21.6568,22.2648,21.6182,22.2552,38600,22.2552
2024-06-18,21.956,22.5833,21.7968,22.0284,34000,22.0284
2024-06-20,21.7147,22.6219,21.7147,22.6219,6800,22.6219
2024-06-21,22.5109,22.564,22.0043,22.2745,42200,22.2745
2024-06-24,22.5833,22.868,22.5833,22.646,7200,22.646
2024-06-25,22.3469,22.3469,21.9801,21.9801,6000,21.9801
2024-06-26,22.1008,23.0755,21.9077,22.6316,38200,22.6316
2024-06-27,22.6798,24.0551,22.2841,24.0551,17400,24.0551
2024-06-28,24.0792,25.5172,24.0261,25.5172,107200,25.5172
2024-07-01,25.2036,25.2036,22.9259,22.9259,45400,22.9259
2024-07-02,22.9259,24.3157,22.4723,24.1709,52800,24.1709
2024-07-03,24.1275,24.5328,23.2106,23.7704,8000,23.7704
2024-07-05,23.6546,24.0406,23.4037,23.6449,53800,23.6449
2024-07-08,23.8379,24.0744,22.8101,23.2685,47400,23.2685
2024-07-09,23.2589,23.3409,22.7715,23.0803,43600,23.0803
2024-07-10,23.0803,23.3168,22.8294,23.2106,18000,23.2106
2024-07-11,23.5146,25.2808,23.4567,25.2036,35400,25.2036
2024-07-12,25.4497,25.6234,25.0636,25.5124,26400,25.5124
2024-07-15,25.5655,26.6223,25.2615,26.4437,34400,26.4437
2024-07-16,26.5113,28.6393,26.5113,28.4994,44600,28.4994
2024-07-17,28.2581,28.2581,26.3231,26.7912,67200,26.7912
2024-07-18,26.0287,27.6163,26.0287,26.7815,40800,26.7815
2024-07-19,26.7767,28.2581,26.7767,28.0361,22200,28.0361
2024-07-22,28.123,28.123,27.4136,27.679,29200,27.679
2024-07-23,27.3847,29.1749,27.3847,29.1749,32600,29.1749
2024-07-24,29.1122,29.7444,28.6007,28.76,17600,28.76
2024-07-25,28.8082,30.6612,28.6634,30.3524,31400,30.3524
2024-07-26,30.6081,30.6081,29.4355,29.9277,23000,29.9277
2024-07-29,29.6285,29.6285,28.4318,28.8034,23600,28.8034
2024-07-30,28.5428,29.0302,27.7949,28.4608,76800,28.4608
2024-07-31,27.3799,30.28,27.3799,30.0098,30000,30.0098
2024-08-01,30.4489,30.4489,26.7139,27.0855,34600,27.0855
2024-08-02,25.8164,26.9407,25.2132,26.685,24400,26.685
2024-08-05,25.4738,25.7778,24.5183,24.9623,27000,24.9623
2024-08-06,24.7548,25.6186,23.8524,25.2277,37800,25.2277
2024-08-07,25.5076,26.3231,24.7789,24.8272,16600,24.8272
2024-08-08,24.7548,26.6367,24.7548,26.5981,21200,26.5981
2024-08-09,25.8936,26.0915,25.218,25.218,9200,25.218
2024-08-12,26.5402,26.5402,25.6041,25.8067,9200,25.8067
2024-08-13,25.8695,26.3424,25.7006,26.1445,7000,26.1445
2024-08-14,25.6861,25.6861,25.2566,25.3821,5000,25.3821
2024-08-15,26.2941,27.5681,26.2073,27.3027,19000,27.3027
2024-08-16,27.2689,27.9637,26.352,26.352,52400,26.352
2024-08-19,26.5161,27.0903,26.077,26.656,32400,26.656
2024-08-20,25.9467,26.5402,25.9467,26.5064,8800,26.5064
2024-08-21,26.2024,26.7718,26.0577,26.767,19600,26.767
2024-08-22,26.2121,26.7284,26.2121,26.3472,11000,26.3472
2024-08-23,26.4871,28.8034,26.4871,28.6586,29000,28.6586
2024-08-26,28.5814,29.9084,28.094,29.9084,35400,29.9084
2024-08-27,28.4946,28.4946,28.0168,28.2002,25200,28.2002
2024-08-28,28.1085,28.5814,27.5053,28.2533,12600,28.2533
2024-08-29,28.427,28.6779,28.427,28.6152,11200,28.6152
