date,open,high,low,close,volume,adj_close
2024-05-20,59.7959,60.2471,59.5045,60.0685,363500,60.0685
2024-05-21,59.9275,60.3317,59.7395,60.2659,355500,60.2659
2024-05-22,59.9839,59.9839,58.9123,58.9687,224900,58.9687
2024-05-23,58.5739,58.5739,56.6562,56.7502,346100,56.7502
2024-05-24,56.9382,57.1544,56.3272,56.5152,279500,56.5152
2024-05-28,56.8536,56.9288,55.5187,55.5469,326900,55.5469
2024-05-29,55.0863,55.4623,54.8137,55.0299,266900,55.0299
2024-05-30,55.3965,56.0734,55.2931,55.7914,300200,55.7914
2024-05-31,56.1862,58.0381,56.1392,57.9346,640800,57.9346
2024-06-03,58.2731,59.4669,57.8594,59.1003,503600,59.1003
2024-06-04,58.7619,59.5797,58.4423,59.3635,321000,59.3635
2024-06-05,59.0157,59.0721,57.756,57.7654,285100,57.7654
2024-06-06,57.474,57.756,56.8818,57.0322,345900,57.0322
2024-06-07,56.581,57.004,56.4024,56.8066,347600,56.8066
2024-06-10,56.3554,57.2954,56.158,57.2202,299300,57.2202
2024-06-11,56.7408,57.5022,56.6562,57.1074,380200,57.1074
2024-06-12,58.4329,58.7243,57.4646,57.6714,457400,57.6714
2024-06-13,57.5868,57.5868,56.9476,57.145,322500,57.145
2024-06-14,56.7878,57.2296,56.628,57.145,282200,57.145
2024-06-17,56.7784,57.8312,56.7784,57.0698,309500,57.0698
2024-06-18,56.9946,57.3894,56.5904,56.6186,314700,56.6186
2024-06-20,56.581,57.5304,56.4024,57.0416,339400,57.0416
2024-06-21,57.1826,57.2578,56.534,56.534,645700,56.534
2024-06-24,56.581,57.85,56.581,57.6526,226900,57.6526
2024-06-25,57.4646,57.4646,56.6186,56.8724,376200,56.8724
2024-06-26,56.8724,57.6526,56.2144,57.5492,510900,57.5492
2024-06-27,57.5492,59.2225,57.4646,59.1097,510400,59.1097
2024-06-28,59.5891,60.454,59.0909,60.0215,1537900,60.0215
2024-07-01,60.2377,60.2565,58.9687,59.0157,696900,59.0157
2024-07-02,59.1379,61.0556,59.0627,60.1625,1492200,60.1625
2024-07-03,60.0779,60.642,59.3541,59.9369,1004200,59.9369
2024-07-05,59.9369,60.3411,58.6773,58.8465,534100,58.8465
2024-07-08,59.0439,59.3353,57.85,58.4893,577800,58.4893
2024-07-09,58.4235,59.1943,58.038,59.0909,316000,59.0909
2024-07-10,59.4763,59.7865,58.5833,59.6737,380900,59.6737
2024-07-11,60.4916,61.347,59.8711,60.8394,742600,60.8394
2024-07-12,61.394,62.3528,61.394,61.7136,407300,61.7136
2024-07-15,61.9768,62.6066,61.2718,62.2682,504100,62.2682
2024-07-16,62.4939,64.5055,62.4468,64.1953,620000,64.1953
2024-07-17,64.4209,66.583,64.4209,65.4738,638800,65.4738
2024-07-18,65.0413,66.0472,64.3175,64.3833,402500,64.3833
2024-07-19,64.4209,64.5337,63.2741,64.2047,291700,64.2047
2024-07-22,64.3363,64.8533,63.9697,64.5431,232400,64.5431
2024-07-23,64.4585,64.7781,63.9227,64.5619,343600,64.5619
2024-07-24,64.7217,65.6148,64.6935,64.9943,477400,64.9943
2024-07-25,65.3046,66.3104,64.9661,65.0225,453100,65.0225
2024-07-26,65.596,66.4514,64.9191,66.2634,370300,66.2634
2024-07-29,66.3574,66.442,65.4832,65.8686,349700,65.8686
2024-07-30,66.207,66.6488,65.361,66.3104,317200,66.3104
2024-07-31,67.4761,67.4761,65.314,65.455,882800,65.455
2024-08-01,65.6994,66.3668,64.2517,65.4926,810300,65.4926
2024-08-02,64.9567,65.7088,64.1671,64.9285,501600,64.9285
2024-08-05,63.9415,63.9415,62.569,62.6066,522900,62.6066
2024-08-06,62.8322,63.5749,61.8076,62.1554,585300,62.1554
2024-08-07,62.8322,63.5185,62.3058,63.1519,439500,63.1519
2024-08-08,63.1519,63.9979,63.1049,63.2741,377600,63.2741
2024-08-09,63.5467,63.9227,62.7571,63.6407,272300,63.6407
2024-08-12,63.4433,63.6971,62.616,62.8793,237800,62.8793
2024-08-13,63.4809,63.5185,62.7195,63.3211,319600,63.3211
2024-08-14,63.3875,63.6723,62.9983,63.1692,216000,63.1692
2024-08-15,63.8527,63.9951,62.9603,63.4065,295300,63.4065
2024-08-16,63.5394,63.8337,63.359,63.473,285300,63.473
2024-08-19,63.473,64.166,63.473,63.5584,147100,63.5584
2024-08-20,63.5299,64.1375,63.5109,63.9476,221600,63.9476
2024-08-21,63.9666,64.6786,63.8527,64.0711,284900,64.0711
2024-08-22,64.0711,64.2324,63.6249,63.9476,199900,63.9476
2024-08-23,64.4698,65.4951,64.0616,64.6312,266700,64.6312
2024-08-26,64.9634,65.9982,64.9634,65.4286,406900,65.4286
2024-08-27,65.2103,65.6565,64.878,65.1628,465800,65.1628
2024-08-28,65.0869,65.6565,64.8685,64.8875,399800,64.8875
2024-08-29,65.2293,65.2672,64.4318,64.7356,267500,64.7356
2024-08-30,64.9255,65.5805,64.2514,65.4476,498800,65.4476
2024-09-03,65.2482,66.0172,65.1058,65.9982,364900,65.9982
2024-09-04,66.3305,66.6248,65.9982,66.5299,320800,66.5299
2024-09-05,66.995,67.3178,66.0172,66.2071,256900,66.2071
2024-09-06,66.2071,66.321,65.0204,65.1058,234700,65.1058
2024-09-09,65.0679,65.59,64.8305,65.2577,309200,65.2577
2024-09-10,65.3812,66.5773,65.1818,66.4444,296200,66.4444
2024-09-11,67.5266,67.6975,66.7102,67.1184,760000,67.1184
2024-09-12,67.1944,67.5741,66.6912,67.5551,511700,67.5551
2024-09-13,68.0868,69.0266,67.8874,68.9791,456300,68.9791
2024-09-16,69.283,70.1943,69.1311,70.0709,300900,70.0709
2024-09-17,70.4316,70.7829,69.7007,69.7956,298300,69.7956
2024-09-18,69.6722,70.3272,69.3019,69.5962,238200,69.5962
2024-09-19,70.0424,70.3557,68.9507,69.9095,385000,69.9095
2024-09-20,69.8146,70.5076,69.4918,69.8146,883400,69.8146
2024-09-23,70.2133,70.707,69.6817,70.5266,293600,70.5266
2024-09-24,70.4696,71.1911,70.0614,70.4791,431500,70.4791
2024-09-25,70.7449,70.9822,70.0234,70.2228,610400,70.2228
2024-09-26,70.3747,70.5456,69.7006,69.9665,299800,69.9665
2024-09-27,70.4696,70.8019,69.957,70.4411,335300,70.4411
2024-09-30,70.1943,70.8019,69.957,70.65,366000,70.65
2024-10-01,70.4221,70.6975,69.8241,70.1848,294200,70.1848
2024-10-02,69.6532,70.1279,69.2165,69.245,264300,69.245
2024-10-03,69.0741,69.3019,68.6374,69.0456,192700,69.0456
2024-10-04,69.1026,69.7956,68.8747,69.7101,369000,69.7101
2024-10-07,69.3114,69.3114,68.0773,68.4001,240600,68.4001
2024-10-08,68.6943,68.7038,67.9444,67.9728,208800,67.9728
2024-10-09,67.7355,68.7703,67.5267,67.745,177700,67.745
2024-10-10,67.5741,67.9823,67.1184,67.2134,236500,67.2134
2024-10-11,67.3463,68.3906,67.3463,68.0773,246000,68.0773
2024-10-14,68.1532,68.9412,68.0868,68.6849,145900,68.6849
2024-10-15,69.0076,69.9,68.9127,69.1595,281000,69.1595
2024-10-16,69.6722,70.6215,69.3209,70.4886,467000,70.4886
