date,open,high,low,close,volume,adj_close
2026-06-05,10.0,10.0,9.88,9.88,109600,9.88
2026-06-08,9.86,9.88,9.86,9.87,697400,9.87
2026-06-09,9.88,9.88,9.87,9.87,1394500,9.87
2026-06-10,9.87,9.87,9.87,9.87,600,9.87
2026-06-11,9.88,9.88,9.88,9.88,36100,9.88
2026-06-12,9.88,9.9,9.87,9.87,199200,9.87
2026-06-15,9.9,9.9,9.88,9.88,1800,9.88
2026-06-16,9.88,9.9,9.88,9.88,176400,9.88
2026-06-17,9.9,9.9,9.89,9.89,800,9.89
2026-06-18,9.89,9.89,9.89,9.89,0,9.89
2026-06-22,9.9,9.92,9.89,9.89,295000,9.89
2026-06-23,9.95,9.95,9.89,9.89,3200,9.89
2026-06-24,9.89,9.91,9.89,9.89,273400,9.89
2026-06-25,9.91,9.92,9.9,9.9,71500,9.9
2026-06-26,9.9,9.9,9.89,9.89,4500,9.89
2026-06-29,9.92,9.92,9.9,9.9,1100,9.9
2026-06-30,9.95,9.95,9.9,9.9,3300,9.9
2026-07-01,9.9,9.92,9.9,9.9,133000,9.9
2026-07-02,9.93,9.93,9.9,9.9,800,9.9
2026-07-06,9.93,9.96,9.91,9.91,1200,9.91
2026-07-07,9.91,9.94,9.91,9.92,2300,9.92
2026-07-08,9.96,9.96,9.92,9.92,300,9.92
2026-07-09,9.92,9.94,9.92,9.94,6200,9.94
2026-07-10,9.93,9.93,9.92,9.92,43200,9.92
2026-07-13,9.92,9.92,9.92,9.92,0,9.92
2026-07-14,9.92,9.92,9.92,9.92,0,9.92
2026-07-15,9.92,9.92,9.92,9.92,0,9.92
2026-07-16,9.93,9.93,9.93,9.93,500,9.93
2026-07-17,9.93,9.93,9.93,9.93,0,9.93
2026-07-20,9.93,9.93,9.93,9.93,0,9.93
2026-07-21,9.93,9.93,9.92,9.93,3900,9.93
2026-07-22,9.93,9.93,9.91,9.92,12000,9.92
2026-07-23,9.92,9.92,9.92,9.92,0,9.92
2026-07-24,9.92,9.95,9.92,9.92,5600,9.92
2026-07-27,9.92,9.92,9.92,9.92,0,9.92
2026-07-28,9.94,9.94,9.94,9.94,600,9.94
2026-07-29,9.93,9.94,9.93,9.93,900,9.93
2026-07-30,9.93,9.93,9.93,9.93,100,9.93
2026-07-31,9.92,9.93,9.91,9.93,37193,9.93
2026-08-03,9.93,9.93,9.93,9.93,0,9.93
2026-08-04,9.92,9.93,9.92,9.93,50191,9.93
2026-08-05,9.93,9.93,9.93,9.93,0,9.93
2026-08-06,9.94,9.945,9.94,9.94,20145,9.94
