date,open,high,low,close,volume,adj_close
2024-08-07 00:00:00,3.5056,3.5555,3.3858,3.3958,277000,3.3958
2024-08-08 00:00:00,3.4557,3.5655,3.4207,3.5156,250300,3.5156
2024-08-09 00:00:00,3.5156,3.5356,3.4557,3.4856,89100,3.4856
2024-08-12 00:00:00,3.5056,3.6654,3.4806,3.5855,417200,3.5855
2024-08-13 00:00:00,3.5555,3.9051,3.5555,3.7453,427400,3.7453
2024-08-14 00:00:00,3.7553,3.8452,3.6654,3.8452,239800,3.8452
2024-08-15 00:00:00,3.8152,3.975,3.8152,3.975,308900,3.975
2024-08-16 00:00:00,3.995,4.1348,3.965,4.0849,535900,4.0849
2024-08-19 00:00:00,4.0749,4.3046,4.0749,4.3046,426800,4.3046
2024-08-20 00:00:00,4.3146,4.3795,4.2447,4.2647,308900,4.2647
2024-08-21 00:00:00,4.2846,4.3895,4.1648,4.3845,343700,4.3845
2024-08-22 00:00:00,4.3446,4.3446,4.1198,4.1748,318300,4.1748
2024-08-23 00:00:00,4.2347,4.4045,4.2047,4.3346,529400,4.3346
2024-08-26 00:00:00,4.3845,4.3845,4.2846,4.3346,148500,4.3346
2024-08-27 00:00:00,4.2946,4.3496,4.2547,4.3246,158200,4.3246
2024-08-28 00:00:00,4.2647,4.2697,4.1548,4.2147,151800,4.2147
2024-08-29 00:00:00,4.2147,4.2697,4.1947,4.2447,122600,4.2447
2024-08-30 00:00:00,4.2147,4.2547,4.1498,4.1947,178200,4.1947
2024-09-03 00:00:00,4.1248,4.1248,3.9351,3.9451,208600,3.9451
2024-09-04 00:00:00,3.9351,4.03,3.9251,3.965,126800,3.965
2024-09-05 00:00:00,3.985,4.0599,3.98,3.985,158800,3.985
2024-09-06 00:00:00,4.015,4.025,3.8652,3.8951,202300,3.8951
2024-09-09 00:00:00,3.8851,3.985,3.8552,3.9351,159000,3.9351
2024-09-10 00:00:00,3.975,4.1548,3.9311,4.1548,217100,4.1548
2024-09-11 00:00:00,4.1248,4.1648,3.9151,4.1648,243600,4.1648
2024-09-12 00:00:00,4.1947,4.3645,4.1648,4.2846,607800,4.2846
2024-09-13 00:00:00,4.3745,4.3745,4.1947,4.2347,311900,4.2347
2024-09-16 00:00:00,4.1947,4.2547,4.1049,4.1348,259600,4.1348
2024-09-17 00:00:00,4.1348,4.1708,4.0549,4.1049,191200,4.1049
2024-09-18 00:00:00,4.1248,4.2547,4.0449,4.0449,241500,4.0449
2024-09-19 00:00:00,4.1398,4.1448,4.0549,4.0849,269100,4.0849
2024-09-20 00:00:00,4.1248,4.1748,4.0799,4.1248,588700,4.1248
2024-09-23 00:00:00,4.1348,4.2447,4.1049,4.1248,178800,4.1248
2024-09-24 00:00:00,4.1448,4.2996,4.1348,4.2547,233900,4.2547
2024-09-25 00:00:00,4.2547,4.2547,4.0899,4.1248,895200,4.1248
2024-09-26 00:00:00,4.1748,4.2447,4.1049,4.1648,436500,4.1648
2024-09-27 00:00:00,4.1947,4.1947,3.9351,3.965,317100,3.965
2024-09-30 00:00:00,3.965,4.025,3.8851,3.995,219100,3.995
2024-10-01 00:00:00,4.0449,4.1548,3.995,4.1148,255900,4.1148
2024-10-02 00:00:00,4.1148,4.1198,4.02,4.0549,188600,4.0549
2024-10-03 00:00:00,3.975,4.0949,3.975,4.0949,170900,4.0949
2024-10-04 00:00:00,4.0949,4.3545,4.0649,4.2647,474100,4.2647
2024-10-07 00:00:00,4.2547,4.2647,4.1148,4.1548,218500,4.1548
2024-10-08 00:00:00,4.1049,4.1848,4.0649,4.1448,227500,4.1448
2024-10-09 00:00:00,4.1448,4.1548,4.0349,4.1248,156000,4.1248
2024-10-10 00:00:00,4.1748,4.4944,4.1748,4.4944,918900,4.4944
2024-10-11 00:00:00,4.4944,4.6292,4.4245,4.4944,622300,4.4944
2024-10-14 00:00:00,4.5044,4.6342,4.4694,4.5443,384100,4.5443
2024-10-15 00:00:00,4.6242,4.7191,4.4944,4.7141,653200,4.7141
2024-10-16 00:00:00,4.7441,4.7441,4.5543,4.5843,381400,4.5843
2024-10-17 00:00:00,4.6442,4.7241,4.6142,4.6941,434000,4.6941
2024-10-18 00:00:00,4.7441,4.9138,4.6841,4.9138,460600,4.9138
2024-10-21 00:00:00,5.0537,5.1336,4.9338,4.9738,619700,4.9738
2024-10-22 00:00:00,5.0637,5.1436,4.9039,5.1436,1279300,5.1436
2024-10-23 00:00:00,5.0736,5.0926,4.9987,5.0237,340100,5.0237
2024-10-24 00:00:00,5.0736,5.1585,4.9138,5.1336,584600,5.1336
2024-10-25 00:00:00,5.1236,5.1386,4.9937,5.0637,458500,5.0637
2024-10-28 00:00:00,5.0037,5.0137,4.9039,4.9338,427200,4.9338
2024-10-29 00:00:00,4.9538,5.0287,4.9198,4.9538,373800,4.9538
2024-10-30 00:00:00,4.9438,4.9438,4.796,4.834,285600,4.834
2024-10-31 00:00:00,4.8339,4.8389,4.6941,4.824,364400,4.824
2024-11-01 00:00:00,4.8339,4.8489,4.7241,4.7341,291700,4.7341
2024-11-04 00:00:00,4.804,4.804,4.6741,4.7141,295400,4.7141
2024-11-05 00:00:00,4.7441,4.774,4.6841,4.7341,545400,4.7341
2024-11-06 00:00:00,4.5044,4.6642,4.3805,4.5942,939000,4.5942
2024-11-07 00:00:00,4.6342,4.8389,4.6342,4.804,535000,4.804
2024-11-08 00:00:00,4.764,4.789,4.6442,4.7241,313000,4.7241
2024-11-11 00:00:00,4.5942,4.6841,4.3895,4.4744,615600,4.4744
2024-11-12 00:00:00,4.4145,4.4644,4.3296,4.4245,592100,4.4245
2024-11-13 00:00:00,4.7141,4.7141,3.9201,3.985,621900,3.985
2024-11-14 00:00:00,3.9251,3.9451,3.8052,3.8352,633000,3.8352
2024-11-15 00:00:00,3.8752,3.9551,3.8352,3.9351,668400,3.9351
2024-11-18 00:00:00,4.1348,4.4744,4.1348,4.2747,819600,4.2747
2024-11-19 00:00:00,4.3845,4.3845,4.1148,4.3446,714000,4.3446
2024-11-20 00:00:00,4.3545,4.3845,4.2846,4.3446,496000,4.3446
2024-11-21 00:00:00,4.3745,4.6142,4.3745,4.5942,860200,4.5942
2024-11-22 00:00:00,4.6741,4.6741,4.5643,4.5843,561100,4.5843
2024-11-25 00:00:00,4.4544,4.4544,4.3146,4.4045,666300,4.4045
2024-11-26 00:00:00,4.4444,4.5293,4.3296,4.4444,492200,4.4444
2024-11-27 00:00:00,4.6142,4.804,4.6142,4.6542,766800,4.6542
2024-11-29 00:00:00,4.784,4.9438,4.6991,4.764,270900,4.764
2024-12-02 00:00:00,4.794,4.8639,4.7151,4.784,503100,4.784
2024-12-03 00:00:00,4.8539,4.9338,4.804,4.8639,424000,4.8639
2024-12-04 00:00:00,4.8839,4.9937,4.8639,4.9538,483800,4.9538
2024-12-05 00:00:00,4.9838,5.0537,4.8649,5.0137,533500,5.0137
2024-12-06 00:00:00,5.0437,5.0437,4.8939,4.9838,504500,4.9838
2024-12-09 00:00:00,5.1236,5.4632,5.0237,5.3333,1911800,5.3333
2024-12-10 00:00:00,5.3932,5.5021,5.3183,5.4632,744800,5.4632
2024-12-11 00:00:00,5.5331,5.7878,5.4831,5.6429,1103000,5.6429
2024-12-12 00:00:00,5.5331,5.623,5.4332,5.623,848100,5.623
2024-12-13 00:00:00,5.553,5.6429,5.4741,5.573,764200,5.573
2024-12-16 00:00:00,5.593,5.6429,5.3883,5.4232,731600,5.4232
2024-12-17 00:00:00,5.3933,5.5131,5.3233,5.4931,344600,5.4931
2024-12-18 00:00:00,5.4232,5.6379,5.3483,5.4332,1384500,5.4332
2024-12-19 00:00:00,5.3134,5.631,5.2434,5.593,930500,5.593
2024-12-20 00:00:00,5.573,5.6429,5.5181,5.563,673800,5.563
2024-12-23 00:00:00,5.5031,5.593,5.3233,5.5131,511200,5.5131
2024-12-24 00:00:00,5.563,5.563,5.4781,5.5331,167500,5.5331
2024-12-26 00:00:00,5.5231,5.6629,5.4981,5.6629,483200,5.6629
2024-12-27 00:00:00,5.593,5.593,5.3653,5.4831,469200,5.4831
2024-12-30 00:00:00,5.4432,5.5181,5.3533,5.4232,303300,5.4232
2024-12-31 00:00:00,5.3932,5.553,5.3932,5.5331,382600,5.5331
2025-01-02 00:00:00,5.613,5.8976,5.3733,5.8727,1040800,5.8727
2025-01-03 00:00:00,5.9426,6.0025,5.9076,5.9725,527400,5.9725
2025-01-06 00:00:00,5.9725,6.0424,5.6379,5.6429,688500,5.6429
2025-01-07 00:00:00,5.7428,5.8287,5.6379,5.6729,373000,5.6729
2025-01-08 00:00:00,5.7128,5.8477,5.7029,5.8427,496600,5.8427
2025-01-10 00:00:00,5.9725,5.9975,5.8027,5.8327,686000,5.8327
2025-01-13 00:00:00,5.7828,5.7828,5.4532,5.4831,521900,5.4831
2025-01-14 00:00:00,5.4831,5.7378,5.4532,5.6729,521200,5.6729
2025-01-15 00:00:00,5.7628,5.8627,5.613,5.8327,553000,5.8327
2025-01-16 00:00:00,5.9226,5.9226,5.598,5.613,526800,5.613
2025-01-17 00:00:00,5.5331,5.7828,5.5131,5.7528,529200,5.7528
2025-01-21 00:00:00,5.7128,6.0125,5.7128,5.9426,612300,5.9426
2025-01-22 00:00:00,6.0924,6.0924,5.8527,6.0025,600900,6.0025
2025-01-23 00:00:00,5.9226,6.0025,5.7977,5.9226,555900,5.9226
2025-01-24 00:00:00,5.9925,6.2422,5.9725,6.0724,602300,6.0724
2025-01-27 00:00:00,5.9925,5.9925,5.7628,5.8926,486300,5.8926
2025-01-28 00:00:00,5.9326,6.0025,5.8477,5.8926,478400,5.8926
2025-01-29 00:00:00,5.9026,6.0524,5.8677,6.0125,410800,6.0125
2025-01-30 00:00:00,6.0924,6.2422,6.0524,6.1922,600000,6.1922
2025-01-31 00:00:00,6.2422,6.2422,6.1223,6.1623,361800,6.1623
2025-02-03 00:00:00,6.2322,6.2921,6.0125,6.2022,679200,6.2022
2025-02-04 00:00:00,6.2622,6.5268,6.2322,6.4919,577400,6.4919
2025-02-05 00:00:00,6.5418,6.9413,6.5318,6.9014,1401200,6.9014
2025-02-06 00:00:00,6.9014,7.1261,6.7615,7.0811,1318900,7.0811
2025-02-07 00:00:00,7.181,7.2609,7.1161,7.211,1088800,7.211
2025-02-10 00:00:00,7.3908,7.6105,7.0811,7.1211,1254500,7.1211
2025-02-11 00:00:00,7.0711,7.0711,6.7665,6.7915,888700,6.7915
2025-02-12 00:00:00,6.7416,7.0312,6.6627,6.8514,548800,6.8514
2025-02-13 00:00:00,6.8115,7.1011,6.7625,7.0711,514600,7.0711
2025-02-14 00:00:00,7.1411,7.181,6.9213,6.9513,830800,6.9513
2025-02-18 00:00:00,7.1111,7.3109,6.9912,7.211,1027400,7.211
2025-02-19 00:00:00,7.181,7.201,7.0362,7.0911,783300,7.0911
2025-02-20 00:00:00,7.151,7.2309,7.0562,7.1111,454500,7.1111
2025-02-21 00:00:00,7.0911,7.151,6.6816,6.6816,992400,6.6816
2025-02-24 00:00:00,6.7316,6.9513,6.6217,6.9413,799400,6.9413
2025-02-25 00:00:00,6.8714,7.0112,6.7366,6.9713,1248400,6.9713
2025-02-26 00:00:00,6.9113,7.3208,6.9014,7.3009,1140600,7.3009
2025-02-27 00:00:00,7.1211,7.2909,6.9912,7.0012,1382000,7.0012
2025-02-28 00:00:00,6.8914,7.161,6.7416,7.0012,1414500,7.0012
2025-03-03 00:00:00,7.0412,7.2909,6.9213,7.0112,1020800,7.0112
2025-03-04 00:00:00,7.1211,7.2909,6.8414,6.8814,759000,6.8814
2025-03-05 00:00:00,6.8914,7.3808,6.8664,7.3608,1047800,7.3608
2025-03-06 00:00:00,7.2909,7.5855,7.166,7.2809,1223300,7.2809
2025-03-07 00:00:00,7.2709,7.5755,7.211,7.5306,883400,7.5306
2025-03-10 00:00:00,7.4607,7.4607,7.0112,7.2409,1271100,7.2409
2025-03-11 00:00:00,7.3108,7.8302,7.201,7.7902,1260800,7.7902
2025-03-12 00:00:00,7.8402,7.8502,7.6754,7.8402,740500,7.8402
2025-03-13 00:00:00,7.8901,8.2896,7.8701,8.2796,1437100,8.2796
2025-03-14 00:00:00,8.4894,8.769,8.3595,8.6991,2044400,8.6991
2025-03-17 00:00:00,8.799,9.608,8.769,9.2284,2760400,9.2284
2025-03-18 00:00:00,9.4881,9.5051,8.8499,9.1086,1786700,9.1086
2025-03-19 00:00:00,8.5193,9.3683,8.4294,8.9588,1851000,8.9588
2025-03-20 00:00:00,8.809,9.3283,8.7391,9.2884,1847700,9.2884
2025-03-21 00:00:00,9.1585,9.2484,8.769,8.8289,4449300,8.8289
2025-03-24 00:00:00,8.8589,9.2135,8.8589,9.0187,1451700,9.0187
2025-03-25 00:00:00,9.1286,9.3024,9.0637,9.1286,998800,9.1286
2025-03-26 00:00:00,9.1985,9.3972,9.0387,9.0786,1363400,9.0786
2025-03-27 00:00:00,9.1885,9.3783,9.0786,9.2984,826600,9.2984
2025-03-28 00:00:00,9.4382,9.5481,9.1136,9.1486,1378600,9.1486
2025-03-31 00:00:00,9.0886,9.3383,8.6592,9.3383,1738300,9.3383
2025-04-01 00:00:00,9.0886,9.558,9.0886,9.2884,1267000,9.2884
2025-04-02 00:00:00,9.2684,9.623,9.2185,9.548,1753000,9.548
2025-04-03 00:00:00,9.0187,9.6379,8.8889,9.4582,1308800,9.4582
2025-04-04 00:00:00,8.8689,9.1186,8.1098,8.1997,2278000,8.1997
2025-04-07 00:00:00,7.2609,8.6991,7.0712,8.2197,1208900,8.2197
2025-04-08 00:00:00,8.769,8.9388,8.1997,8.2796,934600,8.2796
2025-04-09 00:00:00,8.6891,9.3882,8.5443,9.2684,2331100,9.2684
2025-04-10 00:00:00,9.2684,10.1173,9.2684,9.8677,2676300,9.8677
2025-04-11 00:00:00,10.6667,10.9563,10.2372,10.6067,1893700,10.6067
2025-04-14 00:00:00,10.4369,11.0911,10.2771,11.0562,2183900,11.0562
2025-04-15 00:00:00,11.206,11.2459,10.8564,11.166,1300100,11.166
2025-04-16 00:00:00,11.6354,11.6954,11.2759,11.3857,1742400,11.3857
2025-04-17 00:00:00,11.3258,11.3758,10.9862,11.2559,935100,11.2559
2025-04-21 00:00:00,11.7253,11.9351,11.2959,11.4856,1694300,11.4856
2025-04-22 00:00:00,11.7253,11.7253,11.0462,11.0661,1407400,11.0661
2025-04-23 00:00:00,10.4569,10.9862,9.8177,10.9363,2442200,10.9363
2025-04-24 00:00:00,11.166,11.166,10.7565,10.8264,970200,10.8264
2025-04-25 00:00:00,10.4269,10.8664,10.387,10.7066,1069700,10.7066
2025-04-28 00:00:00,10.6866,10.7665,10.3171,10.7665,1299900,10.7665
2025-04-29 00:00:00,10.5967,10.7166,10.4269,10.4569,800000,10.4569
2025-04-30 00:00:00,10.2572,11.0062,10.2422,10.9862,1070600,10.9862
2025-05-01 00:00:00,10.7166,10.7865,9.9875,10.357,1144300,10.357
2025-05-02 00:00:00,10.417,10.4869,10.2971,10.377,580200,10.377
2025-05-05 00:00:00,10.8664,10.8664,10.4969,10.7465,730300,10.7465
2025-05-06 00:00:00,11.0162,11.7952,10.9763,11.7453,1359600,11.7453
2025-05-07 00:00:00,11.7053,11.7053,11.186,11.3258,995600,11.3258
2025-05-08 00:00:00,11.186,11.2289,10.6667,10.6966,777000,10.6966
2025-05-09 00:00:00,11.0362,11.1441,10.7466,11.0861,855900,11.0861
2025-05-12 00:00:00,9.7878,9.7977,9.0387,9.3183,2717000,9.3183
2025-05-13 00:00:00,9.6479,9.6479,8.779,8.8389,1430100,8.8389
2025-05-14 00:00:00,8.5693,8.8489,8.4894,8.789,1529500,8.789
2025-05-15 00:00:00,8.8789,9.0786,8.8289,9.0686,1011600,9.0686
2025-05-16 00:00:00,8.809,9.1086,8.6642,9.0886,971700,9.0886
2025-05-19 00:00:00,9.2484,9.5181,9.1785,9.4582,838200,9.4582
2025-05-20 00:00:00,9.4781,9.558,9.3083,9.5381,934300,9.5381
2025-05-21 00:00:00,9.6979,10.2771,9.6829,10.2072,1259100,10.2072
2025-05-22 00:00:00,10.2871,10.3061,9.9725,10.0175,1459500,10.0175
2025-05-23 00:00:00,10.2971,10.5368,10.1173,10.4269,1061800,10.4269
2025-05-27 00:00:00,10.1773,10.3071,10.0374,10.2072,923400,10.2072
2025-05-28 00:00:00,10.2572,10.407,10.0075,10.407,675800,10.407
2025-05-29 00:00:00,10.407,10.5668,10.1773,10.2671,517500,10.2671
2025-05-30 00:00:00,10.2172,10.5867,10.1423,10.5568,944900,10.5568
2025-06-02 00:00:00,10.8264,11.3258,10.6866,10.9463,1444500,10.9463
2025-06-03 00:00:00,10.8664,11.2509,10.7306,11.166,759500,11.166
2025-06-04 00:00:00,11.2459,11.4956,11.0961,11.4257,644100,11.4257
2025-06-05 00:00:00,11.6354,12.4145,11.6354,12.3346,1428900,12.3346
