date,open,high,low,close,volume,adj_close
2024-09-16,11.5303,11.5664,11.5303,11.5664,10600,11.5664
2024-09-17,11.6116,11.6387,11.5393,11.5755,24400,11.5755
2024-09-18,11.5755,11.5935,11.5484,11.5484,15600,11.5484
2024-09-19,11.5845,11.5845,11.5484,11.5574,7100,11.5574
2024-09-20,11.5935,11.7109,11.5484,11.6387,19600,11.6387
2024-09-23,11.6495,11.6495,11.5317,11.6314,14400,11.6314
2024-09-24,11.6767,11.6767,11.5861,11.6405,11100,11.6405
2024-09-25,11.7221,11.7221,11.5589,11.6314,17700,11.6314
2024-09-26,11.6858,11.7674,11.6133,11.6495,16100,11.6495
2024-09-27,11.6949,11.6949,11.5317,11.568,9700,11.568
2024-09-30,11.5408,11.6858,11.5408,11.6586,18800,11.6586
2024-10-01,11.6949,11.6949,11.6042,11.6314,16000,11.6314
2024-10-02,11.6042,11.6405,11.5408,11.6405,11700,11.6405
2024-10-03,11.6223,11.6495,11.568,11.6314,9300,11.6314
2024-10-04,11.6495,11.6495,11.4773,11.5952,4200,11.5952
2024-10-07,11.5952,11.6496,11.5136,11.6133,97300,11.6133
2024-10-08,11.568,11.7221,11.5136,11.6495,87100,11.6495
2024-10-09,11.6496,11.6496,11.5861,11.6133,7100,11.6133
2024-10-10,11.6677,11.7402,11.6133,11.7311,17200,11.7311
2024-10-11,11.7765,11.8943,11.7493,11.8127,9400,11.8127
2024-10-14,11.849,11.9487,11.7402,11.8127,17800,11.8127
2024-10-15,11.849,11.9487,11.5226,11.5317,15200,11.5317
2024-10-16,11.6677,11.6677,11.5408,11.5952,20200,11.5952
2024-10-17,11.6042,11.6314,11.4773,11.5408,30200,11.5408
2024-10-18,11.5408,11.6042,11.4864,11.4864,21700,11.4864
2024-10-21,11.4682,11.4682,11.3051,11.3866,10200,11.3866
2024-10-22,11.3504,11.4864,11.3232,11.4229,15500,11.4229
2024-10-23,11.3594,11.4229,11.3322,11.3322,5200,11.3322
2024-10-24,11.3705,11.4524,11.3432,11.3705,19900,11.3705
2024-10-25,11.3341,11.6527,11.3341,11.507,14000,11.507
2024-10-28,11.5343,11.5343,11.416,11.4251,5600,11.4251
2024-10-29,11.3614,11.4615,11.3614,11.3796,5700,11.3796
2024-10-30,11.3705,11.5161,11.3705,11.4342,12500,11.4342
2024-10-31,11.3887,11.6982,11.3796,11.4797,16000,11.4797
2024-11-01,11.6345,11.6345,11.4615,11.5161,5000,11.5161
2024-11-04,11.589,11.5981,11.5161,11.5617,12000,11.5617
2024-11-05,11.6072,11.6709,11.5252,11.5435,5400,11.5435
2024-11-06,11.6163,11.6709,11.4251,11.4706,9700,11.4706
2024-11-07,11.5799,11.853,11.4251,11.6527,8000,11.6527
2024-11-08,11.7892,11.7892,11.5708,11.5708,1800,11.5708
2024-11-11,11.6436,11.7619,11.6345,11.6709,5800,11.6709
2024-11-12,11.7619,11.7619,11.4888,11.6527,7700,11.6527
2024-11-13,11.7619,11.7619,11.5434,11.5981,4300,11.5981
2024-11-14,11.7346,11.7801,11.416,11.5435,7000,11.5435
2024-11-15,11.507,11.7164,11.3796,11.3978,4900,11.3978
2024-11-18,11.5617,11.6345,11.3705,11.5617,25200,11.5617
2024-11-19,11.5161,11.5161,11.3705,11.3978,8800,11.3978
2024-11-20,11.3341,11.4888,11.3341,11.3523,7100,11.3523
2024-11-21,11.5461,11.6741,11.3267,11.345,6600,11.345
2024-11-22,11.3907,11.6101,11.3267,11.3815,8100,11.3815
2024-11-25,11.3907,11.5826,11.3724,11.4181,8900,11.4181
2024-11-26,11.4272,11.4364,11.3267,11.3724,12300,11.3724
2024-11-27,11.3632,11.4455,11.345,11.4181,16600,11.4181
2024-11-29,11.4181,11.5369,11.345,11.4547,13700,11.4547
2024-12-02,11.4547,11.6101,11.4547,11.4547,12500,11.4547
2024-12-03,11.4547,11.6009,11.4547,11.5278,12900,11.5278
2024-12-04,11.4821,11.6101,11.4455,11.5826,22500,11.5826
2024-12-05,11.5369,11.6741,11.4912,11.6101,14400,11.6101
2024-12-06,11.9118,11.9575,11.7106,11.8935,68200,11.8935
2024-12-09,11.8569,11.9483,11.7929,11.8843,6400,11.8843
2024-12-10,11.8478,11.8478,11.6832,11.7106,9200,11.7106
2024-12-11,11.6741,11.7472,11.4912,11.5644,27400,11.5644
2024-12-12,11.5278,11.5735,11.5278,11.5552,15800,11.5552
2024-12-13,11.5004,11.6466,11.4547,11.5187,19200,11.5187
2024-12-16,11.5552,11.5552,11.4547,11.5095,5400,11.5095
2024-12-17,11.5369,11.5461,11.4547,11.4547,8100,11.4547
2024-12-18,11.6284,11.6284,11.3358,11.3358,18500,11.3358
2024-12-19,11.3998,11.4181,11.3267,11.3815,14600,11.3815
2024-12-20,11.4181,11.4181,11.2444,11.2718,21300,11.2718
2024-12-23,11.4389,11.5032,11.2002,11.3012,22000,11.3012
2024-12-24,11.393,11.8061,11.3838,11.5307,16700,11.5307
2024-12-26,11.6776,11.6776,11.4756,11.5858,6600,11.5858
2024-12-27,11.6225,11.8704,11.4481,11.4481,16400,11.4481
2024-12-30,11.5491,11.8429,11.4205,11.4389,15100,11.4389
2024-12-31,11.5766,11.8979,11.4481,11.4848,14600,11.4848
2025-01-02,11.5124,11.5399,11.1635,11.292,17500,11.292
2025-01-03,11.2737,11.4114,11.2461,11.292,12600,11.292
2025-01-06,11.2737,11.3471,11.1819,11.3012,17100,11.3012
2025-01-07,11.393,11.4114,11.2002,11.2553,8300,11.2553
2025-01-08,11.3655,11.3838,11.2278,11.3012,3700,11.3012
2025-01-10,11.2002,11.3471,11.1268,11.2645,9100,11.2645
2025-01-13,11.2553,11.2737,11.1543,11.2002,3200,11.2002
2025-01-14,11.1451,11.2645,11.1268,11.2645,6000,11.2645
2025-01-15,11.292,11.3104,11.2737,11.2828,23300,11.2828
2025-01-16,11.3196,11.4022,11.2645,11.3379,5200,11.3379
2025-01-17,11.393,11.4848,11.2645,11.3287,8000,11.3287
2025-01-21,11.3287,11.4297,11.3287,11.3838,10300,11.3838
2025-01-22,11.3838,11.4022,11.3196,11.3746,4700,11.3746
2025-01-23,11.3104,11.3838,11.2369,11.3287,53200,11.3287
2025-01-24,11.3767,11.4043,11.3398,11.349,11300,11.349
2025-01-27,11.3951,11.5519,11.349,11.5058,18000,11.5058
2025-01-28,11.6348,11.8008,11.4873,11.5058,20500,11.5058
2025-01-29,11.7455,11.9391,11.4965,11.6348,50900,11.6348
2025-01-30,11.8561,11.8653,11.5887,11.6809,25000,11.6809
2025-01-31,11.8008,11.8008,11.6256,11.6533,26600,11.6533
2025-02-03,11.727,11.7731,11.6256,11.6994,16600,11.6994
2025-02-04,11.644,11.7086,11.5703,11.7086,6800,11.7086
2025-02-05,11.6994,11.893,11.6994,11.7086,16200,11.7086
2025-02-06,11.7823,11.7916,11.6072,11.6809,17900,11.6809
2025-02-07,11.7086,11.7086,11.6072,11.6901,7200,11.6901
2025-02-10,11.6625,11.7916,11.5611,11.598,11700,11.598
2025-02-11,11.6901,11.6901,11.5611,11.6809,12100,11.6809
2025-02-12,11.6809,11.6994,11.4781,11.5795,5600,11.5795
2025-02-13,11.5887,11.8008,11.5611,11.5795,38800,11.5795
2025-02-14,11.6533,11.7547,11.6164,11.6625,30300,11.6625
2025-02-18,11.8008,11.8008,11.6256,11.6625,10700,11.6625
2025-02-19,11.644,11.7086,11.6164,11.6164,7700,11.6164
2025-02-20,11.6164,11.7547,11.5795,11.6533,16200,11.6533
2025-02-21,11.7014,11.8032,11.5811,11.7569,55400,11.7569
2025-02-24,11.7847,11.794,11.6921,11.794,12500,11.794
2025-02-25,11.8588,11.8588,11.6921,11.7292,61500,11.7292
2025-02-26,11.7755,11.8588,11.7199,11.7755,6700,11.7755
2025-02-27,11.9236,11.9236,11.7662,11.8032,33500,11.8032
2025-02-28,11.794,11.9421,11.7662,11.8773,23200,11.8773
2025-03-03,11.8773,11.9143,11.8125,11.8218,17500,11.8218
2025-03-04,11.8218,11.8773,11.5811,11.7014,15400,11.7014
2025-03-05,11.6921,11.8218,11.6088,11.6273,18300,11.6273
2025-03-06,11.5255,11.5903,11.4515,11.507,20000,11.507
2025-03-07,11.507,11.5903,11.4422,11.5255,15900,11.5255
2025-03-10,11.47,11.5255,11.4329,11.4792,23200,11.4792
2025-03-11,11.4792,11.6088,11.4792,11.5903,23100,11.5903
2025-03-12,11.5903,11.8495,11.47,11.8495,24200,11.8495
2025-03-13,11.7755,11.9606,11.5811,11.6736,16000,11.6736
2025-03-14,11.7569,11.9791,11.5718,11.6366,6800,11.6366
2025-03-17,11.7847,11.9606,11.6921,11.7755,4900,11.7755
2025-03-18,11.8588,11.9421,11.5811,11.6551,9700,11.6551
2025-03-19,11.868,11.868,11.5811,11.8032,18400,11.8032
2025-03-20,11.9884,11.9884,11.6736,11.7569,10800,11.7569
2025-03-21,11.9976,11.9976,11.7662,11.868,68200,11.868
2025-03-24,11.9731,11.9731,11.7035,11.9173,14900,11.9173
2025-03-25,11.8801,12.0103,11.8151,11.8615,8000,11.8615
2025-03-26,11.9917,12.0846,11.9452,12.0567,10100,12.0567
2025-03-27,12.0846,12.0846,11.9359,11.9452,8800,11.9452
2025-03-28,11.9545,12.0382,11.8708,11.8708,8800,11.8708
2025-03-31,11.9452,12.0382,11.7965,11.9452,12400,11.9452
2025-04-01,12.0567,12.0567,11.8429,11.9917,6100,11.9917
2025-04-02,11.9638,12.001,11.7965,11.8894,14300,11.8894
2025-04-03,11.8708,11.8708,11.5548,11.7407,19400,11.7407
2025-04-04,11.6477,11.7407,11.2294,11.2666,30800,11.2666
2025-04-07,11.0993,11.3503,10.997,11.0342,26400,11.0342
2025-04-08,11.1829,11.6198,10.9226,11.0063,17000,11.0063
2025-04-09,10.6066,11.1829,10.6066,11.1643,47300,11.1643
2025-04-10,11.0714,11.155,10.8855,10.9877,7800,10.9877
2025-04-11,11.1179,11.4432,10.9134,11.0063,23700,11.0063
2025-04-14,11.406,11.406,11.0621,11.1086,11600,11.1086
2025-04-15,11.2573,11.4432,11.1457,11.2015,10100,11.2015
2025-04-16,11.1736,11.3781,11.1643,11.2108,5600,11.2108
2025-04-17,11.341,11.4804,11.155,11.2387,24400,11.2387
2025-04-21,11.155,11.3131,11.09,11.1179,8100,11.1179
2025-04-22,11.1829,11.2945,11.0621,11.1272,2600,11.1272
2025-04-23,11.2513,11.4101,11.2513,11.2887,12700,11.2887
2025-04-24,11.3727,11.4381,11.298,11.4381,6200,11.4381
2025-04-25,11.5501,11.6528,11.3727,11.5501,13300,11.5501
2025-04-28,11.6622,11.6622,11.5501,11.5781,5400,11.5781
2025-04-29,11.5595,11.6622,11.4568,11.6062,8300,11.6062
2025-04-30,11.6622,11.6715,11.4474,11.5595,17900,11.5595
2025-05-01,11.7182,11.9423,11.4194,11.5315,49200,11.5315
2025-05-02,11.6528,11.6809,11.5034,11.5501,7500,11.5501
2025-05-05,11.6342,11.6342,11.4568,11.5781,9100,11.5781
2025-05-06,11.7089,11.7089,11.5781,11.5875,5500,11.5875
