date,open,high,low,close,volume,adj_close
2024-05-20,5.86,5.89,5.78,5.88,2942000,5.88
2024-05-21,5.87,6.0,5.84,5.96,3474800,5.96
2024-05-22,5.92,6.06,5.9,5.94,3669200,5.94
2024-05-23,5.95,5.99,5.84,5.9,2392900,5.9
2024-05-24,5.93,6.08,5.93,6.03,1720500,6.03
2024-05-28,6.03,6.15,6.02,6.04,2746800,6.04
2024-05-29,5.91,6.085,5.91,5.99,2377700,5.99
2024-05-30,5.96,6.08,5.96,6.05,2479800,6.05
2024-05-31,6.03,6.09,5.93,5.99,2732400,5.99
2024-06-03,6.01,6.03,5.87,5.88,2379300,5.88
2024-06-04,5.86,5.9,5.77,5.81,2725000,5.81
2024-06-05,5.8,5.98,5.78,5.93,1665800,5.93
2024-06-06,5.94,6.01,5.875,5.92,1583900,5.92
2024-06-07,5.92,5.96,5.86,5.91,1265600,5.91
2024-06-10,5.85,5.87,5.705,5.77,2021700,5.77
2024-06-11,5.71,5.76,5.655,5.71,1675700,5.71
2024-06-12,5.8,5.85,5.62,5.7,2176000,5.7
2024-06-13,5.67,5.69,5.49,5.53,1856800,5.53
2024-06-14,5.46,5.55,5.415,5.47,2339400,5.47
2024-06-17,5.49,5.495,5.39,5.47,1403500,5.47
2024-06-18,5.49,5.52,5.34,5.4,1768700,5.4
2024-06-20,5.46,5.55,5.43,5.48,2235100,5.48
2024-06-21,5.32,5.45,5.32,5.44,5783500,5.44
2024-06-24,5.44,5.455,5.32,5.38,2664500,5.38
2024-06-25,5.37,5.59,5.37,5.59,1675300,5.59
2024-06-26,5.54,5.639,5.52,5.59,1823300,5.59
2024-06-27,5.62,5.65,5.54,5.57,1686500,5.57
2024-06-28,5.6,5.65,5.515,5.54,5896600,5.54
2024-07-01,5.55,5.595,5.36,5.43,1940100,5.43
2024-07-02,5.44,5.485,5.4,5.46,1643400,5.46
2024-07-03,5.45,5.515,5.45,5.47,725400,5.47
2024-07-05,5.39,5.5,5.345,5.46,1874200,5.46
2024-07-08,5.5,5.56,5.485,5.49,3143700,5.49
2024-07-09,5.5,5.56,5.47,5.53,1750600,5.53
2024-07-10,5.54,5.57,5.255,5.29,3204000,5.29
2024-07-11,5.36,5.43,5.21,5.31,3435200,5.31
2024-07-12,5.38,5.425,5.24,5.27,3280100,5.27
2024-07-15,5.36,5.43,5.285,5.37,3202500,5.37
2024-07-16,5.41,5.555,5.4,5.53,2618500,5.53
2024-07-17,5.48,5.645,5.43,5.54,2218600,5.54
2024-07-18,5.52,5.58,5.47,5.48,2300200,5.48
2024-07-19,5.43,5.6,5.43,5.52,1431600,5.52
2024-07-22,5.56,5.61,5.49,5.52,2895100,5.52
2024-07-23,5.5,5.6,5.5,5.56,1635100,5.56
2024-07-24,5.51,5.55,5.37,5.37,1525300,5.37
2024-07-25,5.41,5.51,5.37,5.41,2132600,5.41
2024-07-26,5.49,5.515,5.435,5.47,1428600,5.47
2024-07-29,5.5,5.54,5.41,5.46,1148300,5.46
2024-07-30,5.49,5.625,5.46,5.59,1644700,5.59
2024-07-31,5.62,5.645,5.51,5.53,3031900,5.53
2024-08-01,5.52,5.62,5.51,5.61,4069700,5.61
2024-08-02,5.43,5.6,5.37,5.38,4336600,5.38
2024-08-05,5.07,5.34,5.03,5.21,4374000,5.21
2024-08-06,5.21,5.29,5.155,5.25,4325500,5.25
2024-08-07,5.9,6.56,5.81,6.47,14463600,6.47
2024-08-08,6.49,6.72,6.31,6.71,5964200,6.71
2024-08-09,6.71,6.84,6.61,6.73,4088900,6.73
2024-08-12,6.7,7.2,6.69,6.92,9044300,6.92
2024-08-13,6.89,7.16,6.851,7.1,5542800,7.1
2024-08-14,7.09,7.14,6.75,6.86,3089400,6.86
2024-08-15,6.92,7.04,6.805,7.0,3766000,7.0
2024-08-16,6.95,7.19,6.92,7.14,3098500,7.14
2024-08-19,7.12,7.21,7.02,7.14,2955400,7.14
2024-08-20,7.16,7.18,6.94,6.95,2688600,6.95
2024-08-21,6.94,7.0,6.9,6.96,1959900,6.96
2024-08-22,6.94,7.005,6.88,6.96,1715900,6.96
2024-08-23,7.01,7.08,6.935,7.03,1926200,7.03
2024-08-26,7.04,7.19,7.02,7.13,2236500,7.13
2024-08-27,7.1,7.23,7.1,7.22,1918200,7.22
2024-08-28,7.18,7.18,7.02,7.1,1461300,7.1
2024-08-29,7.16,7.435,7.12,7.39,2797400,7.39
2024-08-30,7.37,7.57,7.34,7.43,4060200,7.43
2024-09-03,7.34,7.46,7.17,7.21,2111500,7.21
2024-09-04,7.14,7.2,7.04,7.08,1786100,7.08
2024-09-05,7.09,7.12,6.98,7.06,1459800,7.06
2024-09-06,7.07,7.135,6.885,7.02,1844000,7.02
2024-09-09,7.02,7.16,6.94,7.14,2715800,7.14
2024-09-10,7.19,7.19,6.851,7.12,2248000,7.12
2024-09-11,7.1,7.26,7.05,7.22,2319100,7.22
2024-09-12,7.22,7.59,7.135,7.48,3227400,7.48
2024-09-13,7.49,7.51,7.27,7.38,2706700,7.38
2024-09-16,7.38,7.455,7.25,7.39,1944800,7.39
2024-09-17,7.46,7.61,7.42,7.46,2622200,7.46
2024-09-18,7.49,7.645,7.42,7.42,2227300,7.42
2024-09-19,7.6,7.67,7.49,7.58,1279800,7.58
2024-09-20,7.55,7.65,7.495,7.58,4213600,7.58
2024-09-23,7.6,7.65,7.52,7.61,1447300,7.61
2024-09-24,7.65,7.7,7.55,7.66,1027900,7.66
2024-09-25,7.66,7.69,7.565,7.65,1195600,7.65
2024-09-26,7.72,7.73,7.63,7.66,1862200,7.66
2024-09-27,7.68,7.705,7.565,7.61,3344800,7.61
2024-09-30,7.6,7.695,7.49,7.53,2009400,7.53
2024-10-01,7.59,7.72,7.545,7.64,2290900,7.64
2024-10-02,7.68,7.7,7.49,7.59,1284800,7.59
2024-10-03,7.57,7.72,7.57,7.67,2340000,7.67
2024-10-04,7.77,7.835,7.655,7.71,1750900,7.71
2024-10-07,7.75,7.86,7.615,7.68,1566000,7.68
2024-10-08,7.72,7.795,7.61,7.72,2046400,7.72
2024-10-09,7.7,8.01,7.66,7.74,4251800,7.74
2024-10-10,7.7,7.89,7.62,7.85,5443800,7.85
2024-10-11,7.83,7.92,7.825,7.89,1590800,7.89
2024-10-14,7.92,7.95,7.84,7.88,2417200,7.88
2024-10-15,7.88,8.03,7.83,8.03,1707500,8.03
2024-10-16,8.06,8.115,8.02,8.1,1528500,8.1
2024-10-17,8.12,8.25,8.07,8.22,1419100,8.22
2024-10-18,8.32,8.4,8.195,8.35,2702800,8.35
2024-10-21,8.4,8.46,8.335,8.37,1642400,8.37
2024-10-22,8.35,8.555,8.311,8.49,1753700,8.49
2024-10-23,8.45,8.505,8.315,8.43,1694000,8.43
2024-10-24,8.36,8.46,8.3,8.4,1723500,8.4
2024-10-25,8.41,8.44,8.27,8.36,1335200,8.36
2024-10-28,8.41,8.47,8.38,8.47,1400500,8.47
2024-10-29,8.46,8.6,8.41,8.55,1558100,8.55
2024-10-30,8.55,8.735,8.545,8.55,2551000,8.55
2024-10-31,8.52,8.69,8.49,8.62,2722700,8.62
2024-11-01,8.59,8.755,8.44,8.46,3192400,8.46
2024-11-04,8.45,8.635,8.415,8.52,4804900,8.52
2024-11-05,9.315,10.35,8.82,10.3,13578500,10.3
2024-11-06,10.41,10.49,9.81,10.35,8948500,10.35
2024-11-07,10.4,10.74,10.385,10.68,4421200,10.68
2024-11-08,10.55,10.9,10.39,10.81,5621300,10.81
2024-11-11,10.55,10.75,10.28,10.39,5148800,10.39
2024-11-12,10.39,10.66,10.375,10.58,6233100,10.58
2024-11-13,10.67,10.68,10.25,10.32,3501800,10.32
2024-11-14,10.39,10.42,10.115,10.33,2998400,10.33
2024-11-15,10.26,10.435,10.17,10.37,3190900,10.37
2024-11-18,10.44,10.77,10.29,10.64,3867900,10.64
2024-11-19,10.56,10.9,10.5,10.83,3819600,10.83
2024-11-20,10.88,10.96,10.62,10.85,3912900,10.85
2024-11-21,10.88,10.89,10.71,10.78,2361600,10.78
2024-11-22,10.75,10.99,10.7,10.93,2907000,10.93
2024-11-25,11.02,11.29,10.89,10.94,4017900,10.94
2024-11-26,10.85,11.16,10.82,11.05,4854900,11.05
2024-11-27,11.11,11.16,10.8,10.87,1731000,10.87
2024-11-29,10.9,10.92,10.761,10.91,1447300,10.91
2024-12-02,10.88,10.92,10.52,10.63,3301800,10.63
2024-12-03,10.67,10.765,10.551,10.66,2246100,10.66
2024-12-04,10.72,10.945,10.72,10.85,2164600,10.85
2024-12-05,10.82,10.897,10.74,10.79,1996500,10.79
2024-12-06,10.85,11.14,10.73,10.95,3136600,10.95
2024-12-09,10.46,10.54,10.01,10.12,4036600,10.12
2024-12-10,10.12,10.225,10.01,10.13,3415300,10.13
2024-12-11,10.14,10.45,10.1,10.36,2970100,10.36
2024-12-12,10.277,10.535,10.277,10.31,1457300,10.31
2024-12-13,10.31,10.35,10.18,10.28,1469400,10.28
2024-12-16,10.3,10.58,10.252,10.45,2441200,10.45
2024-12-17,10.41,10.43,10.251,10.27,2914000,10.27
2024-12-18,10.3,10.385,9.85,9.93,2910300,9.93
2024-12-19,10.06,10.17,9.945,10.07,2907800,10.07
2024-12-20,9.61,10.25,9.6,10.12,8659900,10.12
2024-12-23,10.16,10.215,9.965,9.99,1951400,9.99
2024-12-24,10.05,10.145,10.0,10.14,830700,10.14
2024-12-26,10.15,10.27,10.111,10.21,1498400,10.21
2024-12-27,10.16,10.239,9.945,10.01,2311900,10.01
2024-12-30,9.96,10.05,9.85,10.01,1953200,10.01
2024-12-31,10.09,10.21,9.97,10.04,2396400,10.04
2025-01-02,10.08,10.16,9.89,10.15,1690200,10.15
2025-01-03,10.17,10.5,10.17,10.48,1938800,10.48
2025-01-06,10.55,10.59,10.155,10.3,3370600,10.3
2025-01-07,10.4,10.55,10.08,10.38,3723300,10.38
2025-01-08,10.19,10.275,9.975,10.07,3666700,10.07
2025-01-10,9.93,10.01,9.73,9.87,3628400,9.87
2025-01-13,9.72,9.91,9.64,9.91,2200400,9.91
2025-01-14,9.97,10.16,9.87,9.91,2947700,9.91
2025-01-15,10.2,10.51,10.15,10.5,3795800,10.5
2025-01-16,10.6,10.78,10.58,10.73,6212500,10.73
2025-01-17,10.85,10.9,10.66,10.82,5148000,10.82
2025-01-21,10.95,10.95,10.29,10.34,4370700,10.34
2025-01-22,10.33,10.42,10.245,10.28,1854700,10.28
2025-01-23,10.23,10.245,10.085,10.19,1932100,10.19
2025-01-24,10.2,10.235,10.08,10.19,1558400,10.19
2025-01-27,10.02,10.275,9.9,10.21,1543100,10.21
2025-01-28,10.23,10.52,10.21,10.51,1196700,10.51
2025-01-29,10.47,10.695,10.395,10.67,1675300,10.67
2025-01-30,10.79,10.939,10.74,10.91,1443200,10.91
2025-01-31,10.91,10.935,10.48,10.6,1928100,10.6
2025-02-03,10.44,10.76,10.36,10.68,3558800,10.68
2025-02-04,10.68,10.84,10.51,10.83,2180600,10.83
2025-02-05,10.85,11.19,10.84,11.04,2712700,11.04
2025-02-06,11.07,11.11,10.725,10.8,2466100,10.8
2025-02-07,10.83,10.97,10.525,10.59,2061700,10.59
2025-02-10,10.69,10.733,10.41,10.5,3246300,10.5
2025-02-11,10.4,10.44,9.97,10.01,2244000,10.01
2025-02-12,9.92,10.12,9.86,10.09,2000400,10.09
2025-02-13,10.2,10.49,10.12,10.48,2137700,10.48
2025-02-14,10.49,10.56,10.349,10.56,2236800,10.56
2025-02-18,10.6,10.75,10.585,10.71,2614800,10.71
2025-02-19,10.7,10.75,10.52,10.65,2114900,10.65
2025-02-20,10.59,10.615,10.23,10.43,2559300,10.43
2025-02-21,10.54,10.54,9.84,9.85,2309300,9.85
2025-02-24,9.95,10.02,9.64,9.88,4621000,9.88
2025-02-25,9.96,10.145,9.76,9.95,4040100,9.95
2025-02-26,9.93,10.45,9.93,10.18,5741800,10.18
2025-02-27,8.56,9.19,8.48,8.68,11159600,8.68
2025-02-28,8.59,8.75,8.285,8.55,5543500,8.55
2025-03-03,8.52,8.585,8.17,8.35,6139300,8.35
2025-03-04,8.26,8.32,7.92,8.0,4204700,8.0
2025-03-05,8.05,8.42,7.94,8.34,5103000,8.34
2025-03-06,8.19,8.27,7.77,7.81,2491600,7.81
2025-03-07,7.75,7.785,7.35,7.48,4564200,7.48
2025-03-10,7.22,7.269,6.915,7.04,4480100,7.04
2025-03-11,7.05,7.19,6.98,7.06,3672600,7.06
2025-03-12,7.28,7.372,7.155,7.23,3204800,7.23
2025-03-13,7.18,7.19,6.95,7.1,3308200,7.1
2025-03-14,7.21,7.26,7.125,7.2,2666800,7.2
2025-03-17,7.16,7.35,7.105,7.31,2413100,7.31
2025-03-18,7.26,7.32,7.178,7.3,3719100,7.3
2025-03-19,7.32,7.7,7.31,7.64,2911100,7.64
2025-03-20,7.57,7.66,7.465,7.56,2155500,7.56
2025-03-21,7.21,7.56,7.21,7.46,7470900,7.46
2025-03-24,7.63,7.85,7.59,7.83,3894000,7.83
2025-03-25,7.88,7.97,7.735,7.78,2591400,7.78
2025-03-26,7.77,7.83,7.49,7.58,1632100,7.58
2025-03-27,7.57,7.575,7.415,7.43,1645500,7.43
2025-03-28,7.41,7.46,7.19,7.25,1745700,7.25
2025-03-31,7.04,7.335,6.98,7.31,2624500,7.31
2025-04-01,7.24,7.48,7.21,7.47,1902900,7.47
2025-04-02,7.31,7.56,7.28,7.55,1923300,7.55
2025-04-03,7.0,7.125,6.695,6.73,6995800,6.73
2025-04-04,6.41,6.47,6.07,6.21,7091000,6.21
2025-04-07,5.81,6.48,5.71,6.18,6992900,6.18
2025-04-08,6.43,6.48,5.78,5.9,5026300,5.9
2025-04-09,5.89,6.745,5.84,6.59,7360500,6.59
