date,open,high,low,close,volume,adj_close
2026-06-10,33.35,34.02,26.61,31.6,5496700,31.6
2026-06-11,30.0,34.47,29.65,30.31,1600200,30.31
2026-06-12,29.86,32.47,26.88,27.26,1035500,27.26
2026-06-15,26.8,28.08,24.51,25.01,1280300,25.01
2026-06-16,25.26,26.5,24.95,25.65,223824,25.65
2026-06-17,30.0,30.22,25.98,26.03,1927700,26.03
2026-06-18,25.98,27.0,25.35,25.85,685100,25.85
2026-06-22,26.0,28.06,25.56,27.54,830800,27.54
2026-06-23,27.0,28.28,26.23,27.51,609195,27.51
2026-06-24,27.23,28.42,26.575,27.32,548283,27.32
2026-06-25,27.32,27.99,25.7,26.36,1041847,26.36
2026-06-26,26.05,29.0999,26.05,28.8,560444,28.8
2026-06-29,28.98,30.19,27.46,29.19,555923,29.19
2026-06-30,29.19,29.86,27.09,27.37,580137,27.37
2026-07-01,27.07,28.49,26.68,27.76,587425,27.76
2026-07-02,27.9,29.605,27.41,29.58,302372,29.58
2026-07-06,29.58,30.0,28.15,29.2,273255,29.2
2026-07-07,29.45,31.5083,28.615,30.35,508611,30.35
2026-07-08,29.89,31.17,29.3,30.83,398198,30.83
2026-07-09,30.71,33.65,29.9,30.36,400581,30.36
2026-07-10,30.36,31.0,28.51,30.57,663447,30.57
2026-07-13,30.35,30.375,28.68,29.63,636994,29.63
2026-07-14,28.83,31.39,28.5454,31.15,540391,31.15
2026-07-15,31.2,31.6,29.205,29.91,462518,29.91
2026-07-16,29.79,30.5875,28.57,29.06,517434,29.06
2026-07-17,28.69,29.85,28.0,29.55,470925,29.55
2026-07-20,29.53,30.21,26.42,27.31,641875,27.31
2026-07-21,27.84,30.24,27.36,30.04,326086,30.04
2026-07-22,29.8,31.15,29.35,30.81,316237,30.81
2026-07-23,30.97,33.14,29.84,32.81,518106,32.81
2026-07-24,32.53,33.15,30.31,31.28,348554,31.28
2026-07-27,31.33,31.97,30.23,31.82,221468,31.82
2026-07-28,31.55,33.03,30.51,31.96,360840,31.96
2026-07-29,31.91,32.9081,31.2,31.78,354724,31.78
2026-07-30,31.6,33.05,30.825,32.28,385985,32.28
2026-07-31,32.44,34.18,31.5,33.98,355915,33.98
2026-08-03,33.98,34.93,32.09,33.96,695989,33.96
2026-08-04,33.57,36.69,33.23,35.9,354632,35.9
2026-08-05,36.61,36.72,34.5,34.9,266964,34.9
2026-08-06,35.1,36.4999,34.13,35.58,261317,35.58
2026-08-07,35.55,36.5,34.28,34.98,279310,34.98
2026-08-10,35.44,36.93,34.93,35.73,393349,35.73
2026-08-11,35.83,36.9499,35.06,36.47,329573,36.47
2026-08-12,36.11,37.83,36.01,37.41,215950,37.41
2026-08-13,37.67,37.67,35.22,35.67,268203,35.67
2026-08-14,36.0,37.985,34.78,37.07,287803,37.07
2026-08-17,36.41,38.8252,36.41,37.22,382962,37.22
2026-08-18,37.18,39.81,35.6,39.35,635616,39.35
2026-08-19,39.25,41.3525,39.17,41.32,422831,41.32
2026-08-20,40.7,41.4899,39.31,39.58,203712,39.58
2026-08-21,39.41,40.915,38.95,39.36,353506,39.36
2026-08-24,39.42,40.56,38.0,38.43,340269,38.43
2026-08-25,38.94,39.8999,38.37,39.23,286031,39.23
2026-08-26,39.17,39.41,38.09,39.26,409049,39.26
2026-08-27,39.0,40.19,38.22,39.29,445400,39.29
2026-08-28,38.96,40.02,38.5,39.11,316225,39.11
2026-08-31,39.08,40.005,37.765,39.01,529934,39.01
2026-09-01,39.15,40.0,37.88,39.47,500167,39.47
2026-09-02,39.73,41.14,38.31,40.11,363935,40.11
2026-09-03,40.21,40.83,39.115,40.75,408272,40.75
2026-09-04,40.2,41.19,39.5,40.42,380692,40.42
