date,open,high,low,close,volume,adj_close
2025-05-21 00:00:00,10.9,11.2,10.6,10.7,11441900,10.7
2025-05-22 00:00:00,10.94,10.94,10.77,10.79,1607000,10.79
2025-05-23 00:00:00,10.84,10.85,10.66,10.72,685700,10.72
2025-05-27 00:00:00,10.83,10.83,10.71,10.73,460400,10.73
2025-05-28 00:00:00,10.76,10.77,10.61,10.7,189800,10.7
2025-05-29 00:00:00,10.7,10.7,10.62,10.63,94100,10.63
2025-05-30 00:00:00,10.638,10.71,10.61,10.71,123900,10.71
2025-06-02 00:00:00,10.75,10.83,10.67,10.83,391700,10.83
2025-06-03 00:00:00,10.83,11.04,10.815,11.01,1220800,11.01
2025-06-04 00:00:00,11.01,11.04,10.9,10.91,276700,10.91
2025-06-05 00:00:00,10.9,11.095,10.9,11.05,1272300,11.05
2025-06-06 00:00:00,11.05,11.205,11.05,11.17,983600,11.17
2025-06-09 00:00:00,11.22,11.35,11.22,11.29,318800,11.29
2025-06-10 00:00:00,11.35,11.39,11.25,11.3,160700,11.3
2025-06-11 00:00:00,11.35,11.35,11.28,11.3,267100,11.3
2025-06-12 00:00:00,11.102,11.35,11.102,11.275,33000,11.275
2025-06-13 00:00:00,11.42,11.71,11.33,11.53,482200,11.53
2025-06-16 00:00:00,11.6,11.7,11.38,11.59,180900,11.59
2025-06-17 00:00:00,11.6,11.775,11.6,11.75,489300,11.75
2025-06-18 00:00:00,11.709,11.85,11.7,11.85,199000,11.85
2025-06-20 00:00:00,12.0,12.275,11.775,11.92,332700,11.92
2025-06-23 00:00:00,11.66,11.7,11.023,11.27,756400,11.27
2025-06-24 00:00:00,11.29,11.4,11.16,11.21,236300,11.21
2025-06-25 00:00:00,11.2,11.2,10.7,10.77,776000,10.77
2025-06-26 00:00:00,10.7,10.8,10.62,10.69,1508700,10.69
2025-06-27 00:00:00,10.7,10.76,10.62,10.75,71800,10.75
2025-06-30 00:00:00,10.8,10.8,10.67,10.72,73900,10.72
2025-07-01 00:00:00,10.62,10.83,10.62,10.65,276900,10.65
