date,open,high,low,close,volume,adj_close
2024-05-20,8.5935,8.5935,8.5117,8.5299,20800,8.5299
2024-05-21,8.5935,8.5935,8.4027,8.439,124700,8.439
2024-05-22,8.4481,8.4481,8.3845,8.4027,43700,8.4027
2024-05-23,8.4118,8.4118,8.3482,8.3755,59700,8.3755
2024-05-24,8.3755,8.3936,8.3209,8.3936,38100,8.3936
2024-05-28,8.3664,8.4209,8.3482,8.3482,16800,8.3482
2024-05-29,8.3119,8.3209,8.2301,8.2392,31300,8.2392
2024-05-30,8.2483,8.2574,8.221,8.2392,58400,8.2392
2024-05-31,8.2574,8.2937,8.2119,8.2392,71500,8.2392
2024-06-03,8.2392,8.3209,8.2392,8.2846,58100,8.2846
2024-06-04,8.3119,8.3573,8.3028,8.33,88200,8.33
2024-06-05,8.3209,8.3936,8.3119,8.3845,95900,8.3845
2024-06-06,8.3664,8.4481,8.3573,8.439,58900,8.439
2024-06-07,8.3936,8.4845,8.3573,8.43,96800,8.43
2024-06-10,8.4572,8.5208,8.439,8.5026,94800,8.5026
2024-06-11,8.4845,8.5208,8.4845,8.4935,38800,8.4935
2024-06-12,8.539,8.5753,8.5026,8.5299,27600,8.5299
2024-06-13,8.5536,8.5718,8.5354,8.5445,60600,8.5445
2024-06-14,8.5445,8.5901,8.5445,8.5901,28200,8.5901
2024-06-17,8.5536,8.5627,8.5262,8.5353,28800,8.5353
2024-06-18,8.4989,8.663,8.4989,8.5627,90300,8.5627
2024-06-20,8.508,8.6083,8.4806,8.5445,63000,8.5445
2024-06-21,8.5718,8.5718,8.4989,8.5262,5200,8.5262
2024-06-24,8.5627,8.5718,8.4806,8.5171,42200,8.5171
2024-06-25,8.5536,8.6083,8.3894,8.508,42300,8.508
2024-06-26,8.4715,8.5536,8.4715,8.5262,28800,8.5262
2024-06-27,8.5445,8.6357,8.4989,8.6174,50900,8.6174
2024-06-28,8.6174,8.6357,8.5718,8.5901,46500,8.5901
2024-07-01,8.5627,8.5809,8.4715,8.4989,57500,8.4989
2024-07-02,8.5536,8.5718,8.508,8.5262,30500,8.5262
2024-07-03,8.5718,8.5901,8.5445,8.5536,14000,8.5536
2024-07-05,8.5718,8.6083,8.5536,8.5992,38100,8.5992
2024-07-08,8.6174,8.6174,8.5536,8.5809,56200,8.5809
2024-07-09,8.5445,8.5901,8.5262,8.5445,33900,8.5445
2024-07-10,8.5627,8.5809,8.5171,8.5718,52000,8.5718
2024-07-11,8.5956,8.6689,8.5956,8.6505,55000,8.6505
2024-07-12,8.6231,8.7512,8.6231,8.7146,66700,8.7146
2024-07-15,8.6597,8.7238,8.6139,8.678,53200,8.678
2024-07-16,8.7329,8.7329,8.6597,8.7146,32000,8.7146
2024-07-17,8.7146,8.7146,8.6322,8.6505,41700,8.6505
2024-07-18,8.6963,8.6963,8.6139,8.6139,44200,8.6139
2024-07-19,8.6506,8.6506,8.5956,8.6139,41400,8.6139
2024-07-22,8.6506,8.6506,8.559,8.5865,51300,8.5865
2024-07-23,8.6322,8.6322,8.5865,8.6231,48600,8.6231
2024-07-24,8.6048,8.6048,8.5315,8.5682,61000,8.5682
2024-07-25,8.6139,8.6139,8.5682,8.5865,46700,8.5865
2024-07-26,8.5773,8.6414,8.5682,8.5956,117000,8.5956
2024-07-29,8.7146,8.7146,8.5865,8.6048,32000,8.6048
2024-07-30,8.6414,8.6414,8.559,8.5682,54500,8.5682
2024-07-31,8.6322,8.6414,8.5682,8.6139,53100,8.6139
2024-08-01,8.6506,8.7238,8.6139,8.6872,88500,8.6872
2024-08-02,8.678,8.7512,8.6689,8.7329,101900,8.7329
2024-08-05,8.6322,8.6597,8.5315,8.6414,63500,8.6414
2024-08-06,8.6231,8.7329,8.6231,8.7238,86600,8.7238
2024-08-07,8.7512,8.7787,8.6597,8.7421,84200,8.7421
2024-08-08,8.7146,8.7879,8.6872,8.7329,79900,8.7329
2024-08-09,8.7879,8.8062,8.7055,8.7146,60200,8.7146
2024-08-12,8.6834,8.7569,8.6834,8.711,42800,8.711
2024-08-13,8.7385,8.8028,8.7385,8.7477,25800,8.7477
2024-08-14,8.7569,8.7937,8.7385,8.7661,25300,8.7661
2024-08-15,8.8028,8.8028,8.7293,8.7385,35900,8.7385
2024-08-16,8.7661,8.7661,8.7201,8.7293,23200,8.7293
2024-08-19,8.7201,8.7477,8.7018,8.711,46800,8.711
2024-08-20,8.711,8.7661,8.711,8.7385,59000,8.7385
2024-08-21,8.7477,8.7661,8.7385,8.7477,47300,8.7477
2024-08-22,8.7661,8.8028,8.7201,8.7937,90300,8.7937
2024-08-23,8.812,8.8396,8.8028,8.812,14100,8.812
2024-08-26,8.8028,8.8396,8.7753,8.7937,50200,8.7937
2024-08-27,8.7937,8.858,8.7385,8.8304,53900,8.8304
2024-08-28,8.8028,8.8304,8.7569,8.7661,47500,8.7661
2024-08-29,8.8028,8.8028,8.7385,8.7385,46000,8.7385
2024-08-30,8.7477,8.7937,8.7293,8.7569,70700,8.7569
2024-09-03,8.7937,8.8212,8.7569,8.8028,94500,8.8028
2024-09-04,8.7845,8.8212,8.7201,8.8028,82700,8.8028
2024-09-05,8.7937,8.8304,8.7753,8.8212,72300,8.8212
2024-09-06,8.8488,8.9499,8.8212,8.9223,125100,8.9223
2024-09-09,8.9682,9.005,8.8855,8.9958,50900,8.9958
2024-09-10,9.005,9.0509,8.9407,9.0509,42800,9.0509
2024-09-11,9.0601,9.0969,9.0509,9.0969,47600,9.0969
2024-09-12,9.1428,9.2071,9.1153,9.1336,137700,9.1336
2024-09-13,9.2037,9.2037,9.1392,9.1576,58500,9.1576
2024-09-16,9.1576,9.1853,9.1392,9.1668,43600,9.1668
2024-09-17,9.2037,9.2037,9.1576,9.1853,35400,9.1853
2024-09-18,9.2222,9.2222,9.0931,9.1761,54300,9.1761
2024-09-19,9.1668,9.1668,8.9639,9.1023,209400,9.1023
2024-09-20,9.0931,9.1299,9.0746,9.1023,29800,9.1023
2024-09-23,9.1299,9.1392,9.0931,9.1207,94500,9.1207
