date,open,high,low,close,volume,adj_close
2024-05-20,6.7676,6.7958,6.7207,6.7207,375400,6.7207
2024-05-21,6.7019,6.8052,6.6267,6.7958,483200,6.7958
2024-05-22,6.7864,6.8052,6.6925,6.7301,573700,6.7301
2024-05-23,6.7827,6.8305,6.6392,6.7253,925100,6.7253
2024-05-24,6.7827,6.9549,6.754,6.8209,896900,6.8209
2024-05-28,6.907,6.9836,6.6009,6.6487,2007400,6.6487
2024-05-29,6.467,6.6296,6.4,6.6105,2139700,6.6105
2024-05-30,6.6966,6.8879,6.687,6.8783,1360700,6.8783
2024-05-31,6.9549,7.0697,6.8879,6.974,2462400,6.974
2024-06-03,7.0792,7.1845,7.0314,7.0984,1375500,7.0984
2024-06-04,7.0697,7.1175,6.9836,7.0027,1107300,7.0027
2024-06-05,7.0123,7.0314,6.9453,6.9549,516600,6.9549
2024-06-06,6.907,6.974,6.8114,6.8114,918500,6.8114
2024-06-07,6.6774,6.7827,6.6105,6.7731,596800,6.7731
2024-06-10,6.6774,6.7922,6.6679,6.7731,553200,6.7731
2024-06-11,6.6774,6.7061,6.5531,6.5531,881000,6.5531
2024-06-12,6.8401,7.0697,6.6487,6.6774,922400,6.6774
2024-06-13,6.6966,6.754,6.6296,6.687,407400,6.687
2024-06-14,6.5722,6.8209,6.5722,6.7827,668200,6.7827
2024-06-17,6.7157,6.9262,6.7157,6.907,832100,6.907
2024-06-18,6.8592,7.1175,6.8305,7.0984,739100,7.0984
2024-06-20,7.041,7.0888,6.9262,6.9644,1098100,6.9644
2024-06-21,6.974,7.0888,6.8879,6.8879,3048600,6.8879
2024-06-24,6.9549,7.0601,6.8496,6.8783,622000,6.8783
2024-06-25,6.8783,6.8879,6.6583,6.7444,937100,6.7444
2024-06-26,6.6679,6.7061,6.5531,6.6966,3280600,6.6966
2024-06-27,6.6966,6.7635,6.6296,6.7253,733300,6.7253
2024-06-28,6.8305,6.9357,6.754,6.9357,1576700,6.9357
2024-07-01,6.907,6.9549,6.7348,6.8114,492600,6.8114
2024-07-02,6.8592,6.9262,6.7827,6.9166,475400,6.9166
2024-07-03,6.9453,7.0888,6.907,7.0601,392600,7.0601
2024-07-05,7.0218,7.0984,6.9262,6.9357,516900,6.9357
2024-07-08,7.041,7.0984,6.9549,7.0888,650700,7.0888
2024-07-09,7.0888,7.2227,6.9931,7.194,965500,7.194
2024-07-10,7.2227,7.2993,7.1462,7.1462,899800,7.1462
2024-07-11,7.3758,7.7202,7.3567,7.6819,877200,7.6819
2024-07-12,7.7872,7.8637,7.6628,7.6915,916100,7.6915
2024-07-15,7.7967,7.9115,7.7202,7.835,992900,7.835
2024-07-16,7.8637,8.0454,7.8159,8.0072,1116600,8.0072
2024-07-17,7.9402,8.275,7.9402,8.0167,2264000,8.0167
2024-07-18,7.9402,8.1602,7.6724,7.7298,1249100,7.7298
2024-07-19,7.7202,7.768,7.6245,7.6915,745500,7.6915
2024-07-22,7.7393,7.8254,7.6054,7.7872,463800,7.7872
2024-07-23,7.7776,8.0741,7.7011,7.9593,608500,7.9593
2024-07-24,7.9306,8.2942,7.9306,8.0167,968700,8.0167
2024-07-25,8.0454,8.1985,7.988,8.0072,663600,8.0072
2024-07-26,8.1985,8.3994,8.1411,8.3611,785500,8.3611
2024-07-29,8.3898,8.3994,8.2081,8.2081,583600,8.2081
2024-07-30,8.2559,8.3707,8.1411,8.3516,488800,8.3516
2024-07-31,8.3324,8.5716,8.1794,8.275,1186300,8.275
2024-08-01,8.2081,8.4472,8.1985,8.3229,881300,8.3229
2024-08-02,8.0263,8.2176,7.9307,8.0646,969400,8.0646
2024-08-05,7.5958,7.9402,7.5097,7.7489,1006600,7.7489
2024-08-06,7.7489,8.0741,7.6819,7.9593,611800,7.9593
2024-08-07,8.1124,8.1124,7.8828,7.902,1237100,7.902
2024-08-08,8.0167,8.3611,7.988,8.3324,1138500,8.3324
2024-08-09,8.3611,8.3611,8.1889,8.342,519000,8.342
2024-08-12,8.2846,8.2846,8.0263,8.1411,574600,8.1411
2024-08-13,8.2655,8.5525,8.2463,8.4951,767800,8.4951
2024-08-14,8.5429,8.5812,8.4377,8.4855,620200,8.4855
2024-08-15,8.5812,8.6864,8.4472,8.5716,769300,8.5716
2024-08-16,8.5525,8.7055,8.5429,8.5716,1454100,8.5716
2024-08-19,8.5716,8.8012,8.5716,8.7534,753400,8.7534
2024-08-20,8.6864,8.8012,8.6864,8.7342,607500,8.7342
2024-08-21,8.7916,8.8108,8.6386,8.7438,496400,8.7438
2024-08-22,8.7629,8.7821,8.6386,8.7629,364500,8.7629
2024-08-23,8.8066,9.0782,8.7678,9.0588,540300,9.0588
2024-08-26,9.1363,9.2915,9.0975,9.1751,1159500,9.1751
2024-08-27,9.1072,9.4273,9.0782,9.4079,1548300,9.4079
2024-08-28,9.3497,9.5631,9.3303,9.4467,1345400,9.4467
2024-08-29,9.4467,9.4564,9.3109,9.3594,809900,9.3594
2024-08-30,9.4176,9.4758,9.2624,9.4661,776800,9.4661
2024-09-03,9.3594,9.4758,9.1945,9.2624,874300,9.2624
2024-09-04,9.2333,9.3982,9.1557,9.2333,582800,9.2333
2024-09-05,9.3206,9.3691,9.1945,9.2236,376300,9.2236
2024-09-06,9.243,9.2818,9.0685,9.1557,476400,9.1557
2024-09-09,9.1363,9.2333,9.0685,9.146,451000,9.146
2024-09-10,9.2042,9.2624,9.1072,9.2527,418600,9.2527
2024-09-11,9.146,9.2624,8.9812,9.2333,599000,9.2333
2024-09-12,9.2624,9.4564,9.2236,9.3691,383400,9.3691
2024-09-13,9.5146,9.6407,9.4661,9.6213,739200,9.6213
2024-09-16,9.6892,9.7959,9.5728,9.728,459100,9.728
2024-09-17,9.7862,9.8929,9.5728,9.6019,900900,9.6019
2024-09-18,9.5728,9.9704,9.5728,9.6504,1083100,9.6504
2024-09-19,9.8347,9.8444,9.6601,9.8444,757800,9.8444
2024-09-20,9.7668,9.8735,9.5243,9.5922,2962800,9.5922
2024-09-23,9.7086,9.7668,9.5534,9.5631,651600,9.5631
2024-09-24,9.5437,9.8929,9.4661,9.8541,956900,9.8541
2024-09-25,9.8444,9.8832,9.6795,9.8056,605600,9.8056
2024-09-26,9.9414,9.9414,9.7086,9.7377,614500,9.7377
2024-09-27,9.8541,9.8541,9.6116,9.6407,540400,9.6407
2024-09-30,9.5825,9.8541,9.5534,9.7959,680100,9.7959
2024-10-01,9.7086,9.7377,9.5049,9.6019,540300,9.6019
2024-10-02,9.5049,9.6213,9.4273,9.5437,542200,9.5437
2024-10-03,9.4855,9.4855,9.34,9.4758,521400,9.4758
2024-10-04,9.5534,9.5728,9.4176,9.4952,433300,9.4952
2024-10-07,9.4273,9.4564,9.2915,9.4273,397700,9.4273
2024-10-08,9.4855,9.4855,9.3303,9.437,412300,9.437
2024-10-09,9.4273,9.6407,9.4273,9.5825,512200,9.5825
2024-10-10,9.4952,9.631,9.4564,9.534,334700,9.534
2024-10-11,9.5825,9.6892,9.5631,9.631,369600,9.631
2024-10-14,9.6116,9.9704,9.5728,9.9511,478000,9.9511
2024-10-15,9.9898,10.5233,9.9511,10.2808,862400,10.2808
2024-10-16,10.3487,10.5039,10.339,10.4845,447900,10.4845
2024-10-17,10.4651,10.6203,10.4069,10.5427,639000,10.5427
2024-10-18,10.5427,10.7852,10.5039,10.7367,531600,10.7367
2024-10-21,10.6979,10.7076,10.4069,10.4651,519400,10.4651
2024-10-22,10.3778,10.5621,10.3293,10.3972,401000,10.3972
2024-10-23,10.3002,10.4166,10.1838,10.3875,498800,10.3875
2024-10-24,10.3681,10.5524,10.3681,10.5524,509400,10.5524
2024-10-25,10.2226,10.4748,10.0092,10.0189,1841200,10.0189
2024-10-28,10.0189,10.1547,9.728,9.7862,1043100,9.7862
2024-10-29,9.7377,9.825,9.6213,9.7959,688300,9.7959
2024-10-30,9.825,9.9704,9.7474,9.7862,854100,9.7862
2024-10-31,9.7959,9.8444,9.6213,9.6407,1108200,9.6407
2024-11-01,9.7765,9.7959,9.5728,9.5825,965800,9.5825
2024-11-04,9.5728,9.7862,9.5146,9.7086,494600,9.7086
2024-11-05,9.6989,9.8638,9.6601,9.7474,727100,9.7474
2024-11-06,10.3487,10.3972,9.7765,9.9607,1529600,9.9607
2024-11-07,9.9123,9.9898,9.7571,9.9026,920300,9.9026
2024-11-08,9.9317,10.0674,9.8735,9.9801,946300,9.9801
2024-11-11,10.048,10.1353,9.9414,9.9801,878400,9.9801
2024-11-12,9.8929,10.0189,9.5146,9.5922,953600,9.5922
2024-11-13,9.6116,9.728,9.3982,9.437,1127200,9.437
2024-11-14,9.4855,9.5728,9.34,9.34,1013700,9.34
2024-11-15,9.3885,9.3885,9.1266,9.1557,1042200,9.1557
2024-11-18,9.1751,9.2042,8.9909,9.0297,740400,9.0297
2024-11-19,8.9715,9.1363,8.9133,9.1266,1005400,9.1266
2024-11-20,9.0782,9.1557,9.0103,9.1169,744600,9.1169
2024-11-21,9.1654,9.243,9.1072,9.2236,786500,9.2236
2024-11-22,9.3072,9.3661,9.1598,9.1991,626900,9.1991
2024-11-25,9.2384,9.3661,9.1991,9.2777,1595000,9.2777
2024-11-26,9.2679,9.6217,9.1991,9.6118,1999300,9.6118
2024-11-27,9.6413,9.8477,9.4841,9.5136,1405900,9.5136
2024-11-29,9.5627,9.6315,9.3563,9.3563,498600,9.3563
2024-12-02,9.4055,9.4448,9.1598,9.2089,712400,9.2089
2024-12-03,9.2089,9.2875,8.973,9.0516,532200,9.0516
2024-12-04,9.0123,9.1499,8.9632,9.1008,566000,9.1008
2024-12-05,9.0615,9.1204,8.9927,9.0516,564900,9.0516
2024-12-06,9.1106,9.1401,9.0222,9.1008,515400,9.1008
2024-12-09,9.1106,9.3858,9.1106,9.2875,599000,9.2875
2024-12-10,9.258,9.3367,8.9632,9.032,883100,9.032
2024-12-11,9.1204,9.1499,8.973,9.1401,669600,9.1401
2024-12-12,9.0811,9.2777,9.0811,9.1106,498000,9.1106
2024-12-13,9.091,9.2089,8.9534,9.1991,482700,9.1991
2024-12-16,9.1499,9.2777,9.0713,9.2089,954400,9.2089
2024-12-17,9.1106,9.3268,9.1106,9.2679,910100,9.2679
2024-12-18,9.2973,9.3268,8.5111,8.5897,1326900,8.5897
2024-12-19,8.5897,8.688,8.3637,8.3735,976800,8.3735
2024-12-20,8.2851,8.688,8.2851,8.6094,2923300,8.6094
2024-12-23,8.5406,8.629,8.4423,8.6192,552600,8.6192
2024-12-24,8.6192,8.7666,8.5701,8.7568,305500,8.7568
2024-12-26,8.7077,8.8158,8.6585,8.7863,506800,8.7863
2024-12-27,8.6585,8.7568,8.5701,8.6585,484600,8.6585
2024-12-30,8.6487,8.688,8.4914,8.6683,500700,8.6683
2024-12-31,8.7765,9.0615,8.688,8.9927,1206000,8.9927
2025-01-02,9.0222,9.091,8.8256,8.9042,598700,8.9042
2025-01-03,8.9042,8.9534,8.8158,8.8649,376400,8.8649
2025-01-06,8.8059,8.8453,8.5897,8.6094,452900,8.6094
2025-01-07,8.6683,8.688,8.3833,8.5701,740300,8.5701
2025-01-08,8.4914,8.747,8.4423,8.6782,1111700,8.6782
2025-01-10,8.462,8.4718,8.1475,8.2261,775300,8.2261
2025-01-13,8.1376,8.3244,8.1081,8.3047,393900,8.3047
2025-01-14,8.2949,8.4226,8.2556,8.403,339900,8.403
2025-01-15,8.7175,8.7765,8.5897,8.688,475000,8.688
2025-01-16,8.3539,8.6389,8.3047,8.629,578500,8.629
2025-01-17,8.7273,8.7273,8.5996,8.6683,446400,8.6683
2025-01-21,8.7371,8.8059,8.6585,8.688,561400,8.688
2025-01-22,8.6192,8.6585,8.5308,8.6094,484300,8.6094
