date,open,high,low,close,volume,adj_close
2024-05-20,77.2458,77.3462,76.1045,76.4332,542000,76.4332
2024-05-21,76.1227,76.1501,74.8079,75.0818,619300,75.0818
2024-05-22,74.881,75.4653,74.324,74.6983,502300,74.6983
2024-05-23,74.954,75.2188,73.6209,75.0818,719700,75.0818
2024-05-24,75.7301,76.6797,74.9631,75.2188,545600,75.2188
2024-05-28,75.2188,76.0223,74.3514,74.8444,770400,74.8444
2024-05-29,74.0227,74.8079,72.6896,72.9179,540600,72.9179
2024-05-30,73.5022,74.9175,73.5022,74.7623,433500,74.7623
2024-05-31,74.2692,77.0175,74.2692,76.3327,807800,76.3327
2024-06-03,77.1426,77.2715,74.9338,75.5781,442800,75.5781
2024-06-04,74.6853,75.5412,73.0655,73.222,698600,73.222
2024-06-05,73.222,73.3693,71.2801,73.314,833600,73.314
2024-06-06,73.0011,73.2588,71.8691,72.5593,672000,72.5593
2024-06-07,71.5654,71.9151,71.0316,71.593,585700,71.593
2024-06-10,70.8935,70.9212,70.1389,70.599,674900,70.599
2024-06-11,70.3229,71.8967,69.5222,71.8783,1091200,71.8783
2024-06-12,74.4092,75.6333,73.3969,73.5349,1357300,73.5349
2024-06-13,73.314,73.4153,70.8751,72.1912,920700,72.1912
2024-06-14,71.4181,71.7126,70.4242,70.9119,689000,70.9119
2024-06-17,70.8199,73.1116,70.2401,72.3201,782100,72.3201
2024-06-18,72.1912,72.4397,70.7739,71.6758,739800,71.6758
2024-06-20,71.1236,71.7126,70.7279,71.2157,805200,71.2157
2024-06-21,71.0408,72.8355,70.9672,72.4673,2438100,72.4673
2024-06-24,72.7802,74.5749,72.7526,74.1515,755600,74.1515
2024-06-25,74.0871,74.3816,70.8843,71.1236,784000,71.1236
2024-06-26,70.958,72.0624,70.6727,71.8783,584300,71.8783
2024-06-27,71.6942,72.0164,70.8659,71.4089,452500,71.4089
2024-06-28,71.7587,72.9367,71.05,72.0716,878300,72.0716
2024-07-01,72.1452,72.5041,69.283,69.3106,837100,69.3106
2024-07-02,68.9148,70.0376,68.335,69.8904,921300,69.8904
2024-07-03,69.5683,70.4058,69.0529,69.6419,479400,69.6419
2024-07-05,69.3382,69.7063,67.4975,68.3258,1125400,68.3258
2024-07-08,68.8596,69.9456,68.4178,68.9608,608500,68.9608
2024-07-09,68.6111,68.7952,67.4515,67.7828,751400,67.7828
2024-07-10,68.1417,68.8504,67.4331,68.335,1610900,68.335
2024-07-11,70.1849,73.0563,69.2277,72.9643,1491900,72.9643
2024-07-12,73.9123,75.9002,73.8294,75.0351,1163400,75.0351
2024-07-15,75.3572,76.1855,74.5841,75.3112,705200,75.3112
2024-07-16,75.4124,78.606,74.8142,78.4035,941800,78.4035
2024-07-17,77.4187,79.1582,77.4187,78.606,833600,78.606
2024-07-18,78.4035,80.9896,77.4924,77.9893,761700,77.9893
2024-07-19,77.7869,78.2194,74.6761,75.0351,1310800,75.0351
2024-07-22,75.2651,76.2131,73.2956,75.5965,1328100,75.5965
2024-07-23,68.3258,74.2896,67.654,71.9519,3979100,71.9519
2024-07-24,70.8751,71.6758,66.1722,67.0926,2361600,67.0926
2024-07-25,68.3534,73.8202,68.1694,72.7342,1801600,72.7342
2024-07-26,73.8202,77.0966,73.5993,76.1211,1409400,76.1211
2024-07-29,75.9462,77.3911,74.7221,76.1026,1001500,76.1026
2024-07-30,76.3879,77.7961,75.5596,77.2531,676500,77.2531
2024-07-31,77.4279,79.8208,76.5812,76.6457,1010400,76.6457
2024-08-01,76.4984,76.7193,72.3385,72.771,768100,72.771
2024-08-02,71.05,73.2864,69.7983,72.633,818700,72.633
2024-08-05,68.9148,73.7374,68.878,73.4429,1033600,73.4429
2024-08-06,73.6914,74.2712,72.3477,73.0932,634700,73.0932
2024-08-07,73.9767,75.0074,72.1912,72.3845,778500,72.3845
2024-08-08,73.3877,74.8786,72.7894,73.7466,458500,73.7466
2024-08-09,73.903,74.354,73.2956,73.4705,396700,73.4705
2024-08-12,73.5441,74.0227,71.9243,72.1636,553200,72.1636
2024-08-13,72.633,75.6149,72.6238,75.0903,701800,75.0903
2024-08-14,75.4676,75.9186,73.3232,73.7558,451000,73.7558
2024-08-15,75.4768,76.3972,75.0627,75.5965,511000,75.5965
2024-08-16,75.7069,76.5076,75.1731,76.1487,437900,76.1487
2024-08-19,76.388,77.115,75.983,76.6088,411200,76.6088
2024-08-20,76.618,76.8389,75.5689,75.6885,322500,75.6885
2024-08-21,76.9678,78.3943,76.2591,78.0353,536300,78.0353
2024-08-22,78.247,78.247,75.9186,76.2039,452000,76.2039
2024-08-23,76.931,80.3454,76.8481,79.6183,573100,79.6183
2024-08-26,80.1521,80.8332,79.4895,79.9405,330200,79.9405
2024-08-27,79.2042,79.4435,78.2562,78.3759,366900,78.3759
2024-08-28,77.8973,79.0293,77.2439,77.9065,368300,77.9065
2024-08-29,78.3575,78.6796,77.023,77.1242,362900,77.1242
2024-08-30,77.8421,78.109,76.9862,77.9065,306300,77.9065
2024-09-03,77.4984,77.8694,76.4317,76.4966,414500,76.4966
2024-09-04,76.1349,77.4149,75.4485,76.5152,384000,76.5152
2024-09-05,76.8213,77.3036,75.0496,75.1424,504200,75.1424
2024-09-06,73.1666,75.1424,72.9069,73.5748,639300,73.5748
2024-09-09,73.7417,74.4931,72.8142,73.1388,409900,73.1388
2024-09-10,72.9718,73.1202,71.7382,72.6194,386200,72.6194
2024-09-11,72.1463,72.4802,70.9034,72.3504,603400,72.3504
2024-09-12,72.3504,73.111,71.599,72.304,320300,72.304
2024-09-13,73.0646,76.7099,72.7121,75.6896,779800,75.6896
2024-09-16,76.1441,77.721,75.6432,77.4706,726100,77.4706
2024-09-17,78.0178,79.5576,77.7859,78.5002,548500,78.5002
2024-09-18,78.7692,80.1605,76.6172,77.4335,400800,77.4335
2024-09-19,79.3535,79.6782,78.259,79.6411,425100,79.6411
2024-09-20,79.5205,79.5205,77.3221,78.2219,1113100,78.2219
2024-09-23,78.6207,78.6207,76.2091,76.6728,606600,76.6728
2024-09-24,77.452,78.8341,77.0717,78.797,530600,78.797
2024-09-25,78.8526,79.1958,77.1737,77.35,371100,77.35
2024-09-26,79.0567,80.0028,78.1755,78.3981,386400,78.3981
2024-09-27,79.5205,80.244,78.1477,78.797,497600,78.797
2024-09-30,78.4723,78.7692,77.183,77.2108,448100,77.2108
2024-10-01,76.7285,77.4149,75.736,76.7749,420900,76.7749
2024-10-02,76.4688,76.8769,75.4855,75.8288,406700,75.8288
2024-10-03,75.365,76.1627,74.3725,75.9215,443000,75.9215
2024-10-04,76.914,77.0531,75.8288,76.2925,347800,76.2925
2024-10-07,75.8102,76.107,73.0368,73.9551,711300,73.9551
2024-10-08,73.7325,74.0386,73.0182,73.4449,516800,73.4449
2024-10-09,73.2872,74.4652,73.2687,74.4374,578600,74.4374
2024-10-10,73.3336,75.0218,72.9718,74.4931,425400,74.4931
2024-10-11,74.5116,76.1163,74.5023,75.0774,393600,75.0774
2024-10-14,74.6878,75.736,73.8901,75.4392,365900,75.4392
2024-10-15,75.467,77.7767,75.2722,75.5041,509700,75.5041
2024-10-16,76.6543,77.99,76.6543,77.0903,690700,77.0903
2024-10-17,76.7656,76.8213,75.7453,76.6172,445800,76.6172
2024-10-18,77.2294,77.2758,76.3575,76.5708,404400,76.5708
2024-10-21,76.1349,76.7378,74.3446,74.3818,868500,74.3818
2024-10-22,74.2055,74.2055,66.0244,66.989,3112900,66.989
2024-10-23,66.5623,67.4157,64.3362,64.633,1500800,64.633
2024-10-24,64.3733,65.7461,63.6219,65.6255,829300,65.6255
2024-10-25,65.8759,67.2766,65.7646,66.0893,748100,66.0893
2024-10-28,66.4047,68.8998,66.4047,68.6865,1286300,68.6865
2024-10-29,67.9166,69.2337,67.5641,68.2784,582700,68.2784
2024-10-30,68.1578,69.3358,66.6087,66.8684,643600,66.8684
2024-10-31,67.2766,67.2766,64.7629,64.8464,703400,64.8464
2024-11-01,65.0875,65.9223,64.9298,65.3008,491400,65.3008
2024-11-04,65.7461,66.4603,65.3287,65.709,405900,65.709
2024-11-05,65.0504,66.1635,64.466,66.1635,504200,66.1635
2024-11-06,67.8053,68.4639,64.4846,66.2934,1163100,66.2934
2024-11-07,66.6458,66.785,64.5588,64.7258,735200,64.7258
2024-11-08,64.466,64.6237,63.4921,63.9373,894500,63.9373
2024-11-11,64.2991,64.6608,63.5756,63.6591,613300,63.6591
2024-11-12,63.1674,63.5663,61.2752,61.4051,955900,61.4051
2024-11-13,61.7297,63.3529,61.7297,62.6202,818300,62.6202
2024-11-14,62.8706,63.622,61.9338,62.3326,581100,62.3326
2024-11-15,62.3976,62.5924,61.4793,61.9802,654300,61.9802
2024-11-18,61.5349,62.379,61.2196,61.8688,573300,61.8688
2024-11-19,61.2195,62.008,60.8207,61.0711,461000,61.0711
2024-11-20,60.5702,60.9784,59.8838,60.496,477800,60.496
2024-11-21,60.6445,62.2213,60.3662,62.0729,571900,62.0729
2024-11-22,62.4996,63.6498,62.379,63.0283,514800,63.0283
2024-11-25,63.9559,68.2041,63.9559,66.0522,1438600,66.0522
2024-11-26,64.9762,65.4214,62.4254,62.6202,859600,62.6202
2024-11-27,63.3715,64.2249,63.1118,63.3251,847000,63.3251
2024-11-29,63.4179,64.3733,63.4179,64.0023,321800,64.0023
2024-12-02,63.9367,64.5454,63.0751,63.5434,601900,63.5434
2024-12-03,63.5434,63.8992,62.5226,63.15,691400,63.15
2024-12-04,62.7567,62.9814,61.3238,61.38,931600,61.38
2024-12-05,61.5766,62.7473,59.4226,59.638,1159600,59.638
2024-12-06,60.7244,62.5225,59.2166,59.5912,805500,59.5912
2024-12-09,59.8628,62.3633,59.6006,62.0449,1183400,62.0449
2024-12-10,61.7921,62.5975,60.2655,61.8201,666100,61.8201
2024-12-11,62.3914,63.2249,60.4809,61.0241,1336300,61.0241
2024-12-12,60.9117,60.9679,59.2728,60.5465,863300,60.5465
2024-12-13,60.3404,60.3404,58.2333,59.0949,960800,59.0949
2024-12-16,58.6734,58.842,56.8378,57.2874,1156900,57.2874
2024-12-17,57.0345,58.2707,56.2665,56.9315,832600,56.9315
2024-12-18,56.8472,57.587,54.3654,54.4871,1205900,54.4871
2024-12-19,54.3186,55.4892,53.2416,53.3165,955300,53.3165
2024-12-20,53.3633,56.2478,53.1011,54.1875,3209800,54.1875
2024-12-23,53.8316,54.5246,52.4361,53.1385,933100,53.1385
2024-12-24,52.9138,53.4944,52.0241,53.4944,431500,53.4944
2024-12-26,53.0636,53.869,52.6796,53.6911,661700,53.6911
2024-12-27,53.4851,53.8503,52.7358,53.7847,709100,53.7847
2024-12-30,53.382,53.9721,52.6235,53.5319,1005700,53.5319
2024-12-31,53.8597,54.5527,53.5787,53.9627,885200,53.9627
2025-01-02,54.5246,54.8056,52.4736,52.8014,653800,52.8014
2025-01-03,52.8295,54.2249,52.1833,54.1875,634400,54.1875
2025-01-06,54.7494,55.8638,54.4403,54.6557,825500,54.6557
2025-01-07,54.6744,54.9648,53.5038,54.4216,785200,54.4216
2025-01-08,53.382,53.7192,51.6963,51.9023,1224500,51.9023
2025-01-10,51.3779,51.4528,49.4205,50.7504,1529600,50.7504
2025-01-13,50.638,52.0334,49.9918,52.0334,1388400,52.0334
2025-01-14,52.4361,52.7827,51.0782,52.099,1002800,52.099
2025-01-15,53.7379,53.8035,52.3519,52.689,1047700,52.689
2025-01-16,52.408,53.9346,51.818,53.6162,1270500,53.6162
2025-01-17,54.1406,54.3654,51.3591,51.9679,1661000,51.9679
2025-01-21,51.7431,52.3425,50.4882,51.5465,1842700,51.5465
2025-01-22,51.228,51.3217,50.2915,50.3477,1601000,50.3477
2025-01-23,50.0386,51.1156,49.28,50.7879,1225300,50.7879
2025-01-24,50.741,51.3123,50.048,50.4132,1490100,50.4132
2025-01-27,51.4247,52.9981,50.6848,52.9325,2956500,52.9325
2025-01-28,50.8534,51.4247,47.9221,48.0813,3999700,48.0813
2025-01-29,48.2405,48.3529,45.3654,45.6838,2849100,45.6838
2025-01-30,46.4798,48.0907,45.637,45.9273,2706600,45.9273
2025-01-31,46.1801,47.8284,44.5131,44.6723,3176500,44.6723
2025-02-03,43.0334,44.1291,40.458,40.9262,6340400,40.9262
2025-02-04,41.0948,43.0428,41.0948,42.818,2776300,42.818
2025-02-05,42.2936,43.2301,41.6848,42.4059,1875400,42.4059
2025-02-06,42.9679,43.5766,42.1999,42.4809,1249500,42.4809
