date,open,high,low,close,volume,adj_close
2024-05-21,46.0,46.0,43.5,45.75,320,45.75
2024-05-22,40.0,44.75,40.0,44.0,292,44.0
2024-05-23,44.0,44.0,40.0,42.0,316,42.0
2024-05-24,40.25,43.75,39.75,43.75,308,43.75
2024-05-28,42.5,51.75,39.0,39.75,864,39.75
2024-05-29,40.25,46.75,40.25,43.5,664,43.5
2024-05-30,44.0,46.25,42.5,42.5,260,42.5
2024-05-31,43.75,46.0,38.5,46.0,408,46.0
2024-06-03,37.5,46.5,37.5,41.5,364,41.5
2024-06-04,43.25,43.25,41.0,41.0,44,41.0
2024-06-05,41.0,43.0,40.0,42.0,112,42.0
2024-06-06,42.0,46.0,42.0,44.0,180,44.0
2024-06-07,42.25,45.75,41.5,44.25,300,44.25
2024-06-10,44.75,44.75,42.75,42.75,60,42.75
2024-06-11,41.5,42.75,41.5,42.75,104,42.75
2024-06-12,42.0,42.5,40.25,42.0,92,42.0
2024-06-13,40.0,41.25,40.0,41.25,52,41.25
2024-06-14,40.75,43.25,40.25,40.25,132,40.25
2024-06-17,38.5,40.0,37.5,38.0,256,38.0
2024-06-18,37.75,41.0,37.75,39.0,96,39.0
2024-06-20,40.5,40.5,37.75,38.75,244,38.75
2024-06-21,37.75,41.0,37.75,37.75,248,37.75
2024-06-24,39.0,41.0,38.5,39.75,276,39.75
2024-06-25,39.75,39.75,37.5,37.5,56,37.5
2024-06-26,37.5,41.5,37.25,38.25,448,38.25
2024-06-27,38.25,38.25,38.0,38.25,304,38.25
2024-06-28,38.25,40.5,36.0,37.5,572,37.5
2024-07-01,36.75,40.0,36.75,40.0,100,40.0
2024-07-02,39.75,41.5,39.75,41.5,192,41.5
2024-07-03,44.0,44.0,40.25,40.25,128,40.25
2024-07-05,40.0,44.75,37.75,44.75,388,44.75
2024-07-08,45.0,53.5,44.75,49.75,288,49.75
2024-07-09,49.75,58.25,48.25,55.75,2056,55.75
2024-07-10,55.5,59.25,51.5,56.75,428,56.75
2024-07-11,55.5,56.75,52.5,52.75,324,52.75
2024-07-12,54.5,57.0,53.5,56.25,416,56.25
2024-07-15,54.0,55.0,53.0,55.0,540,55.0
2024-07-16,54.75,54.75,53.0,54.75,180,54.75
2024-07-17,54.75,54.75,52.5,53.75,224,53.75
2024-07-18,53.0,55.5,50.0,52.25,132,52.25
2024-07-19,52.25,52.25,52.25,52.25,0,52.25
2024-07-22,50.0,55.0,48.25,48.25,212,48.25
2024-07-23,49.25,53.0,49.25,53.0,312,53.0
2024-07-24,49.25,52.5,49.25,52.5,100,52.5
2024-07-25,50.0,51.25,49.5,50.5,220,50.5
2024-07-26,47.25,51.25,33.75,40.0,267844,40.0
2024-07-29,43.75,43.75,37.5,41.5,11928,41.5
2024-07-30,37.75,37.75,33.0,34.25,9020,34.25
2024-07-31,32.5,37.0,30.0,36.0,6768,36.0
2024-08-01,35.5,36.0,33.25,36.0,2728,36.0
2024-08-02,33.75,36.25,31.5,33.25,2760,33.25
2024-08-05,29.75,32.0,29.75,30.0,2856,30.0
2024-08-06,28.25,35.75,28.25,35.5,3524,35.5
2024-08-07,34.25,37.25,34.25,34.75,1932,34.75
2024-08-08,31.5,33.0,30.75,30.75,1076,30.75
2024-08-09,31.25,32.5,30.0,30.5,884,30.5
2024-08-12,31.0,32.5,30.5,30.5,624,30.5
2024-08-13,32.0,32.25,29.75,30.0,1876,30.0
2024-08-14,32.5,32.5,29.75,30.25,1304,30.25
2024-08-15,31.0,31.75,30.75,30.75,376,30.75
2024-08-16,32.0,32.5,30.75,31.25,1224,31.25
2024-08-19,33.75,33.75,31.5,32.25,528,32.25
2024-08-20,31.75,32.75,30.25,30.25,1056,30.25
2024-08-21,32.0,33.0,29.75,30.75,1020,30.75
2024-08-22,30.0,32.25,28.75,31.25,1608,31.25
2024-08-23,31.25,34.0,31.25,32.5,2248,32.5
2024-08-26,32.75,33.5,31.25,31.5,1444,31.5
2024-08-27,33.0,36.0,31.75,32.0,9180,32.0
2024-08-28,32.0,34.75,32.0,33.5,2412,33.5
2024-08-29,32.5,34.5,32.5,32.5,664,32.5
2024-08-30,31.5,34.75,31.5,34.25,792,34.25
2024-09-03,34.5,34.5,32.5,32.75,212,32.75
2024-09-04,32.25,33.25,31.5,33.0,300,33.0
2024-09-05,34.0,34.75,32.5,34.25,956,34.25
2024-09-06,34.75,35.0,32.5,32.5,672,32.5
2024-09-09,32.5,34.75,29.75,31.25,4280,31.25
2024-09-10,31.25,32.25,28.0,30.75,3656,30.75
2024-09-11,29.75,31.25,28.5,30.75,3532,30.75
2024-09-12,30.5,32.5,30.25,31.25,1032,31.25
2024-09-13,29.75,32.5,29.75,30.75,1528,30.75
2024-09-16,28.75,35.5,27.25,34.5,5260,34.5
2024-09-17,35.0,35.5,31.5,32.75,1976,32.75
2024-09-18,35.25,35.25,30.75,31.0,1256,31.0
2024-09-19,33.25,34.5,30.5,30.75,2136,30.75
2024-09-20,31.5,33.0,30.25,30.75,4184,30.75
2024-09-23,30.75,33.75,30.75,30.75,6012,30.75
2024-09-24,32.25,33.0,30.5,32.5,4600,32.5
2024-09-25,35.75,36.25,32.5,32.75,6652,32.75
2024-09-26,36.0,36.0,32.25,32.25,1736,32.25
2024-09-27,34.5,35.75,32.0,32.0,2008,32.0
