date,open,high,low,close,volume,adj_close
2024-05-20,11.7114,11.7503,11.6256,11.6568,319100,11.6568
2024-05-21,11.5164,11.5476,10.6665,10.7055,4680300,10.7055
2024-05-22,10.7445,10.8927,10.7211,10.7601,3114100,10.7601
2024-05-23,10.7601,10.8069,10.4482,10.4638,1673600,10.4638
2024-05-24,10.5028,10.6198,10.495,10.5808,819300,10.5808
2024-05-28,10.6276,10.7211,10.5574,10.5964,797000,10.5964
2024-05-29,10.495,10.5574,10.4092,10.5184,611500,10.5184
2024-05-30,10.6042,10.7289,10.573,10.6899,625800,10.6899
2024-05-31,10.7289,10.9005,10.6276,10.6665,1005600,10.6665
2024-06-03,10.7601,10.8381,10.6587,10.7991,814000,10.7991
2024-06-04,10.8069,10.8381,10.6899,10.7133,487600,10.7133
2024-06-05,10.7991,10.8459,10.6665,10.7835,516700,10.7835
2024-06-06,10.7367,10.8459,10.6899,10.7289,756200,10.7289
2024-06-07,10.6665,10.7601,10.5964,10.6354,708300,10.6354
2024-06-10,10.5652,10.6743,10.5496,10.6587,830200,10.6587
2024-06-11,10.5886,10.6276,10.5184,10.5496,587600,10.5496
2024-06-12,10.8069,10.8615,10.6899,10.6977,577700,10.6977
2024-06-13,10.6821,10.7367,10.5964,10.6276,916300,10.6276
2024-06-14,10.573,10.7913,10.5652,10.7523,695800,10.7523
2024-06-17,10.6821,10.8303,10.6587,10.8147,488500,10.8147
2024-06-18,10.8381,10.9005,10.7601,10.8225,703600,10.8225
2024-06-20,10.8537,10.8537,10.6899,10.7367,1165500,10.7367
2024-06-21,10.7211,10.7445,10.6198,10.6665,1497600,10.6665
2024-06-24,10.7055,10.7757,10.6509,10.7523,530800,10.7523
2024-06-25,10.7523,10.7757,10.6587,10.6665,411300,10.6665
2024-06-26,10.6431,10.7211,10.6198,10.6899,431200,10.6899
2024-06-27,10.7367,10.7445,10.5964,10.6743,427900,10.6743
2024-06-28,10.7757,10.8069,10.6354,10.7211,1764100,10.7211
2024-07-01,10.7523,10.7523,10.5106,10.6042,744100,10.6042
2024-07-02,10.6587,10.7211,10.5418,10.7055,603900,10.7055
2024-07-03,10.7679,10.7679,10.6509,10.7211,313700,10.7211
2024-07-05,10.7289,10.7601,10.6821,10.7367,561300,10.7367
2024-07-08,10.7913,10.8303,10.7445,10.7835,1101900,10.7835
2024-07-09,10.7913,10.8381,10.7055,10.7757,725600,10.7757
2024-07-10,11.0876,11.2045,10.994,11.1967,1270200,11.1967
2024-07-11,11.3917,11.4619,11.1578,11.3995,2071100,11.3995
2024-07-12,11.4796,11.6079,11.4636,11.4957,1356000,11.4957
2024-07-15,11.4957,11.648,11.4075,11.5999,1004400,11.5999
2024-07-16,11.6239,11.8163,11.6159,11.8003,1379000,11.8003
2024-07-17,11.7362,12.0087,11.7282,11.9366,1032800,11.9366
2024-07-18,11.8644,12.0007,11.648,11.672,713500,11.672
2024-07-19,11.672,11.7442,11.5758,11.6239,510900,11.6239
2024-07-22,11.656,11.7121,11.5839,11.6239,721000,11.6239
2024-07-23,11.5678,11.648,11.4957,11.5999,1408500,11.5999
2024-07-24,11.1189,11.151,10.6539,10.678,2824000,10.678
2024-07-25,10.686,11.0708,10.6459,10.8624,1070000,10.8624
2024-07-26,11.0227,11.0708,10.9105,11.0307,974900,11.0307
2024-07-29,11.0628,11.1189,10.8944,10.9345,654700,10.9345
2024-07-30,10.9826,11.0387,10.9185,11.0067,505500,11.0067
2024-07-31,11.1349,11.183,11.0067,11.0387,757400,11.0387
2024-08-01,11.1029,11.1349,10.7341,10.8864,895400,10.8864
2024-08-02,10.7101,10.9746,10.678,10.9025,828100,10.9025
2024-08-05,10.4215,10.7341,10.2691,10.5497,1373300,10.5497
2024-08-06,10.6058,10.7421,10.5096,10.6459,787300,10.6459
2024-08-07,10.8223,10.8383,10.6058,10.686,819000,10.686
2024-08-08,10.7582,10.7902,10.6139,10.7501,618700,10.7501
2024-08-09,10.7822,10.7822,10.6379,10.7822,656000,10.7822
2024-08-12,10.8063,10.8063,10.6219,10.6539,575700,10.6539
2024-08-13,10.7261,10.8063,10.67,10.7742,549300,10.7742
2024-08-14,10.7742,10.8383,10.7181,10.8143,472000,10.8143
2024-08-15,10.9586,11.0227,10.8143,10.9586,538700,10.9586
2024-08-16,10.9506,11.0467,10.9506,10.9986,525400,10.9986
2024-08-19,11.0227,11.0948,11.0067,11.0708,483900,11.0708
2024-08-20,11.0147,11.0548,10.9506,10.9746,570700,10.9746
2024-08-21,11.0387,11.0628,10.9746,11.0387,357100,11.0387
2024-08-22,11.0868,11.0868,10.9746,10.9906,884100,10.9906
2024-08-23,11.0467,11.2632,10.9906,11.2391,663500,11.2391
2024-08-26,11.3434,11.3834,11.2391,11.2552,707000,11.2552
2024-08-27,11.2231,11.2552,11.183,11.2231,578300,11.2231
2024-08-28,11.175,11.3113,11.175,11.2391,464100,11.2391
2024-08-29,11.2953,11.3834,11.2231,11.3353,1664800,11.3353
2024-08-30,11.3434,11.3995,11.2391,11.3915,689500,11.3915
2024-09-03,11.2872,11.4315,11.151,11.183,990100,11.183
2024-09-04,11.183,11.183,11.0467,11.1109,680200,11.1109
2024-09-05,11.159,11.1991,11.0788,11.151,550100,11.151
2024-09-06,11.1029,11.1349,11.0067,11.0548,685100,11.0548
2024-09-09,11.0548,11.0948,10.9586,11.0387,568500,11.0387
2024-09-10,11.0387,11.1109,11.0067,11.0948,431100,11.0948
2024-09-11,11.0788,11.1029,10.9666,11.0628,448400,11.0628
2024-09-12,11.1109,11.175,11.0708,11.159,314300,11.159
2024-09-13,11.2712,11.3915,11.2071,11.3754,528800,11.3754
2024-09-16,11.4235,11.4235,11.3113,11.3834,650800,11.3834
2024-09-17,11.5117,11.5117,11.3915,11.4155,1131200,11.4155
2024-09-18,11.4556,11.5678,11.3514,11.4235,653900,11.4235
2024-09-19,11.6159,11.6159,11.4556,11.5277,875900,11.5277
2024-09-20,11.4396,11.5197,11.4155,11.4315,1654700,11.4315
2024-09-23,11.4476,11.4556,11.2792,11.3514,588000,11.3514
