date,open,high,low,close,volume,adj_close
2024-08-21,20.9448,20.9448,20.9448,20.9448,0,20.9448
2024-08-22,20.7872,21.0776,20.7872,20.9448,1800,20.9448
2024-08-23,21.4842,21.5191,21.2701,21.2701,1500,21.2701
2024-08-26,20.9183,21.5755,20.9183,21.0029,2300,21.0029
2024-08-27,21.7166,21.7166,21.0112,21.4925,4800,21.4925
2024-08-28,21.3473,21.3473,21.3473,21.3473,300,21.3473
2024-08-29,21.5133,21.7498,21.3265,21.7249,1500,21.7249
2024-08-30,21.512,22.2328,21.512,21.7918,1100,21.7918
2024-09-03,21.7918,21.7918,21.7918,21.7918,0,21.7918
2024-09-04,22.0462,22.0462,21.7834,21.9648,4500,21.9648
2024-09-05,22.0462,23.0637,21.6223,22.4787,5800,22.4787
2024-09-06,22.4787,22.4787,22.4787,22.4787,0,22.4787
2024-09-09,22.4787,22.4787,22.4787,22.4787,100,22.4787
2024-09-10,22.1039,22.3515,21.6307,22.2845,4300,22.2845
2024-09-11,21.7918,22.4414,21.7918,22.4414,2800,22.4414
2024-09-12,22.4702,22.8433,21.8427,22.4702,1900,22.4702
2024-09-13,22.0462,22.4312,21.9479,22.4312,3200,22.4312
2024-09-16,22.4422,22.6313,21.8936,22.0462,1900,22.0462
2024-09-17,22.1836,22.1836,22.1836,22.1836,200,22.1836
2024-09-18,22.0191,22.0191,22.0191,22.0191,200,22.0191
2024-09-19,22.0462,22.2794,22.0462,22.2794,1800,22.2794
2024-09-20,22.148,22.4202,22.148,22.1827,800,22.1827
2024-09-23,22.354,22.5126,22.159,22.5126,2300,22.5126
2024-09-24,22.3379,22.5126,22.3379,22.5126,1400,22.5126
2024-09-25,22.2243,22.4787,22.2243,22.4617,1600,22.4617
2024-09-26,22.4617,22.5126,22.3769,22.5126,1400,22.5126
2024-09-27,22.4702,22.5126,16.789,18.646,68900,18.646
2024-09-30,18.7817,19.8289,17.8066,18.9852,17500,18.9852
2024-10-01,19.5965,19.5965,16.5771,16.7467,25900,16.7467
2024-10-02,17.2724,18.6969,17.1791,18.2136,11300,18.2136
2024-10-03,18.6545,19.053,18.5909,18.9089,1900,18.9089
2024-10-04,18.9089,19.4176,18.2729,18.2814,4500,18.2814
2024-10-07,19.0785,19.2006,18.6545,19.2006,1100,19.2006
2024-10-08,19.7568,19.7568,19.0276,19.4516,2800,19.4516
2024-10-09,19.1336,19.5024,19.1217,19.3668,6700,19.3668
2024-10-10,19.5024,19.6042,19.5024,19.5024,1400,19.5024
2024-10-11,19.8331,19.8331,19.354,19.7458,3500,19.7458
2024-10-14,19.8246,19.8246,19.4939,19.4939,1600,19.4939
2024-10-15,19.1633,19.6746,17.8066,18.875,4300,18.875
2024-10-16,19.0361,19.0361,17.4564,18.6545,3500,18.6545
2024-10-17,18.8241,18.8241,18.6375,18.6621,1600,18.6621
2024-10-18,18.8665,18.8665,18.6291,18.8461,1000,18.8461
2024-10-21,18.8326,18.8326,18.8326,18.8326,500,18.8326
2024-10-22,19.0361,19.0361,17.4165,18.2789,9900,18.2789
2024-10-23,17.9931,18.8665,16.7467,17.9762,5700,17.9762
2024-10-24,18.0609,18.3577,17.9507,18.027,4800,18.027
2024-10-25,18.0609,18.3145,17.425,17.425,8100,17.425
2024-10-28,18.9089,18.9089,17.1537,17.1537,5800,17.1537
2024-10-29,17.1706,17.3826,15.4324,15.4324,12200,15.4324
2024-10-30,15.6528,16.7636,15.6528,16.2379,10200,16.2379
2024-10-31,16.1192,16.7467,16.1099,16.7467,3400,16.7467
2024-11-01,16.9586,16.9586,16.0259,16.5347,6300,16.5347
2024-11-04,16.1531,16.2752,15.7376,16.0089,4300,16.0089
2024-11-05,16.2379,18.2297,16.1743,18.0508,5500,18.0508
2024-11-06,17.815,18.2136,17.1494,17.9846,11700,17.9846
2024-11-07,17.6692,18.2305,17.1749,18.1457,7900,18.1457
2024-11-08,18.3289,18.3289,18.3289,18.3289,600,18.3289
2024-11-11,18.4001,18.4001,17.8125,17.8125,1300,17.8125
2024-11-12,18.1076,18.1076,17.8981,17.9168,3400,17.9168
2024-11-13,18.0185,18.3501,17.8914,17.9083,1500,17.9083
2024-11-14,17.8659,18.1033,17.8659,18.1033,3100,18.1033
2024-11-15,17.9804,19.0361,17.9804,18.4408,6300,18.4408
2024-11-18,18.4425,18.6545,18.0966,18.3577,7100,18.3577
2024-11-19,17.9931,18.2136,17.8914,17.8914,4400,17.8914
2024-11-20,17.9846,18.2221,17.3826,17.8066,4600,17.8066
2024-11-21,17.8066,19.0361,17.8066,18.6545,7300,18.6545
2024-11-22,18.858,18.8919,17.8252,17.8252,11300,17.8252
2024-11-25,18.646,18.646,18.5103,18.5103,1900,18.5103
2024-11-26,17.9846,18.3136,17.9846,18.2899,3200,18.2899
2024-11-27,18.3153,19.3718,18.2144,19.3718,4600,19.3718
2024-11-29,18.6715,18.8368,18.5188,18.5188,1400,18.5188
2024-12-02,18.3178,18.7573,18.3178,18.5354,6000,18.5354
2024-12-03,18.5354,19.1445,18.4701,18.7964,6700,18.7964
2024-12-04,18.3613,18.5876,18.3613,18.3613,2800,18.3613
2024-12-05,18.3613,18.7251,17.4911,17.4911,2800,17.4911
2024-12-06,17.4041,19.4143,16.7079,19.4143,12300,19.4143
2024-12-09,17.5433,18.1577,17.5433,18.0907,3600,18.0907
2024-12-10,18.2395,18.2743,17.9506,18.0567,1500,18.0567
2024-12-11,18.0567,18.1046,17.9158,18.1046,1800,18.1046
2024-12-12,18.3831,18.3831,17.4041,17.4041,2300,17.4041
2024-12-13,18.2308,18.2308,17.4215,17.7522,1600,17.7522
2024-12-16,17.4998,18.2177,17.4998,18.2177,2500,18.2177
2024-12-17,17.7087,18.2056,17.6216,18.2056,1100,18.2056
2024-12-18,17.6216,18.2656,17.4929,17.4929,4000,17.4929
2024-12-19,17.4824,17.7174,16.1858,16.3842,10500,16.3842
2024-12-20,16.2815,17.3545,16.2815,16.7767,6700,16.7767
2024-12-23,16.5774,17.4119,16.3598,16.4904,5700,16.4904
2024-12-24,16.9081,16.9081,16.3598,16.5174,3500,16.5174
2024-12-26,16.4469,16.6897,16.3598,16.6427,4600,16.6427
2024-12-27,16.6122,16.6122,16.4034,16.4034,2100,16.4034
2024-12-30,16.064,16.7862,16.064,16.6644,16000,16.6644
2024-12-31,16.4382,17.0595,16.4382,17.0595,2400,17.0595
2025-01-02,16.882,17.2292,16.882,16.9168,1300,16.9168
2025-01-03,16.7949,17.056,16.7949,17.0473,4000,17.0473
2025-01-06,17.0386,17.1865,16.7688,16.9124,13900,16.9124
2025-01-07,16.8646,17.0125,16.8646,16.9081,2100,16.9081
2025-01-08,16.7079,17.1865,16.7079,17.1865,2600,17.1865
2025-01-10,16.7514,17.1718,16.5426,16.8385,6700,16.8385
2025-01-13,16.6557,16.9168,16.6557,16.9168,1600,16.9168
2025-01-14,16.6383,17.0473,16.5861,16.9168,4000,16.9168
2025-01-15,16.7654,17.2292,16.7654,17.0734,2100,17.0734
2025-01-16,16.8733,17.0908,16.5774,16.9455,3300,16.9455
2025-01-17,17.0734,17.0734,16.882,17.0734,1900,17.0734
2025-01-21,17.3867,18.7094,17.3066,17.7348,17700,17.7348
2025-01-22,17.8392,19.5796,17.8392,19.5361,11500,19.5361
2025-01-23,19.5361,19.8572,18.7999,19.8572,4000,19.8572
2025-01-24,19.8407,19.8407,18.806,19.7972,6100,19.7972
2025-01-27,19.2489,19.919,18.7181,18.8399,5600,18.8399
