date,open,high,low,close,volume,adj_close
2024-06-04,3.114,3.1898,3.114,3.1393,16100,3.1393
2024-06-05,3.1645,3.1729,3.1014,3.1056,27300,3.1056
2024-06-06,3.013,3.1729,3.013,3.1309,53500,3.1309
2024-06-07,3.114,3.1309,3.0846,3.0888,21900,3.0888
2024-06-10,3.0635,3.093,3.0383,3.0635,78600,3.0635
2024-06-11,3.0299,3.114,3.0299,3.0972,21500,3.0972
2024-06-12,3.1309,3.2066,3.114,3.1393,43700,3.1393
2024-06-13,3.114,3.1982,3.114,3.1814,27600,3.1814
2024-06-14,3.2066,3.2066,3.1393,3.1645,26200,3.1645
2024-06-17,3.1309,3.1982,3.1224,3.1856,38100,3.1856
2024-06-18,3.1645,3.2201,3.1309,3.1898,22400,3.1898
2024-06-20,3.1814,3.2823,3.1814,3.1898,49900,3.1898
2024-06-21,3.1898,3.1906,3.1561,3.1561,24100,3.1561
2024-06-24,3.1309,3.2823,3.1309,3.2403,41000,3.2403
2024-06-25,3.1898,3.316,3.1561,3.2908,48900,3.2908
2024-06-26,3.2739,3.3749,3.2739,3.3665,55700,3.3665
2024-06-27,3.3749,3.417,3.3749,3.3968,42000,3.3968
2024-06-28,3.4342,3.4342,3.3067,3.3067,24800,3.3067
2024-07-01,3.3917,3.4087,3.2982,3.3492,39400,3.3492
2024-07-02,3.3832,3.4002,3.3577,3.3662,10100,3.3662
2024-07-03,3.4002,3.4002,3.3322,3.3407,40200,3.3407
2024-07-05,3.3747,3.3747,3.2812,3.3067,18900,3.3067
2024-07-08,3.2982,3.3407,3.2387,3.2557,32800,3.2557
2024-07-09,3.1877,3.3399,3.1877,3.2727,17500,3.2727
2024-07-10,3.2727,3.3152,3.2472,3.277,41400,3.277
2024-07-11,3.2642,3.3577,3.2557,3.3407,48200,3.3407
2024-07-12,3.3237,3.4002,3.3237,3.3917,24800,3.3917
2024-07-15,3.4257,3.4682,3.3917,3.4087,67600,3.4087
2024-07-16,3.4257,3.4257,3.3662,3.379,32900,3.379
2024-07-17,3.4002,3.4002,3.3407,3.3747,17100,3.3747
2024-07-18,3.4002,3.4002,3.2523,3.3662,58900,3.3662
2024-07-19,3.3662,3.4002,3.3577,3.3662,6700,3.3662
2024-07-22,3.4002,3.4002,3.3322,3.3407,38900,3.3407
