date,open,high,low,close,volume,adj_close
2024-05-28,10.7,11.6,10.7,11.6,104833,11.6
2024-05-29,11.6,11.6,10.6,10.6,65484,10.6
2024-05-30,10.8,11.2,10.6,11.1,50219,11.1
2024-05-31,11.1,12.0,10.927,11.8,72387,11.8
2024-06-03,11.8,11.9,11.3,11.4,61259,11.4
2024-06-04,11.3,11.5,10.5,10.6,98516,10.6
2024-06-05,10.8,11.2,10.2,10.9,91412,10.9
2024-06-06,10.7,10.7,10.3,10.5,98114,10.5
2024-06-07,10.6,10.75,10.3,10.6,43299,10.6
2024-06-10,10.4,10.7,10.0,10.6,68703,10.6
2024-06-11,10.5,11.352,10.3,11.3,85772,11.3
2024-06-12,11.9,12.5,11.7,12.1,110077,12.1
2024-06-13,12.1,12.4,11.0,11.5,81844,11.5
2024-06-14,11.3,11.4,10.6,10.6,56182,10.6
2024-06-17,10.6,12.3,10.6,11.9,112208,11.9
2024-06-18,11.9,13.3,11.8,12.0,120672,12.0
2024-06-20,11.8,12.14,11.0,11.0,68248,11.0
2024-06-21,10.9,12.2,10.8,12.1,103912,12.1
2024-06-24,11.9,12.4,11.4,11.5,97578,11.5
2024-06-25,11.5,11.5,11.0,11.4,61863,11.4
2024-06-26,11.3,11.7,10.8,10.8,61208,10.8
2024-06-27,10.9,11.6,10.5,10.6,89134,10.6
2024-06-28,10.5,11.1,9.681,10.0,937389,10.0
2024-07-01,10.3,10.5,9.802,10.0,131864,10.0
2024-07-02,10.1,10.3,9.7,9.9,126505,9.9
2024-07-03,10.0,10.2,9.851,9.89,66780,9.89
2024-07-05,10.1,10.6,9.626,10.5,104961,10.5
2024-07-08,10.5,12.0,10.5,11.4,202934,11.4
2024-07-09,11.6,11.9,10.7,10.9,93602,10.9
2024-07-10,11.1,11.2,10.7,11.0,41736,11.0
2024-07-11,11.3,12.2,11.3,12.0,87001,12.0
2024-07-12,12.0,12.0,11.4,11.4,56115,11.4
2024-07-15,11.8,11.8,11.4,11.6,56981,11.6
2024-07-16,12.0,12.7,11.6,12.6,77338,12.6
2024-07-17,12.6,13.0,11.4,11.65,87439,11.65
2024-07-18,11.9,12.0,10.9,10.9,121063,10.9
2024-07-19,10.8,11.4,10.7,11.0,63560,11.0
2024-07-22,11.1,11.4,10.9,11.3,58619,11.3
2024-07-23,11.3,11.9,11.3,11.3,53356,11.3
2024-07-24,11.4,11.6,11.0,11.0,84648,11.0
2024-07-25,11.2,12.3,11.05,12.0,85395,12.0
2024-07-26,12.0,14.45,11.6,12.5,200040,12.5
2024-07-29,12.9,13.1,12.2,12.35,65691,12.35
2024-07-30,12.5,13.0,12.0,12.0,107001,12.0
2024-07-31,11.0,11.2,10.0,10.1,259840,10.1
2024-08-01,10.2,10.2,9.3,9.914,241453,9.914
2024-08-02,9.7,9.7,9.321,9.47,170996,9.47
2024-08-05,9.288,9.484,8.7,9.2,201289,9.2
2024-08-06,9.2,9.2,8.51,8.74,89027,8.74
2024-08-07,8.8,9.1383,8.12,8.13,180773,8.13
2024-08-08,8.134,8.402,8.001,8.28,154196,8.28
2024-08-09,8.2,8.3,7.8,7.8,154746,7.8
2024-08-12,8.0,8.1165,7.5,7.59,132685,7.59
2024-08-13,7.6,8.149,7.4,7.4,157660,7.4
2024-08-14,7.43,7.707,7.2,7.5,167114,7.5
2024-08-15,7.725,8.329,7.606,8.03,144856,8.03
2024-08-16,8.1,8.499,7.819,7.952,69263,7.952
2024-08-19,7.933,8.246,7.851,8.103,51533,8.103
2024-08-20,8.191,8.426,7.84,7.984,44263,7.984
2024-08-21,8.1,8.479,7.991,8.421,36849,8.421
