date,open,high,low,close,volume,adj_close
2024-05-20,0.528,0.551,0.486,0.486,424500,0.486
2024-05-21,0.485,0.53,0.478,0.483,567600,0.483
2024-05-22,0.5,0.5,0.41,0.448,475300,0.448
2024-05-23,0.467,0.485,0.449,0.46,276200,0.46
2024-05-24,0.44,0.48,0.44,0.475,127200,0.475
2024-05-28,0.48,0.55,0.48,0.522,565800,0.522
2024-05-29,0.524,0.529,0.508,0.512,158900,0.512
2024-05-30,0.511,0.535,0.5,0.502,274100,0.502
2024-05-31,0.507,0.538,0.505,0.515,211500,0.515
2024-06-03,0.52,0.537,0.503,0.51,270500,0.51
2024-06-04,0.509,0.509,0.47,0.473,240600,0.473
2024-06-05,0.475,0.499,0.471,0.472,138200,0.472
2024-06-06,0.488,0.511,0.471,0.477,118400,0.477
2024-06-07,0.476,0.497,0.469,0.472,114200,0.472
2024-06-10,0.476,0.484,0.42,0.453,229500,0.453
2024-06-11,0.453,0.477,0.453,0.466,81400,0.466
2024-06-12,0.466,0.474,0.453,0.46,91300,0.46
2024-06-13,0.461,0.474,0.44,0.441,86200,0.441
2024-06-14,0.445,0.459,0.441,0.451,67800,0.451
2024-06-17,0.444,0.459,0.43,0.44,165100,0.44
2024-06-18,0.436,0.436,0.41,0.413,193200,0.413
2024-06-20,0.412,0.448,0.412,0.425,134500,0.425
2024-06-21,0.446,0.448,0.412,0.429,368800,0.429
2024-06-24,0.433,0.439,0.412,0.412,338400,0.412
2024-06-25,0.414,0.43,0.406,0.406,110500,0.406
2024-06-26,0.412,0.423,0.406,0.41,22200,0.41
2024-06-27,0.424,0.429,0.41,0.418,41000,0.418
2024-06-28,0.435,0.435,0.4,0.4,67800,0.4
2024-07-01,0.408,0.432,0.408,0.429,58300,0.429
2024-07-02,0.428,0.429,0.41,0.41,91100,0.41
2024-07-03,0.435,0.435,0.419,0.422,55100,0.422
2024-07-05,0.433,0.44,0.418,0.44,97800,0.44
2024-07-08,0.45,0.48,0.444,0.468,148800,0.468
2024-07-09,0.46,0.472,0.453,0.462,69900,0.462
2024-07-10,0.445,0.49,0.445,0.479,185700,0.479
2024-07-11,0.485,0.49,0.475,0.475,77200,0.475
2024-07-12,0.484,0.489,0.47,0.489,51800,0.489
2024-07-15,0.49,0.49,0.47,0.475,70500,0.475
2024-07-16,0.484,0.484,0.457,0.46,168000,0.46
2024-07-17,0.47,0.47,0.445,0.455,91600,0.455
2024-07-18,0.45,0.455,0.436,0.439,90100,0.439
2024-07-19,0.43,0.447,0.422,0.431,79300,0.431
2024-07-22,0.43,0.444,0.423,0.43,81200,0.43
2024-07-23,0.43,0.44,0.428,0.433,81200,0.433
2024-07-24,0.454,0.454,0.433,0.44,99600,0.44
2024-07-25,0.439,0.439,0.419,0.43,76300,0.43
2024-07-26,0.433,0.44,0.426,0.435,31700,0.435
2024-07-29,0.429,0.44,0.42,0.44,78400,0.44
2024-07-30,0.432,0.44,0.43,0.436,43700,0.436
2024-07-31,0.43,0.445,0.43,0.44,104200,0.44
2024-08-01,0.459,0.459,0.422,0.427,133100,0.427
2024-08-02,0.42,0.435,0.4,0.414,134300,0.414
2024-08-05,0.397,0.415,0.378,0.405,183400,0.405
2024-08-06,0.388,0.427,0.386,0.415,75500,0.415
2024-08-07,0.423,0.427,0.399,0.417,48600,0.417
2024-08-08,0.42,0.42,0.38,0.415,79600,0.415
2024-08-09,0.411,0.415,0.4,0.411,31000,0.411
2024-08-12,0.435,0.435,0.408,0.434,58600,0.434
2024-08-13,0.418,0.44,0.411,0.44,17400,0.44
2024-08-14,0.419,0.43,0.419,0.425,37200,0.425
2024-08-15,0.42,0.44,0.418,0.425,28700,0.425
2024-08-16,0.43,0.44,0.417,0.426,58200,0.426
2024-08-19,0.426,0.44,0.426,0.434,23900,0.434
2024-08-20,0.432,0.44,0.424,0.439,44200,0.439
2024-08-21,0.44,0.44,0.424,0.431,53700,0.431
2024-08-22,0.439,0.44,0.418,0.432,66300,0.432
2024-08-23,0.43,0.43,0.42,0.425,76400,0.425
2024-08-26,0.429,0.43,0.425,0.43,15900,0.43
2024-08-27,0.43,0.435,0.425,0.428,20000,0.428
2024-08-28,0.425,0.425,0.412,0.42,95800,0.42
2024-08-29,0.42,0.42,0.415,0.418,84000,0.418
2024-08-30,0.41,0.42,0.41,0.416,27800,0.416
2024-09-03,0.412,0.419,0.412,0.412,57200,0.412
2024-09-04,0.417,0.428,0.412,0.417,55800,0.417
2024-09-05,0.412,0.44,0.412,0.418,49800,0.418
2024-09-06,0.43,0.445,0.43,0.44,282500,0.44
2024-09-09,0.44,0.44,0.425,0.44,83300,0.44
2024-09-10,0.437,0.44,0.429,0.44,51600,0.44
2024-09-11,0.44,0.444,0.432,0.443,31900,0.443
2024-09-12,0.439,0.45,0.436,0.44,210000,0.44
2024-09-13,0.452,0.452,0.434,0.449,138000,0.449
2024-09-16,0.46,0.46,0.443,0.443,137200,0.443
2024-09-17,0.458,0.458,0.436,0.436,50800,0.436
2024-09-18,0.445,0.45,0.409,0.409,123100,0.409
2024-09-19,0.434,0.442,0.41,0.438,50900,0.438
2024-09-20,0.435,0.51,0.426,0.51,401400,0.51
2024-09-23,0.468,0.48,0.433,0.446,173800,0.446
2024-09-24,0.459,0.46,0.437,0.441,188300,0.441
2024-09-25,0.46,0.46,0.43,0.441,132000,0.441
2024-09-26,0.444,0.45,0.437,0.445,107500,0.445
2024-09-27,0.417,0.42,0.382,0.414,625700,0.414
2024-09-30,0.408,0.417,0.393,0.404,87800,0.404
2024-10-01,0.404,0.404,0.395,0.398,41400,0.398
2024-10-02,0.398,0.407,0.398,0.4,115600,0.4
2024-10-03,0.4,0.408,0.398,0.403,124500,0.403
2024-10-04,0.4,0.424,0.4,0.416,112600,0.416
2024-10-07,0.42,0.43,0.41,0.43,75300,0.43
2024-10-08,0.422,0.437,0.422,0.43,64700,0.43
2024-10-09,0.422,0.433,0.416,0.417,65500,0.417
2024-10-10,0.429,0.429,0.421,0.425,31600,0.425
2024-10-11,0.427,0.435,0.419,0.425,83600,0.425
2024-10-14,0.425,0.43,0.416,0.42,56500,0.42
2024-10-15,0.416,0.42,0.412,0.416,20900,0.416
2024-10-16,0.42,0.42,0.415,0.42,39500,0.42
2024-10-17,0.42,0.429,0.415,0.429,220700,0.429
2024-10-18,0.43,0.442,0.43,0.435,287300,0.435
2024-10-21,0.435,0.435,0.401,0.413,272900,0.413
2024-10-22,0.43,0.438,0.414,0.435,228200,0.435
2024-10-23,0.44,0.44,0.416,0.427,85300,0.427
2024-10-24,0.42,0.43,0.415,0.42,57200,0.42
2024-10-25,0.418,0.418,0.401,0.413,71600,0.413
2024-10-28,0.415,0.417,0.408,0.415,27200,0.415
2024-10-29,0.42,0.42,0.415,0.42,40200,0.42
2024-10-30,0.423,0.43,0.406,0.406,32900,0.406
2024-10-31,0.406,0.409,0.382,0.398,76500,0.398
2024-11-01,0.395,0.406,0.395,0.404,88300,0.404
2024-11-04,0.39,0.394,0.376,0.38,206600,0.38
2024-11-05,0.373,0.377,0.355,0.367,337900,0.367
2024-11-06,0.378,0.378,0.35,0.354,242200,0.354
2024-11-07,0.355,0.41,0.355,0.36,120100,0.36
2024-11-08,0.37,0.37,0.352,0.352,119600,0.352
2024-11-11,0.35,0.37,0.34,0.355,261900,0.355
2024-11-12,0.355,0.386,0.347,0.377,104400,0.377
2024-11-13,0.372,0.42,0.372,0.408,388400,0.408
2024-11-14,0.4,0.448,0.39,0.442,410500,0.442
2024-11-15,0.429,0.458,0.407,0.458,1841400,0.458
2024-11-18,0.42,0.428,0.404,0.409,253500,0.409
2024-11-19,0.405,0.405,0.378,0.388,157000,0.388
2024-11-20,0.385,0.39,0.372,0.372,102000,0.372
2024-11-21,0.371,0.379,0.371,0.377,32400,0.377
2024-11-22,0.372,0.415,0.372,0.401,280100,0.401
2024-11-25,0.388,0.4,0.377,0.385,63400,0.385
2024-11-26,0.393,0.409,0.39,0.402,25000,0.402
2024-11-27,0.402,0.416,0.394,0.403,46100,0.403
2024-11-29,0.398,0.408,0.392,0.408,18000,0.408
2024-12-02,0.396,0.404,0.39,0.395,89300,0.395
2024-12-03,0.385,0.407,0.382,0.386,66500,0.386
2024-12-04,0.39,0.39,0.382,0.39,59100,0.39
2024-12-05,0.395,0.395,0.373,0.373,39000,0.373
2024-12-06,0.372,0.379,0.35,0.36,142400,0.36
2024-12-09,0.373,0.377,0.365,0.37,49800,0.37
2024-12-10,0.361,0.375,0.355,0.355,51800,0.355
2024-12-11,0.33,0.366,0.33,0.34,85400,0.34
2024-12-12,0.353,0.376,0.345,0.35,179000,0.35
2024-12-13,0.36,0.369,0.352,0.36,35500,0.36
2024-12-16,0.36,0.376,0.355,0.355,140500,0.355
2024-12-17,0.35,0.362,0.349,0.351,21100,0.351
2024-12-18,0.351,0.36,0.333,0.333,140200,0.333
2024-12-19,0.34,0.346,0.318,0.319,223600,0.319
2024-12-20,0.317,0.349,0.317,0.342,205700,0.342
2024-12-23,0.334,0.352,0.334,0.336,51100,0.336
2024-12-24,0.334,0.338,0.334,0.334,23100,0.334
2024-12-26,0.341,0.343,0.334,0.336,116100,0.336
2024-12-27,0.34,0.343,0.32,0.329,105900,0.329
2024-12-30,0.312,0.35,0.312,0.34,95200,0.34
2024-12-31,0.348,0.36,0.333,0.342,97700,0.342
2025-01-02,0.356,0.356,0.335,0.346,42800,0.346
2025-01-03,0.344,0.37,0.344,0.361,163100,0.361
