date,open,high,low,close,volume,adj_close
2026-06-23 00:00:00,9.95,9.97,9.93,9.95,192300,9.95
2026-06-24 00:00:00,9.98,9.98,9.94,9.94,183900,9.94
2026-06-25 00:00:00,9.93,9.95,9.93,9.94,313800,9.94
2026-06-26 00:00:00,9.94,9.95,9.94,9.95,359100,9.95
2026-06-29 00:00:00,9.95,9.95,9.93,9.93,400,9.93
2026-06-30 00:00:00,9.94,9.94,9.93,9.93,1100,9.93
2026-07-01 00:00:00,9.96,9.96,9.93,9.95,2200,9.95
2026-07-02 00:00:00,9.96,9.96,9.93,9.95,79400,9.95
2026-07-06 00:00:00,9.96,9.96,9.95,9.96,70300,9.96
2026-07-07 00:00:00,9.95,9.97,9.95,9.97,43200,9.97
2026-07-08 00:00:00,9.95,9.97,9.95,9.96,204000,9.96
2026-07-09 00:00:00,9.93,9.93,9.93,9.93,600,9.93
2026-07-10 00:00:00,9.99,9.99,9.99,9.99,1100,9.99
2026-07-13 00:00:00,10.0,10.0,9.97,9.98,12300,9.98
2026-07-14 00:00:00,9.93,9.97,9.93,9.96,10400,9.96
2026-07-15 00:00:00,9.93,9.99,9.93,9.95,2300,9.95
2026-07-16 00:00:00,9.98,9.98,9.96,9.96,88200,9.96
2026-07-17 00:00:00,9.96,9.98,9.95,9.97,5700,9.97
2026-07-20 00:00:00,9.94,9.98,9.94,9.97,5100,9.97
2026-07-21 00:00:00,9.97,9.97,9.96,9.96,3300,9.96
2026-07-22 00:00:00,10.0,10.0,9.96,9.96,1000,9.96
2026-07-23 00:00:00,9.96,9.97,9.96,9.97,33400,9.97
2026-07-24 00:00:00,9.97,9.97,9.96,9.97,3600,9.97
2026-07-27 00:00:00,9.97,9.99,9.97,9.98,5300,9.98
2026-07-28 00:00:00,9.97,10.0,9.97,9.98,122000,9.98
2026-07-29 00:00:00,9.98,9.98,9.98,9.98,7000,9.98
2026-07-30 00:00:00,9.98,9.98,9.98,9.98,200,9.98
2026-07-31 00:00:00,9.98,9.99,9.98,9.99,255500,9.99
2026-08-03 00:00:00,10.0,10.0,9.98,9.99,1300,9.99
2026-08-04 00:00:00,10.0,10.0,9.98,10.0,1500,10.0
2026-08-05 00:00:00,10.0,10.0,9.99,10.0,86200,10.0
2026-08-06 00:00:00,10.0,10.0,10.0,10.0,201600,10.0
2026-08-07 00:00:00,10.0,10.01,10.0,10.0,103400,10.0
2026-08-10 00:00:00,10.09,10.09,10.01,10.01,600,10.01
2026-08-11 00:00:00,10.01,10.01,10.01,10.01,0,10.01
2026-08-12 00:00:00,10.0,10.01,10.0,10.01,500,10.01
2026-08-13 00:00:00,10.01,10.01,10.01,10.01,0,10.01
2026-08-14 00:00:00,10.0,10.0,10.0,10.0,7300,10.0
2026-08-17 00:00:00,10.0,10.01,10.0,10.0,51300,10.0
2026-08-18 00:00:00,10.0,10.0,9.98,9.99,267000,9.99
2026-08-19 00:00:00,9.99,9.99,9.99,9.99,281500,9.99
2026-08-20 00:00:00,9.99,10.0,9.98,10.0,67600,10.0
2026-08-21 00:00:00,10.0,10.0,10.0,10.0,200,10.0
2026-08-24 00:00:00,9.97,9.97,9.97,9.97,100,9.97
2026-08-25 00:00:00,9.97,10.02,9.97,10.02,8500,10.02
2026-08-26 00:00:00,10.1,10.03,10.0,10.03,10909,10.03
