date,open,high,low,close,volume,adj_close
2026-06-04,68.0,71.35,59.89,60.38,29612000,60.38
2026-06-05,59.8,59.89,51.15,56.26,10670500,56.26
2026-06-08,58.66,61.8,57.51,58.4,4773700,58.4
2026-06-09,61.3,62.78,54.5,54.94,4572600,54.94
2026-06-10,54.82,55.35,50.1,51.4,5907400,51.4
2026-06-11,51.5,57.34,51.0,56.49,3131200,56.49
2026-06-12,56.15,57.48,54.25,55.26,1258300,55.26
2026-06-15,57.27,61.0,55.26,57.91,3115000,57.91
2026-06-16,58.435,59.33,55.6,56.93,906693,56.93
2026-06-17,55.76,65.6,55.7,62.75,3657200,62.75
2026-06-18,63.41,72.74,62.0,69.8,5269900,69.8
2026-06-22,69.5,77.85,66.75,68.27,3972700,68.27
2026-06-23,66.52,81.48,66.1,77.46,5539488,77.46
2026-06-24,77.61,78.5,67.905,71.1,4216517,71.1
2026-06-25,72.01,72.8112,64.53,71.68,2677062,71.68
2026-06-26,67.25,79.3,66.67,75.57,3962171,75.57
2026-06-29,79.75,80.5,70.61,72.84,4896285,72.84
2026-06-30,73.0,82.3,69.761,81.74,3709451,81.74
2026-07-01,80.13,81.8364,75.275,78.41,4890386,78.41
2026-07-02,78.0,80.605,71.5201,74.56,2871141,74.56
2026-07-06,74.25,86.79,74.2,83.17,5262339,83.17
2026-07-07,83.17,83.17,76.1,77.6,2820106,77.6
2026-07-08,76.05,78.665,75.1,75.61,1205579,75.61
2026-07-09,77.0,77.686,73.35,73.51,1052629,73.51
2026-07-10,73.33,73.6393,69.28,70.45,1176527,70.45
2026-07-13,70.0,70.5225,62.9287,64.09,1571772,64.09
2026-07-14,64.5,67.3,63.01,66.63,1369983,66.63
2026-07-15,67.02,69.5,58.7916,60.51,1935255,60.51
2026-07-16,59.02,59.7,56.52,56.52,1128766,56.52
2026-07-17,54.58,58.8374,52.7001,56.07,1297468,56.07
2026-07-20,57.02,60.89,56.54,57.35,1340964,57.35
2026-07-21,58.01,59.2999,55.25,58.58,1234983,58.58
2026-07-22,57.5,59.9675,53.7,54.88,1500664,54.88
2026-07-23,53.7,57.66,53.085,56.46,1366232,56.46
2026-07-24,56.33,56.74,52.0,52.29,1167195,52.29
2026-07-27,53.3,56.79,51.105,52.83,1457847,52.83
2026-07-28,52.0,52.89,47.1301,49.78,1672705,49.78
2026-07-29,49.57,50.73,47.06,47.34,1389074,47.34
2026-07-30,48.12,52.4425,48.0001,51.55,1003497,51.55
2026-07-31,53.0,54.33,50.415,51.41,1076609,51.41
2026-08-03,51.4,56.76,49.38,55.65,1641400,55.65
2026-08-04,57.26,58.77,54.79,58.14,1323737,58.14
2026-08-05,56.66,57.7499,55.16,56.91,905081,56.91
2026-08-06,55.0,60.3699,54.325,58.88,1003406,58.88
2026-08-07,60.0,62.4699,58.4,58.71,1071212,58.71
2026-08-10,58.7,59.45,55.97,56.59,730898,56.59
2026-08-11,56.77,57.37,53.89,56.06,1495127,56.06
2026-08-12,59.56,72.4,57.52,71.74,4554271,71.74
2026-08-13,69.0005,71.47,66.09,68.5,2175103,68.5
2026-08-14,67.9725,70.5,62.86,63.585,2575176,63.585
2026-08-17,63.54,67.4,62.368,66.01,1466024,66.01
2026-08-18,63.25,64.33,58.91,59.5,1727890,59.5
2026-08-19,59.65,59.72,55.7851,56.0,1960797,56.0
2026-08-20,55.79,57.195,54.06,54.9,1312166,54.9
2026-08-21,55.2,56.96,54.28,56.6,1344709,56.6
2026-08-24,55.0,55.45,51.9578,52.07,1263970,52.07
2026-08-25,52.88,54.44,52.621,53.89,926593,53.89
2026-08-26,52.56,54.115,52.5548,53.29,665709,53.29
