date,open,high,low,close,volume,adj_close
2024-05-20,447.0701,450.6309,446.8821,449.9682,24474200,449.9682
2024-05-21,448.1186,451.0365,447.9208,450.8486,23167700,450.8486
2024-05-22,451.1058,451.8575,448.1581,450.7596,25120000,450.7596
2024-05-23,455.5469,455.5766,446.9414,448.7318,40899200,448.7318
2024-05-24,450.3441,454.2413,448.6428,452.9753,29669500,452.9753
2024-05-28,454.1919,454.7458,451.7289,454.6864,26216800,454.6864
2024-05-29,450.5321,453.2621,450.3936,451.4817,29739200,451.4817
2024-05-30,450.5518,450.6903,445.3193,446.6447,30536800,446.6447
2024-05-31,446.8723,447.5647,438.247,445.8139,55941300,445.8139
2024-06-03,449.6319,450.6309,443.0344,448.2076,32997500,448.2076
2024-06-04,447.9504,450.631,446.2293,449.4341,23767400,449.4341
2024-06-05,453.005,458.5738,449.4737,458.4947,33817400,458.4947
2024-06-06,459.1771,459.4937,457.1692,458.3364,21966800,458.3364
2024-06-07,457.9704,460.6806,456.823,457.9308,25829700,457.9308
2024-06-10,456.8032,460.1366,456.5163,459.7805,20660800,459.7805
2024-06-11,458.5045,463.0546,457.0109,462.9359,22053300,462.9359
2024-06-12,466.8627,471.3237,466.1704,468.9993,34532600,468.9993
2024-06-13,472.5305,473.1933,469.2664,471.5414,25859000,471.5414
2024-06-14,471.3435,474.0538,470.8786,473.9845,23372600,473.9845
2024-06-17,474.2515,481.5711,472.9459,479.7907,37054500,479.7907
2024-06-18,479.7413,480.6216,478.1785,479.9391,24438600,479.9391
2024-06-20,481.136,481.5514,474.4098,476.2397,33918700,476.2397
2024-06-21,475.9628,477.2981,473.4702,474.9637,37456800,474.9637
2024-06-24,473.7373,475.471,469.4178,469.5565,37751000,469.5565
2024-06-25,471.6469,475.2233,470.7057,474.9261,29014700,474.9261
2024-06-26,474.1038,476.4518,473.6877,475.9069,22737100,475.9069
2024-06-27,475.6592,478.6115,474.8468,477.1353,26222100,477.1353
2024-06-28,477.928,482.6735,474.0147,474.6586,34881600,474.6586
2024-07-01,475.58,478.0072,471.8351,477.4425,24898300,477.4425
2024-07-02,475.9465,482.5149,475.8177,482.4555,26723600,482.4555
2024-07-03,481.7026,486.6066,481.7026,486.4778,18064900,486.4778
2024-07-05,487.3199,491.9861,487.0227,491.5502,28495900,491.5502
2024-07-08,491.9168,493.274,490.8963,492.7192,22109400,492.7192
2024-07-09,494.235,495.3546,491.6295,493.1453,25614500,493.1453
2024-07-10,495.0672,498.8418,493.7595,498.287,28046900,498.287
2024-07-11,498.396,498.6041,486.1707,487.3595,49966600,487.3595
2024-07-12,487.9341,494.978,487.4685,490.2227,37109400,490.2227
2024-07-15,491.996,496.3551,489.4994,491.5403,31151400,491.5403
2024-07-16,492.9966,493.809,488.5681,491.7285,25950600,491.7285
2024-07-17,483.7434,484.2586,477.2246,477.2939,56268800,477.2939
2024-07-18,481.019,481.1973,471.845,475.0351,49347400,475.0351
2024-07-19,474.6983,477.2147,469.5367,470.8246,42042900,470.8246
2024-07-22,476.6896,478.8592,473.2716,477.8388,40300000,477.8388
2024-07-23,476.9372,479.9291,475.679,476.1545,23282500,476.1545
2024-07-24,469.4177,469.7843,458.2128,459.0747,58818600,459.0747
2024-07-25,459.4116,463.5924,451.3968,454.0122,59256800,454.0122
2024-07-26,458.3515,461.601,455.4983,458.6685,39992100,458.6685
2024-07-29,461.3831,463.5627,457.3311,459.5899,28218500,459.5899
2024-07-30,461.5218,462.2252,449.9305,453.2791,41317200,453.2791
2024-07-31,463.523,468.3973,462.0766,466.6933,44552100,466.6933
2024-08-01,467.377,471.1317,451.7436,455.3894,56653900,455.3894
2024-08-02,446.7008,449.3559,440.3405,444.5807,66323200,444.5807
2024-08-05,420.764,438.1807,419.5157,431.325,87483500,431.325
2024-08-06,433.1677,442.9163,430.5225,435.4464,63164400,435.4464
2024-08-07,442.3416,444.8283,430.3343,430.7305,54929200,430.7305
2024-08-08,436.9621,444.8184,433.0884,443.907,47890100,443.907
2024-08-09,442.5893,447.8599,441.4698,446.2253,33574000,446.2253
2024-08-12,447.1961,450.1484,444.3825,447.1862,27795000,447.1862
2024-08-13,451.585,458.5497,451.4463,458.2822,40084500,458.2822
2024-08-14,459.2036,460.7887,454.141,458.4308,34733700,458.4308
2024-08-15,464.4048,470.4085,464.0283,470.0122,38280600,470.0122
2024-08-16,468.2289,471.9837,467.2679,470.6165,38383600,470.6165
2024-08-19,470.7552,476.8382,468.9719,476.7985,23737700,476.7985
2024-08-20,475.8871,478.453,474.1038,475.7979,29209300,475.7979
2024-08-21,476.5806,479.8698,474.8667,478.0172,25658800,478.0172
2024-08-22,480.3354,481.0289,469.4079,470.4382,37739600,470.4382
2024-08-23,474.7874,478.2548,470.8642,475.5403,36061500,475.5403
2024-08-26,474.9954,475.9168,468.8431,470.9236,27452600,470.9236
2024-08-27,469.289,473.4005,467.3274,472.3305,27510000,472.3305
2024-08-28,471.8648,472.588,463.5429,466.9707,37372400,466.9707
2024-08-29,468.8828,473.4896,465.0091,466.2871,41081500,466.2871
2024-08-30,470.6264,472.4692,466.1385,471.845,33466500,471.845
2024-09-03,468.8035,468.9323,455.1417,457.5193,44985200,457.5193
2024-09-04,454.4086,460.1349,453.4773,456.3305,32505100,456.3305
2024-09-05,454.7058,461.0364,453.6853,456.7565,34452400,456.7565
2024-09-06,456.0531,456.9348,444.0259,444.5212,50624400,444.5212
2024-09-09,448.8507,451.2283,445.6408,450.2376,32981200,450.2376
2024-09-10,452.0011,454.9039,448.0283,454.3986,29680300,454.3986
2024-09-11,455.637,465.0091,447.0872,464.2661,57843000,464.2661
2024-09-12,464.2958,469.6357,462.5125,468.8233,40067800,468.8233
2024-09-13,468.0902,472.1026,467.8623,470.9236,29111800,470.9236
2024-09-16,468.7936,469.4573,465.5243,468.8431,22585600,468.8431
2024-09-17,471.8649,473.1627,466.5943,469.0909,30084400,469.0909
2024-09-18,470.2896,474.3812,466.4555,467.0598,39909200,467.0598
2024-09-19,478.1261,481.7125,476.0258,478.8691,52782500,478.8691
2024-09-20,478.0072,479.196,473.8561,477.9576,34577700,477.9576
2024-09-23,479.1353,480.3159,477.796,479.2246,24843000,479.2246
2024-09-24,480.6333,482.4886,476.3773,481.5362,25952600,481.5362
2024-09-25,480.9112,483.9371,480.7326,481.9827,26549900,481.9827
2024-09-26,489.473,489.8004,481.9628,485.6038,32020200,485.6038
2024-09-27,486.6257,486.7646,481.7247,482.9053,22851100,482.9053
2024-09-30,481.9429,484.5522,479.1055,484.2148,30281100,484.2148
2024-10-01,483.8478,484.1454,473.6291,477.4685,42735400,477.4685
2024-10-02,476.5657,480.0579,473.9466,478.1432,23744000,478.1432
2024-10-03,475.9506,480.7226,475.2065,477.786,25337200,477.786
2024-10-04,483.5998,484.0264,478.5797,483.4708,30686600,483.4708
2024-10-07,481.556,482.7267,477.0717,478.292,24975100,478.292
2024-10-08,480.8318,486.1197,480.0282,485.4351,28272000,485.4351
2024-10-09,485.1375,489.8301,484.0958,489.2547,24995000,489.2547
2024-10-10,486.9729,490.5643,485.6633,488.6992,25750400,488.6992
2024-10-11,486.8638,490.485,486.2983,489.4631,20644500,489.4631
2024-10-14,491.854,494.8899,491.3481,493.5704,26060100,493.5704
2024-10-15,493.8977,494.5625,484.82,486.9729,34784500,486.9729
2024-10-16,487.3003,487.8062,483.7188,487.0324,22996800,487.0324
2024-10-17,492.5188,492.5684,487.3102,487.3698,27210700,487.3698
2024-10-18,490.1575,491.6556,489.4035,490.5643,25335000,490.5643
2024-10-21,489.3539,492.3104,487.4293,491.5068,30336500,491.5068
2024-10-22,488.838,493.5208,488.084,492.0425,26685800,492.0425
2024-10-23,489.6912,490.346,481.2187,484.5025,39346600,484.5025
2024-10-24,488.2229,489.1059,485.574,488.4313,22024900,488.4313
2024-10-25,491.229,496.3284,490.5246,491.4076,38762100,491.4076
2024-10-28,494.5228,494.5823,491.1894,491.487,20477800,491.487
2024-10-29,491.8044,497.39,489.9492,496.2094,28014100,496.2094
2024-10-30,495.4455,496.3979,491.9731,492.4592,29756000,492.4592
2024-10-31,488.4908,488.5404,479.929,480.0282,41245200,480.0282
2024-11-01,481.6651,486.8737,481.3675,483.5799,33655800,483.5799
2024-11-04,482.9747,485.5145,480.425,482.1711,23291600,482.1711
2024-11-05,483.7585,488.9869,483.6692,488.3222,24353600,488.3222
2024-11-06,496.6062,502.41,495.6538,501.5865,43082200,501.5865
2024-11-07,504.3843,510.2674,504.3247,509.4836,32853100,509.4836
2024-11-08,508.9876,510.8527,508.3625,510.0789,22924500,510.0789
2024-11-11,511.2992,511.5076,506.8844,509.7813,24167500,509.7813
2024-11-12,509.7119,510.5948,505.803,508.8586,25835300,508.8586
2024-11-13,508.3527,510.9122,505.922,508.2038,24567400,508.2038
2024-11-14,507.8666,508.7396,503.7593,504.672,28679500,504.672
2024-11-15,498.9674,499.3543,490.5841,492.6477,51461100,492.6477
2024-11-18,494.1954,498.1737,492.8064,496.0704,27080800,496.0704
2024-11-19,493.491,499.9694,493.1537,499.4833,24523000,499.4833
