date,open,high,low,close,volume,adj_close
2026-05-07,9.9,9.91,9.87,9.89,406700,9.89
2026-05-08,9.87,9.91,9.87,9.9,784000,9.9
2026-05-11,9.9,9.91,9.89,9.9,937500,9.9
2026-05-12,9.9,9.9,9.9,9.9,59300,9.9
2026-05-13,9.9,9.91,9.9,9.9,22100,9.9
2026-05-14,9.91,9.91,9.9,9.91,574800,9.91
2026-05-15,9.92,9.92,9.92,9.92,1300,9.92
2026-05-18,9.9,9.91,9.9,9.91,9100,9.91
2026-05-19,9.91,9.91,9.91,9.91,0,9.91
2026-05-20,9.95,9.95,9.95,9.95,200,9.95
2026-05-21,9.95,9.95,9.95,9.95,0,9.95
2026-05-22,9.95,9.95,9.95,9.95,0,9.95
2026-05-26,9.95,9.95,9.95,9.95,0,9.95
2026-05-27,9.94,9.94,9.94,9.94,1100,9.94
2026-05-28,9.93,9.93,9.93,9.93,10000,9.93
2026-05-29,9.95,9.95,9.95,9.95,900,9.95
2026-06-01,9.95,9.95,9.95,9.95,0,9.95
2026-06-02,9.95,9.95,9.92,9.92,200,9.92
2026-06-03,9.93,9.93,9.93,9.93,500,9.93
2026-06-04,9.93,9.93,9.93,9.93,7500,9.93
2026-06-05,9.95,9.95,9.95,9.95,2800,9.95
2026-06-08,9.95,9.96,9.95,9.96,135000,9.96
2026-06-09,9.95,9.95,9.95,9.95,125200,9.95
2026-06-10,9.95,9.98,9.95,9.95,193800,9.95
2026-06-11,9.97,9.97,9.95,9.97,2700,9.97
2026-06-12,9.97,9.97,9.95,9.96,4300,9.96
2026-06-15,9.92,9.98,9.92,9.98,2400,9.98
2026-06-16,9.92,9.93,9.92,9.93,1000,9.93
2026-06-17,9.95,9.95,9.94,9.94,1500,9.94
2026-06-18,9.93,9.93,9.93,9.93,400,9.93
2026-06-22,9.93,9.95,9.93,9.95,400,9.95
2026-06-23,9.94,9.94,9.93,9.93,400,9.93
2026-06-24,9.95,9.95,9.95,9.95,50700,9.95
2026-06-25,9.95,9.95,9.95,9.95,1700,9.95
2026-06-26,9.93,9.93,9.93,9.93,200,9.93
2026-06-29,9.93,9.93,9.93,9.93,700,9.93
2026-06-30,9.93,9.93,9.93,9.93,5300,9.93
2026-07-01,9.93,9.97,9.93,9.97,10800,9.97
2026-07-02,9.97,9.97,9.97,9.97,0,9.97
2026-07-06,9.97,9.97,9.97,9.97,0,9.97
2026-07-07,9.98,9.98,9.97,9.97,4000,9.97
2026-07-08,9.98,9.98,9.97,9.97,273800,9.97
2026-07-09,9.97,9.97,9.97,9.97,0,9.97
2026-07-10,9.97,9.97,9.97,9.97,500,9.97
2026-07-13,9.98,9.98,9.98,9.98,51200,9.98
2026-07-14,9.98,9.98,9.98,9.98,4000,9.98
2026-07-15,9.98,9.98,9.98,9.98,791100,9.98
2026-07-16,9.99,9.99,9.98,9.99,101200,9.99
2026-07-17,9.99,9.99,9.98,9.99,10200,9.99
2026-07-20,9.99,9.99,9.98,9.98,1600,9.98
2026-07-21,9.99,9.99,9.99,9.99,1200,9.99
2026-07-22,9.99,9.99,9.99,9.99,0,9.99
2026-07-23,9.99,9.99,9.98,9.98,306000,9.98
2026-07-24,9.99,9.99,9.99,9.99,1200,9.99
2026-07-27,9.99,9.99,9.99,9.99,7000,9.99
2026-07-28,10.0,10.0,9.99,9.99,2700,9.99
2026-07-29,10.0,10.0,9.99,10.0,9500,10.0
2026-07-30,10.0,10.0,9.99,10.0,85400,10.0
2026-07-31,10.0,10.0,10.0,10.0,13000,10.0
2026-08-03,10.0,10.0,10.0,10.0,8300,10.0
2026-08-04,10.0,10.0,9.98,9.98,10500,9.98
2026-08-05,10.0,10.0,10.0,10.0,23800,10.0
2026-08-06,10.0,10.0,10.0,10.0,101400,10.0
2026-08-07,10.01,10.01,10.0,10.0,29900,10.0
2026-08-10,10.0,10.01,10.0,10.01,700,10.01
2026-08-11,10.0,10.02,10.0,10.01,29800,10.01
2026-08-12,10.01,10.01,10.01,10.01,0,10.01
2026-08-13,10.02,10.02,10.01,10.01,1500,10.01
2026-08-14,10.01,10.01,10.01,10.01,0,10.01
2026-08-17,10.015,10.015,10.01,10.01,183092,10.01
2026-08-18,10.005,10.005,10.0,10.0,70636,10.0
2026-08-19,10.01,10.02,10.02,10.02,90970,10.02
