date,open,high,low,close,volume,adj_close
2024-05-20,4.5252,4.6253,4.425,4.4614,163800,4.4614
2024-05-21,4.489,4.6362,4.489,4.5258,92300,4.5258
2024-05-22,4.5074,4.6362,4.5074,4.5994,75600,4.5994
2024-05-23,4.5994,4.6178,4.4798,4.5626,117400,4.5626
2024-05-24,4.581,4.6178,4.5166,4.5626,48600,4.5626
2024-05-28,4.6086,4.6454,4.5166,4.5258,96700,4.5258
2024-05-29,4.4798,4.4798,4.2867,4.2867,89600,4.2867
2024-05-30,4.3418,4.3694,4.1855,4.2315,74700,4.2315
2024-05-31,4.3418,4.3786,4.2131,4.3418,131500,4.3418
2024-06-03,4.3786,4.5442,4.3142,4.535,124100,4.535
2024-06-04,4.4982,4.627,4.397,4.5994,88500,4.5994
2024-06-05,4.6454,4.6454,4.5718,4.6178,63800,4.6178
2024-06-06,4.581,4.7466,4.581,4.7098,95900,4.7098
2024-06-07,4.6822,4.7834,4.5994,4.7282,110600,4.7282
2024-06-10,4.7282,4.811,4.6546,4.7742,71700,4.7742
2024-06-11,4.7282,4.903,4.7282,4.8846,101500,4.8846
2024-06-12,4.8846,5.0318,4.719,4.7374,142900,4.7374
2024-06-13,4.765,4.765,4.5626,4.6178,82600,4.6178
2024-06-14,4.5534,4.627,4.5258,4.5718,54300,4.5718
2024-06-17,4.5534,4.581,4.4246,4.4614,48600,4.4614
2024-06-18,4.4982,4.6454,4.4522,4.489,141500,4.489
2024-06-20,4.4614,4.6822,4.4246,4.627,239300,4.627
2024-06-21,4.6362,5.0686,4.6362,4.9306,334400,4.9306
2024-06-24,5.0042,5.1145,4.9398,5.0594,221100,5.0594
2024-06-25,5.0777,5.1237,4.9766,5.0686,87300,5.0686
2024-06-26,5.0869,5.0869,4.7098,4.7098,153100,4.7098
2024-06-27,4.6638,4.7742,4.6638,4.7466,55900,4.7466
2024-06-28,4.7742,5.1421,4.7558,5.0134,859700,5.0134
2024-07-01,5.0961,5.2893,5.0042,5.1053,217100,5.1053
2024-07-02,5.1513,5.2341,5.0686,5.2341,123500,5.2341
2024-07-03,5.2617,5.3353,5.1605,5.2157,80200,5.2157
2024-07-05,5.2157,5.2525,5.0226,5.0869,208900,5.0869
2024-07-08,5.1421,5.2801,4.9674,5.2157,187900,5.2157
2024-07-09,5.2893,5.2893,5.1697,5.2065,88200,5.2065
2024-07-10,5.2433,5.2709,5.1789,5.2249,78600,5.2249
2024-07-11,5.3261,5.5193,5.2617,5.3905,152900,5.3905
2024-07-12,5.4273,5.5193,5.3445,5.3721,90600,5.3721
2024-07-15,5.4641,5.5193,5.3721,5.4549,118900,5.4549
2024-07-16,5.5193,5.7033,5.4457,5.6849,281500,5.6849
