date,open,high,low,close,volume,adj_close
2024-05-20,411.5912,412.5131,408.3978,408.6391,185400,408.6391
2024-05-21,406.6775,410.532,406.2166,410.326,225900,410.326
2024-05-22,409.8749,410.6595,405.8527,407.0698,223200,407.0698
2024-05-23,409.9435,410.5467,404.51,405.579,153400,405.579
2024-05-24,408.3154,410.4535,407.5308,408.1585,169700,408.1585
2024-05-28,407.1581,407.1581,402.264,404.2158,175000,404.2158
2024-05-29,399.0177,400.0377,397.0561,398.3802,257300,398.3802
2024-05-30,399.7827,403.0683,399.5669,401.1165,116000,401.1165
2024-05-31,400.7046,403.3135,399.4394,403.0977,177600,403.0977
2024-06-03,401.4108,403.2742,398.4979,401.1852,147500,401.1852
2024-06-04,402.6661,405.4123,402.215,402.8427,195100,402.8427
2024-06-05,412.4935,414.5776,408.9823,414.2785,331200,414.2785
2024-06-06,415.0435,415.3966,408.4821,408.9039,393400,408.9039
2024-06-07,406.9325,408.6881,403.9706,404.9906,184200,404.9906
2024-06-10,403.2448,406.2264,402.8623,405.53,106800,405.53
2024-06-11,403.0781,404.4561,401.2735,403.0389,169100,403.0389
2024-06-12,415.2005,420.889,414.0824,419.1432,356700,419.1432
2024-06-13,411.9247,412.8074,406.8737,408.6685,178700,408.6685
2024-06-14,396.6246,402.2935,395.2614,402.0974,346600,402.0974
2024-06-17,404.304,409.5217,402.1562,408.0604,163100,408.0604
2024-06-18,407.1876,407.1876,403.186,406.3931,103200,406.3931
2024-06-20,410.8066,412.5229,408.2075,412.0129,189800,412.0129
2024-06-21,404.8337,406.9031,402.2886,406.6776,216500,406.6776
2024-06-24,412.9054,415.2455,411.8442,413.5724,176700,413.5724
2024-06-25,414.7002,416.8727,414.6649,415.6712,232400,415.6712
2024-06-26,409.1785,410.3947,404.5051,404.5885,296200,404.5885
2024-06-27,402.1169,404.2844,401.1362,401.5873,254000,401.5873
2024-06-28,401.9894,402.2444,399.3021,400.5182,246800,400.5182
2024-07-01,403.0977,403.7842,400.6458,402.3523,187400,402.3523
2024-07-02,398.5666,406.4128,398.1546,406.4128,234300,406.4128
2024-07-03,411.6305,414.5924,410.0102,414.5924,198200,414.5924
2024-07-05,415.8478,416.8285,410.2181,414.2687,179900,414.2687
2024-07-08,421.752,422.007,418.9372,419.1628,194300,419.1628
2024-07-09,420.4868,421.8109,417.7014,418.0938,150400,418.0938
2024-07-10,420.8497,426.6853,420.7811,426.6853,133500,426.6853
2024-07-11,425.3318,426.1066,419.2706,420.2318,219300,420.2318
2024-07-12,421.8697,428.1467,421.8697,426.7932,163600,426.7932
2024-07-15,427.0286,427.1659,418.8489,420.3201,166500,420.3201
2024-07-16,418.5154,421.5755,417.2993,420.9674,157900,420.9674
2024-07-17,415.2004,416.1126,412.2189,412.621,177300,412.621
2024-07-18,418.692,418.8588,411.6893,414.308,168500,414.308
2024-07-19,411.4539,412.3954,408.3056,408.3056,102700,408.3056
2024-07-22,413.1408,419.4472,411.6304,418.9764,237000,418.9764
2024-07-23,413.1604,416.0537,412.9447,415.0337,152400,415.0337
2024-07-24,408.3939,409.3747,405.0593,405.7164,259500,405.7164
2024-07-25,400.9204,402.9261,396.3794,398.1154,265100,398.1154
2024-07-26,402.1169,407.8436,400.6262,405.8438,176000,405.8438
2024-07-29,401.8619,404.304,399.1746,403.7842,196800,403.7842
2024-07-30,406.2754,407.1581,401.244,402.3817,170000,402.3817
2024-07-31,403.7058,408.0703,400.6605,405.0691,311000,405.0691
2024-08-01,421.1636,425.6359,408.1781,413.5135,410500,413.5135
2024-08-02,415.9655,425.4103,414.2001,425.2534,535400,425.2534
2024-08-05,406.3833,420.1435,405.0691,414.6512,546900,414.6512
2024-08-06,406.9129,413.6116,406.452,408.8058,296400,408.8058
2024-08-07,417.2601,418.1035,409.2275,409.9141,190200,409.9141
2024-08-08,407.6583,413.7293,404.2747,412.4641,164200,412.4641
2024-08-09,413.0133,414.1412,411.3264,412.0325,193300,412.0325
2024-08-12,412.8956,415.3868,410.4535,414.2098,140800,414.2098
2024-08-13,415.7693,424.2187,415.2642,423.5076,205400,423.5076
2024-08-14,429.4216,447.6346,429.4216,444.1921,718900,444.1921
2024-08-15,449.5177,454.0979,444.6334,445.3984,425100,445.3984
2024-08-16,449.2725,452.0285,447.9092,450.8614,316000,450.8614
2024-08-19,451.7146,457.2364,451.7146,454.1567,266200,454.1567
2024-08-20,459.0018,460.7671,456.1968,457.7562,202000,457.7562
2024-08-21,465.9751,471.5164,465.0629,469.5843,387500,469.5843
2024-08-22,471.1535,471.948,464.6608,467.868,348500,467.868
2024-08-23,471.2615,474.9492,470.9672,474.6353,214700,474.6353
2024-08-26,472.9385,472.9876,470.3493,470.6239,156100,470.6239
2024-08-27,473.478,482.1382,472.8699,479.853,298500,479.853
2024-08-28,481.128,481.4811,475.2041,477.3814,160400,477.3814
2024-08-29,479.8334,485.8602,477.7247,481.1574,222600,481.1574
2024-08-30,484.7765,487.2382,482.4128,487.2382,227000,487.2382
2024-09-03,488.0915,488.6505,475.2238,477.3226,248600,477.3226
2024-09-04,474.6941,478.1268,469.3979,477.558,270500,477.558
2024-09-05,463.8272,468.8585,462.1795,467.9758,286800,467.9758
2024-09-06,473.3701,474.9099,460.3111,461.6499,287100,461.6499
2024-09-09,462.5914,466.3379,461.3223,462.9052,172000,462.9052
2024-09-10,462.2383,462.5031,453.5585,458.0995,319100,458.0995
2024-09-11,458.9919,466.0339,454.8629,465.9162,332500,465.9162
2024-09-12,456.9716,464.3862,456.442,462.8268,311300,462.8268
2024-09-13,462.1697,464.396,459.502,460.0708,226000,460.0708
2024-09-16,459.502,459.5804,453.5958,454.7452,268900,454.7452
2024-09-17,457.7268,459.3745,453.6958,453.9214,246900,453.9214
2024-09-18,453.3525,455.1473,447.7376,448.7331,308400,448.7331
2024-09-19,461.2281,468.5643,461.081,464.9453,446500,464.9453
2024-09-20,461.797,462.4247,457.1383,461.5125,316100,461.5125
2024-09-23,470.771,472.458,467.0343,467.7895,306400,467.7895
2024-09-24,464.9453,468.8095,464.8472,468.7408,321700,468.7408
2024-09-25,467.152,467.5737,462.0912,464.9943,282300,464.9943
2024-09-26,469.3783,472.1196,465.8966,468.8389,210500,468.8389
2024-09-27,463.7389,468.9301,462.3756,462.611,207200,462.611
2024-09-30,462.9151,464.4745,456.0595,461.0712,222200,461.0712
2024-10-01,456.746,457.3541,446.0261,447.0952,323300,447.0952
2024-10-02,450.4789,450.9594,447.1638,448.3702,287200,448.3702
2024-10-03,441.9658,443.6036,437.719,441.4361,324000,441.4361
2024-10-04,439.6217,442.2306,438.1996,441.1615,289700,441.1615
2024-10-07,441.083,442.6228,438.0132,440.8869,366300,440.8869
2024-10-08,447.87,452.1952,445.7515,452.1952,424300,452.1952
2024-10-09,447.3894,451.5871,447.3894,447.7229,254800,447.7229
2024-10-10,445.8986,446.5459,442.564,444.555,214900,444.555
2024-10-11,456.7264,460.5906,455.3827,460.061,336700,460.061
2024-10-14,467.0637,470.1698,466.387,470.0158,245100,470.0158
2024-10-15,470.1728,470.2806,460.5514,461.7185,269900,461.7185
2024-10-16,460.2179,463.4937,459.6197,462.915,158400,462.915
2024-10-17,470.8887,473.7232,468.0935,473.0464,302100,473.0464
2024-10-18,472.1049,475.1551,470.212,473.0759,267900,473.0759
2024-10-21,472.9189,473.1151,467.7601,470.9476,155700,470.9476
2024-10-22,469.5941,470.9868,467.6032,469.3097,232000,469.3097
2024-10-23,469.496,474.4588,469.4862,473.1641,189900,473.1641
2024-10-24,475.6749,478.0611,471.0849,477.1265,405900,477.1265
2024-10-25,477.6855,479.0144,473.7526,475.4101,206700,475.4101
2024-10-28,479.4411,481.8538,478.882,481.0496,144800,481.0496
2024-10-29,477.7002,480.5346,476.9303,478.5584,139500,478.5584
2024-10-30,469.398,475.3022,468.4466,469.6333,264800,469.6333
2024-10-31,471.7028,471.7028,464.1312,466.7303,240700,466.7303
2024-11-01,472.7424,473.5123,466.2301,467.5934,298300,467.5934
2024-11-04,471.4968,471.4968,465.7691,466.897,251000,466.897
2024-11-05,438.3369,444.4373,430.7751,432.5209,1518000,432.5209
2024-11-06,428.3428,434.708,425.5574,434.4825,753600,434.4825
2024-11-07,438.229,447.7817,438.1898,443.9567,516800,443.9567
2024-11-08,441.6911,446.9285,439.5629,445.7221,429200,445.7221
2024-11-11,446.0065,448.8508,443.0838,443.7606,324500,443.7606
2024-11-12,436.3263,436.6833,427.617,428.7155,419800,428.7155
2024-11-13,427.9505,433.4036,426.6559,431.4323,277800,431.4323
2024-11-14,433.2957,434.0411,431.1871,431.9226,204800,431.9226
2024-11-15,427.6171,428.1074,421.7324,422.7034,280100,422.7034
2024-11-18,419.7709,426.9403,419.2118,426.6167,243100,426.6167
2024-11-19,419.3001,422.213,417.0737,420.2416,313600,420.2416
2024-11-20,417.7407,419.7513,414.3178,418.947,227800,418.947
2024-11-21,419.1039,423.0388,417.0345,421.2518,217400,421.2518
2024-11-22,425.0082,430.1866,425.0082,429.2059,231700,429.2059
2024-11-25,429.657,432.4209,426.6363,426.8716,340400,426.8716
2024-11-26,425.7928,426.0233,421.8501,423.3997,220700,423.3997
2024-11-27,424.7532,426.7441,422.8554,423.2722,167000,423.2722
2024-11-29,422.7034,426.293,422.0855,425.8124,143700,425.8124
2024-12-02,427.1266,430.0101,425.4397,428.9901,223900,428.9901
2024-12-03,432.6288,436.3282,430.2161,435.9634,312400,435.9634
2024-12-04,439.5334,440.0729,434.2078,437.16,306500,437.16
2024-12-05,437.7975,440.1856,435.7084,436.954,356700,436.954
2024-12-06,443.6625,449.6648,443.231,449.6256,362600,449.6256
2024-12-09,446.34,448.4192,439.455,439.8571,279300,439.8571
2024-12-10,441.2988,442.2992,437.1315,439.9355,235200,439.9355
2024-12-11,438.8861,442.4365,437.8779,440.8869,227800,440.8869
2024-12-12,442.1129,446.9186,441.9854,443.1721,209000,443.1721
2024-12-13,449.0764,449.1842,442.0903,445.4475,201900,445.4475
2024-12-16,436.8853,437.2482,428.0388,428.5586,325200,428.5586
2024-12-17,425.5672,427.5092,423.8607,424.047,380700,424.047
2024-12-18,426.1753,428.4507,412.5425,414.7002,302200,414.7002
2024-12-19,419.967,420.016,413.2389,417.1227,388200,417.1227
2024-12-20,415.073,422.007,412.9153,418.7214,262700,418.7214
