date,open,high,low,close,volume,adj_close
2024-06-18,58.72,58.72,52.8,54.72,2056,54.72
2024-06-20,54.08,57.6,51.2,54.752,1169,54.752
2024-06-21,53.6,56.64,48.64,51.2,869,51.2
2024-06-24,50.72,56.0,47.952,54.56,6081,54.56
2024-06-25,53.6,58.56,51.68,58.56,4475,58.56
2024-06-26,59.04,60.8,56.64,60.8,4225,60.8
2024-06-27,60.0,61.104,58.88,60.0,2238,60.0
2024-06-28,60.48,61.76,58.4,61.28,1994,61.28
2024-07-01,62.4,66.88,61.28,61.6,2406,61.6
2024-07-02,63.696,65.6,62.4,64.0,738,64.0
2024-07-03,61.76,68.32,61.76,67.2,1831,67.2
2024-07-05,67.84,74.24,65.28,69.44,4688,69.44
2024-07-08,73.12,73.6,58.4,60.96,12025,60.96
2024-07-09,63.2,68.8,56.64,57.6,6931,57.6
2024-07-10,60.8,60.8,55.344,56.0,5000,56.0
2024-07-11,60.96,62.4,53.6,54.32,3944,54.32
2024-07-12,55.68,56.48,48.8,49.12,6175,49.12
2024-07-15,50.4,57.6,49.76,52.32,7313,52.32
2024-07-16,54.08,55.2,49.76,52.16,4369,52.16
2024-07-17,54.24,54.4,49.92,52.64,2925,52.64
2024-07-18,53.92,53.92,48.08,49.92,1025,49.92
2024-07-19,50.24,60.8,49.92,57.28,14613,57.28
2024-07-22,59.68,60.48,56.0,57.28,2213,57.28
2024-07-23,57.12,57.6,51.2,52.72,2131,52.72
2024-07-24,51.2,55.84,49.6,54.56,1244,54.56
2024-07-25,53.44,53.6,52.48,52.896,156,52.896
2024-07-26,52.96,53.76,52.96,53.28,325,53.28
2024-07-29,54.24,54.976,53.28,54.976,806,54.976
2024-07-30,54.24,55.2,53.6,55.04,119,55.04
2024-07-31,55.2,57.408,54.4,56.16,288,56.16
2024-08-01,56.16,57.6,49.6,51.36,2481,51.36
2024-08-02,52.0,57.28,50.56,52.24,950,52.24
2024-08-05,51.2,55.68,46.4,52.8,4000,52.8
2024-08-06,53.28,53.6,50.56,53.12,806,53.12
2024-08-07,51.2,53.92,47.04,47.04,794,47.04
2024-08-08,54.56,54.56,44.32,44.96,2925,44.96
2024-08-09,45.28,46.4,39.68,40.0,1931,40.0
2024-08-12,40.64,45.92,34.4,37.6,6488,37.6
2024-08-13,39.52,42.96,37.76,38.88,9106,38.88
2024-08-14,39.04,39.52,35.2,35.2,3425,35.2
2024-08-15,34.08,35.68,18.72,24.96,36994,24.96
2024-08-16,28.64,31.952,26.24,28.16,17294,28.16
2024-08-19,29.12,29.6,17.76,20.96,13844,20.96
2024-08-20,20.8,24.96,20.0,24.64,11563,24.64
2024-08-21,24.96,27.84,24.88,26.4,3625,26.4
2024-08-22,25.6,27.68,25.6,26.4,2256,26.4
2024-08-23,26.56,28.288,25.6,27.04,56875,27.04
2024-08-26,26.08,29.056,23.68,24.0,7763,24.0
2024-08-27,23.84,26.24,23.296,24.64,3831,24.64
2024-08-28,23.68,26.24,23.056,23.84,5788,23.84
2024-08-29,26.4,39.84,25.616,33.28,155969,33.28
2024-08-30,31.04,36.8,30.56,30.72,14375,30.72
2024-09-03,30.72,34.56,25.92,26.72,4069,26.72
2024-09-04,25.92,31.68,25.92,28.32,5800,28.32
2024-09-05,27.52,30.88,26.288,28.512,2456,28.512
2024-09-06,29.76,29.76,26.24,26.4,700,26.4
2024-09-09,29.6,30.4,25.76,26.88,3119,26.88
2024-09-10,28.8,30.24,26.528,27.52,1756,27.52
2024-09-11,28.0,28.0,24.96,27.04,4006,27.04
2024-09-12,31.84,39.2,29.12,33.6,67781,33.6
2024-09-13,32.0,32.16,29.6,32.0,5263,32.0
