date,open,high,low,close,volume,adj_close
2024-05-20,140.0791,147.5083,140.0791,144.3802,3493700,144.3802
2024-05-21,143.5591,147.4399,143.0801,147.3617,2470100,147.3617
2024-05-22,146.8925,147.4692,143.2756,144.0576,2191200,144.0576
2024-05-23,144.4975,145.5142,141.8973,143.0215,2464400,143.0215
2024-05-24,143.696,146.2277,143.696,145.0938,1870400,145.0938
2024-05-28,145.2404,146.9511,144.478,146.7556,1771600,146.7556
2024-05-29,145.0254,145.2502,143.1583,144.6344,1455400,144.6344
2024-05-30,144.5953,145.651,143.3734,144.1749,1391800,144.1749
2024-05-31,144.5464,145.4653,140.7145,144.3607,3423100,144.3607
2024-06-03,144.9179,147.7625,143.3734,147.5767,1850800,147.5767
2024-06-04,147.0782,152.3275,146.9707,151.6725,2602000,151.6725
2024-06-05,152.2786,153.4028,151.1447,152.8163,1698200,152.8163
2024-06-06,152.3568,153.3441,149.7273,151.0763,1412500,151.0763
2024-06-07,150.6853,152.3861,150.177,151.0958,996700,151.0958
2024-06-10,150.0792,152.8553,150.0792,151.9071,1187100,151.9071
2024-06-11,151.1251,151.4477,148.8573,149.7468,1113900,149.7468
2024-06-12,151.5161,154.0382,151.3988,153.9404,1489900,153.9404
2024-06-13,153.129,153.6569,150.0792,151.7898,1197300,151.7898
2024-06-14,150.1085,150.2747,142.7477,145.1622,3807000,145.1622
2024-06-17,144.0088,146.0225,141.301,145.7683,2348400,145.7683
2024-06-18,146.824,148.1241,145.2111,148.0753,1326700,148.0753
2024-06-20,147.4789,147.782,145.5239,146.8338,1341200,146.8338
2024-06-21,146.2571,147.8015,144.6735,147.7233,2066700,147.7233
2024-06-24,149.3558,152.1418,147.3812,151.047,2174600,151.047
2024-06-25,152.6012,158.046,150.5484,157.1173,3751900,157.1173
2024-06-26,156.4038,157.9385,155.2894,157.7723,2391300,157.7723
2024-06-27,157.9874,158.0558,154.9277,156.6091,1417100,156.6091
2024-06-28,156.8925,158.8475,155.3285,155.8465,2830300,155.8465
2024-07-01,156.1594,156.4038,151.0469,152.9531,1915800,152.9531
2024-07-02,152.5621,154.175,151.4575,153.09,1384000,153.09
2024-07-03,152.9824,153.217,151.3988,151.8876,1442400,151.8876
2024-07-05,152.4937,153.5201,150.9981,153.2561,1235500,153.2561
2024-07-08,154.3314,159.2679,154.0577,157.2151,2247400,157.2151
2024-07-09,156.4037,159.9913,156.3646,159.4634,1930100,159.4634
2024-07-10,160.3139,160.9786,156.8632,159.0235,1930200,159.0235
2024-07-11,157.3813,159.5612,154.2434,159.5123,2993100,159.5123
2024-07-12,160.3139,162.9141,160.265,162.6599,2062500,162.6599
2024-07-15,163.2464,164.1457,160.5191,163.9502,1744900,163.9502
2024-07-16,164.3217,168.7597,164.3119,168.2122,1893700,168.2122
2024-07-17,166.2768,166.5113,160.7635,160.7635,2627300,160.7635
2024-07-18,161.9757,163.0998,159.395,160.4996,1651600,160.4996
2024-07-19,162.2396,165.2015,162.2005,164.5074,1505600,164.5074
2024-07-22,163.481,165.7098,161.7801,164.742,2016100,164.742
2024-07-23,164.4586,169.4732,164.351,166.8926,2160100,166.8926
2024-07-24,165.7782,167.1565,160.1868,160.8124,2383500,160.8124
2024-07-25,159.8251,160.0695,148.5151,148.6031,6499200,148.6031
2024-07-26,151.174,153.129,148.6325,150.1085,3435900,150.1085
2024-07-29,151.3206,152.9531,148.2512,151.653,2939100,151.653
2024-07-30,152.7283,154.3216,151.5748,153.4126,2431100,153.4126
2024-07-31,155.6999,158.2219,152.1711,153.1975,3728100,153.1975
