date,open,high,low,close,volume,adj_close
2024-06-04,5.61,5.655,5.46,5.5,51100,5.5
2024-06-05,5.51,5.87,5.5,5.83,90300,5.83
2024-06-06,5.87,5.88,5.51,5.65,66600,5.65
2024-06-07,5.49,5.75,5.48,5.53,103500,5.53
2024-06-10,5.48,5.544,5.225,5.42,101000,5.42
2024-06-11,5.39,5.4,5.16,5.3,72900,5.3
2024-06-12,5.54,5.74,5.4,5.55,128800,5.55
2024-06-13,5.59,5.65,5.28,5.4,71400,5.4
2024-06-14,5.34,5.41,5.0,5.18,219600,5.18
2024-06-17,5.2,5.31,5.05,5.25,139600,5.25
2024-06-18,5.27,5.29,5.07,5.17,184200,5.17
2024-06-20,5.14,5.15,4.82,4.98,302500,4.98
2024-06-21,4.96,4.96,4.325,4.455,347800,4.455
2024-06-24,4.69,4.744,4.285,4.41,231900,4.41
2024-06-25,4.33,4.36,4.0,4.14,319000,4.14
2024-06-26,4.2,4.58,4.2,4.32,264700,4.32
2024-06-27,4.26,4.447,4.05,4.35,236800,4.35
2024-06-28,4.35,4.4,4.09,4.1,2197600,4.1
2024-07-01,4.04,4.2,3.71,3.75,646100,3.75
2024-07-02,3.75,3.83,3.61,3.77,326100,3.77
2024-07-03,3.72,4.03,3.72,3.88,159400,3.88
2024-07-05,3.91,3.91,3.62,3.78,252000,3.78
2024-07-08,3.76,3.93,3.66,3.68,143000,3.68
2024-07-09,3.6,3.6,3.32,3.35,2120200,3.35
2024-07-10,3.36,3.7,3.36,3.65,2200400,3.65
2024-07-11,3.78,4.545,3.78,4.505,499200,4.505
2024-07-12,4.54,5.07,4.27,4.305,439400,4.305
2024-07-15,4.34,4.5,4.29,4.38,228100,4.38
2024-07-16,4.46,4.9,4.425,4.8,444900,4.8
2024-07-17,4.6,5.03,4.47,4.73,207900,4.73
2024-07-18,4.71,4.88,4.32,4.35,115600,4.35
2024-07-19,4.31,4.445,4.1,4.13,142800,4.13
2024-07-22,4.17,4.31,4.095,4.28,125300,4.28
2024-07-23,4.25,4.27,4.05,4.21,163600,4.21
2024-07-24,4.18,4.38,3.97,3.97,149200,3.97
2024-07-25,3.94,4.35,3.94,4.2,148200,4.2
2024-07-26,4.28,4.39,4.23,4.29,64800,4.29
2024-07-29,4.35,4.39,4.02,4.08,111900,4.08
2024-07-30,4.08,4.28,3.93,4.115,154300,4.115
2024-07-31,4.14,4.285,4.014,4.12,126700,4.12
2024-08-01,4.07,4.17,3.85,3.93,172700,3.93
2024-08-02,3.82,3.97,3.675,3.84,125900,3.84
2024-08-05,3.6,3.95,3.5,3.6,219600,3.6
2024-08-06,3.6,3.67,3.49,3.6,187800,3.6
2024-08-07,3.8,4.09,3.16,3.4,582100,3.4
2024-08-08,3.6,3.6,3.125,3.505,309100,3.505
2024-08-09,3.47,3.79,3.39,3.43,152300,3.43
2024-08-12,3.42,3.48,3.28,3.42,215600,3.42
2024-08-13,3.45,3.57,3.38,3.53,135000,3.53
2024-08-14,3.49,3.64,3.41,3.52,65500,3.52
2024-08-15,3.66,4.099,3.58,3.97,132300,3.97
2024-08-16,3.91,4.2,3.83,4.02,123500,4.02
2024-08-19,3.96,4.17,3.9,3.96,90200,3.96
2024-08-20,3.93,4.005,3.74,3.96,144800,3.96
2024-08-21,4.01,4.215,3.95,4.18,64700,4.18
2024-08-22,4.2,4.23,4.02,4.14,46300,4.14
2024-08-23,4.19,4.79,4.077,4.745,188700,4.745
2024-08-26,4.75,4.91,4.66,4.89,70800,4.89
2024-08-27,4.79,4.92,4.68,4.68,42200,4.68
2024-08-28,4.59,4.675,4.508,4.545,77400,4.545
2024-08-29,4.55,4.73,4.508,4.58,45100,4.58
2024-08-30,4.61,4.68,4.34,4.47,31800,4.47
2024-09-03,4.44,4.535,4.16,4.22,61700,4.22
2024-09-04,4.17,4.23,3.98,4.04,35900,4.04
2024-09-05,4.06,4.07,3.7,3.75,118700,3.75
2024-09-06,3.72,3.94,3.54,3.69,109400,3.69
2024-09-09,3.75,3.99,3.75,3.93,75700,3.93
2024-09-10,4.03,4.16,3.88,4.08,85500,4.08
2024-09-11,4.04,4.48,3.93,4.2,103400,4.2
2024-09-12,4.19,4.22,3.99,4.07,32600,4.07
2024-09-13,4.12,4.295,4.04,4.26,41800,4.26
2024-09-16,4.26,4.26,4.06,4.22,33700,4.22
2024-09-17,4.31,4.71,4.22,4.63,178400,4.63
2024-09-18,4.61,4.85,4.47,4.58,74100,4.58
2024-09-19,4.75,4.93,4.74,4.91,49600,4.91
2024-09-20,4.85,4.93,4.49,4.61,275100,4.61
2024-09-23,4.59,4.59,4.33,4.4,51500,4.4
2024-09-24,4.43,4.45,4.17,4.35,34000,4.35
2024-09-25,4.34,4.46,4.15,4.27,32500,4.27
2024-09-26,4.31,4.56,4.22,4.32,48700,4.32
2024-09-27,4.42,4.82,4.35,4.82,72800,4.82
2024-09-30,4.82,4.82,4.52,4.79,44700,4.79
2024-10-01,4.71,4.775,4.48,4.55,48900,4.55
2024-10-02,4.57,4.57,4.3,4.31,35700,4.31
2024-10-03,4.3,4.77,4.1,4.75,138400,4.75
2024-10-04,4.6,5.18,4.6,4.96,280700,4.96
2024-10-07,4.96,5.126,4.688,4.85,47700,4.85
2024-10-08,4.81,4.97,4.685,4.87,36700,4.87
2024-10-09,4.745,4.85,4.745,4.83,21100,4.83
2024-10-10,4.76,4.82,4.59,4.72,38300,4.72
2024-10-11,4.69,5.179,4.61,5.14,90600,5.14
2024-10-14,5.17,5.31,5.105,5.18,70600,5.18
2024-10-15,5.12,5.98,5.12,5.79,306300,5.79
2024-10-16,5.75,6.03,5.601,5.69,146600,5.69
2024-10-17,5.65,5.65,5.2,5.32,54600,5.32
2024-10-18,5.32,5.35,5.11,5.22,65800,5.22
2024-10-21,5.22,5.26,4.89,5.01,45000,5.01
2024-10-22,5.02,5.08,4.855,4.89,37200,4.89
2024-10-23,4.89,5.026,4.64,4.92,116500,4.92
2024-10-24,5.083,5.083,4.905,4.99,34200,4.99
2024-10-25,5.03,5.25,4.87,5.16,59300,5.16
2024-10-28,5.24,5.6,5.135,5.425,113600,5.425
2024-10-29,5.33,5.6,5.2,5.32,71600,5.32
2024-10-30,5.3,5.49,5.19,5.32,72900,5.32
2024-10-31,5.35,5.46,5.04,5.04,63700,5.04
2024-11-01,5.1,5.22,5.023,5.16,28500,5.16
2024-11-04,5.16,5.285,4.96,4.97,95300,4.97
2024-11-05,4.97,5.25,4.97,5.18,84100,5.18
2024-11-06,5.25,6.0,5.25,5.64,177900,5.64
2024-11-07,5.63,5.826,5.46,5.55,65700,5.55
2024-11-08,5.49,5.77,5.47,5.73,61800,5.73
2024-11-11,5.9,5.95,5.42,5.68,83500,5.68
2024-11-12,5.48,5.48,4.62,4.96,205900,4.96
2024-11-13,4.99,5.27,4.87,5.155,109800,5.155
2024-11-14,5.09,5.27,4.82,5.23,97100,5.23
2024-11-15,5.27,5.69,4.98,5.49,112700,5.49
2024-11-18,5.27,5.985,5.27,5.85,447700,5.85
2024-11-19,5.78,6.135,5.73,6.1,171600,6.1
2024-11-20,6.1,6.5,5.895,6.2,319600,6.2
2024-11-21,6.25,6.37,6.02,6.21,134700,6.21
2024-11-22,6.21,6.39,5.92,6.33,301100,6.33
2024-11-25,6.15,6.15,5.64,5.68,213500,5.68
2024-11-26,5.69,6.32,5.45,6.27,82600,6.27
2024-11-27,6.27,7.06,6.081,7.0,295400,7.0
2024-11-29,6.69,6.94,6.54,6.83,94500,6.83
2024-12-02,6.9,6.9,6.12,6.39,143800,6.39
2024-12-03,6.26,6.62,6.04,6.36,225100,6.36
2024-12-04,6.21,6.64,6.21,6.45,114000,6.45
2024-12-05,6.35,6.67,6.02,6.5,101400,6.5
2024-12-06,6.62,6.67,6.28,6.36,69200,6.36
2024-12-09,6.3,6.836,6.3,6.69,79400,6.69
2024-12-10,6.71,6.948,6.52,6.57,115600,6.57
2024-12-11,6.65,6.65,6.28,6.5,115900,6.5
2024-12-12,6.47,6.563,6.01,6.29,89500,6.29
2024-12-13,6.42,6.44,5.65,5.755,237500,5.755
2024-12-16,5.69,5.94,5.52,5.525,117700,5.525
2024-12-17,5.36,5.66,5.3,5.63,110100,5.63
2024-12-18,5.64,5.82,5.02,5.03,174300,5.03
2024-12-19,5.15,5.41,4.97,4.97,147100,4.97
2024-12-20,4.82,5.53,4.82,5.19,388200,5.19
2024-12-23,5.18,5.34,5.0,5.22,146400,5.22
2024-12-24,5.41,5.69,5.27,5.65,63300,5.65
2024-12-26,5.65,6.0,5.47,5.84,71900,5.84
2024-12-27,5.73,5.8,5.27,5.48,161500,5.48
2024-12-30,5.47,5.73,5.324,5.63,89000,5.63
2024-12-31,5.64,5.78,5.42,5.43,81800,5.43
2025-01-02,5.48,5.68,5.245,5.28,90800,5.28
2025-01-03,5.28,5.39,5.12,5.3,55400,5.3
2025-01-06,5.3,5.46,5.21,5.25,49400,5.25
2025-01-07,5.08,5.17,4.83,4.88,148600,4.88
2025-01-08,4.88,4.88,4.669,4.78,60700,4.78
2025-01-10,4.6,4.755,4.57,4.73,76300,4.73
2025-01-13,4.69,4.82,4.56,4.57,27100,4.57
2025-01-14,4.43,4.48,4.22,4.34,103800,4.34
2025-01-15,4.41,4.87,4.41,4.52,223000,4.52
2025-01-16,4.5,4.56,4.3,4.46,81400,4.46
2025-01-17,4.43,4.56,4.25,4.25,72400,4.25
2025-01-21,4.25,4.344,4.05,4.26,148900,4.26
2025-01-22,4.2,4.71,4.2,4.63,57000,4.63
2025-01-23,4.58,4.87,4.45,4.57,221700,4.57
2025-01-24,4.5,4.84,4.42,4.79,55900,4.79
2025-01-27,4.69,4.82,4.531,4.64,45500,4.64
2025-01-28,4.64,4.65,4.473,4.53,36900,4.53
2025-01-29,4.5,4.73,4.32,4.4,34300,4.4
2025-01-30,4.43,4.59,4.35,4.47,24600,4.47
2025-01-31,4.45,4.5,4.29,4.35,74900,4.35
2025-02-03,4.15,4.29,4.06,4.1,71100,4.1
2025-02-04,4.13,4.34,4.13,4.25,107600,4.25
2025-02-05,4.25,4.47,4.2,4.35,46900,4.35
2025-02-06,4.38,4.45,4.23,4.28,23600,4.28
2025-02-07,4.49,4.49,4.17,4.25,82100,4.25
2025-02-10,4.32,4.51,4.16,4.43,116300,4.43
2025-02-11,4.36,4.53,4.22,4.33,82700,4.33
2025-02-12,4.15,4.26,4.08,4.12,70800,4.12
2025-02-13,4.19,4.25,4.07,4.23,46900,4.23
2025-02-14,4.29,4.425,4.2,4.23,51100,4.23
2025-02-18,4.22,4.31,4.1,4.2,85400,4.2
2025-02-19,4.18,4.24,4.05,4.15,69900,4.15
2025-02-20,4.16,4.35,4.01,4.11,74400,4.11
2025-02-21,4.17,4.23,4.0,4.0,112200,4.0
2025-02-24,4.01,4.38,4.0,4.17,89400,4.17
2025-02-25,4.22,4.38,4.115,4.22,77200,4.22
2025-02-26,4.27,4.42,4.195,4.23,88700,4.23
2025-02-27,4.21,4.27,4.0,4.01,22800,4.01
2025-02-28,4.01,4.22,3.99,4.21,111900,4.21
2025-03-03,4.27,4.27,3.82,3.91,173800,3.91
2025-03-04,3.86,4.04,3.78,3.91,84600,3.91
2025-03-05,3.93,4.04,3.875,4.01,51800,4.01
2025-03-06,3.95,4.03,3.89,3.95,67500,3.95
2025-03-07,3.93,4.165,3.85,4.15,113300,4.15
2025-03-10,4.07,4.1,3.77,3.8,99300,3.8
2025-03-11,3.91,3.91,3.55,3.59,230100,3.59
2025-03-12,3.61,3.92,3.36,3.8,150400,3.8
2025-03-13,3.78,3.78,3.38,3.545,138500,3.545
2025-03-14,3.55,3.79,3.48,3.54,100000,3.54
2025-03-17,3.51,3.805,3.5,3.64,131400,3.64
2025-03-18,3.58,4.01,3.42,3.43,105300,3.43
2025-03-19,3.42,3.64,3.42,3.54,95700,3.54
2025-03-20,3.49,3.6,3.44,3.46,80700,3.46
2025-03-21,3.4,3.51,3.33,3.33,177000,3.33
2025-03-24,3.43,3.62,3.43,3.56,121400,3.56
2025-03-25,3.55,3.65,3.26,3.28,74900,3.28
2025-03-26,3.26,3.356,3.02,3.1,125300,3.1
2025-03-27,3.07,3.136,2.99,3.01,78000,3.01
2025-03-28,2.99,3.025,2.795,2.81,89700,2.81
2025-03-31,2.79,2.99,2.61,2.82,188800,2.82
2025-04-01,2.85,3.04,2.67,2.69,176600,2.69
2025-04-02,2.62,2.85,2.62,2.78,123900,2.78
2025-04-03,2.58,2.58,2.395,2.4,149700,2.4
2025-04-04,2.26,2.375,2.16,2.27,190400,2.27
2025-04-07,2.33,2.46,1.95,2.365,323300,2.365
2025-04-08,2.5,2.603,2.115,2.24,172900,2.24
2025-04-09,2.2,2.862,2.12,2.67,246500,2.67
2025-04-10,2.62,2.67,2.38,2.5,217600,2.5
2025-04-11,2.55,2.74,2.4,2.72,77500,2.72
2025-04-14,2.8,2.8,2.56,2.61,170800,2.61
2025-04-15,2.66,2.68,2.45,2.49,72700,2.49
2025-04-16,2.44,2.648,2.32,2.42,92000,2.42
2025-04-17,2.43,2.59,2.32,2.37,170900,2.37
2025-04-21,2.29,2.39,2.28,2.34,68700,2.34
2025-04-22,2.41,2.41,2.25,2.28,124500,2.28
2025-04-23,2.4,2.57,2.36,2.38,88800,2.38
2025-04-24,2.37,2.48,2.3,2.46,78000,2.46
2025-04-25,2.41,2.48,2.307,2.4,74300,2.4
2025-04-28,2.39,2.49,2.28,2.46,130100,2.46
2025-04-29,2.43,2.71,2.43,2.62,151600,2.62
2025-04-30,2.54,2.6,2.47,2.53,72100,2.53
2025-05-01,2.57,2.6,2.46,2.51,61000,2.51
2025-05-02,2.55,2.765,2.55,2.7,47300,2.7
2025-05-05,2.75,2.8,2.63,2.77,148400,2.77
2025-05-06,2.74,2.84,2.563,2.64,55300,2.64
2025-05-07,2.5,2.63,2.355,2.415,68000,2.415
2025-05-08,2.41,2.44,2.3,2.305,74400,2.305
2025-05-09,2.31,2.33,2.06,2.25,255600,2.25
2025-05-12,2.41,2.62,2.24,2.56,217000,2.56
2025-05-13,2.56,2.68,2.465,2.62,210100,2.62
2025-05-14,2.64,2.661,2.405,2.48,148900,2.48
2025-05-15,2.46,2.53,2.315,2.39,80800,2.39
2025-05-16,2.38,2.39,2.21,2.23,126900,2.23
2025-05-19,2.19,2.36,2.08,2.09,179300,2.09
2025-05-20,2.11,2.16,1.98,2.04,317500,2.04
2025-05-21,2.0,2.117,1.91,1.98,166800,1.98
2025-05-22,1.98,1.995,1.91,1.92,144500,1.92
2025-05-23,1.89,1.899,1.73,1.79,172300,1.79
2025-05-27,1.83,1.85,1.73,1.85,201100,1.85
2025-05-28,1.83,1.86,1.725,1.75,98900,1.75
2025-05-29,1.76,1.76,1.64,1.69,152500,1.69
2025-05-30,1.7,1.7,1.56,1.58,154000,1.58
2025-06-02,1.57,1.608,1.5,1.51,132200,1.51
2025-06-03,1.51,1.68,1.46,1.66,257600,1.66
2025-06-04,1.65,1.705,1.61,1.62,102100,1.62
2025-06-05,1.64,1.76,1.62,1.71,119700,1.71
2025-06-06,1.75,1.81,1.716,1.79,80700,1.79
2025-06-09,1.82,2.09,1.795,2.07,162700,2.07
2025-06-10,2.1,2.61,2.09,2.39,560400,2.39
2025-06-11,2.42,2.58,2.1,2.15,199200,2.15
2025-06-12,2.13,2.13,2.1,2.105,35900,2.105
2025-06-13,2.04,2.143,1.89,1.94,119600,1.94
2025-06-16,1.98,2.05,1.941,2.045,89300,2.045
2025-06-17,2.01,2.1,1.91,2.045,98100,2.045
2025-06-18,2.03,2.12,1.95,2.01,80600,2.01
2025-06-20,2.05,2.14,1.96,2.07,127000,2.07
2025-06-23,2.04,2.2,2.025,2.195,101100,2.195
2025-06-24,2.24,2.43,2.19,2.38,77300,2.38
2025-06-25,2.4,2.42,2.24,2.24,108700,2.24
2025-06-26,2.27,2.315,2.16,2.27,83600,2.27
2025-06-27,2.28,2.37,2.12,2.14,2135100,2.14
2025-06-30,2.19,2.416,2.119,2.31,83600,2.31
2025-07-01,2.29,2.5,2.22,2.4,74300,2.4
2025-07-02,2.4,2.59,2.35,2.49,69200,2.49
2025-07-03,2.53,2.6,2.47,2.5,17200,2.5
2025-07-07,2.49,2.7,2.49,2.63,80800,2.63
2025-07-08,2.68,2.82,2.59,2.67,175700,2.67
2025-07-09,2.69,2.73,2.54,2.61,83800,2.61
2025-07-10,2.64,2.83,2.57,2.58,103900,2.58
2025-07-11,2.58,2.7,2.57,2.61,30300,2.61
2025-07-14,2.61,2.82,2.61,2.77,60400,2.77
2025-07-15,2.79,2.88,2.62,2.63,63200,2.63
2025-07-16,2.64,2.729,2.51,2.52,74600,2.52
2025-07-17,2.51,2.659,2.48,2.48,38600,2.48
2025-07-18,2.52,2.58,2.46,2.49,59000,2.49
2025-07-21,2.5,2.645,2.43,2.48,43000,2.48
2025-07-22,2.47,2.56,2.44,2.5,67100,2.5
2025-07-23,2.49,2.6,2.49,2.54,27500,2.54
2025-07-24,2.54,2.57,2.375,2.42,39800,2.42
2025-07-25,2.44,2.455,2.315,2.41,28200,2.41
2025-07-28,2.45,2.56,2.415,2.49,30700,2.49
2025-07-29,2.51,2.51,2.35,2.35,38100,2.35
2025-07-30,2.36,2.43,2.16,2.16,30700,2.16
2025-07-31,2.19,2.365,2.1,2.11,32700,2.11
2025-08-01,2.05,2.22,2.0,2.09,25600,2.09
2025-08-04,2.12,2.372,2.12,2.12,22800,2.12
2025-08-05,2.12,2.27,2.01,2.06,49500,2.06
2025-08-06,2.1,2.17,2.04,2.135,36400,2.135
2025-08-07,2.14,2.18,1.92,1.95,91500,1.95
2025-08-08,2.08,2.1,2.0,2.0,18500,2.0
2025-08-11,2.01,2.13,1.99,2.0,102300,2.0
2025-08-12,2.31,3.5,2.28,3.21,39892000,3.21
2025-08-13,2.91,3.2,2.88,3.07,748000,3.07
2025-08-14,3.05,3.05,2.85,2.98,327400,2.98
2025-08-15,3.04,3.248,2.95,2.96,209700,2.96
2025-08-18,3.06,3.31,2.977,3.27,246300,3.27
2025-08-19,3.29,3.31,3.08,3.14,155900,3.14
2025-08-20,3.14,3.26,3.0,3.22,115300,3.22
2025-08-21,3.23,3.42,3.158,3.36,131200,3.36
2025-08-22,3.48,3.89,3.31,3.81,219200,3.81
2025-08-25,3.81,3.81,3.425,3.44,106400,3.44
2025-08-26,3.5,3.565,3.28,3.48,156800,3.48
2025-08-27,3.49,3.65,3.4,3.41,118800,3.41
2025-08-28,3.48,3.53,3.31,3.52,42600,3.52
2025-08-29,3.55,3.9,3.47,3.87,105800,3.87
2025-09-02,3.74,3.82,3.562,3.69,61300,3.69
2025-09-03,3.73,3.73,3.475,3.63,57400,3.63
2025-09-04,3.61,3.85,3.55,3.82,94900,3.82
2025-09-05,3.89,4.149,3.75,3.94,119400,3.94
2025-09-08,3.99,4.121,3.815,3.83,44000,3.83
2025-09-09,3.82,4.07,3.79,3.88,71700,3.88
2025-09-10,3.94,4.07,3.88,4.04,28300,4.04
2025-09-11,4.07,4.41,4.07,4.22,138600,4.22
2025-09-12,4.24,4.24,4.0,4.11,30600,4.11
2025-09-15,4.11,4.26,4.11,4.19,18300,4.19
2025-09-16,4.19,4.41,4.055,4.2,22800,4.2
2025-09-17,4.18,4.4,4.153,4.3,39400,4.3
2025-09-18,4.41,4.53,4.362,4.48,73400,4.48
2025-09-19,4.53,4.6,4.42,4.43,91300,4.43
2025-09-22,4.47,4.6,4.08,4.37,80500,4.37
2025-09-23,4.36,4.6,4.268,4.55,47300,4.55
2025-09-24,4.6,4.7,4.52,4.58,42800,4.58
2025-09-25,4.53,4.7,4.53,4.64,27500,4.64
2025-09-26,4.63,4.7,4.4,4.48,32700,4.48
2025-09-29,4.55,4.58,4.376,4.56,11700,4.56
2025-09-30,4.53,4.54,4.29,4.4,16800,4.4
2025-10-01,4.36,4.42,4.21,4.4,25300,4.4
2025-10-02,4.43,4.55,4.43,4.5,17000,4.5
2025-10-03,4.48,4.59,4.27,4.32,30500,4.32
2025-10-06,4.46,4.46,4.01,4.26,52100,4.26
2025-10-07,4.29,4.3,3.72,3.81,57100,3.81
2025-10-08,3.82,3.878,3.5,3.58,65900,3.58
2025-10-09,3.59,3.871,3.52,3.6,17600,3.6
2025-10-10,3.6,3.7,3.38,3.43,23500,3.43
2025-10-13,3.59,3.86,3.55,3.57,28100,3.57
2025-10-14,3.48,3.86,3.48,3.68,24300,3.68
2025-10-15,3.77,3.92,3.66,3.69,27200,3.69
2025-10-16,3.67,3.87,3.49,3.56,25500,3.56
