date,open,high,low,close,volume,adj_close
2024-05-20,56.2279,56.2279,55.249,55.3598,537400,55.3598
2024-05-21,55.2675,55.5815,55.1474,55.563,462500,55.563
2024-05-22,55.4891,56.0986,55.4152,55.7015,782100,55.7015
2024-05-23,55.4152,55.6553,54.7042,54.7319,929600,54.7319
2024-05-24,55.092,55.129,54.5472,54.7504,904600,54.7504
2024-05-28,55.1105,55.4522,54.3441,54.3995,793000,54.3995
2024-05-29,53.8362,54.2333,53.7346,54.1963,944600,54.1963
2024-05-30,54.8612,55.563,54.6857,55.4891,932100,55.4891
2024-05-31,55.8493,56.7819,55.5261,56.6988,1389300,56.6988
2024-06-03,56.7635,57.3822,56.7542,57.1975,954400,57.1975
2024-06-04,57.0497,57.3822,56.8096,56.8466,755200,56.8466
2024-06-05,56.7819,56.9112,56.2833,56.5695,639100,56.5695
2024-06-06,56.2002,57.0313,56.2002,56.7727,671000,56.7727
2024-06-07,56.1817,56.6988,56.1078,56.5511,936500,56.5511
2024-06-10,56.2094,56.6157,55.406,56.1078,958500,56.1078
2024-06-11,55.7292,56.4864,55.5445,55.9601,1293100,55.9601
2024-06-12,57.0899,57.7622,56.455,56.595,1136800,56.595
2024-06-13,56.5203,57.921,56.3336,57.5381,1351100,57.5381
2024-06-14,57.3327,57.8556,57.0712,57.6782,1346400,57.6782
2024-06-17,57.2767,57.5288,56.9592,57.3607,842400,57.3607
2024-06-18,57.5008,57.6315,56.8938,57.1086,619800,57.1086
2024-06-20,57.1086,57.7062,56.7818,57.5848,948200,57.5848
2024-06-21,57.6875,58.0984,57.5008,58.0237,1737700,58.0237
2024-06-24,58.033,58.6306,57.9023,58.1357,1986100,58.1357
2024-06-25,58.2478,58.2478,57.0339,57.2487,614200,57.2487
2024-06-26,56.8658,57.4821,56.623,57.342,1118900,57.342
2024-06-27,57.3327,57.977,57.1553,57.9023,853600,57.9023
2024-06-28,58.1357,58.4252,57.5195,58.0797,1660700,58.0797
2024-07-01,57.8369,58.005,57.2767,57.7622,918700,57.7622
2024-07-02,58.061,58.1357,57.6222,57.893,1258200,57.893
2024-07-03,58.2851,58.4626,57.5568,57.5568,431300,57.5568
2024-07-05,57.6688,57.9676,57.3234,57.8463,649700,57.8463
2024-07-08,57.8183,58.1264,57.2767,57.6502,740600,57.6502
2024-07-09,58.005,58.1171,57.5568,57.9677,971900,57.9677
2024-07-10,58.1824,58.3225,57.8276,58.1731,1198000,58.1731
2024-07-11,58.8267,59.4803,58.752,59.0321,1305000,59.0321
2024-07-12,59.3123,60.3114,59.0975,59.8072,1147300,59.8072
2024-07-15,59.8072,60.246,59.5831,59.9379,693300,59.9379
2024-07-16,60.2273,60.965,59.9659,60.8156,673200,60.8156
2024-07-17,60.8156,62.0482,60.8156,61.9641,920500,61.9641
2024-07-18,61.6747,62.459,61.5346,61.8054,748000,61.8054
2024-07-19,61.9641,61.9641,61.4319,61.7214,565700,61.7214
2024-07-22,61.74,62.431,61.1611,62.3937,601600,62.3937
2024-07-23,62.459,62.5431,61.9548,62.0202,976800,62.0202
2024-07-24,62.0388,62.2349,60.3207,60.4981,1376100,60.4981
2024-07-25,60.9463,61.3385,59.7231,59.9099,1336900,59.9099
2024-07-26,60.3487,61.2918,59.7044,61.0304,702600,61.0304
2024-07-29,61.0491,62.0575,60.8343,61.8521,876100,61.8521
2024-07-30,62.1322,64.1305,61.8614,63.8597,1192200,63.8597
2024-07-31,63.3648,63.925,62.7672,62.8792,1429900,62.8792
2024-08-01,63.2154,64.0558,63.1313,64.0184,1366300,64.0184
2024-08-02,65.363,66.5769,64.3546,65.6338,1996700,65.6338
2024-08-05,64.6814,65.8206,63.6636,63.8783,1792200,63.8783
2024-08-06,63.5515,65.9513,63.4955,65.1669,1130700,65.1669
2024-08-07,65.419,66.2127,64.8961,64.9988,1195100,64.9988
2024-08-08,64.504,65.6525,64.504,65.2603,898400,65.2603
2024-08-09,65.419,65.8205,65.1016,65.7458,785800,65.7458
2024-08-12,65.4284,65.4284,64.7281,65.1389,692800,65.1389
2024-08-13,65.4751,65.5965,64.6907,65.2603,944100,65.2603
2024-08-14,65.2043,65.97,65.1296,65.6058,726600,65.6058
2024-08-15,65.6525,66.166,65.251,65.3724,1735000,65.3724
2024-08-16,65.2323,65.5591,64.8961,65.1483,697500,65.1483
2024-08-19,65.0922,65.9139,65.0922,65.8392,584600,65.8392
2024-08-20,66.054,66.2688,65.419,65.7739,575500,65.7739
2024-08-21,65.8579,66.2781,65.7365,66.0913,712700,66.0913
2024-08-22,66.1567,66.3341,65.8486,66.054,768600,66.054
2024-08-23,66.1847,66.9784,66.1474,66.689,1082200,66.689
2024-08-26,67.1092,67.2025,66.3528,66.5302,718000,66.5302
2024-08-27,66.2501,66.717,65.8672,66.5489,891700,66.5489
2024-08-28,66.6516,67.0158,66.5489,66.9131,791000,66.9131
2024-08-29,66.9131,67.0251,66.5395,66.9224,652700,66.9224
2024-08-30,67.2119,68.0616,67.0531,67.8748,1492900,67.8748
2024-09-03,67.4266,67.9682,67.2399,67.6974,827900,67.6974
2024-09-04,68.0709,68.8366,67.7161,68.0709,917000,68.0709
2024-09-05,68.2764,68.9673,68.0803,68.4444,1070700,68.4444
2024-09-06,68.3977,68.8086,67.5854,67.8095,836400,67.8095
2024-09-09,67.7534,69.5836,67.7254,69.5089,1172900,69.5089
2024-09-10,69.7517,70.2092,69.4529,70.1999,1097000,70.1999
2024-09-11,69.7797,69.7984,68.5751,69.4996,847800,69.4996
2024-09-12,69.7445,70.9129,69.2828,70.0649,1154400,70.0649
2024-09-13,70.3947,70.5643,69.7822,70.3664,1016800,70.3664
2024-09-16,70.2722,70.8847,69.9895,70.4512,819300,70.4512
2024-09-17,70.3664,70.6585,69.2263,69.4242,1029700,69.4242
2024-09-18,69.2451,70.0084,68.7363,69.1227,1497600,69.1227
2024-09-19,69.6503,69.6503,67.4643,67.9637,2214900,67.9637
2024-09-20,67.681,68.2181,67.2759,67.4549,2242500,67.4549
2024-09-23,68.1616,68.4725,67.8506,67.9731,986200,67.9731
2024-09-24,67.6528,68.7458,67.5868,68.3406,839000,68.3406
2024-09-25,68.4725,68.6892,67.8412,68.2181,736100,68.2181
2024-09-26,67.8695,68.0391,66.7294,66.8236,835300,66.8236
2024-09-27,68.4537,68.4914,66.7859,67.323,781800,67.323
2024-09-30,67.1345,68.1239,66.8707,68.0579,947100,68.0579
2024-10-01,68.2369,68.416,67.3041,68.0014,864900,68.0014
2024-10-02,67.3984,67.681,66.6163,66.9461,780500,66.9461
2024-10-03,66.9367,67.0309,66.4279,66.9084,534800,66.9084
2024-10-04,66.6917,67.0026,66.0133,66.7576,523700,66.7576
2024-10-07,66.5692,66.5692,65.9002,66.3431,517100,66.3431
2024-10-08,66.654,67.1157,65.9379,66.1075,660200,66.1075
2024-10-09,66.1075,67.0309,65.9379,66.9555,853000,66.9555
2024-10-10,66.588,66.8896,65.4574,65.74,749600,65.74
2024-10-11,66.1075,66.5504,65.9567,66.2394,655100,66.2394
2024-10-14,65.9944,66.833,65.7683,66.6257,762400,66.6257
2024-10-15,66.7105,68.0956,66.7105,67.4549,612000,67.4549
2024-10-16,67.747,68.3971,67.6245,68.0768,809000,68.0768
2024-10-17,67.7658,68.0108,67.257,67.8412,885500,67.8412
2024-10-18,67.8412,68.4254,67.6057,68.3783,759700,68.3783
2024-10-21,68.1616,68.1899,67.3701,67.4643,871500,67.4643
2024-10-22,67.3889,68.1993,67.1628,67.7187,560800,67.7187
2024-10-23,67.3701,68.1616,67.3418,68.0579,579500,68.0579
2024-10-24,67.8695,68.416,67.6528,67.8412,617500,67.8412
2024-10-25,68.3218,68.4348,66.8519,66.9084,512400,66.9084
2024-10-28,67.2476,67.9637,67.2382,67.6057,740100,67.6057
2024-10-29,68.7458,70.0461,68.2464,68.2464,1421800,68.2464
2024-10-30,68.2275,68.9625,67.9543,68.5008,2472200,68.5008
2024-10-31,68.5667,68.9907,67.2947,67.3136,1357100,67.3136
2024-11-01,67.6528,68.5291,67.2288,67.2947,932800,67.2947
2024-11-04,67.8506,68.3123,67.5868,68.105,1108000,68.105
2024-11-05,67.5491,68.9813,67.3136,68.9342,991600,68.9342
2024-11-06,69.4525,69.754,67.5491,68.6139,1367100,68.6139
2024-11-07,68.482,69.754,68.2935,69.6032,1230100,69.6032
2024-11-08,69.933,70.2722,69.3488,69.9518,1037700,69.9518
2024-11-11,69.9801,70.3476,69.4713,69.7257,1531500,69.7257
2024-11-12,69.7163,70.1497,69.1321,69.2357,1018300,69.2357
2024-11-13,69.7069,69.9518,69.4901,69.5938,1309300,69.5938
2024-11-14,69.1792,69.6409,69.1132,69.4053,1034600,69.4053
2024-11-15,69.6126,69.8482,69.2734,69.4053,3835300,69.4053
2024-11-18,69.0567,69.5467,68.6233,69.509,639300,69.509
2024-11-19,69.085,70.0555,68.9059,69.9613,1021200,69.9613
2024-11-20,69.7257,70.4135,69.2828,70.2251,605500,70.2251
2024-11-21,70.3853,70.5172,70.112,70.1591,758900,70.1591
2024-11-22,70.4418,70.4983,69.8482,69.9518,725600,69.9518
2024-11-25,70.112,70.112,69.4148,69.7445,2193400,69.7445
2024-11-26,69.8482,70.7622,69.5749,70.6679,729700,70.6679
2024-11-27,70.8564,71.7421,70.8564,71.5254,800700,71.5254
2024-11-29,71.5913,72.1096,71.1579,71.2239,947200,71.2239
2024-12-02,71.2238,71.2238,69.8576,70.3193,1001800,70.3193
2024-12-03,70.3193,71.1108,70.0178,70.4041,1165600,70.4041
2024-12-04,70.178,70.3758,69.6126,70.0555,755800,70.0555
2024-12-05,69.688,70.1874,69.5373,70.0178,842100,70.0178
2024-12-06,70.0555,70.4041,69.7917,69.8482,1012700,69.8482
2024-12-09,69.9141,70.715,69.0661,70.5926,1086800,70.5926
2024-12-10,70.2439,70.4418,69.5467,70.0366,1173300,70.0366
2024-12-11,70.0178,70.6868,69.7728,69.9141,1168000,69.9141
2024-12-12,69.9613,71.2427,69.7822,70.96,1234700,70.96
2024-12-13,70.7622,71.5159,70.7433,71.0166,919500,71.0166
2024-12-16,70.9262,72.7048,70.9262,71.7157,1030600,71.7157
2024-12-17,71.164,72.3149,70.8977,71.8108,1404700,71.8108
2024-12-18,71.7537,72.6097,69.6136,69.6327,1871300,69.6327
2024-12-19,69.2427,70.5077,68.8242,68.8813,1742400,68.8813
2024-12-20,69.2142,70.8596,68.7196,70.1938,3284000,70.1938
2024-12-23,69.9275,70.2794,69.4615,70.1463,1046200,70.1463
2024-12-24,69.6802,70.9072,69.6802,70.8596,345600,70.8596
2024-12-26,70.4982,71.0784,70.289,70.9643,459600,70.9643
2024-12-27,70.7265,71.2211,70.1653,70.3365,808500,70.3365
2024-12-30,70.0416,70.0987,69.3093,69.8229,989700,69.8229
2024-12-31,70.4887,70.5743,69.5376,70.3175,1020300,70.3175
2025-01-02,69.9941,71.0213,68.4437,68.6815,960300,68.6815
2025-01-03,68.9383,69.5756,68.634,69.4615,818600,69.4615
2025-01-06,69.062,69.4139,67.5497,67.6068,716000,67.6068
2025-01-07,67.5497,68.1584,66.5985,66.7317,750600,66.7317
2025-01-08,66.551,67.0741,66.142,66.7222,722300,66.7222
2025-01-10,65.7045,66.123,65.1909,65.4667,1133000,65.4667
2025-01-13,65.5047,67.4546,65.0957,67.3024,1239100,67.3024
2025-01-14,67.4831,67.5592,66.7412,67.2073,1151600,67.2073
2025-01-15,68.5674,68.7101,67.1502,67.6924,863600,67.6924
2025-01-16,67.8065,68.5484,67.797,68.1584,580300,68.1584
2025-01-17,68.4152,68.4723,67.7209,67.7399,1104000,67.7399
2025-01-21,67.6258,68.6625,67.6258,68.4437,1022300,68.4437
2025-01-22,67.8636,68.1204,67.1502,67.6543,806100,67.6543
2025-01-23,67.816,67.9967,66.9505,67.5972,832600,67.5972
2025-01-24,67.3785,68.5579,67.3309,68.263,797700,68.263
2025-01-27,68.6149,70.3175,68.206,69.5185,1095600,69.5185
2025-01-28,69.2712,70.3746,68.8242,68.9859,1099400,68.9859
2025-01-29,68.8717,69.0525,67.4355,67.8445,864400,67.8445
2025-01-30,68.4342,69.1571,67.8921,68.4437,1044200,68.4437
2025-01-31,68.1489,68.8147,67.9777,68.3296,1079300,68.3296
2025-02-03,68.1394,68.5864,67.1502,68.3486,943000,68.3486
2025-02-04,68.244,68.653,67.7304,68.2725,672500,68.2725
2025-02-05,68.653,69.7278,68.3581,69.471,687900,69.471
2025-02-06,69.899,69.899,68.653,69.3854,935000,69.3854
2025-02-07,69.471,71.2211,69.471,70.4031,1404300,70.4031
2025-02-10,70.3936,70.5077,69.4519,70.0131,842000,70.0131
2025-02-11,69.7088,70.8026,69.3473,70.7835,951000,70.7835
2025-02-12,70.1653,70.8977,69.7278,70.774,926200,70.774
2025-02-13,70.7835,71.3828,70.5077,71.3352,1072300,71.3352
2025-02-14,71.3257,71.6586,68.7671,68.8052,1270200,68.8052
2025-02-18,68.3867,69.3568,68.3867,69.3093,1060900,69.3093
2025-02-19,69.2142,70.5458,69.0335,69.8514,1110400,69.8514
2025-02-20,69.6612,69.937,69.2332,69.6992,788400,69.6992
2025-02-21,69.5566,69.9941,69.2237,69.7468,842000,69.7468
2025-02-24,69.8609,71.0784,69.528,70.6979,876200,70.6979
2025-02-25,70.6979,72.1627,70.6694,71.7632,1073800,71.7632
2025-02-26,71.7632,72.0961,71.164,71.573,713700,71.573
2025-02-27,71.611,72.4766,71.4208,71.8678,808300,71.8678
2025-02-28,72.2958,73.1233,72.1056,72.9521,1880600,72.9521
2025-03-03,72.5812,74.1125,72.448,73.9413,1364200,73.9413
2025-03-04,74.3503,74.3598,72.5717,72.6192,1315800,72.6192
2025-03-05,71.8013,73.3611,71.5825,73.3231,1323100,73.3231
2025-03-06,72.7809,73.0377,70.4697,70.8121,1349300,70.8121
2025-03-07,70.8977,71.4493,70.2604,70.346,993000,70.346
2025-03-10,70.1368,71.554,69.9941,70.327,1055600,70.327
2025-03-11,70.4887,71.1545,69.0239,70.1082,1422700,70.1082
2025-03-12,70.0266,70.5356,68.6341,69.1431,875100,69.1431
2025-03-13,69.2295,69.7673,67.3281,67.597,1523200,67.597
2025-03-14,68.1636,68.6341,67.5874,68.25,969300,68.25
2025-03-17,68.2692,69.0567,68.2692,68.5957,787700,68.5957
2025-03-18,68.4997,69.2391,68.2308,68.5861,1117300,68.5861
2025-03-19,68.9895,69.6233,67.9619,69.2199,818900,69.2199
