date,open,high,low,close,volume,adj_close
2024-06-04,12.32,12.8,12.24,12.32,16238,12.32
2024-06-05,12.4,12.96,12.08,12.88,17238,12.88
2024-06-06,12.56,12.8,11.92,11.92,18738,11.92
2024-06-07,12.16,12.32,11.68,11.84,14388,11.84
2024-06-10,11.6,12.4,11.52,12.2,18588,12.2
2024-06-11,11.92,13.12,11.92,13.12,19275,13.12
2024-06-12,12.8,13.832,12.8,13.2,22625,13.2
2024-06-13,13.12,13.44,12.8,13.28,11725,13.28
2024-06-14,12.96,13.28,11.84,12.36,16700,12.36
2024-06-17,12.32,12.52,11.52,11.6,24863,11.6
2024-06-18,11.6,11.8,11.16,11.2,21788,11.2
2024-06-20,11.2,11.768,11.2,11.52,20200,11.52
2024-06-21,11.44,12.0,11.44,11.68,46875,11.68
2024-06-24,11.84,12.8,11.6,12.32,22238,12.32
2024-06-25,12.16,12.4,11.36,11.92,34925,11.92
2024-06-26,11.92,12.24,11.2,11.2,26975,11.2
2024-06-27,11.36,12.0,11.12,11.84,28813,11.84
2024-06-28,12.0,12.0,10.72,10.72,443763,10.72
2024-07-01,11.04,11.36,10.88,10.88,25400,10.88
2024-07-02,11.12,11.36,9.24,9.6,89463,9.6
2024-07-03,10.16,10.4,10.0,10.24,9588,10.24
2024-07-05,10.24,10.8,10.24,10.64,14963,10.64
2024-07-08,10.72,10.96,10.32,10.4,15488,10.4
2024-07-09,10.4,10.64,10.32,10.32,17288,10.32
2024-07-10,10.4,10.72,10.36,10.56,11625,10.56
2024-07-11,10.48,11.52,10.48,11.44,13150,11.44
2024-07-12,11.52,11.68,10.96,11.04,11800,11.04
2024-07-15,11.12,11.208,10.32,10.72,14838,10.72
2024-07-16,10.8,11.76,10.56,11.6,19325,11.6
2024-07-17,11.68,11.92,10.96,11.12,8163,11.12
2024-07-18,11.04,11.24,10.32,10.4,10025,10.4
2024-07-19,10.48,10.8,10.4,10.72,6038,10.72
2024-07-22,10.96,10.96,10.48,10.56,6575,10.56
2024-07-23,10.8,10.88,10.56,10.72,4575,10.72
2024-07-24,10.4,10.88,10.32,10.4,9825,10.4
2024-07-25,10.56,11.04,10.48,10.64,4975,10.64
