date,open,high,low,close,volume,adj_close
2024-05-20,214.5205,215.8553,212.7146,214.6874,500200,214.6874
2024-05-21,214.2162,215.5314,212.6459,214.2359,452600,214.2359
2024-05-22,213.5979,215.9044,212.2729,214.2261,555400,214.2261
2024-05-23,214.0592,214.0592,206.3448,207.66,1046700,207.66
2024-05-24,208.1508,210.5161,206.8454,209.3089,536200,209.3089
2024-05-28,208.4746,209.5739,202.3404,203.3317,829500,203.3317
2024-05-29,201.359,203.8912,201.2117,202.1441,599100,202.1441
2024-05-30,202.0852,206.1289,201.8497,205.4615,602100,205.4615
2024-05-31,205.226,207.0319,201.2019,202.5073,2928100,202.5073
2024-06-03,203.9893,206.8552,200.6229,203.5477,1772300,203.5477
2024-06-04,203.1158,208.298,202.7821,207.2674,676400,207.2674
2024-06-05,207.3754,210.0843,206.2271,209.2893,507200,209.2893
2024-06-06,207.6502,208.5532,206.2369,207.6404,709200,207.6404
2024-06-07,207.1595,210.3198,205.5793,207.0024,412000,207.0024
2024-06-10,205.9228,207.8955,205.432,207.7385,723100,207.7385
2024-06-11,205.6971,208.8182,203.2139,206.2859,810500,206.2859
2024-06-12,207.9545,210.5652,206.1191,206.9828,718100,206.9828
2024-06-13,205.6578,209.7505,205.0198,208.4452,906500,208.4452
2024-06-14,207.0613,208.0722,204.7647,207.8072,1113700,207.8072
2024-06-17,205.1867,207.768,201.5749,206.4528,1028400,206.4528
2024-06-18,206.9141,208.6807,206.2761,208.3372,972900,208.3372
2024-06-20,207.0319,210.9872,206.1191,209.3187,1246000,209.3187
2024-06-21,209.407,209.5739,196.2945,202.0165,2717400,202.0165
2024-06-24,186.4307,190.1407,176.0958,178.8243,4020900,178.8243
2024-06-25,181.6412,183.3489,176.9988,180.4339,2139500,180.4339
2024-06-26,180.4339,183.8495,180.4339,183.0741,1115300,183.0741
2024-06-27,185.9891,189.1691,184.0948,188.0305,1271100,188.0305
2024-06-28,188.1582,190.9946,186.0578,187.8735,3500700,187.8735
2024-07-01,187.373,188.8157,182.7699,183.4765,871700,183.4765
2024-07-02,184.0262,186.421,184.0262,185.8419,808400,185.8419
2024-07-03,186.0774,186.47,184.5758,185.8909,383800,185.8909
2024-07-05,186.9706,191.3872,185.8124,191.132,670900,191.132
2024-07-08,190.7492,191.2498,188.3446,189.3457,805200,189.3457
2024-07-09,189.8954,190.9554,185.0665,186.8037,956600,186.8037
2024-07-10,188.1876,189.3555,185.6456,188.7667,510100,188.7667
2024-07-11,191.5148,196.6283,191.3872,196.0786,694800,196.0786
2024-07-12,197.2564,203.0078,196.7853,201.0351,753600,201.0351
2024-07-15,200.5541,203.3513,199.4156,201.5062,1387300,201.5062
2024-07-16,201.8791,203.8715,200.7112,202.9686,738600,202.9686
2024-07-17,201.2019,204.961,200.2499,202.1343,709300,202.1343
2024-07-18,202.7526,205.1278,199.661,200.1027,606000,200.1027
2024-07-19,203.106,203.7734,199.0034,199.3862,715000,199.3862
2024-07-22,200.5836,203.7341,199.7101,203.4397,664500,203.4397
2024-07-23,203.8912,205.913,202.0951,205.648,391700,205.648
2024-07-24,204.4898,206.8552,202.3011,202.3797,653200,202.3797
2024-07-25,201.0547,208.8378,200.083,204.48,2024200,204.48
2024-07-26,203.2041,203.2041,192.7907,193.3894,1896800,193.3894
2024-07-29,196.4123,204.7156,194.9205,204.6763,1069200,204.6763
2024-07-30,204.058,206.5804,202.4484,204.1856,762800,204.1856
2024-07-31,205.1278,211.8607,202.576,209.2991,988900,209.2991
2024-08-01,208.8083,212.7637,207.0908,210.5848,1513700,210.5848
2024-08-02,206.1093,221.4988,200.8388,219.4966,2659800,219.4966
2024-08-05,209.2206,216.1203,205.1278,211.6841,1547500,211.6841
2024-08-06,212.2729,217.6612,211.3504,214.7757,1079700,214.7757
2024-08-07,215.7964,215.7964,205.2063,207.0319,1291400,207.0319
2024-08-08,208.2293,210.9087,205.7756,210.2217,946800,210.2217
2024-08-09,211.8215,213.0679,209.0243,212.5772,543000,212.5772
2024-08-12,212.587,214.1083,210.5848,210.6731,547600,210.6731
2024-08-13,212.5477,219.5358,212.5477,216.189,1079300,216.189
2024-08-14,218.1323,218.9568,215.924,218.0931,970200,218.0931
2024-08-15,219.8147,224.3305,218.0734,223.5434,897000,223.5434
2024-08-16,223.1007,224.2321,221.1429,224.0648,627200,224.0648
2024-08-19,223.7992,227.7542,222.8646,227.5574,786700,227.5574
2024-08-20,227.2623,227.5476,218.7621,219.5393,908000,219.5393
2024-08-21,220.4542,222.9925,219.0769,220.6707,793000,220.6707
2024-08-22,221.9496,221.9496,218.3882,219.7951,599500,219.7951
2024-08-23,220.7199,223.0712,219.3425,222.9728,643700,222.9728
2024-08-26,221.1134,224.5961,221.1134,222.2054,454100,222.2054
2024-08-27,222.4809,238.6746,222.4809,238.3302,1895900,238.3302
2024-08-28,236.6479,242.8066,235.4968,238.7631,1226600,238.7631
2024-08-29,240.7996,241.0357,237.0513,239.2255,591200,239.2255
2024-08-30,240.2979,242.236,238.5565,241.0554,1084200,241.0554
2024-09-03,240.5143,243.7216,239.8256,240.9373,997800,240.9373
2024-09-04,236.0182,242.5508,232.6536,240.7898,980100,240.7898
2024-09-05,240.9964,242.0687,238.281,240.8193,769500,240.8193
2024-09-06,241.5178,243.3772,237.0513,240.9078,579000,240.9078
2024-09-09,242.4328,251.051,241.0357,245.5219,1352800,245.5219
2024-09-10,243.633,249.1326,242.9443,248.7686,801400,248.7686
2024-09-11,247.2338,248.9653,241.262,248.8276,649900,248.8276
2024-09-12,248.4046,248.4734,245.0301,246.6534,790400,246.6534
2024-09-13,245.7974,248.562,244.4004,244.9022,1343200,244.9022
2024-09-16,245.7187,248.8178,244.7349,247.6962,1096400,247.6962
2024-09-17,248.2865,250.1459,245.9253,246.8206,1035900,246.8206
2024-09-18,229.8497,238.1138,227.7345,234.1785,1887100,234.1785
2024-09-19,236.9234,239.5403,233.1357,239.0484,1128000,239.0484
2024-09-20,239.255,241.7539,236.5692,240.9767,1567000,240.9767
2024-09-23,241.0358,243.3576,239.1665,242.1967,916000,242.1967
2024-09-24,245.1678,245.276,241.0947,243.1509,744700,243.1509
2024-09-25,242.3934,242.3934,236.3528,236.8545,925400,236.8545
2024-09-26,241.8523,242.5607,236.7955,238.6352,979900,238.6352
