date,open,high,low,close,volume,adj_close
2025-08-04,352170.3438,391365.4062,152100.1562,198900.2031,26,198900.2031
2025-08-05,197145.2031,269094.4062,181350.1875,242190.25,104,242190.25
2025-08-06,224640.2188,228729.375,198906.0469,202995.2031,9,202995.2031
2025-08-07,181350.1875,190119.3438,157950.1562,164970.1719,6,164970.1719
2025-08-08,157950.1562,159272.2656,138060.1406,154440.1562,5,154440.1562
2025-08-11,142740.1406,162630.1562,140400.1406,157950.1562,3,157950.1562
2025-08-12,150930.1562,160974.6094,147420.1406,150345.1562,2,150345.1562
2025-08-13,148005.1406,154440.1562,143032.6406,144495.1406,1,144495.1406
2025-08-14,144495.1406,145957.6406,135720.1406,142155.1406,1,142155.1406
2025-08-15,144495.1406,145086.0,135720.1406,141570.1406,1,141570.1406
2025-08-18,140400.1406,166614.0156,135568.0312,150052.6562,3,150052.6562
2025-08-19,153855.1562,153855.1562,139230.1406,144495.1406,1,144495.1406
2025-08-20,139230.1406,160875.1562,137475.1406,152100.1562,1,152100.1562
2025-08-21,153855.1562,167895.1719,147420.1406,155025.1562,1,155025.1562
2025-08-22,162045.1562,167310.1719,155610.1562,160290.1562,1,160290.1562
2025-08-25,160290.1562,166140.1719,156195.1562,157950.1562,0,157950.1562
2025-08-26,160875.1562,165555.1719,155610.1562,162045.1562,0,162045.1562
2025-08-27,160875.1562,166140.1719,153855.1562,165555.1719,0,165555.1719
2025-08-28,166140.1719,166725.1719,157365.1562,161460.1562,0,161460.1562
2025-08-29,163215.1562,164040.0156,156195.1562,157950.1562,0,157950.1562
2025-09-02,159120.1562,159120.1562,146835.1406,149175.1562,0,149175.1562
2025-09-03,151515.1562,159120.1562,142155.1406,146261.8438,0,146261.8438
2025-09-04,146250.1406,148005.1406,141570.1406,142155.1406,0,142155.1406
2025-09-05,143910.1406,149467.6562,139815.1406,142517.8438,0,142517.8438
2025-09-08,146250.1406,147712.6406,141570.1406,143325.1406,0,143325.1406
2025-09-09,146250.1406,146250.1406,137475.1406,142155.1406,0,142155.1406
2025-09-10,143325.1406,146250.1406,136831.6406,140400.1406,0,140400.1406
2025-09-11,143325.1406,146250.1406,138060.1406,141862.6406,0,141862.6406
2025-09-12,146250.1406,146250.1406,138060.1406,142155.1406,0,142155.1406
2025-09-15,145665.1406,149175.1562,140400.1406,148005.1406,0,148005.1406
2025-09-16,146250.1406,148005.1406,141570.1406,143910.1406,0,143910.1406
2025-09-17,143325.1406,145665.1406,139458.2969,144495.1406,0,144495.1406
2025-09-18,146250.1406,148590.1562,142740.1406,147127.6406,0,147127.6406
2025-09-19,147420.1406,151193.4062,146250.1406,148970.4062,0,148970.4062
2025-09-22,142740.1406,149175.1562,138645.1406,143325.1406,0,143325.1406
2025-09-23,145665.1406,147004.7969,122265.125,125190.125,4,125190.125
2025-09-24,125775.125,125775.125,98280.1016,113490.1172,6,113490.1172
2025-09-25,115245.1172,122826.7266,108815.9609,113490.1172,1,113490.1172
2025-09-26,114075.1172,117000.1172,108810.1094,113519.3672,0,113519.3672
2025-09-29,117585.1172,122926.1719,114683.5156,121680.125,1,121680.125
2025-09-30,122850.125,126945.125,118515.2656,124020.125,0,124020.125
2025-10-01,124020.125,134550.1406,123435.125,133380.1406,1,133380.1406
2025-10-02,133965.1406,134532.5781,125195.9766,132572.8281,0,132572.8281
2025-10-03,132795.125,134134.7812,129285.1328,131549.0781,0,131549.0781
2025-10-06,130455.1328,134544.2812,126360.125,133380.1406,0,133380.1406
2025-10-07,137475.1406,137475.1406,125775.125,132204.2812,1,132204.2812
2025-10-08,129870.1328,132210.125,117000.1172,125769.2734,2,125769.2734
2025-10-09,122265.125,122850.125,115830.1172,115830.1172,1,115830.1172
2025-10-10,119340.1172,121680.125,111735.1094,114075.1172,0,114075.1172
2025-10-13,117585.1172,119340.1172,111150.1094,118755.1172,0,118755.1172
2025-10-14,119340.1172,119925.1172,110840.0625,119340.1172,0,119340.1172
2025-10-15,121095.125,121095.125,114075.1172,117585.1172,0,117585.1172
2025-10-16,122850.125,122850.125,114075.1172,116415.1172,0,116415.1172
2025-10-17,115245.1172,122253.4219,108260.2109,109395.1094,0,109395.1094
2025-10-20,113490.1172,117526.6172,109395.1094,109980.1094,0,109980.1094
2025-10-21,110565.1094,114660.1172,108225.1094,109395.1094,0,109395.1094
2025-10-22,108225.1094,108225.1094,99450.1016,104715.1016,0,104715.1016
2025-10-23,104130.1016,104130.1016,97110.0938,102960.1016,0,102960.1016
2025-10-24,102375.1016,102919.1562,98280.1016,98865.1016,0,98865.1016
2025-10-27,102375.1016,103404.7031,94770.0938,94770.0938,1,94770.0938
2025-10-28,94770.0938,98865.1016,91552.5938,92430.0938,1,92430.0938
2025-10-29,93015.0938,107640.1094,84825.0859,90675.0938,3,90675.0938
2025-10-30,90675.0938,93015.0938,84240.0859,84240.0859,1,84240.0859
2025-10-31,83655.0859,84825.0859,40950.0391,45647.5938,44,45647.5938
2025-11-03,50310.0508,51561.9531,39195.0391,40312.3906,12,40312.3906
2025-11-04,40950.0391,112314.2656,31718.7324,35626.5352,716,35626.5352
2025-11-05,15952.9658,18526.9688,14133.6143,17901.0176,1693,17901.0176
2025-11-06,15596.1152,15736.5156,11518.6611,13162.5127,796,13162.5127
2025-11-07,17631.918,20562.7715,15912.0156,18345.6191,5586,18345.6191
2025-11-10,16380.0166,16380.0166,13455.0137,14162.8643,545,14162.8643
2025-11-11,13338.0137,14291.5645,12600.9131,13583.7139,301,13583.7139
2025-11-12,11887.2119,12753.0127,10916.1113,11694.1621,727,11694.1621
2025-11-13,14373.4648,16157.7158,13455.0137,13607.1133,3669,13607.1133
2025-11-14,12858.3125,12858.3125,11992.5117,12056.8623,396,12056.8623
2025-11-17,12507.3125,12507.3125,9746.1094,10114.6602,494,10114.6602
2025-11-18,10237.5098,10565.1104,9272.2588,9687.6094,613,9687.6094
2025-11-19,9640.8096,10041.5352,9360.0098,9360.0098,238,9360.0098
2025-11-20,9383.4092,9945.0098,8388.9082,8541.0088,358,8541.0088
2025-11-21,8932.959,8932.959,7692.7578,8388.9082,318,8388.9082
2025-11-24,8716.5088,9886.5098,8312.8584,8932.959,422,8932.959
2025-11-25,14151.1641,16736.2812,11319.7617,13776.7637,11110,13776.7637
2025-11-26,12513.1621,13454.4287,11834.5615,12647.7129,795,12647.7129
2025-11-28,9360.0098,10360.3604,8576.1084,9336.6094,885,9336.6094
2025-12-01,7996.958,8365.5088,7400.2573,8073.0083,376,8073.0083
2025-12-02,8151.0,8468.2656,5391.75,5440.5,759,5440.5
2025-12-03,5850.0,6532.5,5499.0,5967.0,862,5967.0
2025-12-04,5694.0,5762.4453,5167.5,5538.0,591,5538.0
2025-12-05,5752.5,5850.0,4918.4854,5167.5,684,5167.5
2025-12-08,5265.0,5382.0,4914.1953,5070.0,2143,5070.0
2025-12-09,4719.0,5128.5,4699.5,4914.0,312,4914.0
2025-12-10,4855.5,4894.5,4095.0,4173.1953,419,4173.1953
2025-12-11,3841.5,3958.5,3412.5,3510.0,478,3510.0
2025-12-12,3295.5,3510.0,3120.0,3207.75,272,3207.75
2025-12-15,3139.5,3178.5,2788.5,2886.0,218,2886.0
2025-12-16,2808.0,2847.0,2574.0,2808.0,239,2808.0
2025-12-17,2788.5,2944.5,2691.0,2769.0,142,2769.0
2025-12-18,2788.5,3081.0,2717.325,2808.0,151,2808.0
2025-12-19,2847.0,2905.5,2608.3201,2691.0,118,2691.0
2025-12-22,2710.5,2964.0,2632.5,2730.0,117,2730.0
2025-12-23,2671.5,2749.5,2242.5,2476.5,200,2476.5
2025-12-24,2457.0,2613.0,2397.3301,2476.5,126,2476.5
2025-12-26,2476.5,2496.0,2324.4001,2379.0,125,2379.0
