date,open,high,low,close,volume,adj_close
2024-05-20,44.7624,45.6102,44.4213,44.4505,257400,44.4505
2024-05-21,44.2751,44.7526,43.6318,43.7488,177500,43.7488
2024-05-22,43.7683,43.9924,42.9789,43.3687,221300,43.3687
2024-05-23,43.3979,43.5052,41.9848,42.667,305800,42.667
2024-05-24,43.0763,43.6221,42.7742,43.4174,243300,43.4174
2024-05-28,43.6611,43.8657,43.0179,43.242,261600,43.242
2024-05-29,42.6963,42.9691,41.9556,42.3162,389000,42.3162
2024-05-30,42.628,43.778,42.3259,43.6221,257300,43.6221
2024-05-31,43.8657,44.0996,43.32,43.9827,348800,43.9827
2024-06-03,44.6162,44.6162,41.9166,42.5013,288900,42.5013
2024-06-04,42.2479,42.6865,41.7607,42.3357,325600,42.3357
2024-06-05,42.6183,42.6768,41.9848,42.3649,220000,42.3649
2024-06-06,42.1407,42.8327,42.1407,42.5111,250300,42.5111
2024-06-07,41.9068,42.667,41.9068,42.4039,251200,42.4039
2024-06-10,41.8776,42.1115,41.1662,42.0335,417600,42.0335
2024-06-11,41.7314,42.1115,41.3903,41.9166,243700,41.9166
2024-06-12,43.164,43.6708,42.3259,42.4136,165400,42.4136
2024-06-13,42.2577,42.2577,41.2344,41.7412,186500,41.7412
2024-06-14,41.1369,41.3806,40.4547,41.02,272500,41.02
2024-06-17,41.0005,41.9653,40.7568,41.7996,228800,41.7996
2024-06-18,41.9263,42.5793,41.8094,42.1212,184700,42.1212
2024-06-20,41.9946,42.667,41.6535,41.9263,191400,41.9263
2024-06-21,41.9848,42.0725,41.478,41.634,653800,41.634
2024-06-24,41.7217,43.0081,41.5755,41.8971,300600,41.8971
2024-06-25,41.8679,42.131,41.3806,42.0725,304600,42.0725
2024-06-26,41.7801,42.2577,41.3708,41.439,219600,41.439
2024-06-27,41.5657,41.6729,41.0492,41.2246,202500,41.2246
2024-06-28,41.5365,41.6924,40.5619,40.8056,842400,40.8056
2024-07-01,40.8835,41.1857,39.9479,40.1721,315500,40.1721
2024-07-02,40.289,40.9907,40.289,40.6301,230500,40.6301
2024-07-03,40.8933,41.2734,40.5132,40.7666,113800,40.7666
2024-07-05,40.6302,40.8738,40.0259,40.1234,184000,40.1234
2024-07-08,40.6204,41.1272,40.4742,40.7471,333000,40.7471
2024-07-09,40.5522,40.8056,40.0551,40.1526,266800,40.1526
2024-07-10,40.1624,40.8153,40.1331,40.7763,159300,40.7763
2024-07-11,41.556,43.4272,41.4975,43.2518,395500,43.2518
2024-07-12,43.7975,44.4407,43.5636,44.0509,233300,44.0509
2024-07-15,44.6162,46.4289,44.5187,45.4835,400700,45.4835
2024-07-16,46.0001,48.6899,45.9026,48.4365,611600,48.4365
2024-07-17,48.1052,49.6937,47.6276,47.6569,513300,47.6569
2024-07-18,47.2963,49.07,46.7602,46.9259,405200,46.9259
2024-07-19,47.1501,47.3352,45.8344,46.0585,354500,46.0585
2024-07-22,46.2145,47.2378,45.5713,47.0721,326200,47.0721
2024-07-23,46.5751,47.6569,46.3899,46.7213,518000,46.7213
2024-07-24,46.4679,47.4424,45.6005,45.7174,341300,45.7174
2024-07-25,46.0293,48.7094,45.6102,46.7505,344000,46.7505
2024-07-26,47.1793,48.495,46.7115,48.2416,529300,48.2416
2024-07-29,48.5242,49.3331,48.2416,48.9823,394600,48.9823
2024-07-30,49.1382,50.298,49.1382,49.8886,453300,49.8886
2024-07-31,50.1323,51.3115,48.7386,49.7132,658300,49.7132
2024-08-01,53.0755,55.2001,50.6878,53.4556,859600,53.4556
2024-08-02,50.9802,51.2238,48.1929,50.8437,662900,50.8437
2024-08-05,48.378,49.8984,48.1929,48.9238,504400,48.9238
2024-08-06,48.9238,50.795,48.2903,49.9179,502700,49.9179
2024-08-07,50.5513,50.873,48.5924,48.7289,392200,48.7289
2024-08-08,49.5378,50.3369,48.8458,50.0056,209500,50.0056
2024-08-09,49.8497,50.1615,49.2747,49.3624,190300,49.3624
2024-08-12,49.7035,49.7035,48.7289,49.3721,207800,49.3721
2024-08-13,49.5677,50.1057,48.9809,49.8416,234300,49.8416
2024-08-14,49.91,50.3697,49.3525,49.8807,292000,49.8807
2024-08-15,51.1326,51.4651,50.6142,50.9859,278500,50.9859
2024-08-16,50.9174,51.4554,50.5751,50.9859,257400,50.9859
2024-08-19,50.9957,51.5727,50.9468,51.0152,210900,51.0152
2024-08-20,50.8392,51.1522,50.1643,50.4675,447100,50.4675
2024-08-21,50.9468,51.739,50.5556,51.3282,227700,51.3282
2024-08-22,51.1815,51.4651,50.4578,50.5947,209600,50.5947
2024-08-23,50.7218,52.8833,50.5849,52.4628,446300,52.4628
2024-08-26,52.5508,53.3137,52.2476,52.6584,280900,52.6584
2024-08-27,52.1889,52.4139,51.3282,51.3673,321700,51.3673
2024-08-28,51.0055,51.6314,50.9761,51.0152,195200,51.0152
2024-08-29,51.2304,52.1498,50.5751,51.651,296400,51.651
2024-08-30,51.651,51.9444,50.7707,51.5434,354300,51.5434
2024-09-03,50.8587,50.8783,48.7168,48.8733,308500,48.8733
2024-09-04,48.5114,49.2058,48.3158,48.5799,213600,48.5799
2024-09-05,48.7364,48.8146,48.0224,48.5897,220200,48.5897
2024-09-06,48.5506,49.0885,47.1911,47.2986,185700,47.2986
2024-09-09,47.2302,47.9148,46.7118,47.24,246500,47.24
2024-09-10,47.4062,47.7094,45.9196,46.6825,311600,46.6825
2024-09-11,46.389,46.9074,45.2838,46.6727,265100,46.6727
2024-09-12,47.0737,47.8659,46.839,47.5725,154500,47.5725
2024-09-13,48.443,49.8709,48.3647,49.7731,312700,49.7731
2024-09-16,49.8318,50.4969,49.2645,49.5677,292500,49.5677
2024-09-17,50.0861,51.1033,49.6655,50.3404,207000,50.3404
2024-09-18,50.0274,52.2965,49.9785,50.3013,201900,50.3013
2024-09-19,51.651,52.0715,50.8001,51.9835,226400,51.9835
2024-09-20,51.5727,53.9885,50.8881,51.4065,1129900,51.4065
2024-09-23,51.7586,52.6486,51.025,51.2695,124800,51.2695
2024-09-24,51.6608,52.4823,51.4162,51.964,239500,51.964
2024-09-25,51.8759,52.0813,51.2402,51.5532,300300,51.5532
2024-09-26,52.2867,53.4897,51.9151,51.964,214400,51.964
2024-09-27,52.6095,53.3919,51.7488,51.9248,2096700,51.9248
2024-09-30,51.6314,52.14,50.9957,51.6705,328300,51.6705
2024-10-01,51.2206,51.2989,50.2915,50.761,254600,50.761
2024-10-02,50.2719,50.849,49.4406,49.4699,275100,49.4699
2024-10-03,48.9613,49.1276,48.443,48.6777,322200,48.6777
2024-10-04,49.6753,49.7927,49.1178,49.3134,167200,49.3134
2024-10-07,48.8733,49.5677,48.6973,49.4797,236700,49.4797
2024-10-08,49.4797,49.9687,48.7462,49.4797,142000,49.4797
2024-10-09,49.5384,50.0078,49.2743,49.5873,140400,49.5873
2024-10-10,48.9222,49.3036,48.4332,49.2743,227300,49.2743
2024-10-11,49.2254,50.5067,48.8146,50.4675,157100,50.4675
2024-10-14,50.2132,51.2011,50.047,51.1815,157600,51.1815
2024-10-15,51.0055,51.3576,50.0176,50.0372,402400,50.0372
2024-10-16,50.7023,52.2378,50.5556,51.5923,294300,51.5923
2024-10-17,51.8075,51.8075,50.8098,51.2304,190600,51.2304
2024-10-18,51.3967,51.426,50.7903,50.9859,224100,50.9859
2024-10-21,50.9761,51.4162,50.1154,50.4578,259000,50.4578
2024-10-22,50.047,50.7414,49.4895,50.7316,216000,50.7316
2024-10-23,50.624,51.7879,50.624,51.6803,367000,51.6803
2024-10-24,51.6803,52.0911,51.4162,51.9248,247100,51.9248
2024-10-25,52.5117,53.1767,52.0813,52.3356,279500,52.3356
2024-10-28,52.942,54.1744,52.8149,54.0961,384800,54.0961
2024-10-29,54.057,54.6047,53.5386,53.6658,637600,53.6658
2024-10-30,56.1305,59.2211,53.9983,57.0596,807400,57.0596
2024-10-31,56.7662,58.2528,55.1035,55.3382,666300,55.3382
2024-11-01,56.2185,56.5608,55.5436,56.1989,599900,56.1989
2024-11-04,55.5828,57.7345,55.5436,56.8053,605300,56.8053
2024-11-05,56.5315,58.4973,56.1207,58.1941,429000,58.1941
2024-11-06,60.1014,63.7201,60.1014,63.1627,1075400,63.1627
2024-11-07,62.5954,63.0942,61.4413,61.5489,513600,61.5489
2024-11-08,61.099,62.4096,60.2383,61.5684,602100,61.5684
2024-11-11,62.1259,62.8203,62.0086,62.3509,448100,62.3509
2024-11-12,61.9193,62.6745,61.3504,61.7722,498700,61.7722
2024-11-13,62.2822,62.4391,61.2916,61.3308,595800,61.3308
2024-11-14,61.4289,61.9487,59.6928,60.0852,476400,60.0852
2024-11-15,60.4677,60.5854,59.3103,59.4967,369600,59.4967
2024-11-18,59.6046,60.1342,59.2809,59.3594,299400,59.3594
2024-11-19,58.8395,58.967,57.4762,57.8097,299000,57.8097
2024-11-20,57.8293,58.4472,56.6131,57.1525,373400,57.1525
2024-11-21,57.7606,58.3001,57.1721,58.1824,386400,58.1824
2024-11-22,58.5649,59.1338,58.3099,58.8493,416500,58.8493
2024-11-25,59.7321,62.1841,58.3982,61.6643,604900,61.6643
2024-11-26,61.115,61.115,59.5261,60.556,261100,60.556
2024-11-27,61.1641,61.4976,59.9086,60.3206,202900,60.3206
2024-11-29,60.9483,61.576,60.1636,60.7619,192800,60.7619
2024-12-02,60.6541,61.3799,60.1342,60.8208,248600,60.8208
2024-12-03,60.5952,60.8796,59.5555,60.1048,733200,60.1048
2024-12-04,60.8208,61.8801,60.6442,60.9777,307600,60.9777
2024-12-05,60.6737,60.9679,59.9871,60.5265,175300,60.5265
2024-12-06,60.9287,61.1837,60.6148,60.7521,217200,60.7521
