date,open,high,low,close,volume,adj_close
2024-05-20,8.78,9.015,8.552,8.63,1121200,8.63
2024-05-21,8.48,8.7,8.28,8.3,1284000,8.3
2024-05-22,8.51,8.51,8.185,8.26,1074000,8.26
2024-05-23,8.31,8.31,7.8,7.98,1692600,7.98
2024-05-24,8.07,8.25,7.96,8.02,799700,8.02
2024-05-28,8.18,8.28,7.5,7.8,1153000,7.8
2024-05-29,7.63,7.84,7.5,7.75,1169700,7.75
2024-05-30,7.85,7.92,7.585,7.61,1367100,7.61
2024-05-31,7.66,7.89,7.49,7.5,2569200,7.5
2024-06-03,7.64,8.165,7.49,7.81,1574600,7.81
2024-06-04,7.8,7.91,7.4,7.5,1070200,7.5
2024-06-05,7.53,7.89,7.45,7.83,1083900,7.83
2024-06-06,7.87,7.885,7.33,7.36,1123900,7.36
2024-06-07,7.25,7.33,6.98,6.98,1124200,6.98
2024-06-10,6.96,7.07,6.67,6.92,2359500,6.92
2024-06-11,6.8,6.985,6.54,6.89,3203600,6.89
2024-06-12,7.18,7.34,6.77,6.82,2421400,6.82
2024-06-13,6.8,7.19,6.7,7.15,1197600,7.15
2024-06-14,7.02,7.03,6.07,6.08,1911000,6.08
2024-06-17,6.04,6.25,5.91,6.0,1862300,6.0
2024-06-18,5.99,5.99,5.64,5.68,1968200,5.68
2024-06-20,5.68,5.69,5.2,5.23,2478600,5.23
2024-06-21,5.25,5.55,5.234,5.51,3221300,5.51
2024-06-24,5.61,5.73,5.45,5.54,1499700,5.54
2024-06-25,5.51,5.61,5.4,5.42,1901500,5.42
2024-06-26,5.51,5.51,5.08,5.25,2288300,5.25
2024-06-27,5.2,5.4,5.05,5.4,1912000,5.4
2024-06-28,5.42,5.55,5.285,5.46,9210100,5.46
2024-07-01,5.45,5.59,5.345,5.47,1299800,5.47
2024-07-02,5.45,5.59,5.25,5.35,1291800,5.35
2024-07-03,5.35,5.47,5.16,5.22,678000,5.22
2024-07-05,5.21,5.22,4.93,5.09,996900,5.09
2024-07-08,5.2,5.21,4.94,5.08,1559300,5.08
2024-07-09,5.07,5.24,4.96,5.23,992000,5.23
2024-07-10,5.29,5.29,5.13,5.18,961100,5.18
2024-07-11,5.36,5.79,5.36,5.66,2028000,5.66
2024-07-12,5.74,6.08,5.67,5.95,1418400,5.95
2024-07-15,6.01,6.61,5.97,6.36,2281000,6.36
2024-07-16,6.43,7.4,6.43,6.86,6802000,6.86
2024-07-17,6.62,6.625,6.195,6.38,2336400,6.38
2024-07-18,6.35,6.63,5.84,5.93,1899500,5.93
2024-07-19,5.99,5.99,5.695,5.8,1224100,5.8
2024-07-22,5.91,6.155,5.86,6.11,1396000,6.11
2024-07-23,6.07,6.39,5.95,6.29,1292600,6.29
2024-07-24,6.22,6.48,6.06,6.12,1204300,6.12
2024-07-25,6.14,6.41,5.95,6.05,1827400,6.05
2024-07-26,6.25,6.61,6.15,6.4,1358300,6.4
2024-07-29,6.4,6.5,6.0,6.15,1164400,6.15
2024-07-30,6.21,6.43,5.845,5.87,1174900,5.87
2024-07-31,5.9,6.4,5.76,6.09,1099200,6.09
2024-08-01,6.08,6.12,5.273,5.36,1729100,5.36
2024-08-02,5.1,5.245,4.9,5.04,1747300,5.04
2024-08-05,4.55,4.92,4.401,4.84,2312000,4.84
2024-08-06,4.86,5.05,4.705,4.96,1244100,4.96
2024-08-07,5.13,5.16,4.65,4.72,1282100,4.72
2024-08-08,4.8,4.95,4.595,4.66,1674900,4.66
2024-08-09,5.0,5.52,4.805,4.91,2261200,4.91
2024-08-12,4.9,5.05,4.81,4.89,968600,4.89
2024-08-13,4.9,5.01,4.83,4.9,1236500,4.9
2024-08-14,4.95,5.04,4.735,4.75,1113500,4.75
2024-08-15,4.93,5.02,4.78,4.99,1251400,4.99
2024-08-16,4.99,5.04,4.9,4.99,965200,4.99
2024-08-19,5.13,5.13,4.89,5.04,2532400,5.04
2024-08-20,5.04,5.08,4.92,5.01,1102200,5.01
2024-08-21,5.04,5.42,5.04,5.3,1472100,5.3
2024-08-22,5.28,5.73,5.2,5.71,2227900,5.71
2024-08-23,5.75,6.14,5.62,5.84,1651300,5.84
2024-08-26,5.91,6.04,5.723,5.84,730000,5.84
2024-08-27,5.78,5.9,5.57,5.78,1312700,5.78
2024-08-28,5.71,5.91,5.65,5.85,835100,5.85
2024-08-29,5.92,6.3,5.85,6.11,1192700,6.11
2024-08-30,6.2,6.34,5.91,6.05,1495700,6.05
2024-09-03,5.99,6.11,5.57,5.6,1170500,5.6
2024-09-04,5.55,5.78,5.41,5.5,893500,5.5
2024-09-05,5.5,5.585,5.37,5.41,945100,5.41
2024-09-06,5.39,5.471,4.955,5.04,1322600,5.04
2024-09-09,5.05,5.2,4.92,5.03,1614800,5.03
2024-09-10,5.01,5.06,4.95,5.0,999700,5.0
2024-09-11,4.96,5.045,4.91,4.99,1141200,4.99
2024-09-12,5.0,5.03,4.42,4.53,1601700,4.53
2024-09-13,4.53,4.54,4.135,4.47,2648200,4.47
2024-09-16,4.51,4.55,4.235,4.36,1400700,4.36
2024-09-17,4.38,4.53,4.22,4.3,1391600,4.3
2024-09-18,4.3,4.505,4.15,4.29,1585400,4.29
2024-09-19,4.47,4.73,4.35,4.62,1432400,4.62
2024-09-20,4.63,4.63,4.24,4.25,2822000,4.25
2024-09-23,4.25,4.27,4.08,4.09,1190600,4.09
2024-09-24,4.1,4.165,3.99,4.09,1654300,4.09
2024-09-25,4.09,4.14,3.68,3.76,2893300,3.76
2024-09-26,3.86,4.295,3.83,4.27,1726700,4.27
2024-09-27,4.21,4.445,4.21,4.28,1200600,4.28
2024-09-30,4.3,4.34,4.08,4.16,2293600,4.16
2024-10-01,4.16,4.26,4.01,4.24,1498700,4.24
2024-10-02,4.18,4.435,4.02,4.36,2103200,4.36
2024-10-03,4.29,4.355,4.21,4.25,1301400,4.25
2024-10-04,4.36,4.4,4.22,4.23,846800,4.23
2024-10-07,4.21,4.44,4.095,4.21,1434700,4.21
2024-10-08,4.19,4.3,4.06,4.08,1000600,4.08
2024-10-09,4.02,4.15,3.92,3.99,824300,3.99
2024-10-10,3.91,3.95,3.78,3.83,1055200,3.83
2024-10-11,3.83,4.0,3.75,3.99,962500,3.99
2024-10-14,4.01,4.065,3.94,4.01,588000,4.01
2024-10-15,4.01,4.165,3.965,4.14,643700,4.14
2024-10-16,4.17,4.355,4.07,4.23,914900,4.23
2024-10-17,4.23,4.275,4.02,4.06,789400,4.06
2024-10-18,4.12,4.23,4.09,4.23,567300,4.23
2024-10-21,4.21,4.21,3.895,3.93,841900,3.93
2024-10-22,3.9,3.93,3.75,3.9,752500,3.9
2024-10-23,3.93,3.96,3.69,3.79,1062000,3.79
2024-10-24,3.8,3.82,3.695,3.81,832000,3.81
2024-10-25,3.85,3.89,3.728,3.76,701900,3.76
2024-10-28,3.85,4.135,3.85,3.92,1171300,3.92
2024-10-29,3.87,3.92,3.64,3.78,942000,3.78
2024-10-30,3.75,3.94,3.66,3.66,1020300,3.66
2024-10-31,3.66,3.7,3.5,3.5,1085900,3.5
2024-11-01,3.54,3.67,3.47,3.66,1320300,3.66
2024-11-04,3.66,3.81,3.53,3.76,806900,3.76
2024-11-05,3.5,3.54,2.85,3.39,3652300,3.39
2024-11-06,3.56,3.71,3.35,3.41,1847800,3.41
2024-11-07,3.42,3.45,3.03,3.1,2715800,3.1
2024-11-08,3.16,3.185,3.0,3.005,1473600,3.005
2024-11-11,3.09,3.09,2.755,2.89,1980900,2.89
2024-11-12,2.87,2.87,2.745,2.84,1883700,2.84
2024-11-13,2.88,3.015,2.62,2.66,1964800,2.66
2024-11-14,2.64,2.755,2.55,2.59,1712700,2.59
2024-11-15,2.63,2.65,2.345,2.42,2638300,2.42
2024-11-18,2.42,2.485,2.31,2.34,2062100,2.34
2024-11-19,2.32,2.43,2.29,2.36,1927100,2.36
2024-11-20,2.42,2.54,2.33,2.53,2062800,2.53
2024-11-21,2.52,2.6,2.33,2.35,1373400,2.35
2024-11-22,2.39,2.73,2.37,2.61,1819700,2.61
2024-11-25,2.65,2.71,2.47,2.48,1942700,2.48
2024-11-26,2.51,2.51,2.41,2.45,1222100,2.45
2024-11-27,2.45,2.59,2.45,2.55,1237100,2.55
2024-11-29,2.55,2.83,2.55,2.78,1595300,2.78
2024-12-02,2.79,3.07,2.645,2.85,2731000,2.85
2024-12-03,2.81,2.88,2.57,2.57,1601000,2.57
2024-12-04,2.58,2.81,2.55,2.61,1745000,2.61
2024-12-05,2.6,2.61,2.29,2.295,1637300,2.295
2024-12-06,2.35,2.455,2.28,2.3,1665100,2.3
2024-12-09,2.31,2.68,2.3,2.65,1222800,2.65
2024-12-10,2.67,2.738,2.46,2.48,1091300,2.48
2024-12-11,2.5,2.505,2.22,2.34,1501100,2.34
2024-12-12,2.34,2.34,1.98,2.04,3635900,2.04
2024-12-13,2.0,2.04,1.81,1.89,3368000,1.89
2024-12-16,1.89,2.0,1.82,1.96,2427000,1.96
2024-12-17,1.95,2.07,1.8,1.91,2828100,1.91
2024-12-18,1.92,1.935,1.65,1.685,2922000,1.685
2024-12-19,1.7,1.7,1.55,1.6,3402000,1.6
2024-12-20,1.59,1.72,1.55,1.65,3201900,1.65
2024-12-23,1.65,1.71,1.56,1.63,1801200,1.63
2024-12-24,1.63,1.77,1.62,1.75,807600,1.75
2024-12-26,1.72,1.75,1.62,1.7,1317300,1.7
2024-12-27,1.67,1.699,1.55,1.61,1814400,1.61
2024-12-30,1.61,1.635,1.52,1.61,1624000,1.61
2024-12-31,1.61,1.65,1.54,1.63,1479500,1.63
2025-01-02,1.63,1.77,1.61,1.65,1338800,1.65
2025-01-03,1.66,1.77,1.66,1.71,1835900,1.71
2025-01-06,1.75,1.84,1.685,1.75,1762400,1.75
2025-01-07,1.75,1.91,1.64,1.65,28604800,1.65
2025-01-08,6.07,7.3,4.12,4.3,161196100,4.3
2025-01-10,5.03,5.16,3.55,3.66,29628900,3.66
2025-01-13,3.7,4.01,3.19,3.46,12612000,3.46
2025-01-14,3.43,3.805,3.2,3.63,10803300,3.63
2025-01-15,3.63,3.86,3.19,3.86,10563500,3.86
2025-01-16,3.82,3.85,3.051,3.25,13277800,3.25
2025-01-17,3.15,3.378,3.14,3.16,5400900,3.16
2025-01-21,3.17,3.275,2.9,2.92,6816700,2.92
2025-01-22,2.88,3.655,2.85,3.5,14329600,3.5
2025-01-23,3.41,3.715,3.29,3.49,6780100,3.49
2025-01-24,3.485,3.65,3.33,3.38,5667000,3.38
2025-01-27,3.31,3.595,3.16,3.37,5507100,3.37
2025-01-28,3.35,3.5,3.28,3.41,2901200,3.41
2025-01-29,3.4,3.57,3.24,3.25,4120600,3.25
2025-01-30,3.27,3.55,3.12,3.49,5324200,3.49
2025-01-31,3.47,3.65,3.21,3.22,3704400,3.22
2025-02-03,3.08,3.132,2.91,3.06,4478200,3.06
2025-02-04,3.03,3.2,3.03,3.17,2052100,3.17
2025-02-05,3.15,3.425,3.15,3.32,2761500,3.32
2025-02-06,3.41,3.44,3.24,3.26,2834200,3.26
2025-02-07,3.26,3.29,2.94,2.99,3708100,2.99
2025-02-10,3.0,3.02,2.691,2.735,3528500,2.735
2025-02-11,2.71,2.77,2.57,2.755,2270400,2.755
2025-02-12,2.69,2.87,2.62,2.84,2043800,2.84
2025-02-13,2.79,2.86,2.75,2.81,1523600,2.81
2025-02-14,2.84,3.23,2.83,3.16,5276300,3.16
2025-02-18,3.24,3.35,3.01,3.02,3004700,3.02
2025-02-19,3.0,3.17,3.0,3.09,2414000,3.09
2025-02-20,3.07,3.16,3.05,3.06,1290600,3.06
2025-02-21,3.1,3.145,2.98,3.01,2230400,3.01
2025-02-24,3.01,3.07,2.85,2.88,2586400,2.88
2025-02-25,2.85,2.91,2.58,2.59,3466400,2.59
2025-02-26,2.62,2.7,2.52,2.605,2175300,2.605
2025-02-27,2.61,2.805,2.57,2.59,2496800,2.59
2025-02-28,2.55,2.67,2.51,2.61,2721800,2.61
2025-03-03,2.62,2.645,2.42,2.43,3053600,2.43
2025-03-04,2.34,2.63,2.32,2.56,4004800,2.56
2025-03-05,2.61,2.66,2.51,2.55,2530100,2.55
2025-03-06,2.49,2.58,2.455,2.55,2991400,2.55
2025-03-07,2.58,2.67,2.522,2.58,2238200,2.58
2025-03-10,2.51,2.661,2.5,2.52,2056400,2.52
2025-03-11,2.53,2.79,2.49,2.75,2248000,2.75
2025-03-12,2.75,2.94,2.74,2.92,1976000,2.92
2025-03-13,2.92,2.995,2.61,2.655,2444500,2.655
2025-03-14,2.83,2.94,2.62,2.93,2993100,2.93
2025-03-17,3.0,3.005,2.71,2.77,4015100,2.77
2025-03-18,2.84,2.85,2.135,2.28,10685000,2.28
2025-03-19,2.28,2.42,2.18,2.34,4886500,2.34
2025-03-20,2.29,2.41,2.2,2.26,3195100,2.26
2025-03-21,2.2,2.34,2.18,2.31,4938400,2.31
2025-03-24,2.33,2.43,2.31,2.42,2321600,2.42
2025-03-25,2.39,2.398,2.14,2.15,3499500,2.15
2025-03-26,2.175,2.175,1.81,1.81,4576300,1.81
2025-03-27,1.8,1.91,1.76,1.845,3659600,1.845
2025-03-28,1.82,1.84,1.675,1.71,2761500,1.71
2025-03-31,1.65,1.757,1.54,1.68,6901900,1.68
2025-04-01,1.65,1.67,1.49,1.5,3727500,1.5
2025-04-02,1.48,1.77,1.48,1.63,3351700,1.63
2025-04-03,1.5,1.517,1.33,1.37,6776600,1.37
2025-04-04,1.35,1.49,1.26,1.48,5311000,1.48
2025-04-07,1.42,1.635,1.34,1.53,7785500,1.53
2025-04-08,1.575,1.67,1.325,1.34,9389900,1.34
2025-04-09,1.34,1.585,1.32,1.55,4640900,1.55
2025-04-10,1.47,1.55,1.415,1.53,4251000,1.53
2025-04-11,1.53,1.79,1.49,1.76,5517200,1.76
2025-04-14,1.8,1.83,1.69,1.81,2949100,1.81
2025-04-15,1.81,1.92,1.655,1.7,2167100,1.7
2025-04-16,1.64,1.67,1.53,1.58,1820600,1.58
2025-04-17,1.61,1.66,1.58,1.65,1350500,1.65
2025-04-21,1.6,1.72,1.59,1.59,1437600,1.59
2025-04-22,1.63,1.75,1.61,1.73,1905500,1.73
2025-04-23,1.795,1.91,1.7,1.71,2640200,1.71
2025-04-24,1.74,1.8,1.68,1.77,1581000,1.77
2025-04-25,1.75,1.82,1.645,1.77,2299700,1.77
2025-04-28,1.75,1.82,1.68,1.76,1694500,1.76
2025-04-29,1.76,1.78,1.7,1.71,1622300,1.71
2025-04-30,1.68,1.94,1.63,1.9,2886800,1.9
2025-05-01,1.9,1.92,1.81,1.9,1671000,1.9
2025-05-02,1.9,2.035,1.87,1.89,2907300,1.89
2025-05-05,1.88,1.96,1.86,1.87,1409200,1.87
2025-05-06,1.87,1.88,1.68,1.71,2835500,1.71
2025-05-07,1.72,1.76,1.69,1.7,1576400,1.7
2025-05-08,1.74,1.86,1.67,1.81,2447100,1.81
2025-05-09,1.68,1.96,1.68,1.82,4857600,1.82
2025-05-12,1.94,2.19,1.9,2.0,8698300,2.0
2025-05-13,2.06,2.08,1.79,1.795,4260700,1.795
2025-05-14,1.82,1.898,1.75,1.78,2750300,1.78
2025-05-15,1.76,1.78,1.6,1.71,2843200,1.71
2025-05-16,1.74,1.76,1.67,1.745,1272400,1.745
2025-05-19,1.72,1.825,1.66,1.68,4156400,1.68
2025-05-20,1.74,2.1,1.625,2.09,10250500,2.09
2025-05-21,2.075,2.075,1.9,1.96,4878200,1.96
2025-05-22,1.91,2.03,1.81,2.0,3059600,2.0
2025-05-23,1.94,2.075,1.94,1.99,2314200,1.99
2025-05-27,2.08,2.155,1.975,2.0,6336600,2.0
2025-05-28,2.0,2.3,1.985,2.25,4253200,2.25
2025-05-29,2.29,2.35,2.16,2.27,3089700,2.27
2025-05-30,2.22,2.249,2.11,2.17,4703700,2.17
2025-06-02,2.2,2.34,2.17,2.2,2629800,2.2
2025-06-03,2.22,2.44,2.1,2.34,2824400,2.34
2025-06-04,2.35,2.38,2.28,2.32,1104500,2.32
2025-06-05,2.32,2.59,2.26,2.55,6256200,2.55
2025-06-06,2.58,2.94,2.575,2.84,5921900,2.84
2025-06-09,2.95,3.03,2.8,2.83,3729600,2.83
2025-06-10,2.84,3.08,2.81,2.91,3739900,2.91
2025-06-11,2.94,3.015,2.68,2.7,2933900,2.7
2025-06-12,2.66,2.694,2.43,2.54,3667700,2.54
2025-06-13,2.5,2.64,2.41,2.59,2485700,2.59
2025-06-16,2.63,2.635,2.43,2.52,2373400,2.52
2025-06-17,2.56,2.85,2.53,2.81,5165800,2.81
2025-06-18,2.8,2.97,2.7,2.76,3520900,2.76
2025-06-20,2.83,2.839,2.59,2.61,11689600,2.61
2025-06-23,2.62,3.23,2.58,2.6,16165200,2.6
2025-06-24,2.64,3.0,2.6,2.97,5849200,2.97
2025-06-25,2.97,2.98,2.8,2.9,3533300,2.9
