date,open,high,low,close,volume,adj_close
2024-06-04,1.36,1.36,1.234,1.24,67075,1.24
2024-06-05,1.264,1.264,1.204,1.204,15350,1.204
2024-06-06,1.2,1.44,1.1804,1.332,100300,1.332
2024-06-07,1.2448,1.2448,1.2,1.24,5725,1.24
2024-06-10,1.28,1.28,1.1828,1.1828,4600,1.1828
2024-06-11,1.16,1.24,1.0604,1.16,10050,1.16
2024-06-12,1.16,1.24,1.12,1.24,31900,1.24
2024-06-13,1.1396,1.14,1.08,1.088,18150,1.088
2024-06-14,1.14,1.14,1.088,1.1232,18600,1.1232
2024-06-17,1.06,1.16,1.0004,1.0004,30325,1.0004
2024-06-18,1.0008,1.08,1.0,1.04,37400,1.04
2024-06-20,1.08,1.196,1.0,1.1364,15725,1.1364
2024-06-21,1.132,1.32,1.1288,1.156,55500,1.156
2024-06-24,1.04,1.16,1.0244,1.08,4850,1.08
2024-06-25,1.0244,1.0244,1.008,1.008,7450,1.008
2024-06-26,1.0004,1.02,1.0,1.0,3625,1.0
2024-06-27,1.08,1.08,1.0,1.068,6375,1.068
2024-06-28,1.08,1.08,1.068,1.08,1575,1.08
2024-07-01,1.0,1.08,0.94,0.994,16050,0.994
2024-07-02,1.0,1.0,1.0,1.0,7625,1.0
2024-07-03,1.08,1.08,1.04,1.04,6625,1.04
2024-07-05,1.12,1.1992,1.12,1.18,29600,1.18
2024-07-08,1.15,1.2,1.08,1.12,49400,1.12
2024-07-09,1.12,1.2,1.1,1.2,8350,1.2
2024-07-10,1.2,1.2,1.14,1.2,18700,1.2
2024-07-11,1.32,1.32,1.2,1.2,23700,1.2
2024-07-12,1.2236,1.2236,1.2,1.2,6975,1.2
2024-07-15,1.2,1.2,1.1396,1.1396,15675,1.1396
2024-07-16,1.1,1.24,1.08,1.24,8975,1.24
2024-07-17,1.16,1.24,1.1,1.16,25375,1.16
2024-07-18,1.116,1.12,1.0,1.04,15600,1.04
2024-07-19,1.0136,1.08,1.0008,1.08,2450,1.08
2024-07-22,1.18,1.18,1.0,1.08,18925,1.08
2024-07-23,1.04,1.08,1.012,1.012,5550,1.012
2024-07-24,1.08,1.1,1.02,1.02,14750,1.02
2024-07-25,1.0,1.06,0.96,1.02,35700,1.02
2024-07-26,1.0,1.04,0.96,1.04,6500,1.04
2024-07-29,1.032,1.032,0.96,1.0,11825,1.0
2024-07-30,0.98,1.0244,0.96,1.0,8450,1.0
2024-07-31,1.0404,1.08,1.0404,1.08,4550,1.08
2024-08-01,0.9608,1.0144,0.96,0.96,19950,0.96
2024-08-02,0.96,0.9604,0.94,0.94,15100,0.94
2024-08-05,0.96,1.0396,0.842,0.892,18025,0.892
2024-08-06,0.9192,0.92,0.8804,0.8804,53425,0.8804
2024-08-07,0.92,0.964,0.84,0.84,20275,0.84
2024-08-08,0.88,0.88,0.7804,0.88,13275,0.88
2024-08-09,0.9,0.9,0.8824,0.8852,6125,0.8852
2024-08-12,0.1328,0.94,0.1328,0.94,700,0.94
2024-08-13,0.72,0.8544,0.56,0.848,28625,0.848
2024-08-14,0.76,0.832,0.76,0.832,40450,0.832
2024-08-15,0.7968,0.88,0.7828,0.8404,11650,0.8404
2024-08-16,0.92,1.078,0.84,1.04,68075,1.04
2024-08-19,1.0444,1.08,1.0224,1.024,8125,1.024
2024-08-20,1.1192,1.1192,1.0492,1.0492,11400,1.0492
2024-08-21,1.0584,1.08,1.0408,1.08,29375,1.08
2024-08-22,1.08,1.08,1.0312,1.06,17875,1.06
2024-08-23,1.07,1.1192,1.07,1.1192,27050,1.1192
2024-08-26,1.024,1.06,1.0,1.0,16175,1.0
2024-08-27,1.0148,1.016,0.9816,0.9816,10750,0.9816
2024-08-28,0.9652,1.016,0.8552,0.8552,8950,0.8552
2024-08-29,0.9788,0.9788,0.856,0.8956,35225,0.8956
2024-08-30,0.9196,0.9196,0.9036,0.9036,4525,0.9036
2024-09-03,0.9188,0.9192,0.7804,0.824,22750,0.824
2024-09-04,0.8136,0.8452,0.7524,0.8452,15475,0.8452
2024-09-05,0.8276,0.8368,0.8176,0.8368,11625,0.8368
2024-09-06,0.8128,0.8656,0.7432,0.8656,4150,0.8656
2024-09-09,0.7668,0.9032,0.7,0.7828,168700,0.7828
2024-09-10,0.8,0.808,0.7268,0.7268,12225,0.7268
2024-09-11,0.8228,0.832,0.8228,0.828,6850,0.828
2024-09-12,0.8072,0.9524,0.8072,0.95,43650,0.95
