date,open,high,low,close,volume,adj_close
2024-05-20,7.84,8.14,7.84,8.07,114500,8.07
2024-05-21,8.0,8.17,7.93,8.09,77100,8.09
2024-05-22,8.14,8.35,8.07,8.09,71700,8.09
2024-05-23,8.1,8.1,7.826,7.87,65600,7.87
2024-05-24,7.95,8.29,7.82,8.09,64600,8.09
2024-05-28,8.05,8.05,7.86,7.96,39000,7.96
2024-05-29,7.79,7.94,7.71,7.77,49300,7.77
2024-05-30,7.71,7.83,7.57,7.72,69200,7.72
2024-05-31,7.73,7.73,7.47,7.69,144300,7.69
2024-06-03,7.73,7.8,7.47,7.53,237400,7.53
2024-06-04,7.43,7.86,7.43,7.8,125200,7.8
2024-06-05,7.81,8.03,7.79,7.99,103300,7.99
2024-06-06,7.95,8.1,7.655,7.71,174000,7.71
2024-06-07,7.58,7.7,7.41,7.69,151100,7.69
2024-06-10,7.59,7.92,7.56,7.84,97000,7.84
2024-06-11,7.84,7.84,7.42,7.53,180000,7.53
2024-06-12,7.65,7.99,7.65,7.88,88900,7.88
2024-06-13,7.81,7.88,7.684,7.86,67000,7.86
2024-06-14,7.77,7.79,7.65,7.71,68300,7.71
2024-06-17,7.68,7.79,7.63,7.71,46900,7.71
2024-06-18,7.66,7.76,7.48,7.5,55000,7.5
2024-06-20,7.55,8.04,7.55,7.65,143200,7.65
2024-06-21,7.65,7.67,7.46,7.47,61500,7.47
2024-06-24,7.48,7.875,7.44,7.8,325700,7.8
2024-06-25,7.88,7.88,7.55,7.55,32800,7.55
2024-06-26,7.57,7.64,7.43,7.51,63600,7.51
2024-06-27,7.52,7.73,7.455,7.63,84600,7.63
2024-06-28,7.71,7.77,7.62,7.77,65600,7.77
2024-07-01,7.78,7.78,7.37,7.5,58600,7.5
2024-07-02,7.52,7.545,7.28,7.38,157600,7.38
2024-07-03,7.39,7.57,7.38,7.41,27100,7.41
2024-07-05,7.35,7.5,7.19,7.19,39400,7.19
2024-07-08,7.24,7.48,7.17,7.21,52500,7.21
2024-07-09,7.17,7.2,6.74,6.85,85700,6.85
2024-07-10,6.9,6.905,6.44,6.6,174800,6.6
2024-07-11,6.7,6.82,6.51,6.55,150200,6.55
2024-07-12,6.6,6.69,6.48,6.5,125900,6.5
2024-07-15,6.48,7.25,6.48,7.02,476300,7.02
2024-07-16,7.02,7.25,6.93,7.08,89000,7.08
2024-07-17,7.0,7.2,6.8,7.2,222200,7.2
2024-07-18,7.21,7.37,7.203,7.3,56100,7.3
2024-07-19,7.3,7.3,6.88,6.9,63200,6.9
2024-07-22,6.96,7.01,6.8,6.9,141300,6.9
2024-07-23,6.97,7.05,6.87,6.87,53900,6.87
2024-07-24,6.8,6.845,6.5,6.5,173400,6.5
2024-07-25,6.57,6.87,6.38,6.82,78700,6.82
2024-07-26,6.77,6.85,6.51,6.68,171800,6.68
2024-07-29,6.67,6.67,6.28,6.4,186200,6.4
2024-07-30,6.42,6.58,6.18,6.3,175000,6.3
2024-07-31,6.4,6.42,5.95,6.13,434300,6.13
2024-08-01,6.18,6.39,6.108,6.34,107900,6.34
2024-08-02,6.14,6.33,6.08,6.16,113800,6.16
2024-08-05,5.85,6.16,5.71,5.94,138000,5.94
2024-08-06,6.0,6.35,5.89,6.29,211700,6.29
2024-08-07,7.03,7.61,7.005,7.44,361200,7.44
2024-08-08,7.61,7.98,7.26,7.92,340400,7.92
2024-08-09,8.0,8.02,7.64,7.8,183600,7.8
2024-08-12,7.79,8.066,7.79,8.0,294500,8.0
2024-08-13,8.03,8.339,7.9,8.04,325000,8.04
2024-08-14,8.05,8.07,7.86,7.99,131200,7.99
2024-08-15,7.95,8.4,7.91,8.28,322200,8.28
2024-08-16,8.23,8.42,8.09,8.16,110200,8.16
2024-08-19,8.13,8.27,8.04,8.11,369600,8.11
2024-08-20,8.15,8.59,8.1,8.52,358200,8.52
2024-08-21,8.6,9.17,8.58,8.9,388400,8.9
2024-08-22,8.85,9.02,8.75,8.79,131500,8.79
2024-08-23,8.85,8.96,8.53,8.7,99300,8.7
2024-08-26,8.7,9.09,8.53,9.02,396800,9.02
2024-08-27,9.04,9.56,8.99,9.49,892100,9.49
2024-08-28,9.53,9.65,9.13,9.18,218300,9.18
2024-08-29,9.3,9.7,9.27,9.46,196800,9.46
2024-08-30,9.41,9.65,9.25,9.43,342400,9.43
2024-09-03,9.46,9.5,9.0,9.1,206400,9.1
2024-09-04,9.0,9.345,9.0,9.16,169300,9.16
2024-09-05,9.16,9.175,8.86,9.11,141500,9.11
2024-09-06,9.13,9.26,8.86,8.93,118200,8.93
2024-09-09,8.91,9.175,8.9,8.99,282800,8.99
2024-09-10,8.98,9.42,8.98,9.42,410600,9.42
2024-09-11,9.22,9.66,9.22,9.51,212800,9.51
2024-09-12,9.43,9.65,9.33,9.57,181600,9.57
2024-09-13,8.45,8.5,8.0,8.16,1931200,8.16
2024-09-16,8.2,8.394,8.015,8.1,561900,8.1
2024-09-17,8.06,8.54,8.05,8.41,414100,8.41
2024-09-18,8.44,8.57,8.23,8.32,147500,8.32
2024-09-19,8.49,8.71,8.445,8.56,657200,8.56
2024-09-20,8.56,8.69,8.36,8.68,326300,8.68
2024-09-23,8.72,8.72,8.4,8.48,204800,8.48
2024-09-24,8.52,8.72,8.28,8.7,180600,8.7
2024-09-25,8.7,8.85,8.57,8.83,173100,8.83
2024-09-26,8.88,9.04,8.64,9.04,196000,9.04
2024-09-27,9.03,9.03,8.71,8.8,157900,8.8
2024-09-30,8.8,8.85,8.6,8.84,235600,8.84
2024-10-01,8.84,8.95,8.39,8.4,161300,8.4
2024-10-02,8.41,8.71,8.26,8.62,165800,8.62
2024-10-03,8.58,8.65,8.42,8.52,133800,8.52
2024-10-04,8.61,8.63,8.36,8.5,238600,8.5
2024-10-07,8.52,8.74,8.49,8.72,184500,8.72
2024-10-08,8.72,9.0,8.54,8.62,152000,8.62
2024-10-09,8.56,8.7,8.395,8.66,133400,8.66
2024-10-10,8.51,8.64,8.39,8.61,93600,8.61
2024-10-11,8.54,8.99,8.54,8.91,123900,8.91
2024-10-14,8.99,9.112,8.77,8.96,177500,8.96
2024-10-15,8.95,9.22,8.795,9.13,145500,9.13
2024-10-16,9.12,9.12,8.87,8.9,143200,8.9
2024-10-17,8.9,9.1,8.731,8.98,210800,8.98
2024-10-18,9.1,9.24,8.93,9.17,92300,9.17
2024-10-21,9.34,9.49,9.15,9.16,158800,9.16
2024-10-22,8.96,9.14,8.84,9.06,125300,9.06
2024-10-23,9.03,9.04,8.64,8.73,167600,8.73
2024-10-24,8.74,8.8,8.58,8.64,81200,8.64
2024-10-25,8.67,8.82,8.585,8.78,107000,8.78
2024-10-28,8.95,9.24,8.95,9.08,231800,9.08
2024-10-29,9.01,9.12,8.98,9.07,105000,9.07
2024-10-30,9.02,9.17,8.95,8.97,93300,8.97
2024-10-31,8.99,8.99,8.665,8.71,107400,8.71
2024-11-01,8.8,8.85,8.62,8.71,113600,8.71
2024-11-04,8.69,8.81,8.555,8.65,131100,8.65
2024-11-05,8.67,8.89,8.52,8.57,193400,8.57
2024-11-06,8.96,9.19,8.792,9.19,149100,9.19
2024-11-07,9.21,9.69,9.19,9.58,342100,9.58
2024-11-08,9.66,10.0,9.585,9.95,307900,9.95
2024-11-11,10.0,10.57,9.85,10.48,712200,10.48
2024-11-12,10.56,10.9,10.45,10.7,749200,10.7
2024-11-13,10.52,11.275,10.19,11.12,857700,11.12
2024-11-14,11.14,11.88,11.14,11.85,859200,11.85
2024-11-15,11.83,11.95,11.43,11.51,465700,11.51
2024-11-18,11.5,12.09,11.5,11.9,955300,11.9
2024-11-19,11.88,12.045,11.765,11.9,515900,11.9
2024-11-20,11.91,12.31,11.74,12.23,588800,12.23
2024-11-21,12.28,12.72,12.21,12.5,810000,12.5
2024-11-22,12.66,12.89,12.522,12.57,338900,12.57
2024-11-25,12.73,12.99,12.44,12.8,918100,12.8
2024-11-26,11.86,12.58,11.8,12.28,1089700,12.28
2024-11-27,12.45,12.62,12.09,12.57,561900,12.57
2024-11-29,12.54,12.69,12.24,12.41,206300,12.41
2024-12-02,12.3,12.42,11.965,12.3,453600,12.3
2024-12-03,12.21,12.47,12.055,12.43,602700,12.43
2024-12-04,12.38,13.14,12.306,13.06,1009800,13.06
2024-12-05,12.98,13.28,12.78,13.04,388200,13.04
2024-12-06,13.19,13.41,12.68,12.8,402800,12.8
2024-12-09,12.74,12.82,12.29,12.4,383600,12.4
2024-12-10,12.27,12.64,12.16,12.18,250200,12.18
2024-12-11,12.3,13.4,12.28,13.37,1072900,13.37
2024-12-12,13.31,13.525,12.934,13.0,462800,13.0
2024-12-13,12.95,13.25,12.64,12.78,285600,12.78
2024-12-16,12.73,13.28,12.675,13.15,292600,13.15
2024-12-17,12.98,13.52,12.56,13.48,611200,13.48
2024-12-18,13.32,14.19,13.29,13.67,1300700,13.67
2024-12-19,13.8,14.29,13.565,14.07,951700,14.07
2024-12-20,13.8,14.72,13.68,14.56,932100,14.56
2024-12-23,14.57,14.84,14.205,14.66,499900,14.66
2024-12-24,14.71,14.81,14.405,14.53,134100,14.53
2024-12-26,14.39,14.73,14.15,14.67,246200,14.67
2024-12-27,14.59,14.71,13.84,14.38,274200,14.38
2024-12-30,14.28,14.52,14.05,14.15,371400,14.15
2024-12-31,14.15,14.37,14.03,14.17,348000,14.17
2025-01-02,14.0,14.41,13.6,13.99,436800,13.99
2025-01-03,14.0,14.662,13.945,14.51,338400,14.51
2025-01-06,14.54,14.88,14.166,14.86,499400,14.86
2025-01-07,14.86,14.9,14.36,14.9,463400,14.9
2025-01-08,14.86,15.1,14.5,14.87,534900,14.87
2025-01-10,14.6,14.92,14.43,14.43,400100,14.43
2025-01-13,14.2,14.23,13.69,14.12,329200,14.12
2025-01-14,14.29,15.29,14.0,15.12,911800,15.12
2025-01-15,15.8,16.1,15.24,16.07,1630700,16.07
2025-01-16,15.95,16.33,15.585,15.77,963800,15.77
2025-01-17,15.95,16.025,15.45,15.64,491600,15.64
2025-01-21,15.52,15.74,14.17,15.6,838200,15.6
2025-01-22,15.76,16.03,15.44,15.63,923300,15.63
2025-01-23,15.63,16.19,15.53,16.05,597200,16.05
2025-01-24,15.83,16.67,15.74,16.67,901500,16.67
2025-01-27,15.68,16.405,15.34,15.77,512300,15.77
2025-01-28,15.94,16.71,15.752,16.66,504500,16.66
2025-01-29,16.76,16.88,16.28,16.51,634500,16.51
2025-01-30,16.6,17.39,16.6,17.01,494000,17.01
2025-01-31,17.14,17.29,15.96,16.21,607400,16.21
2025-02-03,16.45,17.046,16.29,16.68,683100,16.68
2025-02-04,16.95,17.5,16.7,17.32,617700,17.32
2025-02-05,17.43,17.56,17.14,17.46,499200,17.46
2025-02-06,17.36,17.507,17.0,17.27,429500,17.27
2025-02-07,17.45,17.45,17.0,17.08,755300,17.08
2025-02-10,17.6,17.64,17.02,17.07,530400,17.07
2025-02-11,17.34,17.34,16.52,16.78,1004900,16.78
2025-02-12,10.665,12.33,9.5,11.87,6860500,11.87
2025-02-13,11.89,12.01,10.52,10.59,2282400,10.59
2025-02-14,10.56,11.05,10.51,10.76,1109500,10.76
2025-02-18,10.84,10.84,10.26,10.31,1226400,10.31
2025-02-19,10.415,10.645,9.95,10.12,1132100,10.12
2025-02-20,10.07,10.29,9.835,9.91,791600,9.91
2025-02-21,9.95,9.95,9.52,9.52,631300,9.52
2025-02-24,9.52,9.63,9.221,9.45,500600,9.45
2025-02-25,9.49,9.62,9.02,9.49,716700,9.49
2025-02-26,9.57,10.18,9.52,9.92,750900,9.92
2025-02-27,9.91,10.095,9.405,9.41,799000,9.41
2025-02-28,9.27,9.55,9.12,9.54,527100,9.54
2025-03-03,9.65,9.675,9.063,9.11,468700,9.11
2025-03-04,9.0,9.32,8.77,9.23,625000,9.23
2025-03-05,9.25,9.59,9.01,9.51,418000,9.51
2025-03-06,9.53,9.68,9.11,9.25,536000,9.25
2025-03-07,9.2,9.637,8.82,9.08,673300,9.08
2025-03-10,8.77,9.28,8.73,9.0,832600,9.0
2025-03-11,8.95,9.19,8.74,8.82,452300,8.82
2025-03-12,9.12,9.217,8.74,8.89,328700,8.89
2025-03-13,8.79,8.85,8.5,8.66,439700,8.66
2025-03-14,8.78,9.155,8.72,9.05,380500,9.05
2025-03-17,9.03,9.47,9.006,9.3,387500,9.3
2025-03-18,9.31,9.32,8.96,9.07,401400,9.07
2025-03-19,9.06,9.36,9.0,9.2,230100,9.2
2025-03-20,9.16,9.28,9.07,9.15,328900,9.15
2025-03-21,9.01,9.18,8.835,9.01,298600,9.01
2025-03-24,9.21,9.27,9.095,9.2,225200,9.2
2025-03-25,9.22,9.34,9.04,9.1,255500,9.1
2025-03-26,9.08,9.17,8.69,8.84,285700,8.84
2025-03-27,8.8,8.905,8.575,8.59,262800,8.59
2025-03-28,8.59,8.7,8.27,8.36,236000,8.36
2025-03-31,8.33,8.45,8.0,8.27,474800,8.27
2025-04-01,8.28,8.59,8.22,8.34,310800,8.34
2025-04-02,8.1,8.51,8.08,8.23,376200,8.23
2025-04-03,7.86,7.94,7.5,7.61,477700,7.61
2025-04-04,7.35,7.38,6.84,6.94,794100,6.94
2025-04-07,6.73,7.36,6.605,6.99,352600,6.99
2025-04-08,7.2,7.25,6.585,6.63,472800,6.63
2025-04-09,6.4,7.38,6.36,7.34,451900,7.34
2025-04-10,7.18,7.25,6.755,6.86,248100,6.86
2025-04-11,6.78,6.98,6.66,6.96,394900,6.96
2025-04-14,7.14,7.178,6.84,6.88,229400,6.88
2025-04-15,6.84,7.14,6.84,6.97,359400,6.97
2025-04-16,6.84,6.925,6.66,6.72,381700,6.72
2025-04-17,6.76,6.85,6.62,6.85,635900,6.85
2025-04-21,6.75,6.806,6.47,6.5,284700,6.5
2025-04-22,6.62,6.93,6.56,6.75,431400,6.75
2025-04-23,7.1,7.29,6.965,7.14,422800,7.14
2025-04-24,7.17,7.69,7.1,7.63,376900,7.63
2025-04-25,7.58,7.86,7.55,7.74,361400,7.74
2025-04-28,7.74,7.81,7.388,7.51,160100,7.51
2025-04-29,7.46,7.77,7.46,7.57,219700,7.57
2025-04-30,7.43,7.54,7.29,7.54,372500,7.54
2025-05-01,7.63,7.7,7.55,7.59,280700,7.59
2025-05-02,7.72,7.769,7.58,7.63,250600,7.63
2025-05-05,7.58,7.72,7.47,7.57,310000,7.57
2025-05-06,7.44,7.55,7.342,7.45,348800,7.45
2025-05-07,7.47,7.59,7.4,7.45,381500,7.45
2025-05-08,7.58,7.72,7.42,7.44,475300,7.44
2025-05-09,7.51,7.68,7.4,7.65,461100,7.65
2025-05-12,8.06,8.1,7.85,8.05,432600,8.05
2025-05-13,8.04,8.17,7.856,8.17,742000,8.17
2025-05-14,7.395,8.305,7.332,7.67,781200,7.67
2025-05-15,7.4,7.58,7.12,7.36,1912200,7.36
2025-05-16,7.35,7.61,7.211,7.32,1197700,7.32
2025-05-19,7.1,7.46,7.1,7.38,1569100,7.38
2025-05-20,7.35,7.523,7.25,7.4,728700,7.4
2025-05-21,7.36,7.52,7.17,7.26,662400,7.26
2025-05-22,7.26,7.73,7.19,7.54,2726100,7.54
2025-05-23,7.4,7.66,7.31,7.52,1013600,7.52
2025-05-27,7.63,7.85,7.63,7.7,617900,7.7
2025-05-28,7.74,7.82,7.5,7.51,320200,7.51
2025-05-29,7.58,7.615,7.35,7.41,463800,7.41
2025-05-30,7.38,7.655,7.22,7.42,849000,7.42
2025-06-02,7.45,7.48,7.175,7.29,465300,7.29
2025-06-03,7.21,7.42,6.94,7.41,464100,7.41
2025-06-04,7.42,7.59,7.42,7.56,231400,7.56
2025-06-05,7.74,8.1,7.73,7.98,521000,7.98
2025-06-06,8.04,8.09,7.87,7.89,273900,7.89
2025-06-09,8.27,8.515,8.19,8.22,687600,8.22
2025-06-10,8.42,8.5,8.125,8.33,677400,8.33
2025-06-11,8.4,8.43,8.2,8.25,633600,8.25
2025-06-12,8.28,8.58,8.08,8.14,336400,8.14
2025-06-13,8.0,8.12,7.63,7.63,525000,7.63
2025-06-16,7.66,7.98,7.66,7.91,588000,7.91
2025-06-17,7.75,7.96,7.55,7.58,446300,7.58
2025-06-18,7.59,7.691,7.2,7.25,667200,7.25
2025-06-20,7.3,7.43,7.17,7.21,338400,7.21
2025-06-23,7.21,7.4,7.07,7.3,356700,7.3
2025-06-24,7.43,7.53,7.335,7.42,288300,7.42
2025-06-25,7.48,7.7,7.48,7.55,702200,7.55
2025-06-26,7.56,7.79,7.375,7.74,641600,7.74
2025-06-27,7.98,7.99,7.53,7.6,404400,7.6
2025-06-30,7.67,7.92,7.67,7.84,306900,7.84
2025-07-01,7.78,8.66,7.675,8.52,778400,8.52
2025-07-02,8.5,8.78,8.44,8.5,1093900,8.5
2025-07-03,8.53,8.84,8.335,8.84,372200,8.84
2025-07-07,8.82,9.1,8.602,8.8,865900,8.8
2025-07-08,8.83,8.96,8.53,8.82,467400,8.82
2025-07-09,8.87,8.97,8.62,8.78,383300,8.78
2025-07-10,9.06,9.19,8.55,8.68,438800,8.68
2025-07-11,8.62,8.74,8.16,8.28,505300,8.28
2025-07-14,8.27,8.495,8.23,8.32,469700,8.32
2025-07-15,8.36,8.56,8.2,8.2,335000,8.2
2025-07-16,8.24,8.36,8.15,8.29,237200,8.29
2025-07-17,8.31,8.49,8.11,8.36,842600,8.36
2025-07-18,8.45,8.7,8.31,8.57,504800,8.57
2025-07-21,8.63,8.99,8.6,8.78,561200,8.78
2025-07-22,8.78,9.03,8.7,8.98,421700,8.98
2025-07-23,9.0,9.24,8.815,9.19,455900,9.19
2025-07-24,9.17,9.26,8.75,8.75,522800,8.75
2025-07-25,8.77,9.02,8.62,8.65,309900,8.65
2025-07-28,8.74,8.97,8.67,8.84,205900,8.84
2025-07-29,8.86,9.03,8.56,8.68,210600,8.68
2025-07-30,8.74,8.775,8.45,8.56,297500,8.56
2025-07-31,8.56,8.67,8.31,8.36,227400,8.36
2025-08-01,8.01,8.19,7.89,7.91,627600,7.91
2025-08-04,7.89,8.05,7.81,7.93,408700,7.93
2025-08-05,7.99,8.095,7.35,7.37,565000,7.37
2025-08-06,7.45,7.759,7.41,7.57,477600,7.57
2025-08-07,7.63,7.68,7.36,7.56,464400,7.56
2025-08-08,7.57,7.65,7.08,7.16,644100,7.16
2025-08-11,7.13,7.36,6.86,6.87,555500,6.87
2025-08-12,6.94,7.23,6.85,7.1,643600,7.1
2025-08-13,8.47,8.5,7.63,8.43,1081800,8.43
2025-08-14,8.35,8.47,7.98,8.39,776100,8.39
2025-08-15,8.41,8.61,8.35,8.46,520900,8.46
2025-08-18,8.59,8.98,8.57,8.76,460000,8.76
2025-08-19,8.82,8.963,8.61,8.74,509900,8.74
2025-08-20,8.65,8.825,8.56,8.65,432900,8.65
2025-08-21,8.63,8.75,8.43,8.74,602900,8.74
2025-08-22,8.74,9.21,8.605,9.13,487900,9.13
2025-08-25,9.07,9.19,8.93,9.17,401700,9.17
2025-08-26,9.19,9.51,9.13,9.35,593600,9.35
2025-08-27,9.36,9.84,9.35,9.77,1098500,9.77
2025-08-28,9.88,10.75,9.81,10.4,848900,10.4
2025-08-29,10.4,10.658,10.22,10.39,635900,10.39
2025-09-02,9.52,9.71,9.05,9.71,1522200,9.71
2025-09-03,9.72,10.09,9.68,10.01,710500,10.01
2025-09-04,9.99,9.99,9.595,9.78,440800,9.78
2025-09-05,9.99,10.08,9.59,9.72,270800,9.72
2025-09-08,9.75,10.16,9.62,10.07,563200,10.07
2025-09-09,10.03,10.03,9.645,9.9,252800,9.9
2025-09-10,10.03,10.26,9.76,9.86,315100,9.86
2025-09-11,9.9,10.17,9.883,9.99,268900,9.99
2025-09-12,9.98,10.35,9.935,10.1,424900,10.1
2025-09-15,10.15,10.261,9.925,9.99,219200,9.99
2025-09-16,10.0,10.075,9.805,10.0,363100,10.0
2025-09-17,10.01,10.185,9.68,9.74,289200,9.74
2025-09-18,9.95,10.125,9.68,9.85,262100,9.85
2025-09-19,9.97,10.04,9.63,9.69,276400,9.69
2025-09-22,9.66,9.78,9.54,9.7,271200,9.7
2025-09-23,9.75,9.87,9.55,9.63,254100,9.63
2025-09-24,9.71,9.82,9.53,9.78,221400,9.78
2025-09-25,9.66,9.66,9.36,9.46,289600,9.46
2025-09-26,9.51,9.665,9.32,9.54,247500,9.54
2025-09-29,9.63,9.75,9.47,9.6,339300,9.6
2025-09-30,9.71,9.71,9.08,9.3,664800,9.3
2025-10-01,9.32,9.43,9.1,9.21,305000,9.21
2025-10-02,9.25,9.36,9.19,9.27,200000,9.27
2025-10-03,9.28,9.415,9.04,9.17,227800,9.17
2025-10-06,9.24,9.52,9.06,9.27,366400,9.27
2025-10-07,9.3,9.3,8.76,8.89,387100,8.89
2025-10-08,8.94,9.1,8.775,8.89,218200,8.89
2025-10-09,8.89,9.17,8.885,9.04,302500,9.04
2025-10-10,9.07,9.07,8.37,8.4,311800,8.4
2025-10-13,8.55,8.75,8.41,8.55,142100,8.55
2025-10-14,8.39,8.77,8.38,8.73,258400,8.73
2025-10-15,8.84,8.97,8.745,8.87,245500,8.87
2025-10-16,8.94,9.03,8.655,8.72,236100,8.72
2025-10-17,8.66,8.9,8.45,8.49,140800,8.49
2025-10-20,8.59,8.9,8.482,8.76,221600,8.76
2025-10-21,8.74,8.96,8.662,8.81,192700,8.81
2025-10-22,8.7,8.94,8.57,8.68,131700,8.68
2025-10-23,8.67,8.8,8.65,8.8,116300,8.8
2025-10-24,8.93,9.065,8.69,8.81,124400,8.81
2025-10-27,8.83,9.159,8.73,9.07,261000,9.07
2025-10-28,9.12,9.28,8.9,8.99,405300,8.99
2025-10-29,8.97,9.08,8.375,8.44,270100,8.44
2025-10-30,8.42,8.57,8.24,8.33,204200,8.33
2025-10-31,8.42,8.69,8.345,8.55,211700,8.55
2025-11-03,8.55,9.0,8.31,8.76,330500,8.76
2025-11-04,8.61,8.75,8.18,8.3,182500,8.3
2025-11-05,8.23,8.67,8.18,8.64,221900,8.64
2025-11-06,8.7,8.76,8.21,8.41,181700,8.41
2025-11-07,8.17,8.48,8.15,8.4,191600,8.4
2025-11-10,8.5,8.53,8.31,8.47,187500,8.47
2025-11-11,8.48,8.76,8.235,8.48,459300,8.48
2025-11-12,7.2,7.875,7.045,7.82,714800,7.82
