date,open,high,low,close,volume,adj_close
2024-05-20,10.56,10.63,10.31,10.62,431600,10.62
2024-05-21,10.62,10.64,10.46,10.57,300500,10.57
2024-05-22,10.44,10.47,10.28,10.36,180400,10.36
2024-05-23,10.27,10.32,10.03,10.03,224100,10.03
2024-05-24,10.05,10.11,10.04,10.06,114600,10.06
2024-05-28,10.26,10.39,10.22,10.33,191800,10.33
2024-05-29,10.21,10.22,10.12,10.19,112000,10.19
2024-05-30,10.06,10.17,10.05,10.05,173300,10.05
2024-05-31,10.16,10.17,9.85,10.0,302200,10.0
2024-06-03,10.0,10.06,9.91,9.96,105700,9.96
2024-06-04,9.95,9.95,9.78,9.83,100300,9.83
2024-06-05,9.87,9.87,9.78,9.84,273100,9.84
2024-06-06,9.85,9.88,9.79,9.8,304600,9.8
2024-06-07,9.69,9.69,9.5,9.54,252700,9.54
2024-06-10,9.54,9.6,9.47,9.55,168600,9.55
2024-06-11,9.44,9.44,9.36,9.39,131800,9.39
2024-06-12,9.5,9.54,9.4,9.4,293200,9.4
2024-06-13,9.39,9.43,9.26,9.33,117800,9.33
2024-06-14,9.29,9.42,9.27,9.35,117100,9.35
2024-06-17,9.36,9.46,9.32,9.43,163500,9.43
2024-06-18,9.39,9.48,9.32,9.48,118200,9.48
2024-06-20,9.55,9.66,9.49,9.58,284400,9.58
2024-06-21,9.97,9.97,9.56,9.61,619500,9.61
2024-06-24,9.82,9.94,9.7,9.7,208000,9.7
2024-06-25,9.66,9.66,9.48,9.52,90000,9.52
2024-06-26,9.55,9.66,9.46,9.66,153500,9.66
2024-06-27,9.61,9.64,9.54,9.61,151500,9.61
2024-06-28,9.83,9.87,9.77,9.77,169300,9.77
2024-07-01,9.8,9.88,9.68,9.75,86300,9.75
2024-07-02,9.91,10.03,9.91,9.97,163500,9.97
2024-07-03,10.09,10.23,9.96,10.04,302000,10.04
2024-07-05,10.17,10.24,10.11,10.17,149800,10.17
2024-07-08,10.07,10.07,9.91,9.98,101400,9.98
2024-07-09,9.92,9.94,9.7,9.77,145300,9.77
2024-07-10,9.9,9.9,9.81,9.89,109300,9.89
2024-07-11,9.9,10.02,9.89,9.97,106500,9.97
2024-07-12,9.78,9.86,9.7,9.82,155400,9.82
2024-07-15,9.75,9.88,9.69,9.76,110100,9.76
2024-07-16,9.66,9.83,9.6,9.83,175700,9.83
2024-07-17,9.93,9.93,9.74,9.78,107400,9.78
2024-07-18,9.77,9.77,9.51,9.51,182700,9.51
2024-07-19,9.49,9.53,9.41,9.49,77900,9.49
2024-07-22,9.34,9.39,9.29,9.35,148900,9.35
2024-07-23,9.36,9.45,9.34,9.45,116900,9.45
2024-07-24,9.45,9.58,9.4,9.41,115800,9.41
2024-07-25,9.26,9.32,9.03,9.22,233000,9.22
2024-07-26,9.18,9.24,9.13,9.21,140900,9.21
2024-07-29,9.33,9.36,9.26,9.31,74200,9.31
2024-07-30,9.32,9.32,9.21,9.3,124900,9.3
2024-07-31,9.48,9.55,9.42,9.46,269500,9.46
2024-08-01,9.4,9.43,9.26,9.29,93800,9.29
2024-08-02,9.3,9.3,9.13,9.15,230600,9.15
2024-08-05,8.75,8.87,8.69,8.71,193200,8.71
2024-08-06,8.73,8.94,8.73,8.88,85700,8.88
2024-08-07,9.04,9.11,8.89,8.93,134900,8.93
2024-08-08,9.07,9.18,9.07,9.17,118000,9.17
2024-08-09,9.19,9.19,9.0,9.01,68500,9.01
2024-08-12,9.18,9.27,9.15,9.18,90400,9.18
2024-08-13,9.2,9.3,9.2,9.27,51400,9.27
2024-08-14,9.28,9.28,9.13,9.19,53100,9.19
2024-08-15,9.36,9.43,9.3,9.36,90300,9.36
2024-08-16,9.37,9.43,9.27,9.41,113100,9.41
2024-08-19,9.25,9.38,9.22,9.37,89000,9.37
2024-08-20,9.45,9.45,9.25,9.26,77500,9.26
2024-08-21,9.57,9.57,9.46,9.51,223300,9.51
2024-08-22,9.5,9.5,9.27,9.33,210800,9.33
2024-08-23,9.4,9.57,9.37,9.57,247900,9.57
2024-08-26,9.66,9.72,9.55,9.62,140300,9.62
2024-08-27,9.58,9.68,9.52,9.65,94100,9.65
2024-08-28,9.46,9.47,9.33,9.35,119200,9.35
2024-08-29,9.4,9.6,9.4,9.48,114400,9.48
2024-08-30,9.48,9.49,9.37,9.41,72900,9.41
2024-09-03,9.3,9.31,9.06,9.13,139300,9.13
2024-09-04,9.14,9.24,9.09,9.16,61600,9.16
2024-09-05,9.3,9.38,9.25,9.29,62900,9.29
2024-09-06,9.31,9.36,9.04,9.12,135700,9.12
2024-09-09,9.29,9.41,9.28,9.4,51100,9.4
2024-09-10,9.45,9.5,9.37,9.49,54900,9.49
