date,open,high,low,close,volume,adj_close
2026-02-27,9.85,9.88,9.85,9.88,202800,9.88
2026-03-02,9.87,9.88,9.86,9.88,1559100,9.88
2026-03-03,9.85,9.89,9.85,9.88,689900,9.88
2026-03-04,9.89,9.89,9.88,9.88,503200,9.88
2026-03-05,9.88,9.89,9.87,9.88,66600,9.88
2026-03-06,9.88,9.88,9.88,9.88,0,9.88
2026-03-09,9.89,9.89,9.88,9.88,497200,9.88
2026-03-10,9.88,9.89,9.87,9.87,156700,9.87
2026-03-11,9.87,9.89,9.86,9.87,520800,9.87
2026-03-12,9.87,9.87,9.87,9.87,95600,9.87
2026-03-13,9.87,9.89,9.86,9.86,422700,9.86
2026-03-16,9.87,9.89,9.87,9.87,112700,9.87
2026-03-17,9.87,9.88,9.86,9.86,96600,9.86
2026-03-18,9.87,9.87,9.87,9.87,13900,9.87
2026-03-19,9.87,9.88,9.87,9.88,25100,9.88
2026-03-20,9.87,9.9,9.87,9.9,64400,9.9
2026-03-23,9.89,9.89,9.89,9.89,9600,9.89
2026-03-24,9.88,9.89,9.88,9.89,7900,9.89
2026-03-25,9.88,9.9,9.88,9.9,212400,9.9
2026-03-26,9.88,9.89,9.86,9.87,73900,9.87
2026-03-27,9.88,9.89,9.88,9.88,341700,9.88
2026-03-30,9.9,9.9,9.88,9.89,900,9.89
2026-03-31,9.9,9.9,9.9,9.9,400,9.9
2026-04-01,9.9,9.9,9.9,9.9,300,9.9
2026-04-02,9.9,9.9,9.9,9.9,200,9.9
2026-04-06,9.89,9.89,9.89,9.89,3900,9.89
2026-04-07,9.9,9.91,9.9,9.91,58400,9.91
2026-04-08,9.91,9.91,9.91,9.91,100,9.91
2026-04-09,9.9,9.91,9.89,9.91,3200,9.91
2026-04-10,9.91,9.92,9.91,9.92,300,9.92
2026-04-13,9.91,9.92,9.9,9.92,25000,9.92
2026-04-14,9.91,9.92,9.91,9.92,1000,9.92
2026-04-15,9.92,9.92,9.91,9.91,4400,9.91
2026-04-16,9.92,9.92,9.91,9.92,59500,9.92
2026-04-17,9.92,9.92,9.92,9.92,300,9.92
2026-04-20,9.91,9.92,9.91,9.91,28500,9.91
2026-04-21,9.92,9.92,9.92,9.92,500,9.92
2026-04-22,9.92,9.92,9.91,9.91,2400,9.91
2026-04-23,9.92,9.92,9.92,9.92,92100,9.92
2026-04-24,9.92,9.93,9.92,9.92,257100,9.92
2026-04-27,9.93,9.94,9.92,9.94,129100,9.94
2026-04-28,9.94,9.94,9.94,9.94,300,9.94
2026-04-29,9.94,9.94,9.93,9.93,36100,9.93
2026-04-30,9.94,9.94,9.91,9.91,3300,9.91
2026-05-01,9.91,9.91,9.91,9.91,0,9.91
2026-05-04,9.93,9.94,9.93,9.94,801800,9.94
2026-05-05,9.94,9.94,9.94,9.94,0,9.94
2026-05-06,9.92,9.92,9.92,9.92,300,9.92
2026-05-07,9.93,9.94,9.92,9.94,6300,9.94
2026-05-08,9.94,9.94,9.94,9.94,2100,9.94
2026-05-11,9.94,9.94,9.94,9.94,59900,9.94
2026-05-12,9.94,9.94,9.94,9.94,61100,9.94
2026-05-13,9.95,9.95,9.95,9.95,2700,9.95
2026-05-14,9.95,9.95,9.95,9.95,2000,9.95
2026-05-15,9.95,9.95,9.95,9.95,0,9.95
2026-05-18,9.95,9.96,9.95,9.95,105100,9.95
2026-05-19,9.95,9.96,9.95,9.96,5400,9.96
2026-05-20,9.95,9.95,9.94,9.94,3100,9.94
2026-05-21,9.95,9.95,9.95,9.95,2100,9.95
2026-05-22,9.95,9.97,9.95,9.96,43900,9.96
2026-05-26,9.97,9.97,9.95,9.97,210500,9.97
2026-05-27,9.97,9.97,9.95,9.95,2400,9.95
2026-05-28,9.96,9.96,9.96,9.96,200,9.96
2026-05-29,9.98,9.98,9.98,9.98,5100,9.98
2026-06-01,9.99,10.0,9.98,9.99,2155700,9.99
2026-06-02,9.99,10.0,9.98,9.99,521900,9.99
2026-06-03,9.99,10.0,9.99,9.99,121723,9.99
2026-06-04,9.99,10.0,9.98,9.98,111200,9.98
2026-06-05,9.99,10.0,9.98,10.0,142500,10.0
