date,open,high,low,close,volume,adj_close
2024-05-20,1452.0,1643.4,1366.2,1636.8,67,1636.8
2024-05-21,1584.0,1960.2,1491.6,1636.8,113,1636.8
2024-05-22,1656.6,1782.0,1518.0,1669.8,1593,1669.8
2024-05-23,1782.0,1782.0,1214.4,1254.0,1235,1254.0
2024-05-24,1320.0,1570.8,1148.4,1412.4,5127,1412.4
2024-05-28,4507.7998,5445.0,2983.2,3412.2,45966,3412.2
2024-05-29,2494.8,3102.0,2336.3999,2996.3999,2860,2996.3999
2024-05-30,4943.3999,5174.3999,2659.8,3154.8,19511,3154.8
2024-05-31,3352.8,3550.8,2488.2,2521.2,2890,2521.2
2024-06-03,2508.0,2580.6001,2244.0,2521.2,908,2521.2
2024-06-04,2244.0,2475.0,2211.0,2422.2,702,2422.2
2024-06-05,2244.0,2310.0,1999.8,2217.6001,586,2217.6001
2024-06-06,2046.0,2131.8,1933.8,1953.6,458,1953.6
2024-06-07,1848.0,1907.4,1821.6,1841.4,227,1841.4
2024-06-10,1834.8,1914.0,1775.4,1815.0,155,1815.0
2024-06-11,1815.0,2151.6001,1815.0,2046.0,336,2046.0
2024-06-12,2046.0,2098.8,1947.0,1973.4,165,1973.4
2024-06-13,2831.3999,2904.0,2178.0,2362.8,15041,2362.8
2024-06-14,2112.0,2376.0,2092.2,2270.3999,790,2270.3999
2024-06-17,2105.3999,2382.6001,2085.6001,2244.0,477,2244.0
2024-06-18,2178.0,2244.0,2098.8,2131.8,293,2131.8
2024-06-20,2092.2,2112.0,1834.8,1881.0,384,1881.0
2024-06-21,1881.0,1881.0,1689.6,1782.0,382,1782.0
2024-06-24,1782.0,1894.2,1749.0,1768.8,162,1768.8
2024-06-25,1755.6,1821.6,1689.6,1709.4,142,1709.4
2024-06-26,1709.4,1782.0,1610.4,1669.8,169,1669.8
2024-06-27,1656.6,1683.0,1491.6,1584.0,214,1584.0
2024-06-28,1564.2,1590.6,1498.2,1584.0,105,1584.0
2024-07-01,1584.0,1623.6,1531.2,1544.4,95,1544.4
2024-07-02,1531.2,1577.4,1491.6,1570.8,71,1570.8
2024-07-03,1570.8,1630.2,1498.2,1531.2,1813,1531.2
2024-07-05,1821.6,1834.8,1617.0,1702.8,3499,1702.8
2024-07-08,1524.6,1735.8,1524.6,1722.6,520,1722.6
2024-07-09,1650.0,1729.2,1623.6,1689.6,179,1689.6
2024-07-10,1650.0,1980.0,1650.0,1848.0,625,1848.0
2024-07-11,1762.2,1815.0,1716.0,1735.8,152,1735.8
2024-07-12,1742.4,1881.0,1676.4,1755.6,155,1755.6
2024-07-15,1716.0,1854.6,1716.0,1788.6,144,1788.6
2024-07-16,1735.8,1755.6,1669.8,1683.0,126,1683.0
2024-07-17,1650.0,1702.8,1161.6,1465.2,552,1465.2
2024-07-18,1498.2,1584.0,1353.0,1419.0,383,1419.0
2024-07-19,1445.4,1485.0,1339.8,1379.4,124,1379.4
2024-07-22,1392.6,1419.0,1346.4,1372.8,98,1372.8
2024-07-23,1386.0,1485.0,1359.6,1379.4,172,1379.4
2024-07-24,1386.0,1577.4,1346.4,1564.2,132,1564.2
2024-07-25,2178.0,2224.2,1630.2,1947.0,10467,1947.0
2024-07-26,1808.4,2171.3999,1808.4,1914.0,661,1914.0
2024-07-29,1947.0,2032.8,1854.6,1914.0,230,1914.0
2024-07-30,1907.4,1980.0,1848.0,1947.0,259,1947.0
2024-07-31,1848.0,2046.0,1610.4,2032.8,560,2032.8
2024-08-01,2006.4,2046.0,1828.2,1854.6,190,1854.6
2024-08-02,1795.2,1828.2,1650.0,1689.6,152,1689.6
2024-08-05,1603.8,1669.8,1432.2,1617.0,163,1617.0
2024-08-06,1755.6,1841.4,1650.0,1782.0,57,1782.0
2024-08-07,1755.6,1755.6,1663.2,1683.0,57,1683.0
2024-08-08,1696.2,1848.0,1689.6,1815.0,48,1815.0
2024-08-09,1762.2,1821.6,1696.2,1735.8,70,1735.8
2024-08-12,1696.2,1801.8,1683.0,1722.6,51,1722.6
2024-08-13,1709.4,1782.0,1689.6,1722.6,49,1722.6
2024-08-14,1735.8,1782.0,1702.8,1749.0,29,1749.0
2024-08-15,1749.0,1788.6,1603.8,1603.8,117,1603.8
2024-08-16,1617.0,1696.2,1597.2,1643.4,45,1643.4
2024-08-19,1643.4,1716.0,1610.4,1656.6,32,1656.6
2024-08-20,1656.6,1709.4,1630.2,1663.2,35,1663.2
2024-08-21,1683.0,1729.2,1471.8,1650.0,208,1650.0
2024-08-22,1663.2,1663.2,1590.6,1610.4,33,1610.4
2024-08-23,1702.8,1729.2,1636.8,1683.0,78,1683.0
2024-08-26,1775.4,1775.4,1683.0,1722.6,52,1722.6
2024-08-27,1716.0,1729.2,1623.6,1709.4,67,1709.4
2024-08-28,1782.0,1782.0,1650.0,1696.2,70,1696.2
2024-08-29,1716.0,1848.0,1696.2,1821.6,120,1821.6
2024-08-30,1782.0,1960.2,1782.0,1848.0,84,1848.0
2024-09-03,1848.0,1973.4,1834.8,1927.2,104,1927.2
2024-09-04,1980.0,2131.8,1927.2,1999.8,214,1999.8
2024-09-05,2085.6001,2145.0,1980.0,2013.0,93,2013.0
2024-09-06,1980.0,2046.0,1742.4,1808.4,109,1808.4
2024-09-09,1795.2,1907.4,1782.0,1815.0,33,1815.0
2024-09-10,1848.0,1881.0,1663.2,1722.6,66,1722.6
2024-09-11,1709.4,1841.4,1709.4,1749.0,39,1749.0
2024-09-12,1716.0,1768.8,1696.2,1709.4,52,1709.4
2024-09-13,1782.0,1782.0,1663.2,1729.2,48,1729.2
2024-09-16,1709.4,1735.8,1551.0,1557.6,108,1557.6
2024-09-17,1597.2,1636.8,1419.0,1452.0,144,1452.0
2024-09-18,1452.0,1544.4,1452.0,1524.6,41,1524.6
2024-09-19,1617.0,1617.0,1524.6,1557.6,44,1557.6
2024-09-20,1531.2,1584.0,1524.6,1557.6,51,1557.6
2024-09-23,1603.8,1603.8,1075.8,1141.8,345,1141.8
2024-09-24,1181.4,1254.0,1102.2,1128.6,235,1128.6
2024-09-25,1029.6,1049.4,930.6,990.0,3134,990.0
2024-09-26,990.0,1056.0,943.8,1049.4,357,1049.4
2024-09-27,1016.4,1089.0,996.6,1082.4,159,1082.4
2024-09-30,1122.0,1122.0,990.0,990.0,157,990.0
2024-10-01,1023.0,1023.0,957.0,990.0,71,990.0
2024-10-02,990.0,1036.2,990.0,1016.4,68,1016.4
2024-10-03,1016.4,1029.6,1003.2,1003.2,30,1003.2
2024-10-04,1009.8,1023.0,990.0,1003.2,50,1003.2
2024-10-07,1023.0,1042.8,983.4,990.0,31,990.0
2024-10-08,990.0,1023.0,990.0,1009.8,52,1009.8
2024-10-09,1009.8,1029.6,957.0,1023.0,63,1023.0
2024-10-10,996.6,1036.2,983.4,1029.6,46,1029.6
2024-10-11,1036.2,1036.2,990.0,1016.4,20,1016.4
2024-10-14,990.0,1056.0,957.0,1023.0,187,1023.0
2024-10-15,990.0,990.0,864.6,930.6,298,930.6
2024-10-16,813.0,981.0,813.0,972.0,441,972.0
2024-10-17,819.0,885.0,732.0,744.0,1146,744.0
2024-10-18,756.0,936.0,702.6,867.0,1886,867.0
