date,open,high,low,close,volume,adj_close
2025-09-30,10.05,10.144,10.03,10.1,23500,10.1
2025-10-01,10.08,10.15,10.07,10.128,5500,10.128
2025-10-02,10.08,10.12,10.08,10.12,4700,10.12
2025-10-03,10.11,10.14,10.08,10.1,24800,10.1
2025-10-06,10.14,10.15,10.11,10.12,233600,10.12
2025-10-07,10.1,10.1,10.1,10.1,1000,10.1
2025-10-08,10.1,10.15,10.1,10.15,244100,10.15
2025-10-09,10.16,10.165,10.11,10.15,239400,10.15
2025-10-10,10.15,10.17,10.15,10.15,3100,10.15
2025-10-13,10.155,10.2,10.155,10.2,8000,10.2
2025-10-14,10.13,10.89,10.13,10.4,3300,10.4
2025-10-15,10.6,10.6,10.351,10.44,23800,10.44
2025-10-16,10.5,10.555,10.39,10.4,257200,10.4
2025-10-17,10.41,10.41,10.4,10.4,3400,10.4
2025-10-20,10.5,10.6,10.45,10.45,82900,10.45
2025-10-21,10.45,10.45,10.31,10.4,118300,10.4
2025-10-22,10.4,10.4,10.35,10.4,18100,10.4
2025-10-23,10.35,10.465,10.35,10.4,103700,10.4
2025-10-24,10.4,10.4,10.4,10.4,239700,10.4
2025-10-27,10.19,10.6,10.16,10.44,44600,10.44
2025-10-28,10.545,10.55,10.475,10.475,2800,10.475
2025-10-29,10.345,10.551,10.345,10.55,28300,10.55
2025-10-30,10.5,10.6,10.5,10.6,137700,10.6
2025-10-31,10.151,10.6,10.151,10.48,6900,10.48
2025-11-03,10.577,10.577,10.4,10.45,34500,10.45
2025-11-04,10.475,10.475,10.31,10.31,27100,10.31
2025-11-05,10.45,10.525,10.45,10.525,1300,10.525
2025-11-06,10.47,10.6,10.47,10.5,39600,10.5
2025-11-07,10.25,10.45,10.25,10.42,4700,10.42
2025-11-10,10.4,10.4,10.4,10.4,100,10.4
2025-11-11,10.333,10.36,10.333,10.35,8700,10.35
2025-11-12,10.4,10.4,10.4,10.4,100,10.4
2025-11-13,10.35,10.375,10.3,10.3,55000,10.3
2025-11-14,10.3,10.3,10.25,10.3,23500,10.3
2025-11-17,10.25,10.26,10.25,10.255,44000,10.255
2025-11-18,10.26,10.3,10.235,10.3,94600,10.3
2025-11-19,10.317,10.35,10.317,10.35,2100,10.35
2025-11-20,10.3,10.3,10.3,10.3,2700,10.3
2025-11-21,10.27,10.3,10.24,10.28,156000,10.28
2025-11-24,10.24,10.45,10.24,10.38,33600,10.38
2025-11-25,10.35,10.35,10.35,10.35,300,10.35
2025-11-26,10.45,10.45,10.25,10.4,1300,10.4
2025-11-28,10.4,10.4,10.4,10.4,0,10.4
2025-12-01,10.25,10.45,10.25,10.3,45000,10.3
2025-12-02,10.3,10.3,10.27,10.27,9600,10.27
2025-12-03,10.35,10.35,10.28,10.3,66800,10.3
2025-12-04,10.38,10.39,10.27,10.3,15700,10.3
2025-12-05,10.26,10.26,10.26,10.26,100,10.26
2025-12-08,10.26,10.26,10.25,10.25,50100,10.25
2025-12-09,10.307,10.34,10.307,10.34,500,10.34
2025-12-10,10.27,10.292,10.27,10.292,10400,10.292
2025-12-11,10.27,10.27,10.26,10.26,14800,10.26
2025-12-12,10.282,10.282,10.282,10.282,300,10.282
2025-12-15,10.3,10.3,10.26,10.26,2400,10.26
2025-12-16,10.26,10.26,10.26,10.26,50100,10.26
2025-12-17,10.27,10.27,10.27,10.27,400,10.27
2025-12-18,10.2,10.3,10.15,10.3,18900,10.3
2025-12-19,10.299,10.319,10.299,10.319,6400,10.319
2025-12-22,10.23,10.31,10.23,10.305,27800,10.305
2025-12-23,10.324,10.324,10.23,10.23,1200,10.23
2025-12-24,10.247,10.247,10.23,10.23,1100,10.23
2025-12-26,10.23,10.23,10.23,10.23,800,10.23
2025-12-29,10.23,10.23,10.23,10.23,5400,10.23
2025-12-30,10.15,10.15,10.15,10.15,1000,10.15
2025-12-31,10.15,10.15,10.15,10.15,0,10.15
2026-01-02,10.17,10.17,10.1,10.1,104000,10.1
2026-01-05,10.1,10.1,10.1,10.1,0,10.1
2026-01-06,10.15,10.168,10.15,10.168,1500,10.168
2026-01-07,10.168,10.168,10.168,10.168,0,10.168
2026-01-08,10.168,10.168,10.168,10.168,0,10.168
2026-01-09,10.2,10.25,10.15,10.219,32800,10.219
2026-01-12,10.249,10.25,10.249,10.25,20600,10.25
2026-01-13,10.25,10.3,10.25,10.28,17700,10.28
